,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,43.089790475120445,40.94173194232143,46.76174989775425,42.19108477447238,45.29481818249137,46.125937268310544,44.31816028300148,44.116558121862866,41.086022858516216,35.588049864736504,42.00404976346154,44.10325437088976,43.361950455966955,42.12502362031275,46.41693095595323,47.022789820460275,47.17075896401411,41.491547538249236,43.561897321753364,42.91449046491291,44.006056613601906,41.0726814197464,44.493552207757354,46.28208521153348,41.07512751801693,42.251151576214774,43.33102462573018,42.11846508232517,44.014014137499,44.25754026614538,45.48023459294592,43.8872780217651,44.28454023507358,40.71125918664891,44.42408190634696,44.676723841316026,44.80134105011816,42.58017136381396,43.20077332289095,45.172633069427285,40.92993287801728
Albanian,43.089790475120445,0,42.07830239780136,45.67348540409359,43.57213240337108,45.361603936140845,45.41191018268432,44.43307925668913,45.692240790906624,42.783053621874885,44.50753608275233,46.43417421398681,42.67718600087931,41.581632025879394,45.674932653791544,45.82604070012351,47.016028439399506,46.57085356569979,44.60696865118306,41.45674624020437,42.55389872952572,45.987294235564754,42.45642906555517,44.66077451077205,44.90413358361139,41.9858151071954,45.08493229814629,42.15934266160124,42.79574539344365,45.40607672885871,43.55041269567598,45.31294056527616,44.75072779735557,44.97065191534627,39.44291844461363,45.090950689178165,44.77223026102463,43.92873984353614,46.450250696257136,43.99363344749092,44.58338147440052,41.82430925131021
Armenian,40.94173194232143,42.07830239780136,0,44.344114424101825,46.52809109890348,44.2009537254723,43.8098699954927,44.20399686195985,45.059631435149896,40.880776062341454,43.8321056602756,45.560737465168096,41.583506376316265,40.93815186815586,44.21974541936348,44.04456113952759,45.750793967532324,46.1329559287952,42.79499443949485,39.63696043497423,46.30057171705124,46.850426833519826,46.26843568011023,44.79211489832137,43.42285421767775,44.36007335984814,41.87773292581243,40.97544640904837,43.48692204808158,47.93730226681719,43.65276893535025,44.98187330615824,45.23325337138437,44.86198988017053,42.12740419865637,43.29077053020331,44.58063444332784,44.465439190995625,44.13533866981544,45.20214445136256,44.34838304425128,45.82883808720527
Bengali,46.76174989775425,45.67348540409359,44.344114424101825,0,45.74172138632039,46.96252521157433,47.47403816597458,46.836459144071014,46.42500761262061,46.39877003207348,47.3159208801314,48.720230250708134,46.03186286727505,45.26640154626204,47.2838288710896,47.704536395864295,43.46866401693228,42.65092992041921,47.535360048000896,45.511035399555425,44.52659758304607,47.90008632397496,43.557268856732804,46.598504084649406,43.44371186339906,39.23001108551637,48.10641643093102,45.52976941993762,45.23264388980071,46.05790846323878,46.54627029288636,47.752963081480566,47.14301419955587,47.15726892609394,42.51226905745495,46.798538609140415,46.91560060742849,46.3142145278602,48.2164083806411,46.147548515900155,42.975145684678125,44.217325129330895
Bosnian,42.19108477447238,43.57213240337108,46.52809109890348,45.74172138632039,0,39.39450354509228,45.50594212058509,33.917815784683214,40.19765625237594,42.34455742911669,45.18591662953498,47.55308398223828,43.23319438404052,42.284728020905504,45.973828370751676,46.35696600636742,46.881887249688624,47.76907917084705,44.42903546940628,42.48755906471381,46.01818858024078,45.34441559429841,43.88760121205375,36.368324262672125,45.246339035044066,45.770511982282784,43.24127093932111,42.84707275153739,44.95584193471432,41.7961068893014,45.15785348858667,45.89496654254006,38.72354929160058,30.92689592726206,43.54088913438554,38.11592714869742,39.269987491125335,45.31490809256234,45.863494943017066,38.19702173774232,46.01238608056654,47.18494827758926
Bulgarian,45.29481818249137,45.361603936140845,44.2009537254723,46.96252521157433,39.39450354509228,0,46.13176127040023,39.61795949214638,42.42820627834289,45.385909876076475,46.7594684343079,47.490028658917105,45.76522148217804,44.02700754899032,47.58187269445805,47.05575651087443,47.56591042628188,47.643544847552135,46.62676616262725,44.856956004115936,43.81473027238622,46.72358590738106,41.84937655495771,39.175201124072515,46.77110396324729,44.03215854840121,46.88857803793174,45.34039655244134,44.90849821335126,42.34023523657043,46.27373268981897,46.82213129175222,42.31616681489466,40.72291652354313,42.8868614596914,42.10425372049659,42.0939748815246,45.16460873007445,47.306700328700494,41.95566624889495,46.15576105349016,43.22850627750627
Catalan,46.125937268310544,45.41191018268432,43.8098699954927,47.47403816597458,45.50594212058509,46.13176127040023,0,45.990009633608516,46.2710608998478,46.03289621904569,46.42076198022667,46.84547176359053,43.224867852942175,39.856998717291226,47.10089344735776,47.06947267212789,47.94891867702484,47.65408561323897,46.29242462024016,45.310114043140466,39.953607298787986,47.696488416154644,42.923843115820695,46.32771808104561,47.176474500892155,44.01360115897344,47.19346879715779,46.33645966956721,44.699953102736366,45.85527924601448,41.25435154338394,44.97115403933904,46.733562480629416,46.91297002014899,42.79583881278592,46.68444037601084,47.19838789443548,40.38715646135378,46.9556682180559,45.91004761169001,46.9372054837104,43.59555713317374
Croatian,44.31816028300148,44.43307925668913,44.20399686195985,46.836459144071014,33.917815784683214,39.61795949214638,45.990009633608516,0,40.658803563801186,43.93167870830313,46.08992536479963,47.3474967685625,44.80224592968083,43.41130549336188,47.069554972166465,46.84181833025637,47.40349080271174,48.133988259022146,45.99382525309385,43.62745813165816,43.84988181560285,46.08222408505913,40.939170783874424,39.18873144771199,46.06490153847601,43.84724688211323,45.73203743018518,44.131425011455406,44.34518162561575,41.45463491913314,46.3621084896275,46.04432368805466,41.18550022749847,35.1039540873789,42.643056362598244,39.90710795452546,39.027748162546814,45.10533413918246,46.865787561854326,39.87143798364772,46.34568684827022,43.68166502264605
Czech,44.116558121862866,45.692240790906624,45.059631435149896,46.42500761262061,40.19765625237594,42.42820627834289,46.2710608998478,40.658803563801186,0,43.776991715012606,46.31504245481204,46.39123537356544,44.994294475842906,44.068879239624295,48.110043444828335,47.658273560729405,47.45060264175495,48.217440224021374,46.229737669445015,43.8982149882128,45.81650388548481,45.42875903052029,43.11986003039571,42.43192658203525,46.284138050181994,44.18166770630683,45.367865178585085,44.512544177031074,45.392385042546024,41.66303411124518,47.06873601323408,46.709306197842615,41.71439701136282,40.56079707100967,42.70034872244288,37.748610931376724,41.34296068056019,45.60838772826854,46.731070963765454,40.49165153496631,45.868452450769155,44.12192160447029
Danish,41.086022858516216,42.783053621874885,40.880776062341454,46.39877003207348,42.34455742911669,45.385909876076475,46.03289621904569,43.93167870830313,43.776991715012606,0,41.98553930522885,41.7358578275781,43.91793521896355,42.659084555159765,41.868343271427094,45.707157885696155,46.26484672992809,46.24841044754372,40.39196458222015,42.24116199925602,41.739778809938166,44.929361933530345,41.06768569128104,44.70133735821266,45.78903917938636,40.24847589810037,41.66143701863546,43.42773807629379,41.661627673416476,43.53998549498937,43.560401350895155,45.13201051814029,44.2537103824338,44.865537481645255,39.88804611730302,44.51664537621273,44.73203678985916,43.57351677790712,41.04568520306344,43.32742256125311,44.527772136699426,39.566779002398725
