,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,6.542977157293209,5.87418375796133,6.594713959796146,6.063008808805776,6.5541787524435735,6.47506559306027,6.498097755615118,6.504203938102266,6.426058558580106,5.276818887966659,6.299463896115957,6.521514092910657,6.472422023673171,6.284880219534611,6.671259510878802,6.58658815544373,6.580797071094232,6.1353525726876095,6.555850164241916,6.208093521936967,6.227604588891452,5.558569709290212,6.390722791204116,6.606201686922679,6.3423889021723685,6.341521380080626,6.462955738448251,6.145986891867995,6.117289389420173,6.574928494927231,6.481951778179643,6.286354484724614,6.35859698728176,6.33828963314328,6.507888832884394,6.425215391031508,6.587103570174554,6.229832464882406,6.264075007736967,6.59950935239155,6.001957445491777
Albanian,6.542977157293209,0,6.211404595786387,6.7017734901554915,6.479295683156324,6.726792246258312,6.643686444858575,6.6901435957121445,6.799951712974971,6.587642135066161,6.679494152264236,6.87260398649194,6.5843271245550685,6.491635696403641,6.715051533409167,6.824500060364917,6.789106244580276,6.749283158208459,6.628766490235788,6.480105371728762,6.481144154299512,6.63194367451807,5.8681150315624,6.613066258362546,6.685860785485017,6.671914414805933,6.608087215626685,6.566993768904878,6.4497783895097545,6.468952473806332,6.716180709587578,6.725279228412909,6.626236016748961,6.6384755514721325,6.364127122592689,6.721187455014724,6.628811876452119,6.76379395548287,6.693834254830131,6.6287506821690805,6.7280132436435505,6.333887596780241
Armenian,5.87418375796133,6.211404595786387,0,6.255693630345463,6.609158701830597,6.297524416873199,6.042610920808707,6.364698165275562,6.417228388372255,5.942564587748055,6.223009617852232,6.43898256061585,6.006244388784274,5.946601616438605,6.285007861704983,6.251047593245547,6.304908747870919,6.354983677126868,6.141079917001696,5.8117133121682905,6.672687659480436,6.555230087879287,6.338584315311949,6.342854737461895,6.088562151614627,6.647715050920464,5.908521427740811,5.96658654225924,6.343843540004323,6.593033987135404,6.312731274325462,6.3714005073199065,6.393797722872619,6.368411102886383,6.3185055100277765,6.237805287751141,6.257499751895866,6.359926350404589,6.148456554864128,6.456917723389787,6.308160627647641,6.672037936752318
Bengali,6.594713959796146,6.7017734901554915,6.255693630345463,0,6.370039246490021,6.645876549695657,6.550498717078705,6.6508067187073445,6.490781263582438,6.571388588414147,6.652746955967411,6.815118453987486,6.53421066715635,6.542279011737324,6.602438222161569,6.687200337429132,6.35164187141332,6.235717475078618,6.625372321237025,6.494736785193515,6.31807350886756,6.5291279611216915,5.811499181710136,6.564267693509756,6.332354247428723,6.042724180101897,6.647044659249598,6.5832418602016745,6.398752194694837,6.277848791705897,6.582550590752187,6.624279326511766,6.50443245601815,6.5693176910957485,6.45498507251583,6.590301979131432,6.616980395098156,6.654590490629909,6.631740142094938,6.459475835468479,6.20658368980901,6.196149019643153
Bosnian,6.063008808805776,6.479295683156324,6.609158701830597,6.370039246490021,0,5.885542464920441,6.181146004320459,5.329423164552759,6.047641699858115,6.018254906807108,6.4026267194027815,6.587685220296877,6.125575026826924,6.121454158066002,6.433257708447903,6.474888336214966,6.423770228551687,6.516819496021402,6.363731579008441,6.048192760180688,6.577145854197077,6.500002698409156,6.192283735400278,5.412108086799924,6.258423212242105,6.698842870212164,6.079941778286975,6.225538525066237,6.571014464912245,6.162473816735817,6.350680535219305,6.4691658415276185,5.714745584287519,4.696344640597077,6.600398810792926,5.7207627904505465,5.816729284040242,6.4463825434566155,6.343201543863937,5.805276331647305,6.437610347073027,6.622622255031109
Bulgarian,6.5541787524435735,6.726792246258312,6.297524416873199,6.645876549695657,5.885542464920441,0,6.414012486642487,5.827383574137342,6.191697916437398,6.517496786893032,6.66287382890014,6.665841584164119,6.489044920731676,6.4818167692636015,6.710154390956508,6.676219428686295,6.669014573444442,6.692879451366286,6.631993684931234,6.489997785461943,6.275136425110916,6.489851304402852,5.725838780854839,5.8138392483667625,6.620315266409615,6.632902571390232,6.535593517848259,6.546899169913221,6.463470655610724,5.9835263323030725,6.642786966436443,6.657268866781102,6.156946213226206,6.008609744086573,6.5408368000102275,6.209970984958766,6.130373829697404,6.604840213694149,6.565937568193073,6.180570542782713,6.636546036850378,6.175886468102043
Catalan,6.47506559306027,6.643686444858575,6.042610920808707,6.550498717078705,6.181146004320459,6.414012486642487,0,6.393915459629707,6.395750169446313,6.5207293489518765,6.474165197455011,6.514262844600389,6.254003372030082,6.1092619088220435,6.483396231633445,6.537792322720273,6.462585686926118,6.452155405247854,6.385096503089613,6.412299824280126,5.813975298219891,6.326672434381667,5.6313498120351975,6.324208661427607,6.463120280197051,6.473769905350614,6.529905840666312,6.5621929906761425,6.317844819850068,6.155617717469653,6.068099432330043,6.309280282048744,6.312030508193637,6.378207338456958,6.399556147601507,6.4809307973564065,6.440965644596297,6.0328470042470945,6.406880480513888,6.297363776812017,6.553591012924813,6.105102067303515
Croatian,6.498097755615118,6.6901435957121445,6.364698165275562,6.6508067187073445,5.329423164552759,5.827383574137342,6.393915459629707,0,6.156574615195693,6.399211831102892,6.651275056845574,6.667039167465995,6.411173624214129,6.4707575665148545,6.725344461386719,6.691032920549014,6.668682801346317,6.730971627681785,6.628510494224999,6.404000562476444,6.42430669603251,6.5857145269937405,5.778974055673615,5.806100719272317,6.522101906712903,6.635583192842435,6.453258444939438,6.487057464686936,6.551841535395164,6.062168060222195,6.667561628907285,6.623919365957659,6.122873073257976,5.372698590400287,6.575079941736633,6.006011103178772,5.809775778859021,6.602636028550577,6.567786601159711,6.020037885383674,6.66409294294815,6.324635760052284
Czech,6.504203938102266,6.799951712974971,6.417228388372255,6.490781263582438,6.047641699858115,6.191697916437398,6.395750169446313,6.156574615195693,0,6.3657422002227975,6.651651396867439,6.583608179152049,6.446511979918644,6.518946720131438,6.7529958463629285,6.7210714318078155,6.6704064362513815,6.717525309298394,6.646930389194019,6.389353737473189,6.4809378891127984,6.566224244354365,6.0131603795491015,6.229079308481057,6.562998275377837,6.573258615080196,6.427264671893922,6.487241505175475,6.557702073302574,6.124282490653516,6.672529041715792,6.619190812558357,6.191590743158593,6.071971814231804,6.549604774577768,5.8796327145767915,6.094017810125965,6.648135342250515,6.492205999897064,6.132051267538102,6.552167892942384,6.329189481346405
Danish,6.426058558580106,6.587642135066161,5.942564587748055,6.571388588414147,6.018254906807108,6.517496786893032,6.5207293489518765,6.399211831102892,6.3657422002227975,0,6.250024981496289,6.28152683844531,6.5211657524765405,6.600935232490722,6.277144177733274,6.588477802641438,6.525914473735512,6.460605737507949,6.190064711345633,6.591793060236902,5.9845287456024465,6.246812678986459,5.5254093475880595,6.332839395741384,6.6030509221732565,6.209755509807884,6.3402716571956566,6.610502832182184,6.195573158205683,6.027129493931384,6.518181678870713,6.444035225255621,6.275442672481384,6.359580403629244,6.283070323355532,6.493217038294263,6.436553455854098,6.511032666542648,6.117017982437422,6.224659533435554,6.476770603527278,5.831718449869461
