,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,6.450005463273296,5.900459024314532,6.616599813113368,6.061860448409766,6.55636702531885,6.536957413866836,6.476597553037449,6.435519334128807,6.4599569396502865,5.850231317738869,6.355814838277265,6.501804399047475,6.563914288774564,6.360165602287827,6.665629662722147,6.625083130460098,6.591709051114429,6.178734652645993,6.562366855035585,6.212395080849642,6.169693573172489,5.533477193882162,6.390447401365905,6.685503394286244,6.302472752796154,6.376701540911465,6.487567267114116,6.123020733044777,6.097822245364812,6.52176915375092,6.501145109385232,6.281647980886498,6.362067231261687,6.3135637061789245,6.516828400912216,6.458618321209531,6.634120408656894,6.366538355472304,6.23492519983505,6.591681152040882,5.9923554886253525
Albanian,6.450005463273296,0,6.149351723058397,6.705513988089653,6.419207407311249,6.699648607713099,6.612106970271084,6.650508533996822,6.726190513326382,6.615769905833713,6.6176597522968565,6.812974016596505,6.541090959756832,6.563209996105848,6.701836279129,6.8151647995251565,6.775356741487787,6.736811458595954,6.560736917192599,6.441888616309784,6.448464193417805,6.541095014992948,5.850696336407556,6.599282353174082,6.722942913253128,6.664589231708629,6.620926509921899,6.521771223496912,6.3870976233495576,6.4155210900214765,6.611641832817895,6.76084509553474,6.570585546287306,6.616035639214127,6.390897264238502,6.723729802121111,6.624430675409204,6.787769705615215,6.759636238616263,6.612891744425555,6.716829767837052,6.317999974389565
Armenian,5.900459024314532,6.149351723058397,0,6.331009491089624,6.620839470261131,6.29496347731868,6.15680546693089,6.397694501967059,6.387867352418525,5.965238609103181,6.3095807853482695,6.474635162796984,6.0154528349824,6.057414501309308,6.292041348632773,6.342968596253065,6.416282338975957,6.428260079097875,6.160632352970091,5.820027292733323,6.688721206837504,6.541861228803594,6.377900801948911,6.392587628198513,6.22154472477224,6.65268419625924,5.939726274444533,5.996644018333899,6.31198333474902,6.633418859885328,6.319245537230752,6.425506864857862,6.418521993842722,6.406589900304672,6.386740768058972,6.256819200165514,6.335506317264923,6.503350075772081,6.274952653406845,6.507658963867441,6.376146998492363,6.6736713802025145
Bengali,6.616599813113368,6.705513988089653,6.331009491089624,0,6.3766072573094545,6.59534690103096,6.572022624410671,6.627739824269078,6.466963088213766,6.55441104942156,6.596842829219432,6.772596526160079,6.50594316950035,6.582791703802992,6.523895709769766,6.678033586944537,6.3913014072330805,6.307350191362382,6.612448484970821,6.5052675687613695,6.297587341543725,6.411822456187057,5.776151219192598,6.538834489221943,6.424993960944926,6.17920289634273,6.663041157236042,6.56803842624766,6.369785890442621,6.205590293973307,6.589120866456372,6.604402294909876,6.479041306854944,6.573776975576795,6.458355954702142,6.566517512398413,6.557176250961734,6.702471219692338,6.662614314535976,6.415799031852412,6.407672298981822,6.201773638358499
Bosnian,6.061860448409766,6.419207407311249,6.620839470261131,6.3766072573094545,0,6.072252566346407,6.251374418711736,5.798774187496479,6.190889953718733,6.094858829318404,6.4056947514152505,6.577106916740601,6.105382229578344,6.2013219602595235,6.396406121764053,6.482138882980604,6.511367015051225,6.5584343805292935,6.393673328904841,6.054053324319748,6.604957742679955,6.438302001093608,6.1783097956617326,5.780645612310554,6.357602145144367,6.7145254268706305,6.113795009571708,6.188046859096669,6.485159462434353,6.243965107682676,6.40270868145452,6.473557117230668,5.961466499794925,5.365357658081563,6.616558495003789,5.971439559726992,6.069043935172451,6.555201055460029,6.43465423313458,6.046195225624136,6.480956032970457,6.637842705376515
Bulgarian,6.55636702531885,6.699648607713099,6.29496347731868,6.59534690103096,6.072252566346407,0,6.443025396928452,6.121407756034951,6.318648053017591,6.515017341137275,6.629606764036872,6.572052695565784,6.52669840848784,6.528059827187744,6.6415191485505,6.6936580571871085,6.610837032373876,6.620857040623963,6.5782913635073825,6.482766401142346,6.287951920517962,6.407274802984283,5.6779489565221475,6.132229709805618,6.573007798871217,6.622667708930168,6.5655745333251865,6.51016944145989,6.403199530774935,6.092452308976055,6.65356546821746,6.617487308299553,6.299277437773895,6.278936231136821,6.55081983786286,6.363475629838745,6.277434324942934,6.649997511191062,6.558886103835331,6.303797904475792,6.643677542675417,6.161016300500055
Catalan,6.536957413866836,6.612106970271084,6.15680546693089,6.572022624410671,6.251374418711736,6.443025396928452,0,6.395883345678755,6.36442167520815,6.54003056277611,6.437529422729761,6.4901583489363865,6.360976931799026,6.295688926043724,6.442669058590132,6.553043827477109,6.509159057666349,6.498154695701927,6.449298129063979,6.431210502410573,5.965101440925555,6.3037925521009095,5.611375772557941,6.3723398197440675,6.52114568157383,6.506682121756814,6.621555861322038,6.543833230486782,6.281846862045816,6.099898506574942,6.17935459548759,6.371401962523511,6.324095991778784,6.422520113706947,6.394131896027535,6.484366458398847,6.477307807911765,6.257858297091217,6.534500084561153,6.315918156340513,6.5728800429999845,6.0932310383912185
Croatian,6.476597553037449,6.650508533996822,6.397694501967059,6.627739824269078,5.798774187496479,6.121407756034951,6.395883345678755,0,6.343785679530947,6.429316383410946,6.577817664020247,6.628102636630278,6.444781563807166,6.476853813227238,6.639597697076714,6.653905393832126,6.654080379949083,6.734277457703302,6.558227373852489,6.386200151064719,6.4034114356819565,6.499882725583826,5.7627016424845925,6.083723685380597,6.55469592400669,6.690650355653509,6.47773487490116,6.462287666849101,6.453183384038283,6.083640570417539,6.642405143477283,6.566271799904233,6.255795225622412,5.940261004759971,6.60175471642394,6.183428039497479,6.068569013669033,6.632482587545655,6.580932346000827,6.193502284379369,6.6621886386763585,6.315035609386026
Czech,6.435519334128807,6.726190513326382,6.387867352418525,6.466963088213766,6.190889953718733,6.318648053017591,6.36442167520815,6.343785679530947,0,6.345975163370182,6.526887759320486,6.500390130908652,6.439375093847433,6.452974112207089,6.643442884944474,6.6590168999903785,6.6113215752737755,6.670797504815892,6.56634059240665,6.327618484433444,6.484632928038544,6.454531331720618,5.913111613821669,6.329099463321511,6.52194991111856,6.545697688864159,6.408425107244049,6.436855205923675,6.431310359282357,6.1665606547867124,6.640805382259372,6.547528198266364,6.247084548832225,6.233386857953396,6.5164803400283215,6.158797091021526,6.129109680491369,6.598397498295686,6.475582206674377,6.205350470586067,6.568765162007193,6.3268700541978875
Danish,6.4599569396502865,6.615769905833713,5.965238609103181,6.55441104942156,6.094858829318404,6.515017341137275,6.54003056277611,6.429316383410946,6.345975163370182,0,6.268422924355414,6.218291278962908,6.587233375736008,6.566782882868637,6.249096794753577,6.57693553076284,6.499593482040135,6.495095337024081,6.206511747410624,6.549056974520452,6.004901338974277,6.178282547267605,5.457569153327289,6.407626464733248,6.58077300804672,6.257490198744616,6.580237305110841,6.577024875779469,6.11910082053994,5.991068461805374,6.4640281318044455,6.435881651541202,6.351413286816816,6.4426193689874465,6.327671420646644,6.503436889666314,6.468761575288603,6.523930552356115,6.249617362363403,6.30893393142241,6.509559004456738,5.829342540175724
