,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,5.003929840335278,4.212747067644421,4.852181630904779,4.204575725315223,4.688144988850339,4.917887198503943,4.7439295356485305,4.541003236736887,4.471847757583678,3.797014972336183,4.225595483760923,4.719735786060845,4.892965222848893,4.286845451443776,4.849581038383291,4.979848682159849,4.987319499041654,4.24852324040285,4.954588697882736,4.512700525851153,4.2360768952230545,3.814611848461262,4.5724325633427725,5.134190103563008,4.631339602621926,4.465997356702094,4.828283337794514,4.398226630633276,4.2741261253159735,4.629196803872785,4.6610527654991865,4.4124679919538945,4.517668080650467,4.956548275609544,4.634387241675888,4.665724443344449,5.00151877544458,4.451298184730285,4.493918657924648,4.903913039554462,4.357670553381373
Albanian,5.003929840335278,0,4.457123709444324,4.968133271739231,4.665024791758186,4.977330438471245,5.091476996789669,4.997512601420451,4.979628445946866,5.112801944835788,4.999916430786275,5.17610346422171,4.932015500104891,5.008324786034156,5.037299887518031,5.042192417191926,5.2509011174716385,5.2079289781348646,4.976600647725769,4.99488000905762,4.7976415379667126,4.729216863343202,4.200733192565191,4.968872320739888,5.272056613192399,4.990378385219221,5.132551338433783,4.983925410348338,4.7020966906743125,4.676229638634813,4.915803627405035,5.005931849852251,4.783979657882765,4.912694908227463,5.0277360029488465,4.958323896852933,4.922652891506104,5.212932571617396,5.198934248919561,4.844721549395095,5.0720268479243416,4.721670133973311
Armenian,4.212747067644421,4.457123709444324,0,4.467969197732514,4.396276969646967,4.3422866389861134,4.510179468447066,4.454072152259742,4.340270047910329,4.325656025477381,4.353081588272234,4.562800615357944,4.302055078050143,4.40579104682493,4.305176405045339,4.321082453063652,4.659072560961889,4.704081194036427,4.177816462872517,4.229769709987406,4.704163382505579,4.304286698067361,4.109417606042789,4.398114261827426,4.629274703445284,4.779503418499835,4.260668078322544,4.2753290460657185,4.264591482804721,4.502525780799498,4.40855850115383,4.4674293870532,4.330119485444684,4.374413689836189,4.775645025490438,4.292567070007524,4.405390576529565,4.748487528370697,4.490801421847113,4.465437844647624,4.560430387097671,4.725382751925102
Bengali,4.852181630904779,4.968133271739231,4.467969197732514,0,4.382068718750038,4.706456489466475,4.971813790009238,4.784535424608449,4.591585135716973,4.886517511381913,4.752456544698567,4.917756974204463,4.709431215205568,4.883485500156505,4.704528422522653,4.732042803016609,4.503171648265128,4.441543340805971,4.7701673343477085,4.90688621906316,4.525782074847823,4.374068028127106,4.005370175009036,4.701634804499958,4.737794756779644,4.183403765418984,4.958418732333931,4.765146954167893,4.509535146289369,4.324694601646471,4.719220577274188,4.742469290419459,4.545977156299878,4.666873109331212,4.935379174085315,4.665754687512399,4.679146965542641,4.989011827059622,4.886326862876711,4.60941941608834,4.441571170064841,4.562683726668903
Bosnian,4.204575725315223,4.665024791758186,4.396276969646967,4.382068718750038,0,3.767814512479934,4.445410927596901,3.573186340436658,3.7569179904205225,4.2624554341521295,4.300493562210163,4.519876854730556,4.1647527115153355,4.449998888710734,4.253185915995713,4.372480678691062,4.702790568768537,4.684844274401028,4.279284886527316,4.4127135094627805,4.518854450523977,3.870983482797216,3.7417826922236115,3.6269423092492667,4.7150993187440555,4.663067032287754,4.207065349793594,4.352066956938771,4.2773205787162425,3.6824968756050747,4.299070277552198,4.305401766275208,3.636451256579042,3.112982861780013,4.965461028326065,3.587748261553123,3.7492933946558864,4.689633901359261,4.488152316458491,3.8598990360780325,4.5256815461740105,4.642690229142333
Bulgarian,4.688144988850339,4.977330438471245,4.3422866389861134,4.706456489466475,3.767814512479934,0,4.739449773734534,4.069338246495239,4.102624389671511,4.765762761619044,4.6702882314404315,4.750185088442198,4.634392101302832,4.738037252804942,4.655992457211905,4.698410825583849,4.878858585084786,4.836904020615591,4.602209972875401,4.8226265013065115,4.436084682558989,4.271353310336373,3.7755938960724884,3.8210087677138396,4.913508766249706,4.727417363421997,4.757144153048225,4.737573197733852,4.440208410005308,3.9623951652703044,4.659199537836839,4.627715411331048,4.053145254176991,3.969355830009572,4.992391237726357,4.162681981048916,4.148608179650786,4.816336357047307,4.777275509411339,4.114926066084234,4.769661800581973,4.407098396358949
Catalan,4.917887198503943,5.091476996789669,4.510179468447066,4.971813790009238,4.445410927596901,4.739449773734534,0,4.7216007417227015,4.652445891612441,4.909601916330813,4.777295204832494,4.81325735124115,4.542976880119504,4.437255419139017,4.753525963290064,4.733742977201053,4.9839446067847755,4.966062945187301,4.722234564612557,4.977228595509613,4.132082293304037,4.469406599232163,3.929569164719243,4.685916836555718,5.080016141045857,4.901375807219906,4.944380163738638,4.976293109286676,4.6326925368781815,4.461202348491742,4.351460701666954,4.482467717894443,4.550387406255736,4.644547105203167,5.043873596787252,4.774573525490294,4.747619910446607,4.453686268733531,4.9189268247904225,4.600446148679935,5.002754786982676,4.557244531732509
Croatian,4.7439295356485305,4.997512601420451,4.454072152259742,4.784535424608449,3.573186340436658,4.069338246495239,4.7216007417227015,0,4.111522975697042,4.766537220219443,4.729785181229873,4.88479125966075,4.726890979355532,4.800786494339971,4.734396177309789,4.724865595896082,4.950977832937433,4.932880623815702,4.710292975855467,4.800932767846205,4.602668811729444,4.406065400461952,3.856908299663728,4.015592928487423,4.98927634508773,4.805351195199336,4.768724415893945,4.700028479396351,4.480070516996502,4.002098301562164,4.812820954937048,4.672102884127635,4.162552902547033,3.6917562831396147,5.033871385363376,4.105692131686073,4.027156397086916,4.903357033040774,4.830075633913119,4.168950535233865,4.810702828006937,4.610274474599125
Czech,4.541003236736887,4.979628445946866,4.340270047910329,4.591585135716973,3.7569179904205225,4.102624389671511,4.652445891612441,4.111522975697042,0,4.527989729283057,4.488453571567125,4.58593531061264,4.517681139345842,4.699388251727292,4.574936950902353,4.652760186348747,4.816241340879714,4.845530391691044,4.5437018016897115,4.647946461231096,4.483195273024574,4.12130375075735,3.851779605669661,4.0716686369163915,4.840522768812612,4.583409817257198,4.56437027766048,4.591744911389467,4.421739943554688,3.744022121864394,4.5480886170107135,4.544085468542975,3.9421997274378655,3.8819006687478312,4.950694366384572,3.6844412176738177,3.98237224095106,4.7906777660295665,4.647027067138241,3.958486024036969,4.682889867290703,4.488350420878253
Danish,4.471847757583678,5.112801944835788,4.325656025477381,4.886517511381913,4.2624554341521295,4.765762761619044,4.909601916330813,4.766537220219443,4.527989729283057,0,4.318012613329945,4.142646783439522,4.787617060206764,4.895905940690871,4.197888314775011,4.80462978336006,4.875030281807461,4.8826972051197695,4.238677113298709,4.893690881396123,4.355360218664427,4.32481805816089,3.831358296323516,4.665017965374742,5.049480822051856,4.556787654723015,4.304370677748559,4.920110424078187,4.39733178945768,4.236447887491469,4.63822969728328,4.6561278361057505,4.532521404050121,4.64542673059186,4.996869450359708,4.657363594574775,4.665437704495563,4.928538067791688,4.160563508617609,4.599523429672205,4.86377597708587,4.259078279986646
