,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,6.48960285666134,5.863272495930871,6.59253967300108,6.0646911700597625,6.525850113840405,6.5166866753246815,6.461167731581865,6.434853919810473,6.386455690689033,5.34282402703361,6.261478449353432,6.486515421634601,6.555306221636873,6.263774676714069,6.663948069309463,6.596667578514308,6.578514979391763,6.122169500255363,6.550256958866611,6.207913524115929,6.084874670511689,5.449634559932363,6.418802774800165,6.668693315282023,6.27739954396816,6.361117730822217,6.504604074307476,6.13881973051646,6.069819899480705,6.487841413247884,6.493916806064373,6.3069397829805105,6.395070587684547,6.279634498207971,6.468109971694426,6.432400415629325,6.592633291861585,6.284834512702917,6.287336884343229,6.536446130721914,5.955288523506651
Albanian,6.48960285666134,0,6.173927010802254,6.722068610135922,6.346496653026072,6.670515849209689,6.60197699370153,6.604885391077735,6.734713926101651,6.592884186217636,6.62053153957015,6.820940844061272,6.470505838981383,6.5318545354510205,6.660441930823183,6.760673728302732,6.829655820854223,6.777285927957648,6.597428457762711,6.4784504402455685,6.36298665090637,6.446629213998276,5.7737685847496865,6.540733377899104,6.745762822933274,6.641060611322329,6.642382242033611,6.626255940058042,6.423404373829735,6.412958795074848,6.546425802712273,6.734288181504814,6.549090575903741,6.563093161971833,6.346636544683736,6.703603692220037,6.585968812278233,6.670370256483798,6.732850547315687,6.57223894237015,6.693617079089334,6.266242296770494
Armenian,5.863272495930871,6.173927010802254,0,6.2755451230311685,6.6181515340579065,6.259646598247778,6.10181424493008,6.317935462897127,6.334124731159792,5.9168017098204695,6.233675970866844,6.39668037862762,5.953962725858816,6.009298668153244,6.245014613391171,6.274651111421042,6.368534137827827,6.395663294547942,6.144552744452145,5.79829587613166,6.62046488482712,6.408785523470522,6.2571839610177395,6.361300278642744,6.1981498934068755,6.628704940265576,5.932347984865319,6.0110278987473365,6.294553803681685,6.5559856752765855,6.216626614378058,6.3550952138975525,6.4045587595238445,6.393009987891118,6.334841449659353,6.197921601130751,6.291091291799241,6.373196815079541,6.233824661230361,6.488562599639126,6.310701743946791,6.6074431947827215
Bengali,6.59253967300108,6.722068610135922,6.2755451230311685,0,6.415191139138713,6.613405014545169,6.570568477100263,6.657002754373199,6.522611232986951,6.613504346526847,6.622557438258783,6.797297047319626,6.5254773082817925,6.591585199780452,6.5725353370336945,6.642720255267079,6.310815497851673,6.149917733162162,6.628773752058885,6.525277954935653,6.337278282254358,6.371895232828075,5.715593266955087,6.62742079959676,6.3677465566553915,5.945172340009045,6.659384213869324,6.580067030492719,6.376573334590427,6.236371918342325,6.536818348779254,6.64803190489096,6.562063853399775,6.640654656828129,6.4193182805498346,6.590775807962267,6.588419523739729,6.659383553132797,6.6695010473005505,6.534489559553104,6.1719717824548335,6.187120185507045
Bosnian,6.0646911700597625,6.346496653026072,6.6181515340579065,6.415191139138713,0,5.792336128143506,6.225616309647689,5.288122210664609,6.020566028844153,6.083374871908311,6.400843313585576,6.59342741995683,6.073290456155389,6.157403812094996,6.389095418093697,6.450802071965266,6.509669180886174,6.563850874466328,6.370663890323553,6.0612627108341925,6.560901137150193,6.329485947608464,6.089453431417947,5.4057040290014005,6.351746930942576,6.750320121723445,6.103717895192504,6.250783681873294,6.52639181071353,6.135434922310724,6.319772431067269,6.492024858802956,5.726366925476659,4.738871134983639,6.545427640792863,5.7223161920299255,5.857742099468588,6.428471705391786,6.385546097377237,5.80264524057257,6.4742537531431585,6.631906424728666
Bulgarian,6.525850113840405,6.670515849209689,6.259646598247778,6.613405014545169,5.792336128143506,0,6.429902367212958,5.823981283930663,6.192640700025087,6.556469276014309,6.623074179335255,6.574006149106778,6.4480905192877636,6.522962869553584,6.564574442782796,6.629771495167216,6.712758280800383,6.6968096297688025,6.600140834200765,6.51302803196354,6.129033684818162,6.234225551659271,5.564042541955357,5.90421248249484,6.684165085868082,6.562275720766741,6.569704377316961,6.601118030236346,6.450767564765001,5.932088093823815,6.556860301421718,6.5977811622027875,6.191908697339631,6.0592902535988875,6.495876946019717,6.171598003063538,6.159745412406598,6.553415977701037,6.549131407818797,6.219607755574402,6.65043458194806,6.108481821788844
Catalan,6.5166866753246815,6.60197699370153,6.10181424493008,6.570568477100263,6.225616309647689,6.429902367212958,0,6.40611091489557,6.390024376506714,6.5831030199098794,6.505377973190844,6.537897161610195,6.3239206962916485,6.15193431936382,6.498647395906796,6.541052011573364,6.567082591124519,6.518978914408802,6.422157968604367,6.4856393029437465,5.81900696142881,6.2049134334979215,5.555409069125302,6.406955634344247,6.591320267929071,6.467334853754227,6.584812131698471,6.595684164271582,6.3052624072942764,6.119530286669368,6.0543649981688805,6.349953463143126,6.360769650897274,6.438863270886137,6.367231263031029,6.456444413048898,6.483086501826989,6.080129305076261,6.520867609386401,6.375141908824805,6.5474228887725285,6.111855715001789
Croatian,6.461167731581865,6.604885391077735,6.317935462897127,6.657002754373199,5.288122210664609,5.823981283930663,6.40611091489557,0,6.210404679513124,6.476187694894237,6.5862677473270805,6.619445529659678,6.417252627328611,6.489469476869934,6.614897436365763,6.645169491092832,6.687210299424469,6.795242727841537,6.605817806863717,6.429944160566096,6.282434389316977,6.332226366602844,5.621056570053923,5.869094059260404,6.560246771271005,6.653052979366309,6.510508135010495,6.549052423405418,6.5468781145155495,5.972498373609129,6.602227784658179,6.575276523572133,6.121420022946942,5.47215513393621,6.558795726936165,5.9905413717122675,5.8452708028894955,6.548620100661711,6.595212684184441,6.073857423797185,6.706955366074327,6.299682633753342
Czech,6.434853919810473,6.734713926101651,6.334124731159792,6.522611232986951,6.020566028844153,6.192640700025087,6.390024376506714,6.210404679513124,0,6.389373958041914,6.593250131939805,6.54677797527508,6.416178820304582,6.461792497397305,6.681346488343846,6.699871212428728,6.683332941826898,6.766716407614176,6.584370548197838,6.380860591497292,6.434644188450247,6.32688988697301,5.854010722884786,6.268277543840282,6.602060216564154,6.541310176525189,6.413877945579719,6.533065632222332,6.533303589146338,6.008436704645803,6.584061990039249,6.550743296662618,6.131945310222873,6.129010223615508,6.486605657726258,5.818464499592399,6.078488732939625,6.5871077940083875,6.487496235845019,6.157356461397763,6.6056300001555925,6.296159386725933
Danish,6.386455690689033,6.592884186217636,5.9168017098204695,6.613504346526847,6.083374871908311,6.556469276014309,6.5831030199098794,6.476187694894237,6.389373958041914,0,6.29183188073437,6.259027524039954,6.546129425560954,6.586647500955422,6.246186108831428,6.605105349425227,6.555036404114404,6.525537469151999,6.166015766171521,6.51363147460806,6.050559795809061,6.118786903388953,5.421263603710116,6.435267055103338,6.648272700289449,6.200892332175879,6.353047022386718,6.628019994269069,6.159693213362561,6.017360007966127,6.4687817537467085,6.504173594565271,6.337969076290229,6.449714330069642,6.324128455851871,6.501082277894249,6.494742689731618,6.511155636135337,6.169623085482006,6.3265751063397255,6.491370758095518,5.84125151640678
