,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,6.313955544962807,5.538110456752953,6.270557826349273,5.772716656122005,6.320430123742949,6.212403130666148,6.3098880981536185,6.186204951334236,6.1254611175111275,5.349383357612105,5.983133807916044,6.279159678836586,6.269607579260739,6.085824563991595,6.435275550979625,6.27669065498823,6.243685871622294,5.845684633894103,6.228005592490125,5.957312315839546,5.856613576196162,5.201266240771208,6.138290670341971,6.362248166061665,6.033718146684344,6.067127100530443,6.2246591313438095,5.88312961929671,5.81995311401194,6.296942821014875,6.196550120084586,6.032510592685782,6.101688024270344,6.086703672363415,6.219747539865222,6.122186027630304,6.362044075077075,6.153628005387204,6.011172031816819,6.312753097329999,5.696900548101418
Albanian,6.313955544962807,0,5.93488102721883,6.455027933162081,6.1616960100209175,6.495422996782997,6.368273418066388,6.459447693684273,6.526498633186891,6.388712068546266,6.423410945334631,6.549630899792086,6.347362598679191,6.354177377271444,6.4756580312183205,6.607218861499479,6.563581837053642,6.520369616197066,6.39550118283664,6.2506865020857445,6.172045166240234,6.300236493080819,5.585952918867409,6.361049564805227,6.491030039078146,6.426811772681191,6.396476370698185,6.415420979480583,6.218010927695272,6.229768531008691,6.435817346163475,6.519822081372184,6.382850684491399,6.341498415713034,6.194333824158409,6.551974441081756,6.346840260833173,6.521331833990998,6.553916820279635,6.361041352802328,6.495119702831996,6.058922940359545
Armenian,5.538110456752953,5.93488102721883,0,5.905224159802807,6.236689406769316,5.986635356466368,5.752606752583656,6.094080521694182,6.057099587209604,5.604156037193604,5.92133976059908,6.039062616818857,5.709965009255745,5.679783971114286,5.9253143950065805,5.98272273939385,6.001736354920787,6.007921644886475,5.777509151136284,5.447156518679549,6.304324413089901,6.155439393786477,5.919721884949454,6.024457564882752,5.836349832100584,6.303969705751835,5.547589226613771,5.67181949974098,5.951779191540482,6.26562163452123,6.001773497463966,6.012416540493223,6.0646284557003405,6.009388729465702,6.0896502469627,5.911854587572276,5.912016754698196,6.097382575024654,5.954483155072416,6.1361191311210765,6.006513140511929,6.316642648006606
Bengali,6.270557826349273,6.455027933162081,5.905224159802807,0,6.065718838181395,6.318533187089053,6.20773988859135,6.36731491158914,6.190714951517441,6.249945357001911,6.310331811953299,6.437961587074532,6.229651460036053,6.281863861618643,6.260552428468188,6.3630530292103895,6.032663676078107,5.87652664850642,6.315423841844937,6.164112766620176,6.0615098183015315,6.083055241161185,5.4159275330935825,6.278465592225434,6.076215557813955,5.694109582915572,6.208838112815833,6.251465061515109,6.075491755393208,5.917757388384818,6.319468527420137,6.28901661944181,6.249355988244501,6.272891242369189,6.150424997053543,6.274391632548979,6.205565621760542,6.366467462425552,6.353981101659721,6.185300582327988,5.9020777851719215,5.8969665264276685
Bosnian,5.772716656122005,6.1616960100209175,6.236689406769316,6.065718838181395,0,5.694262124572075,5.906813119342539,5.445457454799595,5.821428470925468,5.7677747498516165,6.1102527199736905,6.2009582264490355,5.823757921146557,5.883674136568007,6.0733713734658155,6.205995211946104,6.152119509288233,6.193445528946152,6.053032363172434,5.70950925400958,6.307552451580191,6.0647887859120635,5.7733524524595214,5.315870311650927,6.007458278916213,6.437144701977029,5.727013926391505,5.943842952125255,6.219420102996287,5.934703261822126,6.1073233928062445,6.166608068604021,5.546540008405861,4.754012826894875,6.3241072346847185,5.57990213064796,5.640304962374894,6.190713408027119,6.118971986056283,5.594284011515953,6.180167628350739,6.328932998569908
Bulgarian,6.320430123742949,6.495422996782997,5.986635356466368,6.318533187089053,5.694262124572075,0,6.163951732123848,5.737859551051416,5.977102200670708,6.277991248339572,6.3692870812536055,6.2911870376473145,6.181607556040682,6.336615766414521,6.317628396918903,6.3448908480911195,6.436772520792263,6.381167717596208,6.36213882432793,6.231283285830074,5.83980151877131,6.000615462398514,5.309717551283933,5.823982178987233,6.43152456357054,6.307073914381055,6.23086390588614,6.37061529689844,6.176675495041208,5.731122361059905,6.320980377625497,6.30124083670024,6.0241479990609905,5.926851312275178,6.311965034189755,6.080210519435336,5.982359092540443,6.278031897780338,6.331641930320109,5.9933744494385,6.389138683898491,5.859640966792958
Catalan,6.212403130666148,6.368273418066388,5.752606752583656,6.20773988859135,5.906813119342539,6.163951732123848,0,6.159455807681625,6.070777463098931,6.281061176486279,6.22501493645054,6.213851950518415,6.0671053320293495,5.998158313086934,6.206936868343785,6.273325923553836,6.196979885201878,6.161934317406569,6.136017793224047,6.145677139964254,5.658478785745628,5.9149312717290305,5.2648518860363875,6.096351218716381,6.259337525001874,6.1364757169395485,6.190709983753177,6.2673071950344115,5.9828804088316385,5.8048575256167565,5.912984594515545,6.087672796091339,6.077182621035239,6.111349214704105,6.116713472126921,6.1566180656216325,6.150844272278885,5.93471380260016,6.2465627865593065,6.048212844121484,6.2466895049359925,5.841456678066692
Croatian,6.3098880981536185,6.459447693684273,6.094080521694182,6.36731491158914,5.445457454799595,5.737859551051416,6.159455807681625,0,6.017149540896704,6.2316359615542645,6.363327198371975,6.329252175950286,6.165627818284528,6.298345749543755,6.365621201941357,6.384399939635738,6.428150365713624,6.523026203691077,6.413966171100632,6.177861932033732,6.024120190758143,6.128570566405427,5.40169932753092,5.874264536242376,6.314205126282633,6.420427262581032,6.212396181051672,6.3480859711374515,6.295860387869096,5.80328945631374,6.391172818346109,6.287352879689614,6.037789761117798,5.594280315018171,6.385361837690563,5.954685945768726,5.769512639927795,6.292749257287434,6.390604677735926,5.936756495305244,6.47801578523743,6.06449346274196
Czech,6.186204951334236,6.526498633186891,6.057099587209604,6.190714951517441,5.821428470925468,5.977102200670708,6.070777463098931,6.017149540896704,0,6.0774450555973925,6.296642712492555,6.207981446010654,6.113574626474779,6.228105181455158,6.408063844560998,6.392613307131401,6.327304179603332,6.3873969753447835,6.335043945290629,6.073558974269562,6.140504140622103,6.070136597949292,5.561862123515024,6.040083699169344,6.268837682204949,6.288653657315745,6.061912937697005,6.280471938546113,6.249078118080937,5.785302109825967,6.314639731846004,6.261700015446276,5.908739712788555,5.924000920234868,6.278740476184198,5.706032000603109,5.850287949327823,6.281296257941319,6.2495905443241435,5.90841789823003,6.320276265415128,6.034584990626106
Danish,6.1254611175111275,6.388712068546266,5.604156037193604,6.249945357001911,5.7677747498516165,6.277991248339572,6.281061176486279,6.2316359615542645,6.0774450555973925,0,6.060259380705088,5.972851169730399,6.2635311259633815,6.322788456821984,6.000731942790026,6.328872275069827,6.190522600143886,6.141109955715459,5.9396657414565235,6.2138394077601,5.81443418723619,5.861320719265701,5.1630833823446425,6.131104041629754,6.279794587687597,5.914411835848517,6.048268273186039,6.324270784923934,5.8764130768363385,5.7099966398549755,6.228216740772118,6.20809009556148,6.044238217635584,6.102502168741346,6.112225737930885,6.199389989901548,6.155497504081283,6.2448890069108876,5.99296569111078,6.020757521259128,6.194061385487231,5.571691272446712
