,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,5.703770875328181,5.093207981210545,5.649704356284079,5.341472235110235,5.760988597326287,5.580777006971157,5.750334634365125,5.697305734977057,5.681275289141082,5.746183885065,5.633147656802884,5.676230544498626,5.649748433868075,5.7105669162357175,5.633798879677456,5.614326058345406,5.52295056435889,5.541398791964692,5.601619791583389,5.3794057202765995,5.36688586858325,4.8016337648597,5.589162022000741,5.617987656530905,5.466397278863327,5.679122958610773,5.586174293770654,5.382821669315416,5.313811762502216,5.692333991758187,5.568675753686453,5.4990129137290324,5.601616007686589,5.491696868720644,5.5557725746703674,5.436893124421967,5.638536371388894,5.717198167082629,5.519425224982797,5.6741982385422185,5.170582091847208
Albanian,5.703770875328181,0,5.477106176206321,5.859105186163623,5.741750942208602,5.97884912895432,5.756272229007474,5.988728661115449,5.976457712266277,5.707018337269915,5.868220150016582,5.912874638800658,5.786938061366948,5.727605329282759,5.87385611434858,5.915834271445391,5.864787419554917,5.8069090538354535,5.804694389660231,5.601080823183191,5.726281564628833,5.743120968397939,5.150455496032073,5.871028463212868,5.797201381700535,5.884023223345309,5.727496479565794,5.743073076247003,5.697295768073226,5.667431984142646,5.850411360125875,5.877093937898826,5.842568311871807,5.882630126188843,5.745786323354286,5.812463822408046,5.692451725003921,5.890979557190662,5.920527856933052,5.920207969560465,5.903845420875626,5.566583272549915
Armenian,5.093207981210545,5.477106176206321,0,5.3617845458609255,5.828948282367334,5.484686045349977,5.200577531471307,5.611867347739404,5.586880964090553,5.070296371466406,5.439494929450508,5.518522967423459,5.184289137067496,5.158006548282247,5.384354033327882,5.351375199843917,5.366527903533708,5.347960420178111,5.378110965612797,4.9499099492278384,5.763072589641142,5.689650943359303,5.554008437979066,5.540821140154403,5.198001854433872,5.700304718252185,5.0863031712625295,5.173803575843504,5.588064426922522,5.711446939961859,5.436915180181585,5.457578310766042,5.573764932524318,5.585803765341513,5.594742578697887,5.294710454720118,5.304653280455959,5.4424242347736325,5.425978290787245,5.698643483080495,5.467636201266273,5.754483624814222
Bengali,5.649704356284079,5.859105186163623,5.3617845458609255,0,5.561829662422055,5.844777799634371,5.664511673621737,5.864589244595249,5.750516394512436,5.6462934712792805,5.782951137460242,5.8427124263810715,5.676085745598018,5.68415570992177,5.711481860144393,5.740563763175749,5.816896274088476,5.677842902989991,5.710768224502764,5.527527558855248,5.559171865065523,5.553802047278162,5.004733860110079,5.7217159270663265,5.745842844256057,5.68306400891951,5.69058267848213,5.6961427508982965,5.602464114273759,5.4914751528079595,5.755531421099223,5.729954229494234,5.648725635957438,5.75526596336995,5.705882486158571,5.624210913423583,5.596516703556716,5.771012966487035,5.811998833409567,5.673598289419324,5.868909989656123,5.383515889790661
Bosnian,5.341472235110235,5.741750942208602,5.828948282367334,5.561829662422055,0,5.6910246210986575,5.430123806852525,5.827421560857484,5.751431949165431,5.288986064527124,5.660775309109328,5.678676818672241,5.3944035388512175,5.3877790953630225,5.6082136950983426,5.5587213909395015,5.573430268542331,5.57430777983003,5.6309678216355925,5.180396445391615,5.877249075066452,5.78611564280087,5.505982467424645,5.683592035967338,5.433316065035635,5.878537156541881,5.325003482449778,5.397321811613813,5.7773349013028,5.81912942253807,5.657424752509797,5.67163495399751,5.714352287542297,5.7445273935015395,5.835691165804145,5.500660458807532,5.49426948530205,5.67519837308536,5.65443719015161,5.823210038256256,5.6692335960277855,5.824192895040754
Bulgarian,5.760988597326287,5.97884912895432,5.484686045349977,5.844777799634371,5.6910246210986575,0,5.738272104141917,6.057319000888641,5.979474879859002,5.7642485384729145,5.932418652843087,5.8353627285341725,5.781762653496782,5.806354094667967,5.913996842101013,5.832939201857221,5.86782373833453,5.810066093341094,5.840034729724948,5.65648828709582,5.675657205361496,5.663338524343377,5.078054771169761,5.986153135826048,5.8353935705417905,5.81029879027486,5.7955833822651845,5.764800853198805,5.7530269885781395,5.632934220202251,5.938288122963144,5.869624670760666,5.83853371445097,5.9810482746309725,5.833943426702572,5.871873634146893,5.713937452495421,5.899739951828134,5.888559129224862,5.900273124827715,5.91870271989007,5.484077355695413
Catalan,5.580777006971157,5.756272229007474,5.200577531471307,5.664511673621737,5.430123806852525,5.738272104141917,0,5.732847725065655,5.651583751188734,5.675285115392265,5.681059396117033,5.682511506007826,5.666629914572518,5.73991127960102,5.6259985731961315,5.630556135379955,5.609158827996991,5.554896746326071,5.5458093287014805,5.494166390933266,5.434096109352486,5.447883694325104,4.891951164313189,5.5961649796294735,5.618034032853392,5.570384339925603,5.734544242541209,5.601165603031955,5.464120636832482,5.363718505388254,5.713326670406107,5.705282349758345,5.516834739260116,5.642362188420002,5.5501134799921745,5.573037926674144,5.535995085269644,5.76671182805171,5.707024137001841,5.582431622077211,5.726327935518708,5.276847144415143
Croatian,5.750334634365125,5.988728661115449,5.611867347739404,5.864589244595249,5.827421560857484,6.057319000888641,5.732847725065655,0,6.027539070995399,5.708240032077507,5.9321490848115355,5.885385007114195,5.7727886709679925,5.771721734362763,5.943854009086013,5.8530816107023265,5.888106910889385,5.879326361440713,5.864976588916291,5.604501595454392,5.78718879183459,5.796405839709837,5.171608241484091,5.95577106295299,5.799261215902449,5.8793132208696095,5.749818388462571,5.768404449044089,5.831615186489333,5.750538870280722,5.973623205148702,5.881485104009006,5.902941227933466,6.125397754761202,5.905142115518152,5.880067270484839,5.768577696637054,5.910390848520799,5.924711506485913,5.956446130350252,5.976836034876733,5.61262423559423
Czech,5.697305734977057,5.976457712266277,5.586880964090553,5.750516394512436,5.751431949165431,5.979474879859002,5.651583751188734,6.027539070995399,0,5.664040846596299,5.892958966244228,5.781742290602301,5.750659414087876,5.7459845860029946,5.955814314937794,5.832086248044448,5.834738119096778,5.831016355033158,5.848352226445635,5.567893726437064,5.831536912879621,5.7643781072748315,5.2459582480206395,5.89997695106281,5.738230728017631,5.84272496117135,5.674554807810277,5.733784497773815,5.813182693119819,5.830732636475662,5.909579799188189,5.823314121894172,5.881280443389588,5.909873148186665,5.800809372479455,5.95988380785538,5.606308319973126,5.857760691241561,5.812658200804394,5.901194986605455,5.848035902536136,5.64205503177842
Danish,5.681275289141082,5.707018337269915,5.070296371466406,5.6462934712792805,5.288986064527124,5.7642485384729145,5.675285115392265,5.708240032077507,5.664040846596299,0,5.687883913574764,5.613843258933447,5.7425183359053475,5.6914978134953955,5.696514285648142,5.62204836647446,5.617981461925854,5.5381704904549665,5.573653083841109,5.636920355830707,5.303422318011493,5.306813398293939,4.75155734859547,5.558974784240947,5.658439686301362,5.433746579448158,5.985973664311262,5.6747602293882,5.374552879418198,5.253339879327552,5.65974993729395,5.6208578828536835,5.477369249307552,5.5946231666722435,5.481754876218287,5.593750907789515,5.5291272286950806,5.640237622854858,5.7425076658445935,5.520587985770132,5.67656792196867,5.1120621985543355
