,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,4.4578905639294515,3.934981749169382,4.449059884783281,4.045674896341155,4.4214058127727345,4.389903500147525,4.320113149497489,4.31143811042317,4.444972949398013,3.741307346917694,4.196415033966632,4.365707229935092,4.445049966086006,4.262982588725021,4.391453841004246,4.414208253164616,4.374340807147428,4.160251122867332,4.44005608059175,4.070530033496345,4.1171743916174135,3.6659408929803825,4.3062362826886575,4.440651469021272,4.352328819201502,4.332955712533689,4.427151663405092,4.1869713765985574,4.0353998649456235,4.346597012818414,4.318434963716071,4.211655910303032,4.258452296115337,4.3019821583151625,4.306422763292628,4.253409693932846,4.404336553835213,4.262216111393139,4.182986643303298,4.442660345817889,3.929594475269448
Albanian,4.4578905639294515,0,4.165760904229395,4.493323320455136,4.256630154420127,4.527790438877552,4.490963382519979,4.461514574173001,4.501478201479492,4.5300814764410795,4.465972197139892,4.53359441638673,4.423019488443281,4.482210002200459,4.533475353586056,4.4997361284140975,4.580786905820757,4.505312127739742,4.440268341694888,4.458390513454149,4.206816313333206,4.352532508990976,3.861715988464982,4.408297533517741,4.529070676675544,4.547340029825283,4.4580386265433924,4.5246810574126615,4.356048467524763,4.235253862860215,4.440503676383467,4.469048507763444,4.380069092142097,4.401625174580797,4.386568304770645,4.484817749610319,4.4159716728740905,4.510286610337021,4.506035494820684,4.37165404269227,4.5407022064595335,4.161255979698367
Armenian,3.934981749169382,4.165760904229395,0,4.156687970222092,4.304465441006841,4.168033639259081,4.047365113778307,4.209711221492873,4.170938350834778,4.018749899707267,4.109948573495611,4.175991122611525,4.016865558314897,3.9767905952770266,4.092791259569056,4.0568781956486815,4.154651338311309,4.20344434714394,4.114252223698125,3.874217501937268,4.255278357840933,4.2548338901336376,4.081847553033736,4.1982121152252905,4.075494038615259,4.451388606071364,3.9232397936901453,4.07075978107607,4.184286542292193,4.279692232938506,4.1243168406819075,4.140449843473854,4.174791863627297,4.179065261136852,4.249407302528371,4.046211030860435,4.145483405150436,4.192999575561498,4.100036881716457,4.241600477991727,4.2159772590889055,4.3097711185518675
Bengali,4.449059884783281,4.493323320455136,4.156687970222092,0,4.174277656878688,4.446603997839631,4.341948785239461,4.394046876672014,4.2701124591217985,4.432738460040606,4.361176005637024,4.447709785476004,4.330835532776259,4.439701748256765,4.352283566865246,4.355721153808048,4.132839757018114,4.054544078124354,4.437013414477,4.344832170096018,4.0976724972688405,4.2325810181576236,3.747661493394591,4.3343663560328665,4.159694540854809,4.15596900882035,4.342207465406659,4.44142391887374,4.2903509823225185,4.0431042277232425,4.302313531352834,4.322502347258776,4.295340194684993,4.334356504466506,4.342680588805208,4.270421950293993,4.276212955683707,4.406483300311989,4.36565400435391,4.249761122693635,4.142765234538292,4.070292060016362
Bosnian,4.045674896341155,4.256630154420127,4.304465441006841,4.174277656878688,0,3.934543843585459,4.084220709850916,3.7320904392690646,3.974272044128274,4.101617271126757,4.179358038531339,4.307551360799901,4.0191326534122345,4.085369181679024,4.256007408011289,4.09598415731241,4.157952403577333,4.195241395907665,4.147033228248853,4.010935344532004,4.180553418522901,4.181180206021035,3.9236406223872176,3.7140021385555255,4.105269847051642,4.557167828888868,3.9933671736942196,4.161340337250349,4.303220041183339,4.00021929834163,4.10964175177808,4.165703916934003,3.8105868403240675,3.389706743718561,4.34761249731572,3.754232425987429,3.9315891429298184,4.218831962561351,4.120516781477908,3.901280457508318,4.229425680004847,4.301452616318293
Bulgarian,4.4214058127727345,4.527790438877552,4.168033639259081,4.446603997839631,3.934543843585459,0,4.296174931889591,3.9270944065424254,4.133291973637657,4.425439811631796,4.398074558367192,4.353265520299005,4.332507655118457,4.367951240724783,4.4345269558702345,4.346369194851033,4.408340350565428,4.4207330246669825,4.394130916323217,4.334884850647172,4.04068185931084,4.250631539183058,3.7562340320465286,4.0125202318201465,4.438291858551682,4.528486630644877,4.402838145933905,4.423775184385946,4.320774439561892,3.983815345886049,4.356214574719411,4.375107349712815,4.095236486983866,4.069927424204298,4.372483488410649,4.156697469209028,4.082968580999413,4.319255311772369,4.353903667577598,4.1028589732200995,4.452163829915252,3.953041700050679
Catalan,4.389903500147525,4.490963382519979,4.047365113778307,4.341948785239461,4.084220709850916,4.296174931889591,0,4.177428304482606,4.20992561996772,4.441732982597963,4.29253101761403,4.275717384777502,4.166140126348972,4.1762694702133425,4.316194540343807,4.304299623581551,4.2897655642563635,4.251100079152119,4.277597590301048,4.32404923254756,3.7303849168726195,4.172383119660449,3.6984778522445096,4.190347616375148,4.314501164994496,4.426281747612054,4.396843889347765,4.471964284455693,4.237283989765364,4.010550778060659,4.014438476352624,4.1717723196505645,4.149562553210474,4.23040526251805,4.259174588975495,4.23886602421404,4.217001311792773,4.073654182278139,4.253688680434592,4.147963268252148,4.360489206258415,3.901364304680513
Croatian,4.320113149497489,4.461514574173001,4.209711221492873,4.394046876672014,3.7320904392690646,3.9270944065424254,4.177428304482606,0,4.057146839579259,4.319558904636203,4.364835868727303,4.342313174675535,4.262435904081421,4.2647794987300705,4.439776589163218,4.328363409779438,4.371612656245372,4.408352653678247,4.320414807341797,4.2202938102107295,4.087248759610314,4.272705443465461,3.7637513099255027,3.9611120531912785,4.33176704253113,4.570913843936917,4.272183763121798,4.358739236449036,4.310652781211468,3.9753881026780187,4.306712646913387,4.288910611651187,4.036302933631237,3.798376138676784,4.379421853177573,3.991850408251233,3.8822203537965305,4.31973999181428,4.2825616658333665,3.9834144401889544,4.419698050241144,4.049510984960671
Czech,4.31143811042317,4.501478201479492,4.170938350834778,4.2701124591217985,3.974272044128274,4.133291973637657,4.20992561996772,4.057146839579259,0,4.313683846176395,4.374961025797557,4.310488629440991,4.281679154568807,4.338070101024598,4.492771937331727,4.270468898147558,4.289825776909602,4.358147374217042,4.36203885391278,4.270369516529325,4.176767930578449,4.207836119849297,3.8691537873614106,4.162688578354576,4.290417911919874,4.496618793312797,4.270543827380762,4.383375188750997,4.324854659019399,4.046466693679584,4.339832170394581,4.296186371128259,4.067507409346596,4.0653586313874515,4.349843651988328,3.928413044154316,4.016129368341931,4.366009038138454,4.297868229588183,4.046565659850927,4.315201292737781,4.107453581281554
Danish,4.444972949398013,4.5300814764410795,4.018749899707267,4.432738460040606,4.101617271126757,4.425439811631796,4.441732982597963,4.319558904636203,4.313683846176395,0,4.215810806930357,4.178634770913778,4.5044529263252935,4.505294059620543,4.188035909063006,4.418463533105088,4.34466308483588,4.341632075831789,4.2097267191126395,4.441729435104738,3.969954446230114,4.202811436358778,3.6738838658669875,4.3315642679138975,4.398411973090037,4.292487714257586,4.402222569621296,4.528916214967805,4.198712193991973,4.02375418536181,4.349490247637404,4.353413520043723,4.2750231029320656,4.343222181815012,4.266071141139041,4.376492513935419,4.3548208580790595,4.370972018082211,4.252702258341772,4.246224302282354,4.3840406001980625,3.8342664898747847
Dutch,3.741307346917694,4.465972197139892,4.109948573495611,4.361176005637024,4.179358038531339,4.398074558367192,4.29253101761403,4.364835868727303,4.374961025797557,4.215810806930357,0,4.165702897748987,4.290932166151001,4.392129770732174,4.157604370572329,4.299357774339509,4.341481950495563,4.339398866694392,4.269893981716258,4.282599803639386,4.1120196208527275,4.198367788376993,3.774174299106143,4.297542009421729,4.304038679430394,4.466792993840351,4.140776892267857,4.449739721469682,4.346401546312413,4.135332213470252,4.335855417723865,4.3440744572894365,4.280709792348599,4.306512176675954,4.396980776042409,4.2783002589428,4.207256109019802,4.327700909751659,4.1568725815931975,4.247537452234028,4.370818685318558,4.031086845904469
