,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,47.60079263488938,43.449691783546044,51.17759327712208,46.06294896980712,48.885952478915264,51.36004369441165,48.2348776199541,50.187464828462765,47.12304264020881,37.33270114286054,46.28211189434351,49.05606045769333,46.43825568737394,45.28518356866871,52.09435980062932,52.99986119759753,53.291467097078005,43.067823926147305,49.272932027631505,46.80162768770829,48.762551174313735,43.8729293414144,47.48058986043162,52.13307437844606,45.82191949890304,46.1557861710602,46.799519852332885,45.16630619577975,47.94537245925173,48.20722264095991,50.00460876925376,47.3424316589755,47.3975482622499,44.0150123532913,49.77094843260723,50.17975144922983,49.22423869372115,45.35334943463363,46.78161073717838,49.67370922556443,44.47614448202067
Albanian,47.60079263488938,0,46.012683904940374,51.01816147670333,50.14607786269319,52.00708171236729,51.868727381336264,50.979890618895624,54.17376233289391,52.78524782415644,51.52310829902834,55.49420959721339,50.43405287538091,46.585818045471896,52.93004079377049,53.119543694124545,54.15997513856,55.30148982036915,50.04363870683844,48.78381741899008,50.30538074469773,51.89468365188591,45.62141982754303,50.003544400024325,51.9585195247127,47.79998545743454,52.59689803398564,47.27002308379012,47.390428676772004,51.26805166808625,49.69153341301158,52.62367179994784,50.677260204232475,50.7452969349302,41.94511874042855,51.96780129690148,52.97285526832906,51.04342539683657,51.980059611803505,50.25152356338341,50.42248852776756,48.45370437921374
Armenian,43.449691783546044,46.012683904940374,0,47.698369034829824,49.51613255640527,47.513753156870095,47.46575900919594,46.48194628209724,50.3478925793655,46.89093301462284,48.255255116847536,50.596239868985904,45.61645975437327,43.961168610927984,48.30244221809817,46.44729046507257,51.004418694977794,50.93041515519485,44.29148231446111,44.25892206384682,49.29026576086403,50.06388464609367,48.169717965951655,47.61626737429062,47.86536323115545,48.23890324308613,45.41120449233631,43.068610321691374,46.12312263316583,51.21466182856396,46.90925068627163,47.95966449281695,47.877965747291945,47.56336394376964,43.650214308959875,47.457098525360294,49.31828019951955,48.338657057192385,47.32686692407473,47.84145840723921,47.45304960676681,47.77999166901077
Bengali,51.17759327712208,51.01816147670333,47.698369034829824,0,49.265672795197425,51.003272045608945,52.01428704443859,50.80815442272057,51.83306597537491,53.18788294606334,52.26610485464321,53.55626315152469,51.14833102344162,49.87604074277228,52.178339789444365,51.95050770850914,46.72910076130537,45.838925018861104,51.80004132122723,51.175620571332004,48.686278972847084,51.555248319803546,46.0479588145506,49.90563789470547,46.704750699115635,40.824951717213615,53.08605001140678,50.29333302849148,49.27925861293001,49.33517419409288,49.85108100798485,51.486678368486785,50.958028996422605,50.370776344025906,46.23537345292561,51.292151549427984,52.34956144316893,50.505547340671,52.075680975503836,49.50889369006325,43.90694174364938,47.78296541990609
Bosnian,46.06294896980712,50.14607786269319,49.51613255640527,49.265672795197425,0,40.61183312629364,50.054369204163145,33.535229830379194,42.90716734368011,47.44518174087292,49.406018795965565,52.950467777840714,46.860867071196154,46.8622200435696,49.34244727212681,50.15236183497447,52.80701648847114,52.72944981082221,48.52749172794557,48.09712772348078,48.42453533693465,47.752846223555146,45.706274107244944,36.171253895616104,50.888663306907304,48.19522797871569,47.1918212729365,47.741541169043394,50.67359539912052,42.685058864095936,47.768335230290845,49.11279854901411,39.189756833827126,29.230011433856834,48.778241285930704,38.83584009406227,40.526612240585955,48.99032443182703,49.80827130002178,39.33481307394031,48.895915655293265,49.97454632251651
Bulgarian,48.885952478915264,52.00708171236729,47.513753156870095,51.003272045608945,40.61183312629364,0,50.24972004659522,39.41417094987652,44.50958146303329,51.31142235082476,50.1382223263207,52.36418745597604,49.52753525342179,47.9777072186351,51.62397915518844,50.95697677516841,54.14487286022431,53.81303197472589,49.60355696484973,50.21286971636587,45.757574033281166,50.50336361159785,44.16229639360769,38.04017206714132,52.96035469481233,49.87847758886566,51.3092756668633,49.87056232966874,49.76827143488306,43.573822243552215,48.70532505247377,50.553881833501556,42.91550586657368,40.490199879829134,47.88518748403395,43.71850658256295,44.43563890001412,48.59505670315662,51.31709496603966,42.752107840052794,49.75724470134019,45.56649743655697
Catalan,51.36004369441165,51.868727381336264,47.46575900919594,52.01428704443859,50.054369204163145,50.24972004659522,0,49.38304679421421,51.78139370461345,52.57644285611531,50.883673526410895,51.68744157530858,47.0159216142885,42.41676760016113,52.2293437156741,51.28487708991764,53.79905852398481,53.661010821386526,50.61364836255237,50.82482318438721,41.89019094064957,53.51328456794764,46.235567399819864,49.632390631294136,52.50492455487559,49.89237383769715,51.75878888705632,51.71077013223099,49.86317042846492,50.08380356986922,42.4708615071071,46.85925402955141,50.792539509034654,50.45626383127148,47.81988878455923,51.36481474847369,52.513436322432874,41.28045374573034,51.11673039551399,49.05472404684328,51.467267478721176,46.85161416390418
Croatian,48.2348776199541,50.979890618895624,46.48194628209724,50.80815442272057,33.535229830379194,39.41417094987652,49.38304679421421,0,42.81122693721313,49.64352538619308,50.1909751894101,52.23548025218495,48.62339635746875,47.361699376948515,51.33758691247008,50.54041874742645,53.45192721473679,53.76047865732921,49.40531317056512,49.0756462174005,46.470291940426634,51.19361967352601,42.95800432594559,38.449091401319016,51.21942688802408,48.80666470210143,50.45521180922906,48.11829399475264,49.275993529570506,43.03518528176237,49.07551005146727,49.80154185618839,42.14599904657953,33.101956018703824,46.95545060739053,40.72564071656302,39.126512144133464,48.057327623211435,50.82693062568088,40.51700085954307,50.0076427071413,45.83520204644673
Czech,50.187464828462765,54.17376233289391,50.3478925793655,51.83306597537491,42.90716734368011,44.50958146303329,51.78139370461345,42.81122693721313,0,50.098414519735975,51.227829027209594,53.287661176942805,50.369984712674785,50.62572219353935,53.03572851803691,53.515971463592514,56.02408294358245,56.369598854418875,51.41729430605604,51.257375624308494,49.43794502366045,51.18280144436414,47.35954690816849,44.8602566004899,54.64339936681835,50.26128859120639,51.44881411157512,50.5769466712285,51.006087120010065,43.47685597715015,50.352545120928575,52.21629139698286,43.64223169599884,42.47124058729053,50.31575445717527,37.71705379658265,44.540797431946366,50.70925156563471,52.39338378117107,41.974300600181856,50.8526199483842,47.75158293619959
Danish,47.12304264020881,52.78524782415644,46.89093301462284,53.18788294606334,47.44518174087292,51.31142235082476,52.57644285611531,49.64352538619308,50.098414519735975,0,46.136532579274046,47.76586803660974,50.12212600330936,50.2829517809779,45.81924824727128,52.06668320706476,54.28930512421203,53.590695379369905,44.33409710046501,51.43165992675919,45.81818645575379,51.143644496557656,45.544122334706564,49.87973263112809,53.72689556452784,46.70438847123777,44.65658253159962,51.19575276133717,49.085189139349275,48.40790209478558,49.20117283441697,50.763680968694516,49.34223172863899,50.1790926455435,47.99148563567238,50.63872419887769,50.900111731346904,49.86336550109395,44.46107228338213,48.356107185013876,50.50996846668788,43.82467604310968
Dutch,37.33270114286054,51.52310829902834,48.255255116847536,52.26610485464321,49.406018795965565,50.1382223263207,50.883673526410895,50.1909751894101,51.227829027209594,46.136532579274046,0,47.23120575708487,49.97852404325557,49.43021875161258,43.159597869787234,51.65141400213671,53.89738279704412,54.65956635502307,46.794352964954726,49.769392933197295,48.396554129011214,51.35668156541872,46.84519407107289,49.486374740858224,52.84140096992775,49.45767645538231,45.94264144025554,50.34447094672276,49.27774275540649,50.70426824387687,48.83300205161389,51.53501343274557,50.44053631119969,50.05901085356282,49.158617021203376,50.74149170875198,50.344534617834896,49.671079185833904,46.87957767178303,49.75139743257944,50.657675944193855,46.85992856792178
