,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,46.04302431808196,43.46039992572741,51.97100599676796,47.16842162663784,48.52035530365967,51.4798147413204,49.3927093473344,50.76411125977801,50.41910519527902,43.588546660528294,46.966874620124884,49.79341076459869,46.89676914048978,46.83748661890171,52.55615498018764,52.74408970676719,54.06466370548576,43.3016747163511,49.91866691903939,47.391634055989606,52.66752066285329,44.967647619007344,48.30816970978758,52.726676943143936,47.53851614415912,46.18867507626202,47.21579436281716,44.971651445816796,49.837613906669844,50.31036787966915,50.38077872879022,47.67231725400488,48.478005234994,45.08173019551948,51.08613760497207,51.942496190582446,49.48687467908438,45.93122763259037,47.496481108959074,51.29866317036055,45.20626556355377
Albanian,46.04302431808196,0,44.92339639634235,51.5446101086114,51.387736648175995,50.97908610021227,51.47172676969071,51.99075135283929,53.84068542479155,55.47930201453712,52.9558707628202,55.27904440146224,51.07641680893738,46.39890849922554,53.37340754786436,53.43975871484337,53.70172394002591,54.815365972099876,49.4700258450314,48.38614115741357,50.466461281844495,55.95001039059356,47.311240818900494,50.98172533619083,51.82359914581184,50.21605104301743,52.47322884092701,46.47986259684951,45.98827731086321,52.944292706928934,51.89047289107014,53.740821017620085,50.94433640008552,51.41173117141949,41.806058600437744,52.82235824436604,54.402230592532035,51.19292705272967,51.455955142087596,50.69589421482234,51.59836913647574,49.09545505826541
Armenian,43.46039992572741,44.92339639634235,0,50.92038645622806,49.967166985272485,49.60731125268004,50.879286658652006,50.20714658773533,52.86556337290875,51.95023913740697,52.412726812363076,53.89106482056497,47.93315624987567,46.44314532175106,50.87171272464558,48.690617173741046,53.543207775464566,53.131924825076325,45.94734374823341,45.911741160976554,51.42190420346133,54.09491460164079,51.550079744180096,51.14214309437187,50.705947467805274,50.87925071980252,47.67285080391441,44.897051977495266,47.047450451810725,55.35219077657297,51.586060701412265,51.2353901997747,50.35450904307703,50.25479741668492,45.260007713706194,50.72795862958163,52.44105514324143,51.2586814474266,49.973426642918334,51.067197986099536,51.37772261875784,51.861604625360535
Bengali,51.97100599676796,51.5446101086114,50.92038645622806,0,50.487477505616944,47.14577921358802,48.820339021011506,48.72189659893253,49.6424643559304,50.809249235580296,50.52989542571851,50.22116028324533,49.593774102960865,48.42005454241288,48.5732275976481,51.20031301001213,44.52222328573184,45.31217279819192,49.75496616859337,49.776983257190814,45.89827468021033,53.04960609149595,45.50439252580352,46.40168402653668,45.024497326942424,45.95868334298621,53.31954909187095,48.69566595117842,48.06282725576628,47.54246534145452,49.48875983595878,49.052695307153975,48.71663732270638,48.36056397620741,47.893594239511486,49.38268330420495,52.106317317978394,48.40730048976727,48.75111358025674,46.84001172546151,43.45597883626864,44.54916023517146
Bosnian,47.16842162663784,51.387736648175995,49.967166985272485,50.487477505616944,0,45.49128276178939,52.55556796770154,41.28149579689666,46.83309895089766,49.09802809949671,53.057755406159245,53.27934562216723,47.74171518990428,50.27749712088739,50.6918724900686,51.79793401676465,54.06346526444687,52.18409217665048,50.56050725858191,51.70085825192792,49.36478179402918,51.60682010420802,49.383188284324405,43.06671734049436,52.7579521663131,46.38509944529296,47.34221313443111,50.211293501711516,52.679376070163514,46.66189724213694,51.17460735161849,49.36600492136802,43.24920934489591,36.36341519312302,52.00797580203475,42.47527379067268,44.29565153542028,52.03755207365984,51.56193249928172,44.385180392895535,50.42227564582175,50.97162350558028
Bulgarian,48.52035530365967,50.97908610021227,49.60731125268004,47.14577921358802,45.49128276178939,0,45.78437675948245,39.13345386094826,43.859025212564646,48.194289731617346,47.75462892350984,46.37321048796315,47.79233348820697,44.77452305002267,47.762298148915285,50.01317330451158,48.4368942428973,49.96926864467976,46.632762581363025,47.45959160929858,44.15694024188081,53.062601400368706,43.50606332518995,36.49383665706543,47.195742514010256,52.50362137923323,51.288781663829404,46.87401986033399,46.8373571002335,43.38350404208272,47.84521175887784,48.667063145283116,41.82818943738835,40.52902039125141,48.52951448470594,43.7177849527797,45.81876342017395,45.46275504469765,46.94278659442927,40.542022655648566,46.39842361348071,41.73132407611059
Catalan,51.4798147413204,51.47172676969071,50.879286658652006,48.820339021011506,52.55556796770154,45.78437675948245,0,46.03568700144835,50.139658231331204,48.897022967003444,48.29650654674586,47.81258654969609,44.84853417629858,42.12486721286479,48.25230230824525,49.65147364008335,48.48764563150545,50.25860993905366,48.448085742804565,48.255992225948646,41.226862805894896,55.0974163963359,44.82924318475017,45.85068003904989,47.43721865858052,53.31426100108491,50.91243990351543,49.99799868570887,48.39499104222729,47.82935633430421,42.78897300067801,45.843109007759956,48.53094920847734,48.32085764175157,49.18208751695707,48.830495768715465,50.44708050499564,39.2298526093413,47.426348650388036,46.592855571543375,48.43467956098885,43.65020576125074
Croatian,49.3927093473344,51.99075135283929,50.20714658773533,48.72189659893253,41.28149579689666,39.13345386094826,46.03568700144835,0,43.77466577640263,47.9845868542814,49.047399604992165,49.89681555621596,47.388452245518515,46.71857373902774,48.790082539954874,49.362451971793654,49.96653070454124,50.83629716495664,48.284798875316284,48.462566026759376,45.540797769418596,53.90287282420524,44.3500653444341,39.2059652777388,48.05612089333213,53.235120783945675,50.57736776250516,48.3566516129876,48.02314235619652,42.60200888487977,48.50488241944319,48.23842606290644,42.93457651401111,36.99008003750719,49.22302324138303,41.32397679988865,41.203971264825526,46.55295439159924,47.97168235588378,40.751297223974525,47.992621063706,44.53174391561958
Czech,50.76411125977801,53.84068542479155,52.86556337290875,49.6424643559304,46.83309895089766,43.859025212564646,50.139658231331204,43.77466577640263,0,48.153890256519006,49.17100591152476,49.672647828781216,49.29344548492519,49.621111486640835,49.570128300355194,52.506424790399095,52.6663104003783,53.528575521821935,49.91889207252914,51.14047098991616,47.67385062582055,54.03855293542215,47.6507074306265,43.712628912769524,51.7717575736033,51.11546649142509,52.26938538342462,49.578072747048274,49.99884640804009,44.77724758676952,50.026228095087326,50.697359638683665,44.023366151498244,42.39370851538037,52.100088441502415,40.60904131830962,44.91674532420288,49.560048653067184,49.02215633988484,42.02572547416706,49.34880438893261,45.942724578963876
Danish,50.41910519527902,55.47930201453712,51.95023913740697,50.809249235580296,49.09802809949671,48.194289731617346,48.897022967003444,47.9845868542814,48.153890256519006,0,45.043147652553934,43.90975312401593,48.665361729009646,50.34828557661623,43.17495079859634,50.99670760429876,50.223332628862224,50.23655077216052,45.418974210741794,51.6335671655328,43.141132406635904,54.40739582695834,46.04501003741734,47.9173000753163,50.584956658410846,48.76517312589685,46.605815968248265,52.3156188807862,49.60629903879579,46.42833454632209,47.88825529182929,47.82176922345615,48.642505889615,49.59732907265359,52.54924123777869,48.11891604659755,49.6041643832855,47.61364786688876,43.52840564918942,46.564361817456614,49.13970130509924,41.44122432379672
