,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,45.567539242323924,39.844405503358225,48.09345341832969,42.169937269133975,47.07193456517294,47.3740380865615,46.32733052612693,48.28485703934631,43.62272674898946,33.41266945711549,41.41377571948941,46.7879461085568,43.12654546323559,42.66475381950264,48.91709002696944,48.863442553668165,49.9619979541794,39.52705110986968,45.34880412942506,44.79224577515395,45.707637091272,41.24354513252114,44.576489958845194,47.879320054540635,42.841890169031224,42.12943801518632,43.532268034228004,42.61442176041918,45.25070541948245,45.19957355889061,47.19052052263174,44.204581988858266,44.21762211390025,42.25374820885505,46.459594903394084,46.698258235685174,46.226393146066556,41.30499460633814,43.761347815583214,47.03278671691692,42.36218956606001
Albanian,45.567539242323924,0,42.39620569717969,46.929050327651844,45.7386726027625,48.45377061257972,48.95323094001379,46.70218129111546,50.71409741221657,48.49413672005172,48.411423861823636,51.35069985890262,46.386831517161006,42.14123138407864,50.006772358759115,49.165262282003084,50.482553450072835,51.37074656197209,46.44192298004338,46.01492625402683,46.64085890125504,49.01386156048541,42.41210635390117,46.089618496415014,47.956697965389935,42.65866069228334,48.14705370674415,43.38643732065702,43.94537481994955,48.4212249916918,45.93670746827649,48.019915467774744,46.58337956058493,46.36631952994126,37.27299059528635,47.900968655254786,49.514188427715595,46.96305768422265,47.26455767806694,45.73002552744003,45.89157181498665,45.10750768672818
Armenian,39.844405503358225,42.39620569717969,0,43.468552947242394,44.608982356368564,44.177021722273366,43.49365508298011,43.052334818987184,46.841856302609585,42.189591589589234,43.56197239610825,45.12830090074164,41.52930064328493,39.53859684029615,43.93433306939106,42.28698043467334,46.13917264606535,46.720931041484235,39.923685817944815,40.36909380020541,45.63152563201821,46.38371775374447,43.9722101614004,43.02453682976746,43.497000201311145,42.99015288936437,40.997532049743214,38.87105865721654,41.9931108992402,47.408320204534036,42.91580224624652,43.20445906331417,43.60091604410959,43.14075744352942,40.12635380484821,43.16896904433838,45.09405007798477,44.288962885774836,41.79623276973728,43.324194274680664,42.99338145608291,43.86649035134845
Bengali,48.09345341832969,46.929050327651844,43.468552947242394,0,46.02601743209053,48.004454836358505,47.886281628375905,47.50278745105034,49.78135410133513,50.363627574613595,48.708157730895195,49.5679078610944,47.93410589142052,45.570885196112634,50.04205405092558,47.317863288793085,41.50571836455988,41.2324384241305,48.52639313231179,47.284172572203815,45.61430425793239,49.503880870609095,42.923060187373856,46.533195522993225,41.42969796315665,35.98558154371232,50.21457921127032,45.4547374253281,45.94874353919123,46.51489147190656,46.36494501360081,47.925309015331486,47.661680402208745,46.90086589563333,41.82691927796341,48.01821447340232,48.985574879891715,45.9365380861451,47.78800598564585,46.00028217468914,39.86556343712206,44.911711102518204
Bosnian,42.169937269133975,45.7386726027625,44.608982356368564,46.02601743209053,0,36.47442306945134,46.10092501995027,30.07414522714057,39.87219704446952,44.44620847163966,45.71863211540079,48.00171225006361,43.70245188067466,42.19769858535105,47.12515992595764,46.41981305782319,48.61318007062625,49.3401416025984,43.9105526613625,44.20091643570327,45.7542825385617,45.10109764771456,41.809556614647356,31.301116205500154,46.534538886370754,45.5797965965359,43.65007228526453,43.369886216029975,45.73215196412463,38.90201326590885,44.27304073094484,45.73580986245498,34.84716665748301,24.191234354661635,44.450126497724824,35.44514608772833,36.97096326603243,45.16775536061457,45.04404490163431,34.477619931767464,45.553745921035805,46.63669656973942
Bulgarian,47.07193456517294,48.45377061257972,44.177021722273366,48.004454836358505,36.47442306945134,0,47.03419658448806,34.47989620548801,41.12625938111694,47.629179909602456,47.5608543545352,47.64013876517354,46.43618361538907,44.68651108645525,50.259354870229494,46.81019281065253,50.671699502228016,50.337876699442305,47.38110789237708,47.429795625978784,42.10149831908652,48.43688587147857,41.33701893750002,34.4052475561994,49.199350550374966,45.749383951573876,48.25428878034916,46.53458851548726,46.52316178930524,40.59761873896177,46.02316677303417,47.05904394160556,39.410436695872185,36.662327973861714,44.50791407830209,39.91591250332992,40.29982500372646,45.0212927084679,47.27196046413417,38.708793800053186,46.299544233575155,41.726809733516696
Catalan,47.3740380865615,48.95323094001379,43.49365508298011,47.886281628375905,46.10092501995027,47.03419658448806,0,45.91019394776105,49.53094156795501,49.683216997150616,47.00446822726548,46.93629016142688,43.56934975750225,38.369653499159945,49.65117972675158,46.90551484548838,48.71116613665096,49.22335678578626,47.21502423458516,46.626569004658066,38.21996225006876,50.77664051218624,43.0451677957517,46.410101860194715,47.569703706646564,45.462606542852456,48.909008440650055,47.43573766977007,46.40921888526391,46.595631945343925,38.493362528901436,43.35376555066667,47.61103820456,47.01888569639708,45.148647039926956,47.88881742292969,48.387916418254264,36.874157228233685,47.096682939520406,45.89013634561471,47.63708920836143,43.458126432470365
Croatian,46.32733052612693,46.70218129111546,43.052334818987184,47.50278745105034,30.07414522714057,34.47989620548801,45.91019394776105,0,38.603071919053306,45.06884634991624,47.17975542556935,47.51941687446013,44.887864995787496,43.32987152324855,49.532516155169,46.11075781923246,50.097280795188375,50.391300048434786,46.50567526880146,46.23218191348722,42.29061351164126,49.24422807204508,40.04035454273442,35.03327761786665,47.62983794744993,44.386710636562356,46.82337751188216,44.39599298067586,45.3831660665731,40.037270524346496,45.98801242995808,45.808257515510775,38.937606808915575,29.454894862341195,42.69100380318932,36.839089972996206,35.30459047005069,44.34537297687784,46.33249727573173,36.160021425942645,46.052411229790806,41.63350409043478
Czech,48.28485703934631,50.71409741221657,46.841856302609585,49.78135410133513,39.87219704446952,41.12625938111694,49.53094156795501,38.603071919053306,0,47.015776188025534,49.41788327933272,50.069962628075224,47.493014880554874,47.42848948309261,52.84991145669034,50.35226564218874,53.53578289201358,54.10567255315841,49.12211061228632,48.42283952637214,47.5821696692222,49.625695475083845,45.326210466911206,41.924583552056,51.68811139948519,47.80207780722455,48.22478044718197,47.938268320749216,48.82176977029363,41.04708032493404,48.38316491072471,49.62046274233986,40.143225546917904,39.470985562048746,46.677035330614295,33.46471370602523,41.79330414337909,47.95553551670052,49.033713968901296,38.529957617184515,48.22080987849239,45.49105557697091
Danish,43.62272674898946,48.49413672005172,42.189591589589234,50.363627574613595,44.44620847163966,47.629179909602456,49.683216997150616,45.06884634991624,47.015776188025534,0,43.26334543165934,43.133654484355716,46.74136654756796,46.12860183160278,43.83073032004179,48.053900995939635,51.71047150269124,51.1486118785836,40.33839336760928,47.71904842834351,43.02662029325273,49.15053427710805,43.07319324206626,46.77002842997843,50.69348984626837,43.04891661085354,40.14821913266354,46.81432196271795,45.40708449565226,46.205217868088724,47.029187215331895,47.69131579880674,46.35726307340312,46.85576186930016,43.455834235821385,47.02126319684442,47.14266639896884,47.18913804642159,39.20378220550415,44.98075727487968,47.65687548288131,40.328987054814085
