,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,48.95563175594938,44.89630756296027,52.450336671020835,47.5509176257175,50.69958575460115,51.554971761014315,49.21796557037278,50.35582391893941,47.466225183894714,39.51827031157487,47.37418639483699,49.92819649242662,48.0626394037686,47.30704792661213,52.20636898997812,53.00231520842997,53.17346665415097,45.24540748972169,50.37743871686978,47.843110359090545,50.21379045379605,45.182151062043985,49.220840091015425,52.50623449854885,47.70136634835105,47.99822946844413,48.1278015786884,46.674155194232455,49.16982928339578,49.27133813243134,50.48452424945825,48.63863349810003,48.98471460879767,46.58910860591802,50.42228163933122,49.913559690106716,50.46469664331989,47.110842312306154,48.1096919433143,51.188796172361414,45.68822644357044
Albanian,48.95563175594938,0,46.36303395171665,51.18607052971889,50.15601037367078,52.333786631750094,51.85063983567887,50.168664483668266,53.215250913376224,50.750744546259064,51.716575457936145,54.14228657728966,49.48942720281401,46.74192717649718,52.47309806736756,52.02178239698997,52.85928850547884,52.68709775479296,50.424392391732766,49.2872250272147,49.43512612980515,52.40725790398776,46.13107055508935,50.30521311658119,50.97148442983449,48.240610346719244,52.32007147560836,47.19276087076078,47.89729193204938,51.262462720335186,49.83688498119213,50.91726732933205,50.53497529535664,50.60192630636259,43.12475198946341,51.47865959026361,51.71246004774349,50.98736952568674,52.0566350360738,50.00312257633895,50.46665111839657,48.256266878948175
Armenian,44.89630756296027,46.36303395171665,0,48.862453130073476,51.53290690730372,49.20315664023227,48.461225469153035,48.45958185030413,50.936499178996385,46.908476434315126,48.95760850782978,51.05352650668532,46.44821152926431,45.13209195720113,49.26374792018375,48.18590334581154,50.88138054776528,51.35764538633235,46.34540302573018,45.21253248851191,51.38990578308117,51.15419457501054,49.65683415437744,49.18418290858961,48.440646876588424,50.430103177793804,46.81607487335301,44.67969070253245,47.21634608363801,52.66815281543877,48.20752322397895,49.19624152651654,49.65600356160947,49.35498893938761,46.32807688126478,48.43827709130233,49.49704682759059,49.78977492032427,48.580039697232266,49.93564348318815,49.090718315104866,50.66792239179548
Bengali,52.450336671020835,51.18607052971889,48.862453130073476,0,51.132740483640525,52.715501279022234,52.8069637965659,52.045313933991636,52.41257230720673,53.31507178048934,53.31719041291847,54.644209575601366,51.8636663928814,50.64900357962782,53.306187365417244,52.53438913347255,48.116295685976496,47.1463403966314,53.05561128690262,51.90698560164391,49.71218909093319,53.21673227179954,47.11598792095246,51.61041746561566,48.319019572052106,43.87195859103281,54.410643430718395,50.64457045415531,50.41846661024699,50.752086382034925,51.63797972471488,52.12722758670987,52.32446985583067,52.26627528451964,47.6975305134085,52.40280711855642,52.9746692212354,51.9377759024373,53.12681069375798,51.312949167318436,46.8405730181515,49.39870115796925
Bosnian,47.5509176257175,50.15601037367078,51.53290690730372,51.132740483640525,0,43.83109749801115,50.94398178570978,37.78643293118869,44.89217737867451,48.23974032106937,50.572988538135284,53.31673604417114,48.34817339467781,47.806763413952325,51.34490769014844,51.412213625280216,53.05575500557589,53.4268510202528,49.85167843958783,49.02786667532425,50.746919364045816,49.62656737968899,47.316072683152406,39.79990177031616,51.22420976408083,51.63718011717795,48.894019367817975,48.74648572528828,51.00674536672233,45.60150523369715,49.566443270280054,50.508883123764235,42.034241119946955,33.759998896364365,50.732060237880205,41.89077413315087,43.10742803375792,51.084655809157226,51.33752300130019,42.09017943496351,50.91312281671658,52.19484574852213
Bulgarian,50.69958575460115,52.333786631750094,49.20315664023227,52.715501279022234,43.83109749801115,0,51.46483393431201,42.79319153176455,46.38224951311395,51.82934869049112,51.90189225735056,53.010366125376216,51.24962272235625,49.39925017166437,53.41478699049783,52.26061184644986,54.120269471519634,54.18858976413498,51.48011462746884,51.398897603677746,47.97495808151901,52.53991403190578,45.96392169884354,42.31448964540535,53.163413490224485,51.83121118758346,52.89965246969564,50.87489794608294,50.37467587968485,46.524179946143974,51.00498793668966,52.06732840769181,45.82950424331344,44.20370284857135,50.030125167054045,46.82939832476823,46.53927171246948,51.007041913494966,52.851871282965654,45.58514007023151,51.81420286876914,47.70319716950096
Catalan,51.554971761014315,51.85063983567887,48.461225469153035,52.8069637965659,50.94398178570978,51.46483393431201,0,50.589589053126495,52.243361118782545,52.75454761266604,51.67103525957032,52.095676240355154,48.32821194598598,44.3703115226419,52.578600962420886,51.6527671004849,53.03264560655342,52.89624951693752,51.16656885161853,51.22726939538701,44.115688407018666,53.63272019790333,46.78387963645084,50.999653293208006,52.261659269736676,51.137341014968335,52.74418442322166,51.941758563263534,50.05071472288325,50.74932441531904,45.36747021508801,48.790535478714425,51.74572182164321,51.84363472656195,49.13149439192772,52.290527391878776,52.714452983298735,44.409777291684904,51.93210642181096,50.56186803675138,52.327445421988095,48.466143744715566
Croatian,49.21796557037278,50.168664483668266,48.45958185030413,52.045313933991636,37.78643293118869,42.79319153176455,50.589589053126495,0,45.26626064149438,49.83191571962948,51.45842843986179,52.50476586850572,49.44814434925777,47.81860931115685,52.79202152487302,51.77923550901154,52.998583628273444,53.68099818838304,50.771403852228815,49.8224779056349,48.07752302822448,51.70844026026393,44.308671853557414,42.21661923532445,51.32076009511045,50.73625859036162,51.34326472079518,48.95854513945676,49.229013037651434,45.428738291160656,51.0233221841692,50.59154648028395,44.68245502785503,37.992136417394214,48.44846871628284,44.185687174315326,42.23944308644702,50.42189154842458,51.888787635428834,43.475074866294044,51.34125105661497,48.02612416035595
Czech,50.35582391893941,53.215250913376224,50.936499178996385,52.41257230720673,44.89217737867451,46.38224951311395,52.243361118782545,45.26626064149438,0,50.34997369735102,52.27868637320438,52.6112640541299,50.89380664126605,50.32423070904943,54.17072743503965,53.87531270015688,54.8850461996711,55.33358234302075,51.888831235633816,51.55622354444941,50.47963603149309,51.255659097278134,47.81866377223032,46.67264146375272,53.67328734867077,51.627327436125704,51.894448723211866,50.86300645405461,51.101286463700184,45.532406393089865,52.45500070226931,52.467813551807446,45.23234084811955,44.60903053805054,50.64314332593936,41.925475064109634,46.18289318211359,52.29782530543945,52.72742410225748,44.47137004608635,51.80035075219703,49.27529638892218
Danish,47.466225183894714,50.750744546259064,46.908476434315126,53.31507178048934,48.23974032106937,51.82934869049112,52.75454761266604,49.83191571962948,50.34997369735102,0,47.657367593622915,47.758672861199095,50.473013405083144,49.84733868532295,47.701264815905745,52.45307550477077,53.098725630593705,53.045851921873705,45.78387426925647,50.95137548564785,46.84178407246104,51.17839705115731,45.61676342671003,50.61908591590123,52.91919747603761,47.29989033804297,47.041408206750745,50.596028746670356,48.395377735583786,49.13906991540188,50.27496457435393,50.95828204872162,49.965143976963994,50.94125282231453,48.049133923746325,51.324669716187906,50.50159910269707,51.321480055864924,45.97456408338695,49.16155234171854,51.15791589350494,44.96834488777421
Dutch,39.51827031157487,51.716575457936145,48.95760850782978,53.31719041291847,50.572988538135284,51.90189225735056,51.67103525957032,51.45842843986179,52.27868637320438,47.657367593622915,0,48.18446657333328,50.86313512782397,50.13411620148626,46.034107352094836,52.07989911806156,53.40231145728214,53.798186153148635,48.42266350983647,50.644962117564745,49.4946687230831,52.440809163270266,47.73598785730651,51.22692129143087,52.82616518411959,51.04436679611815,47.86199110944046,50.91159720870963,49.97330293064244,51.78011693210633,50.77778145866728,52.059369707454294,51.436679598608926,51.601050476817946,50.4456915834099,52.17766951307334,50.85323481045327,51.44779487059116,48.516932204640135,51.20027669654754,52.136933607657156,48.688043414608856
