,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.7785908641870467,0.7220161041462253,0.8443043616075204,0.7561042929819632,0.8262728094417834,0.8479696687751845,0.8117642741938389,0.8249957723685838,0.7960624104292657,0.6328723621800763,0.7863201623797013,0.8156843664499365,0.7738371585503426,0.7718378731015393,0.8485937297484589,0.8657394081245972,0.8655865274685823,0.7271919606049757,0.8254559110212197,0.7900647643025072,0.7868050838282736,0.7092969428703064,0.7944772226490726,0.8541767724641783,0.7743437521825761,0.7652788857251117,0.7816481588130509,0.7540376934106153,0.7944704089234415,0.8092418390583904,0.8114315201319733,0.7894799266577787,0.7887147142000228,0.7423769729779944,0.8207228555095001,0.8204969669304,0.8413028836693168,0.7623361545013243,0.7782859667201099,0.8259645551312874,0.7585984201073181
Albanian,0.7785908641870467,0,0.7418604178938848,0.8306827133893407,0.7989920621357518,0.8579204856519115,0.8620351175869022,0.8420327640935413,0.8604521079344727,0.8238606605918419,0.8193833463429775,0.90036566468219,0.8135905522959842,0.7556371052511249,0.8318645273793328,0.8445018141481321,0.8754170102077115,0.8728890388192485,0.7911906052251078,0.7963705670965315,0.8271988699497176,0.82505617251725,0.7346367431120624,0.8152945547525514,0.851588022834283,0.7720889414651287,0.829708690121819,0.7643525899186076,0.7750914459279865,0.8166899014585981,0.8127117736430283,0.8261179861751553,0.8248732491224465,0.8251698866086176,0.6886798539558763,0.8322289233147248,0.8467104914629072,0.85682520190943,0.8292585971832146,0.8135960989244043,0.8190530509333835,0.7987298728506206
Armenian,0.7220161041462253,0.7418604178938848,0,0.7736917346320095,0.8088034108997714,0.7883616002727521,0.7769751777103321,0.7841340322087876,0.806117087673584,0.7600363318188544,0.788605200679893,0.8293034963080168,0.7460170747119632,0.7153823486207453,0.7947147320836826,0.772196266433039,0.8151865819474331,0.8184644384507215,0.7372224824008657,0.7405578784286668,0.8383905809470493,0.8131331835836322,0.7880583632488107,0.7783061518755645,0.7725128095311357,0.7882095546838724,0.7281773846497611,0.7133949393596422,0.7685055331098127,0.835492102385579,0.7825766479099515,0.7761504268214544,0.7944982051056,0.7848359000545315,0.732230719494788,0.7766479051732917,0.7953143253682244,0.8174102398360881,0.7608279381449322,0.7899079791621992,0.7696405336002389,0.817707824284477
Bengali,0.8443043616075204,0.8306827133893407,0.7736917346320095,0,0.8070956400531328,0.8495042922619386,0.8548660304013068,0.8433077732056996,0.83253472477051,0.874194422630978,0.8566957556190994,0.8815270787116815,0.8352598641758678,0.8137145583191386,0.8606552801373539,0.8419862573701249,0.789129456783018,0.7759787927083963,0.83606787316301,0.8405387245982002,0.8110162253314042,0.8465349473320287,0.7489550662828792,0.8298052717277482,0.7838666547275253,0.711930842881654,0.854572864061267,0.8258598502310807,0.8113189565096621,0.8134622367311507,0.8271879496949792,0.8285230456951286,0.8320386945547352,0.8272698129088285,0.781144703415908,0.8378201584541396,0.8641803471382972,0.8450899492981689,0.8508550929725205,0.8108604558359499,0.7416803233034123,0.7879072447477055
Bosnian,0.7561042929819632,0.7989920621357518,0.8088034108997714,0.8070956400531328,0,0.7037930778341589,0.8214117558930109,0.6108980909930413,0.737493172075299,0.7741063788158546,0.8106462744916856,0.8564892067522782,0.7723412506623094,0.7535259147602393,0.8260129784250648,0.812135428255176,0.8441159717441271,0.837808357477947,0.789513183548719,0.7836447120080662,0.8215757097393276,0.8121085928731594,0.7678742154658087,0.6235890488129336,0.8094590441953038,0.8097431490921232,0.7669885298955252,0.770037347049727,0.8283561031402972,0.7376818852208126,0.7968062967329025,0.7988965754705473,0.6783305750932768,0.5147876903188205,0.7998515780624083,0.681873300654362,0.7023056162506939,0.8234179227920083,0.8051102033818578,0.6803929700949792,0.7968875697746959,0.8305360884526569
Bulgarian,0.8262728094417834,0.8579204856519115,0.7883616002727521,0.8495042922619386,0.7037930778341589,0,0.8410073255983735,0.6773936209875747,0.7550866279990148,0.8477391040293398,0.8448773471079638,0.8546699203198216,0.8225072693361533,0.79785176334529,0.8704616835298509,0.8309956156475535,0.8727558594380423,0.8777702283920975,0.8307409671142676,0.8393119289464936,0.7784549779518776,0.8402356868320142,0.7443694533597474,0.6624848456410463,0.8562786875450857,0.8354399952100519,0.8394624270813942,0.8210452204990892,0.828255283514424,0.7541109632271046,0.8313976850289887,0.8329913458654296,0.7392960745002516,0.6976268093718027,0.8116131598720583,0.7529208458784948,0.7473481932214935,0.8373108715058434,0.8437762450021521,0.7348813708767065,0.8286388537415905,0.76754444350031
Catalan,0.8479696687751845,0.8620351175869022,0.7769751777103321,0.8548660304013068,0.8214117558930109,0.8410073255983735,0,0.8321538089510262,0.851000242470215,0.8789065808570694,0.851513689787557,0.857345350133226,0.7927469789580812,0.7388854500585273,0.8654990421389129,0.8432030813059407,0.8729568763765482,0.8689924660330134,0.8346898028199967,0.8516934853265069,0.7120651566791274,0.8524980428978006,0.753534082646468,0.8273660660953016,0.8576362535200012,0.8436087413901837,0.8403539972703137,0.8615733554014569,0.821726698159574,0.8337507695823462,0.7372990327446521,0.7864975848577833,0.8438275339145134,0.8385793487001366,0.8218430574093698,0.8557377107450092,0.86053387058242,0.7300991822037216,0.8512699808838352,0.8228007546804967,0.8440299051541584,0.784747724931028
Croatian,0.8117642741938389,0.8420327640935413,0.7841340322087876,0.8433077732056996,0.6108980909930413,0.6773936209875747,0.8321538089510262,0,0.7317962264725647,0.82278332473655,0.8382991002606749,0.8578132307439599,0.8006952557310067,0.7901695500686614,0.8635419004648077,0.8373021851008658,0.8737887614467837,0.8769074354215171,0.8211463362450768,0.8280486037798147,0.7934192704611367,0.8594169933818515,0.737915405470435,0.6687886903881484,0.8395961927524352,0.8242938130790541,0.8259106933985394,0.7997915536272728,0.8237245391570088,0.750595852702608,0.8346088674124291,0.8203992189112371,0.7330477844756388,0.5884883036489067,0.802746239283081,0.704658418563642,0.6790386800672596,0.8328654883155768,0.8373749567081038,0.7042247428733278,0.8245378780667321,0.7827129184292689
Czech,0.8249957723685838,0.8604521079344727,0.806117087673584,0.83253472477051,0.737493172075299,0.7550866279990148,0.851000242470215,0.7317962264725647,0,0.8196996790247842,0.8435738064132331,0.8612573371234473,0.8177891182721341,0.8145228917378045,0.8823763439233877,0.8510678704452137,0.8852148580402779,0.8860530281253487,0.8335328503836114,0.8376647222992385,0.819596430037613,0.8497132006045564,0.785594009640809,0.7576541562545275,0.8603310224081739,0.8194348817302765,0.8302071552349276,0.8151546532533339,0.8324381491593587,0.7520797428611491,0.8419715711702853,0.834844544743434,0.7571077951928392,0.7267938337215325,0.8137638678425652,0.668246420060686,0.753151227861072,0.8487003878850672,0.8453344814526075,0.7294090640865882,0.8273773044685007,0.7928082989728686
Danish,0.7960624104292657,0.8238606605918419,0.7600363318188544,0.874194422630978,0.7741063788158546,0.8477391040293398,0.8789065808570694,0.82278332473655,0.8196996790247842,0,0.7824895580443848,0.8361925810500194,0.8264399042070194,0.8199416775803386,0.7948111407294878,0.8530604225271616,0.8879743310449584,0.8739729221037349,0.749985161770092,0.8598403940231879,0.7590993143936234,0.829385653957055,0.7390604935014071,0.8154135378793761,0.8777163454319115,0.778267948138724,0.7677150052815576,0.8318684889630424,0.7986932560211469,0.7980376702316848,0.8385540666854768,0.8262936515862994,0.8082329221551707,0.8215879570585417,0.7658222769571096,0.8414730854790679,0.8440402092490938,0.8572726768521151,0.7586338791071393,0.7905102169389574,0.8422559047487204,0.7448005213363904
Dutch,0.6328723621800763,0.8193833463429775,0.788605200679893,0.8566957556190994,0.8106462744916856,0.8448773471079638,0.851513689787557,0.8382991002606749,0.8435738064132331,0.7824895580443848,0,0.8173075479217831,0.8256878716215904,0.8072832426839562,0.7565067412530896,0.8452389113753357,0.8762704572803894,0.8832376837815692,0.7837026897967756,0.8253780631838127,0.8113775190354061,0.8453249924537086,0.7624199812291843,0.8209266792825427,0.8599477624039681,0.8256423235241773,0.7673681575806097,0.8307033311477435,0.808520628129702,0.8319391339825744,0.817765118457883,0.8399689855114967,0.8348200920558442,0.8259273250829268,0.8035112609213771,0.8382871598664384,0.8284983761578848,0.8358143755716231,0.796156754488513,0.8192262277508491,0.8416995326380529,0.7981138093680669
