,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,1.212629037808645,1.1770993239282141,1.338943585344155,1.2298531089505877,1.2947500176399884,1.3445108378118797,1.293147709243298,1.3044558536554727,1.2531294279801153,0.9894379777372789,1.2668362220289984,1.3137914047829615,1.2214556082507695,1.1940269975410631,1.4017743007045003,1.3870733799242638,1.4169250768079324,1.1464018889364618,1.3135888479415936,1.262435078379614,1.2719906864638066,1.1370976243086048,1.263444826956309,1.3759982180061292,1.2330473097043202,1.22404609683809,1.2531188792498325,1.1852433658575394,1.2754284437067656,1.2678747416307545,1.3327536117136465,1.2613948513327116,1.257657944168044,1.172816552200071,1.30870435921438,1.3341356723952102,1.3257431264716417,1.1948914886829465,1.247721047517999,1.3132481673824716,1.206025363755945
Albanian,1.212629037808645,0,1.1842737961034862,1.3004303395003,1.2774880269473279,1.3308336741926943,1.3276379562050986,1.3077202976191062,1.3735883162813975,1.3535810685941203,1.3342678663305079,1.461192988041013,1.2878643891425123,1.1935660711205685,1.350517508775095,1.3761192754657907,1.381812626163043,1.4041568357961167,1.2830697066972157,1.2573537730687308,1.2766840513972795,1.3137385558796375,1.1627321971893445,1.2800746263710379,1.3306330372745456,1.2265463806087087,1.3504664542980094,1.2130918738075447,1.2157455515148516,1.3190044540720218,1.2702935526131005,1.3346422020443955,1.2951699933628427,1.2993400085012201,1.0855132339002307,1.3253169659537731,1.3595598715206025,1.327755327251493,1.3372181689730689,1.2857624629441362,1.2941415856657743,1.2433600070509585
Armenian,1.1770993239282141,1.1842737961034862,0,1.2873429576714068,1.3740244115038465,1.301937224230942,1.290243529498387,1.2900674052995513,1.3652567661728179,1.2988698422135088,1.320737120251254,1.412743829696533,1.2611242588099396,1.1858656640301661,1.313154875714885,1.3041981859468905,1.371285719430653,1.4025064730842463,1.2185289645607256,1.209266405666255,1.3866174262785327,1.3337768591225225,1.271918176637024,1.3036304125232043,1.3003308793729935,1.3419046254817923,1.2466932561271997,1.181482327026663,1.2337580187214487,1.3989557337869156,1.2781291776875605,1.3289726518528033,1.3182793299736542,1.3080983943705526,1.1880629972105252,1.2989993545876317,1.3545653381147968,1.3390375278224675,1.2889627695034924,1.327270887242787,1.304215944931372,1.3492853919395194
Bengali,1.338943585344155,1.3004303395003,1.2873429576714068,0,1.3201862338775143,1.3620259816068339,1.3881690361275973,1.3814105937125833,1.3623170429030467,1.4371834499598501,1.3888538692037564,1.4616865102044172,1.3750922936205565,1.310532232669957,1.3832367994815262,1.4080814061536948,1.225909213468625,1.2218899018241955,1.3711465993564975,1.3698560805814899,1.316261256774165,1.3421328694967274,1.1881956780648353,1.3328443280495035,1.236491273197829,1.1041935283623219,1.4011666053377572,1.3381412567777975,1.2872777683217893,1.3125725209747587,1.3320699348863931,1.3784979492031801,1.3605186205167379,1.3485530089151985,1.228640931322624,1.3634334078890882,1.411614644331645,1.3708195829635506,1.3813407907205812,1.329584047949726,1.165634010394593,1.3027588109878012
Bosnian,1.2298531089505877,1.2774880269473279,1.3740244115038465,1.3201862338775143,0,1.0987529008450323,1.345856173216095,0.9212106628202399,1.1409418107777696,1.3020017958181662,1.3337548772605787,1.4784568005336438,1.2901396644137801,1.2456365543111176,1.331861988559627,1.3949220747979758,1.401923272914033,1.437014976761752,1.3068298551583069,1.3119649667565165,1.3400429905366529,1.2456981815503885,1.1844081429447504,0.981142816529696,1.3606173041639105,1.3379161644497877,1.2684497978627367,1.297626036113712,1.3345502848119686,1.1503060994179268,1.2944492515463797,1.3394556637794175,1.0582982433963388,0.7926221219262227,1.3186657749582764,1.046716628178335,1.1072793436780735,1.3576866078759577,1.335926920071271,1.0728650954384955,1.326077688532809,1.4034034811692349
Bulgarian,1.2947500176399884,1.3308336741926943,1.301937224230942,1.3620259816068339,1.0987529008450323,0,1.3423812093158158,1.0858052544489303,1.1734582201934396,1.4012349148872907,1.353170155826373,1.4525546506894917,1.3489197166496496,1.2639322305347072,1.3762894142656246,1.3990555133428935,1.4252593397092992,1.4512242091969345,1.3286984517061804,1.358713829939176,1.255809003981033,1.322157055072821,1.148700810080516,1.0259541868954598,1.4044574576661197,1.3628414302371907,1.3699233542266755,1.3449125627560992,1.3020043590599994,1.173040861653631,1.309574045441245,1.368170688611773,1.1565852912580985,1.0947750473065538,1.287025595526075,1.1744989251174738,1.2092260944137483,1.3347611409971571,1.3693602789100854,1.1617225401577105,1.3429649550305618,1.2683786001559514
Catalan,1.3445108378118797,1.3276379562050986,1.290243529498387,1.3881690361275973,1.345856173216095,1.3423812093158158,0,1.3487467543576084,1.3775207811205978,1.4326015183562255,1.369990213713268,1.418662931017607,1.2770471409111044,1.115323380096694,1.3881222279278347,1.394831417718909,1.4147193705132433,1.4256053334927703,1.3461477560528627,1.370780097303204,1.1368721235556996,1.3820461812543217,1.1968401244596543,1.3354343007556606,1.394640023702179,1.3603996096857707,1.3736554807497916,1.3820540829570174,1.3047687453428245,1.3422307094801404,1.1550027667402143,1.2668603669521261,1.3647337355512683,1.356585207682209,1.268967811060989,1.3778544645222341,1.4221906331763707,1.132149691197437,1.3616558007907391,1.3326594155373344,1.376248568698555,1.2964234434233446
Croatian,1.293147709243298,1.3077202976191062,1.2900674052995513,1.3814105937125833,0.9212106628202399,1.0858052544489303,1.3487467543576084,0,1.168221201881884,1.3762216290545708,1.3788405897071228,1.46619625957403,1.3482272346466602,1.2709177603933004,1.4055607801803298,1.424015219975572,1.425920047500892,1.4675745754532847,1.3456241799334159,1.3519297663913152,1.2974209837281392,1.34085014986035,1.1228289004214351,1.0560065686376503,1.3823306840995846,1.3615415042182102,1.3665845504534824,1.3183240594495202,1.3051500441947714,1.1691251548245913,1.3484519333523095,1.3685997136511159,1.14666256790045,0.9091638333611339,1.2753904395943663,1.1254368234370398,1.0919353330913966,1.3528515123448381,1.377053526234742,1.1244501243823788,1.3749806484280582,1.3032579926050323
Czech,1.3044558536554727,1.3735883162813975,1.3652567661728179,1.3623170429030467,1.1409418107777696,1.1734582201934396,1.3775207811205978,1.168221201881884,0,1.357884163814278,1.375210179413493,1.450798066759464,1.3596344130972455,1.3165850310052747,1.4065552681968456,1.4604115133534683,1.4565231007999306,1.491197532097935,1.3528652318367842,1.3799789854869584,1.3376168877127146,1.3029315961750563,1.2061707477664532,1.190255270094081,1.430806059670624,1.3636458480534572,1.3521353435415122,1.350700811104161,1.3209453051344553,1.1443227657988364,1.3677001869900876,1.3936991874180409,1.154191893434212,1.1258250059340882,1.3336550046329738,1.013271963549222,1.2093145099851303,1.3928537697597074,1.3796449736517875,1.1290861565301167,1.3567534453739467,1.317939752715531
Danish,1.2531294279801153,1.3535810685941203,1.2988698422135088,1.4371834499598501,1.3020017958181662,1.4012349148872907,1.4326015183562255,1.3762216290545708,1.357884163814278,0,1.2647604762338753,1.3356576309696473,1.388335977690403,1.348863624389286,1.2508300942745818,1.469138850366004,1.445129741492929,1.4665840159984382,1.2067327799311165,1.3997525379482363,1.2874253455998668,1.3504697369083818,1.1959638673882713,1.3594128917005017,1.439260317147451,1.2951533134820132,1.2225101178728366,1.3937972206294695,1.3025794889012798,1.3232737026968955,1.3456146633635888,1.404328932257992,1.3442658169898678,1.3713705895495878,1.2996063008314966,1.3849545998199244,1.3983365817898714,1.3973080360068342,1.2093498912316327,1.3340870677415584,1.379229575582331,1.242127360135707
Dutch,0.9894379777372789,1.3342678663305079,1.320737120251254,1.3888538692037564,1.3337548772605787,1.353170155826373,1.369990213713268,1.3788405897071228,1.375210179413493,1.2647604762338753,0,1.2961635401445804,1.354357686647585,1.313607615575257,1.1558157583560489,1.4179607190285075,1.4232008763099255,1.457660526439048,1.262534422216319,1.3516671307319246,1.3193707974177034,1.3375237948757959,1.219601464089427,1.3383084284108084,1.406952129772164,1.3525097278306148,1.2319002405195651,1.3582732422054276,1.305637636253688,1.3617623765071178,1.3271203463860888,1.3918011840213673,1.3538983030778935,1.3535474600413016,1.3223552753285563,1.3697584256576314,1.3749824533757309,1.3766245432394393,1.2587967890613465,1.3589265310586138,1.3625019320722382,1.3007633657789959
English,1.2668362220289984,1.461192988041013,1.412743829696533,1.4616865102044172,1.4784568005336438,1.4525546506894917,1.418662931017607,1.46619625957403,1.450798066759464,1.3356576309696473,1.2961635401445804,0,1.4218988899802438,1.3824566775179066,1.3385949441468483,1.5314850617062294,1.46123711163293,1.5184562599594889,1.388854251267303,1.3794672395716396,1.406068921629361,1.4736921287192142,1.3046416169812494,1.4513894358769244,1.446784892824243,1.4173155161495186,1.3306524896772158,1.443238450247897,1.414734278486846,1.4439615991595045,1.3882759725144245,1.4789591448195756,1.4634226134651755,1.4596527946531583,1.4137589015138068,1.46121310191707,1.4883555465879692,1.446993274791355,1.3876815181184026,1.455915289338446,1.44228068611267,1.3618768894243112
French,1.3137914047829615,1.2878643891425123,1.2611242588099396,1.3750922936205565,1.2901396644137801,1.3489197166496496,1.2770471409111044,1.3482272346466602,1.3596344130972455,1.388335977690403,1.354357686647585,1.4218988899802438,0,1.2349799811452529,1.3741168795464556,1.4265665474276958,1.4482612689244465,1.4840923210308665,1.3419275718739478,1.3589279335250857,1.1738924185485615,1.3078088033250068,1.1688233256496279,1.3247743138605463,1.4001468733820315,1.3111639731487115,1.383609111025852,1.34424462956174,1.2772490895793571,1.3208782508212975,1.252937455010752,1.3191873444621247,1.3223771000402686,1.3307840862928253,1.2604168026772897,1.3797619933320895,1.368662273869898,1.2756484221457156,1.385172772193327,1.2979393012982958,1.3553485073353833,1.243447269385105
Galician,1.2214556082507695,1.1935660711205685,1.1858656640301661,1.310532232669957,1.2456365543111176,1.2639322305347072,1.115323380096694,1.2709177603933004,1.3165850310052747,1.348863624389286,1.313607615575257,1.3824566775179066,1.2349799811452529,0,1.3336939443795612,1.358952889049646,1.3673064024547879,1.3891122504795528,1.2226487516234896,1.2733233960346957,1.0737281291435001,1.3185383704380704,1.141679404410113,1.24977765042228,1.3396979726275082,1.2365577898681284,1.3474906360013843,1.2504118228351948,1.1800359185815636,1.2979199890178972,0.9974285614602547,1.2376826541310182,1.265980339811367,1.259000546823782,1.1274000115822158,1.3157232902966538,1.3372190120837137,0.9374985550203642,1.2859137956749134,1.2419326607369798,1.3089735595933178,1.1904655578047583
German,1.1940269975410631,1.350517508775095,1.313154875714885,1.3832367994815262,1.331861988559627,1.3762894142656246,1.3881222279278347,1.4055607801803298,1.4065552681968456,1.2508300942745818,1.1558157583560489,1.3385949441468483,1.3741168795464556,1.3336939443795612,0,1.4303314325452323,1.4512043934979193,1.4765846959649225,1.2816337195310947,1.3619235686476652,1.321375618990834,1.3542440837069836,1.2193548069378002,1.367658366971667,1.4281938714618307,1.3476018677882307,1.2860402137715876,1.3769476946232297,1.3094359850296027,1.3681564868004887,1.3838273621000012,1.392031940993507,1.3780202670836383,1.368098097643558,1.3530034067533385,1.3924024706190559,1.3908885801884139,1.403516466750301,1.2551146560279782,1.3639090959907973,1.3691559674042093,1.3009112629358102
Greek,1.4017743007045003,1.3761192754657907,1.3041981859468905,1.4080814061536948,1.3949220747979758,1.3990555133428935,1.394831417718909,1.424015219975572,1.4604115133534683,1.469138850366004,1.4179607190285075,1.5314850617062294,1.4265665474276958,1.358952889049646,1.4303314325452323,0,1.4584372389473692,1.466121361446278,1.4030827565230217,1.4096182643868547,1.359725485805114,1.3764553848342753,1.1874402827574158,1.3980644635436135,1.4379110288286456,1.3744415123167604,1.4235220066622254,1.3932487312762984,1.3546426573324644,1.396901234081666,1.401667404272576,1.4082431331811653,1.413621949119658,1.4175424531678535,1.3053641068740143,1.4493526733205784,1.4611476468649824,1.3838888755726695,1.4273338436541072,1.3919108505826194,1.3978183547015453,1.3296975125542627
Gujarati,1.3870733799242638,1.381812626163043,1.371285719430653,1.225909213468625,1.401923272914033,1.4252593397092992,1.4147193705132433,1.425920047500892,1.4565231007999306,1.445129741492929,1.4232008763099255,1.46123711163293,1.4482612689244465,1.3673064024547879,1.4512043934979193,1.4584372389473692,0,1.1193342059025184,1.4408150776225308,1.4283520084780557,1.3769374090790134,1.4607170685774622,1.2483183106333122,1.3930891749910093,1.0665999937496538,1.1945566803275325,1.4351577900990287,1.3659886758861588,1.3668681801868428,1.4104111487604738,1.432893368667475,1.4306400470107898,1.4442125042836376,1.4177297545049872,1.3017256141887994,1.443581477296317,1.4477756740463799,1.4094846349506387,1.4172436895978322,1.4011026489285965,1.2316565663497543,1.3612536661827717
Hindi,1.4169250768079324,1.4041568357961167,1.4025064730842463,1.2218899018241955,1.437014976761752,1.4512242091969345,1.4256053334927703,1.4675745754532847,1.491197532097935,1.4665840159984382,1.457660526439048,1.5184562599594889,1.4840923210308665,1.3891122504795528,1.4765846959649225,1.466121361446278,1.1193342059025184,0,1.444597175983134,1.4319939153215482,1.4233891206326788,1.4931159129023093,1.2724962431778302,1.4092441663393673,1.170661705923463,1.20529804991141,1.4427113466179322,1.3771889958449497,1.3753498280348566,1.4539751801540972,1.4600827754646255,1.4348948198611535,1.473264710952649,1.4656338217799516,1.3241306132123023,1.4724962077217527,1.4836804249737823,1.4277108243059204,1.4213380024271907,1.4439774056841508,1.0603570198306245,1.4086672237967697
Icelandic,1.1464018889364618,1.2830697066972157,1.2185289645607256,1.3711465993564975,1.3068298551583069,1.3286984517061804,1.3461477560528627,1.3456241799334159,1.3528652318367842,1.2067327799311165,1.262534422216319,1.388854251267303,1.3419275718739478,1.2226487516234896,1.2816337195310947,1.4030827565230217,1.4408150776225308,1.444597175983134,0,1.3180566140588112,1.3231857247289565,1.309690233430898,1.161500414254598,1.3037551013746345,1.3955092744011812,1.3516237026607758,1.162244862312573,1.2871897934204475,1.230863563375123,1.3493259064522287,1.3144184030730743,1.368272635135689,1.298909597755943,1.3081566258919914,1.2084458142133065,1.3537182877267435,1.3812229289797755,1.3766176481121677,1.163301584009106,1.2879494795808941,1.346129113461303,1.3013150770192985
Irish,1.3135888479415936,1.2573537730687308,1.209266405666255,1.3698560805814899,1.3119649667565165,1.358713829939176,1.370780097303204,1.3519297663913152,1.3799789854869584,1.3997525379482363,1.3516671307319246,1.3794672395716396,1.3589279335250857,1.2733233960346957,1.3619235686476652,1.4096182643868547,1.4283520084780557,1.4319939153215482,1.3180566140588112,0,1.2742003971694758,1.336576886209605,1.1693780640301692,1.3180173872704422,1.3878697913496871,1.2792579593055546,1.4137577446946197,1.303582900570559,1.2367078742916229,1.3181002587625825,1.2878126451592469,1.3631235553562475,1.3351094788330697,1.3565478397348312,1.1873126797284386,1.389308919662102,1.3946080799960605,1.296362710636026,1.332608033473466,1.3136229412241127,1.3316476299463118,1.1693838321980314
Italian,1.262435078379614,1.2766840513972795,1.3866174262785327,1.316261256774165,1.3400429905366529,1.255809003981033,1.1368721235556996,1.2974209837281392,1.3376168877127146,1.2874253455998668,1.3193707974177034,1.406068921629361,1.1738924185485615,1.0737281291435001,1.321375618990834,1.359725485805114,1.3769374090790134,1.4233891206326788,1.3231857247289565,1.2742003971694758,0,1.397002211690625,1.285632785254321,1.2810411685358687,1.3289704776042137,1.3586816919280287,1.2730323891235331,1.294470051982034,1.3493370879736484,1.3896947136181907,1.1550711162461773,1.20093791835234,1.3251041952253502,1.2991728271899892,1.3228816408020514,1.300496345030336,1.334850607189933,1.1455989085717428,1.320416700508351,1.313639321407552,1.3283447213819228,1.3166778391250284
Latvian,1.2719906864638066,1.3137385558796375,1.3337768591225225,1.3421328694967274,1.2456981815503885,1.322157055072821,1.3820461812543217,1.34085014986035,1.3029315961750563,1.3504697369083818,1.3375237948757959,1.4736921287192142,1.3078088033250068,1.3185383704380704,1.3542440837069836,1.3764553848342753,1.4607170685774622,1.4931159129023093,1.309690233430898,1.336576886209605,1.397002211690625,0,1.0437152897893558,1.299486030208295,1.416825659757282,1.379601341541041,1.297637444503232,1.3542084915352204,1.3551711873706436,1.2828490424842316,1.3230112550635968,1.3821203353704459,1.2533530023204507,1.266989023380366,1.3594161297128238,1.248866684304381,1.3228184101874705,1.4400209271321198,1.3792310700176444,1.2944022206869465,1.3480033110763692,1.4022337847575315
