,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.068324917271126,2.636966500781948,3.045016884993933,2.776937629583728,2.9594513944832475,2.973282914009194,2.895634740953709,2.955369208719182,2.7840038565595835,2.1478276102649656,2.7931455470844746,2.9839904164259687,2.8657624035891036,2.72452387138837,3.149069744345079,3.116733683275029,3.093444542414222,2.6302726706860464,3.0834464347948236,2.8734483188347304,2.944946404192137,2.547973295865501,2.88512783500839,3.1021887829903982,2.899183903343952,2.6737874049754486,2.913340635164333,2.819382623475098,2.8594598439377106,2.990137781286035,2.9562954595094153,2.8878454070337907,2.845620619811498,2.904683269701868,2.9780049566273137,2.9365703062410384,3.100096459785632,2.6332478346057218,2.855765808148382,3.010731127770239,2.7450989669903425
Albanian,3.068324917271126,0,2.8011025970782324,3.1271288262357375,3.0457249834569198,3.256079831353157,3.2466647632553145,3.1875302227373323,3.2876952866353317,3.2029274977875635,3.2632808703544463,3.475298178034586,3.155454348826555,2.9724625130998477,3.2634549768296437,3.3119200515761236,3.318671595114691,3.2706559610478267,3.0930194584412556,3.2065556499473167,3.1840238571307657,3.1646867661644076,2.6980204891301787,3.093846060154322,3.2487982952920422,3.011958165032988,3.187818702133367,2.996021659273685,3.03466451877828,3.1052564507432696,3.208008394159713,3.1315820755913637,3.0937230223785566,3.112605462244772,2.6886234731446454,3.194684456140366,3.2823871277733283,3.3633024322077554,3.1387278049141227,3.087561976403962,3.129506405379662,3.0587398091688285
Armenian,2.636966500781948,2.8011025970782324,0,2.838680944648409,2.974071204971287,2.9184291902927866,2.8378637673342983,2.8414059766835837,2.9324970388442075,2.813442822207647,2.9263777087988467,3.048225664568926,2.808234630454111,2.6783871617814388,2.9105187199718694,2.903045096705653,2.9716048431469604,2.995532338844288,2.7426651193064426,2.7774497564259932,3.1001684434879517,2.916620581590595,2.7710330509105434,2.855633709162579,2.8804513323741103,2.9416053610452195,2.7002597284057477,2.6607480430711115,2.8065890073884976,3.026827541774126,2.902417735028292,2.8627833594149843,2.902367001611219,2.8674883796599495,2.8347320929057584,2.846281548821786,2.91794756724383,3.0792627519716333,2.7841628006287826,2.9217526016229747,2.8455429738106575,3.000560878008679
Bengali,3.045016884993933,3.1271288262357375,2.838680944648409,0,2.9939217977253323,3.037156789614239,3.008462919402732,3.0873606062954635,3.0113610743125108,3.1980173240333496,3.074342831636386,3.1405227495806796,3.0627195086892,3.0193484915518463,3.1289911752699813,3.065528389228884,2.71383221796291,2.6533192048925063,3.081958100883059,3.061627527384638,2.9895600514462948,3.0519296051609284,2.63526903517096,3.0109605760864495,2.7381962061032397,2.5803735439251274,3.1016918027733205,3.023385949521017,2.9662315841824363,2.895875770628595,3.0044966810143476,3.03996233959436,3.0693875961729287,3.0209920811968765,2.9300617883049225,3.0511459942382966,3.1405420053049102,3.0384569927579936,3.0569693415905967,3.011378581596725,2.6160430188200703,2.904030033339504
Bosnian,2.776937629583728,3.0457249834569198,2.974071204971287,2.9939217977253323,0,2.460932472386742,2.9293899981386677,2.006426748519226,2.533195033720598,2.8881369920489277,2.9606486851691702,3.168710909619347,2.888049846155815,2.8040671398530717,3.0468050428517213,3.0463268601220483,3.1002746575965587,3.098004428685192,2.9487295457081566,2.9149081162215977,3.0428681796962405,2.9006154192198004,2.76040506799613,2.152393309758216,3.0060792067777893,3.0870582529129904,2.7894293580369034,2.881865587891777,3.0579045802010616,2.62632831577907,2.9365429166415,2.9848642916684778,2.3831015497318644,1.7267091277310898,3.0664895898526106,2.34151219902936,2.4021124157949796,3.0311602461984806,2.963750847639758,2.4199766673004914,2.9504887488825684,3.0886789095170983
Bulgarian,2.9594513944832475,3.256079831353157,2.9184291902927866,3.037156789614239,2.460932472386742,0,2.8716878556692302,2.3234636869831773,2.503561266024479,3.0345430009640584,2.971202520472966,3.0228509819328995,2.9987384928517797,2.868535969526348,3.1443927462204755,3.013346653262591,3.118046725561786,3.1103483119338717,3.0116587405882744,3.0335822478955152,2.7882065038685337,3.038450401824784,2.663630894826268,2.263799581322281,3.070768082956524,3.1935268225389284,2.993860791966469,3.0253476856547326,3.006768207485369,2.654836769848932,2.973890426988148,3.0332767953765027,2.614747803608137,2.397608669972793,3.1261306707976724,2.5856116056862715,2.5729268253957844,2.9753808615353203,3.0365930128814127,2.6046225217731918,3.0021374308110187,2.7408111271286333
Catalan,2.973282914009194,3.2466647632553145,2.8378637673342983,3.008462919402732,2.9293899981386677,2.8716878556692302,0,2.9030829602432036,2.9340833841942504,3.103792104273626,2.9413230502808076,2.905386454507621,2.813319141867616,2.5170241386598353,3.047599248847417,2.956808463028857,2.977020691520445,2.967879868036801,2.999283431342369,2.970516409525666,2.403539748038258,3.081322241779135,2.6572801270858704,2.896904809915036,2.966119008489949,3.120930738885463,2.9918591561908117,3.1014156328315745,2.959344698811034,2.9098960729846954,2.467843568467546,2.778929057483374,2.9998151155889357,2.9295790444058336,3.0820138139765083,2.9963159862441793,3.0117295764322938,2.4100600081357038,2.974254364625255,2.920059154047975,2.9733637304638347,2.728734685150774
Croatian,2.895634740953709,3.1875302227373323,2.8414059766835837,3.0873606062954635,2.006426748519226,2.3234636869831773,2.9030829602432036,0,2.4906284006034305,2.990491038711184,3.037379687279887,3.0463633587565817,2.9842225364762265,2.855922586993022,3.160245966476196,3.1192861733917163,3.1370463224794762,3.1508290662578853,3.0022407925289083,3.047361780634827,2.8693813221334747,3.0546594423529183,2.5953143335205953,2.283122914837018,3.051405494639977,3.1446319262286164,2.9513085452568064,2.9581506882204716,2.984636565704008,2.6397377019510597,3.055771650455601,3.00734682671338,2.52605074466901,1.9467966692012522,3.0637424524270456,2.4368507420278176,2.338676323080817,3.062241417501397,3.0208850315835156,2.4933734520096817,3.023559103886584,2.830337905440155
Czech,2.955369208719182,3.2876952866353317,2.9324970388442075,3.0113610743125108,2.533195033720598,2.503561266024479,2.9340833841942504,2.4906284006034305,0,2.9373851306951897,3.023946659525531,3.0394248506946777,2.9926325917182157,2.941906002130551,3.1733620597878667,3.12095631162857,3.177047316466731,3.1840609798212456,3.0300495422589226,3.0345592795758476,2.9314827477023417,2.9718172014407163,2.7864251199892496,2.5948880034532347,3.110897981971131,3.151159174913248,2.9310499160869288,2.999244940875664,3.0154485056061433,2.586578196195085,3.052975383000733,3.0270568928494606,2.5553937773588267,2.4792373531166207,3.114878546949258,2.255283801871022,2.5425877431221684,3.0689375083383057,3.0442159920791516,2.5039541182960865,2.9843638135346064,2.8551453150522828
Danish,2.7840038565595835,3.2029274977875635,2.813442822207647,3.1980173240333496,2.8881369920489277,3.0345430009640584,3.103792104273626,2.990491038711184,2.9373851306951897,0,2.824882697665104,2.994250432566748,3.078233765740569,3.0184468774780284,2.883003999225127,3.200090022113676,3.2313748879092086,3.205248809833771,2.6611991105506037,3.149472047400384,2.818927276317922,3.0431145633847154,2.6713953839818587,2.9815408558763843,3.234228752651426,3.0216669700246004,2.7026148461385326,3.1244653758930627,2.9654381428883094,2.9110758709434874,3.1031200715680054,3.0606026314239325,2.98084780415952,3.0188351044450354,2.989033886488567,3.0745582703645127,3.0409100736158945,3.17166188597392,2.641033282870395,2.927972368896825,3.1231248922369796,2.726624229625266
