,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,2.108194148334457,1.8288770944049129,2.2172039469687395,1.9524586404301807,2.0328258920527147,2.175625238420686,2.035750211482222,2.0867611704384545,2.051518907510747,1.812575710128926,1.9204600967042689,2.043308738701495,2.0839040351540854,1.968431803428513,2.1065778606403924,2.2536883551232645,2.2010046873179325,1.8852774188515073,2.1611026101342605,1.8876775453821937,2.1446977174289783,1.9393635044751953,2.0546461020227444,2.259223376060654,1.9803716386708645,1.9736340774621681,2.041944957438048,1.9787372324271026,2.0327313579344657,2.1091651884361977,2.0515167384539383,1.9930126966699493,2.0355824617070613,2.0279501680759524,2.1351075816021226,2.1242729439097965,2.062931287220084,2.0013670023928465,1.993996363408745,2.163178547542648,1.7982456072636053
Albanian,2.108194148334457,0,1.9412407257532922,2.310594567575902,2.219097417592872,2.2194419785643094,2.260183211565698,2.2132386308818988,2.317429113624741,2.356773356895023,2.294555854545169,2.338172772783317,2.1823834427356585,2.1417185891198507,2.3180958916806396,2.23440850686415,2.4172162878594423,2.349292821009182,2.2019983243802663,2.178260000170647,2.097838769671932,2.3741710415188533,2.117601524114407,2.247130969932757,2.332541438291365,2.2227139820830657,2.351933393813935,2.08001959826434,2.1067043157100223,2.2503893118469858,2.245045663239028,2.2773010145358468,2.2053246017270514,2.2385372926993785,1.9823674825220936,2.3040503939096166,2.3132300313908356,2.219586561469902,2.3195990236355026,2.200534504196924,2.285207712001043,2.0264233855981137
Armenian,1.8288770944049129,1.9412407257532922,0,2.116196580484745,2.00880397643372,2.036436775703569,2.1081656348174045,2.0348117029408215,2.128133676305694,2.0728960988699807,2.146619018704297,2.162999863224135,1.9254675113762634,1.9838790652443372,2.0736191685341736,1.948091819616725,2.2268710800946327,2.131875752138662,1.934670657747046,1.9326016895717812,2.0435227447995303,2.16246806659034,2.1730466481111095,2.122005078172361,2.114766784432383,2.058846080889544,1.9553786091526288,1.8809248990106633,1.997052686058236,2.219074031870795,2.1035480891553973,2.0494550709571753,2.0599060233712367,2.062949203771286,1.956212422203382,2.062166859010237,2.0994996824512784,2.103698875016712,2.1129887645316945,2.107102770684502,2.1184874490756593,2.058246820171794
Bengali,2.2172039469687395,2.310594567575902,2.116196580484745,0,2.0508633070743145,1.9477559527266264,2.0279820353136255,1.9774602107468096,2.005016581133817,2.023866892906797,2.0649553239583893,2.0209300456619697,2.0015653787610845,2.0886662011284414,1.9813841959291134,2.0291160504106234,1.8730340839086064,1.829499664431811,2.101954292127383,2.0959187328348534,1.8122115604250302,2.1258101241320673,1.9216681748503166,1.933993952707104,1.8902405038753045,1.8914921648765168,2.2061602589825218,2.0550068709423104,2.0645074839968185,1.9047246424584634,2.0343244386791044,1.9637689177394362,1.9956342487785272,1.9897508397297596,2.100431854284852,2.007905047439295,2.075151943548047,1.9918050920100805,2.0670859010424443,1.9342654678942344,1.7966692603357384,1.7694249089707683
Bosnian,1.9524586404301807,2.219097417592872,2.00880397643372,2.0508633070743145,0,1.83576935386864,2.1269849284160203,1.6406837790658086,1.839248507910803,1.8878244865311224,2.1244773493343687,2.080318267479908,1.851069061168505,2.113501793245417,2.0023767726281587,1.9872933505997215,2.1965881385772907,2.033629890439312,2.075798265083354,2.1215891036687284,1.8927370659569822,1.992432963672035,2.042922209051519,1.7695361079581964,2.147777226380442,1.8032456363565572,1.8785880047434678,2.0611994952161905,2.1986450912661146,1.8239972220268896,2.045789532918319,1.9185984731917696,1.7310538444640562,1.4808753992959791,2.215231563467694,1.6969126386585756,1.7225199307187447,2.0879759103359077,2.13599880292057,1.8045575326808383,2.024135751249462,1.9709796281204945
Bulgarian,2.0328258920527147,2.2194419785643094,2.036436775703569,1.9477559527266264,1.83576935386864,0,1.8723926386711265,1.5765098697116537,1.757627174433651,1.8979790046509584,1.9208256163168052,1.8549970800538544,1.9083366156228718,1.9081490153018301,1.9288988630344535,1.9631194064939193,1.9942740624776965,2.0018350930426436,1.9397778947417628,1.9687928975256315,1.7369558025533556,2.101322217802737,1.809442556070757,1.505458090630107,1.9513694796111276,2.1182297225729334,2.0830539332990057,1.957921131280218,1.9739124372938985,1.7211680753342542,1.9290531430826536,1.9368976634691466,1.7020571950150627,1.6562387523090136,2.09388609212925,1.7634063168624114,1.8201050648075632,1.8417691071569546,1.965808311062821,1.657387695271062,1.8979119335580095,1.6471779008684924
Catalan,2.175625238420686,2.260183211565698,2.1081656348174045,2.0279820353136255,2.1269849284160203,1.8723926386711265,0,1.866590199578417,2.01198693709739,1.9408595089679117,1.9547164207785734,1.921993328928238,1.8098418683736817,1.7917395276403385,1.9536114419621093,1.9642156740090135,2.016146396646099,2.0275470339916275,2.0304705248083263,2.0134628416361426,1.6348343829965983,2.191434757253781,1.876045116942635,1.8927697509261188,1.9658475701792417,2.1790704891992667,2.0888386171860613,2.0857004569481137,2.055197564194469,1.915242109346768,1.7456698636731494,1.8364470059982465,1.980336573484542,1.9806355381989489,2.121497348957772,1.9790122685116869,2.0247697650054857,1.6079165279747598,1.9863216162766184,1.9120962505422006,1.9866768132381663,1.7384674661608748
Croatian,2.035750211482222,2.2132386308818988,2.0348117029408215,1.9774602107468096,1.6406837790658086,1.5765098697116537,1.866590199578417,0,1.7314143354114764,1.857024652012304,1.9553112048572086,1.9546814652983775,1.858046296365879,1.9460228978513252,1.9352283906364875,1.9092529564583811,2.032555691890152,2.003191267014273,1.9848016112855844,1.9853602200726066,1.7544919058199226,2.0847641226925178,1.8142916534970857,1.593075313084288,1.9563273150294582,2.1105256763483644,2.0257447993724194,1.979050706649304,1.9897103455808907,1.6722778659288648,1.9472426103490283,1.8875056982734508,1.7127811250651894,1.4882751474162137,2.0875393592167133,1.652846628098272,1.6231720631796869,1.8644333906511683,1.9789357252798518,1.6434179580123027,1.9331804869113012,1.7338049546468255
Czech,2.0867611704384545,2.317429113624741,2.128133676305694,2.005016581133817,1.839248507910803,1.757627174433651,2.01198693709739,1.7314143354114764,0,1.8711523673404964,1.9630973996654335,1.936054303397674,1.9302083234242164,2.063724031610385,1.9734998257908793,2.023811306548588,2.1267404595316437,2.1049857324908716,2.03041976970629,2.0925802429965836,1.8263333417618741,2.081257040226115,1.9406910197707876,1.7548483415167224,2.091073064832659,2.0312473356226404,2.0935572197439773,2.0213005171243816,2.048636380698014,1.7541703892188942,1.9982694949746045,1.9683125813876272,1.7281023480409825,1.6899129354707034,2.2154532324106824,1.6345121596184538,1.766729742536586,1.978190942408609,2.009200302885999,1.6850696998968997,1.9690128549919017,1.7785763746864347
Danish,2.051518907510747,2.356773356895023,2.0728960988699807,2.023866892906797,1.8878244865311224,1.8979790046509584,1.9408595089679117,1.857024652012304,1.8711523673404964,0,1.7840871391442803,1.6887754679146636,1.8734483126819381,2.071033077939854,1.7020799190837237,1.940781009986813,2.0076774256054994,1.9394187745966796,1.8356285903182008,2.075994058771489,1.6403065713432632,2.0778060322163525,1.8570170513227409,1.8995221587374662,2.0128068057321,1.891316407515024,1.847937109049579,2.096145531011734,2.0286311980186005,1.78675850233116,1.8730612024795084,1.833764747957436,1.888249723400066,1.9442525177349534,2.196979381623289,1.869364678448832,1.8956197537322994,1.8677855001568286,1.776505176729691,1.827780379354812,1.9197897450138628,1.579296812439635
