,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,1.9325475396603162,1.6126087437640493,1.9659094300003657,1.7470148945344564,1.8587807573940973,1.9234458356958164,1.7890753387106213,1.8701535452503208,1.7443601286884898,1.394726802039955,1.7077606732875268,1.8501067975940289,1.8125069177538728,1.7400113891975226,1.9027746291577599,2.014654422759296,1.9670123287103374,1.6504675787449852,1.894925602297873,1.7169731535352124,1.8983923875588327,1.7170197900888882,1.819898452484221,1.9947932860859994,1.74765255896161,1.7857934233587636,1.797450066941412,1.7665498536923125,1.8257998052627307,1.8195704571054698,1.8527707274543244,1.7978388644755035,1.7911045754708597,1.7415365779746215,1.8854716713900674,1.8714137881350368,1.823279881402663,1.735249320291075,1.7630068178295561,1.9072401161443728,1.6088273485235323
Albanian,1.9325475396603162,0,1.7232220418544406,1.989035442704457,1.9391347265586254,1.9926084231958767,2.003501175918536,1.8994463645730684,2.0587247388014425,1.990150943598685,2.0010628993576436,2.07808903294056,1.896862037134447,1.8527684052794515,2.0610485820576625,1.9419186204003294,2.1100462893048006,2.04233558248184,1.9645823749792468,1.9273358311077446,1.8412016155524706,2.05457755644108,1.803670103156326,1.9415512774757697,2.018623972069011,1.8331724824762476,2.0860022497313304,1.8257049508444227,1.8974582254256818,1.9811341660933957,1.9241136676986472,1.9392054916250283,1.9429029040024874,1.9410413106760591,1.649685832463444,2.0058660825003813,2.017667693945308,1.9267318499498962,2.0111432754446104,1.9108049468094563,1.95463744750127,1.7730408768985793
Armenian,1.6126087437640493,1.7232220418544406,0,1.7698703667672007,1.822234657720937,1.746456942329071,1.7469286878548982,1.682814910708711,1.8319760390327826,1.7044499826390793,1.7666926290994214,1.8252063580612707,1.6498407948969696,1.6331345309261958,1.7853018818858037,1.6540209724856625,1.8929805391550156,1.8379744434798286,1.6489441551170934,1.6203308476628286,1.7738478925941816,1.8466307276283003,1.8154199744373853,1.7672543130918326,1.7798507202055611,1.775939618517757,1.698797806642793,1.583534617216088,1.7074495181944238,1.8974171828911575,1.7094647949292667,1.7249994757785847,1.7649046204858927,1.749465200561748,1.622477733478484,1.7516593429367655,1.8056811088937081,1.7439570731934009,1.7596653950195003,1.761567871370472,1.7592733808764558,1.7110811805487185
Bengali,1.9659094300003657,1.989035442704457,1.7698703667672007,0,1.8492430840637433,1.8696948678926757,1.901227668880671,1.8309445250687213,1.8974376496189818,1.9324657329698767,1.9410652935398123,1.9383554001701184,1.865581387956437,1.876103104581107,1.9545027117697464,1.8389248620660033,1.7152648171656164,1.6246577120796974,1.9645852160311128,1.9171461193335357,1.733215688146613,1.9681101350527104,1.7508227704910897,1.854336401705961,1.7168687563079152,1.4960244127116553,2.0195053728875263,1.8504549262912107,1.882137694812794,1.8288607142391016,1.8545792933690017,1.8484626347179038,1.885429579264841,1.865173733339977,1.7400070405347836,1.8930047999587698,1.9287623963140443,1.8256674634969925,1.9305851330832207,1.8205460369202449,1.6148681652092098,1.6943743224228194
Bosnian,1.7470148945344564,1.9391347265586254,1.822234657720937,1.8492430840637433,0,1.5141288605343817,1.8446896136857467,1.2329391101624196,1.5667611457869013,1.7359600304416092,1.8433908682843503,1.9170234757624671,1.7151232990131726,1.7720284252877831,1.8609690462261859,1.7949157561686624,1.9645853841401193,1.900503333090694,1.8257602694592674,1.80609868333498,1.7595419189130743,1.7827912811491213,1.728897032119659,1.3482199043431373,1.8897856680151646,1.773670826016469,1.7759681856669678,1.7787292658035225,1.9254714417623158,1.5905202966459555,1.7696898257994043,1.7802892484289365,1.438820957745336,1.0608398864055195,1.8534462741550783,1.44127001081523,1.492016914380081,1.8005525062697534,1.8609815109979486,1.4461341383279285,1.8275664812063697,1.791249960196965
Bulgarian,1.8587807573940973,1.9926084231958767,1.746456942329071,1.8696948678926757,1.5141288605343817,0,1.809186268945138,1.3819106601054272,1.5987673705959158,1.8411211824642018,1.8468652041365727,1.8600274298560096,1.7930875628095573,1.7798222161684272,1.9174059813746653,1.801341715509549,1.972304351854575,1.9116398059044912,1.8551025112430546,1.8476461788313097,1.621403718546279,1.901773105964233,1.6519717424975102,1.3831525667693538,1.9218407760277656,1.8152374093549877,1.9360917502499568,1.8203573222677696,1.8616322908319027,1.6038468562578707,1.7833790329233337,1.8119149797375296,1.5745372891220772,1.4767778667052391,1.79564382497366,1.6047269261014223,1.6067557881855146,1.7411527635567692,1.8805747499506906,1.5479980122779784,1.8191545878876392,1.5994910678768546
Catalan,1.9234458356958164,2.003501175918536,1.7469286878548982,1.901227668880671,1.8446896136857467,1.809186268945138,0,1.7589311905048073,1.8851438574670352,1.8904380272626455,1.8524685143773376,1.8383910630447047,1.6850665331454238,1.5608141001008917,1.9132768909777758,1.798463552404931,1.9380363497548774,1.8940586398721246,1.8812516123391902,1.8472481582822968,1.4922105794745881,1.9746587336305803,1.714753039330105,1.8126594513225132,1.8874310756972879,1.8357413182909341,1.9154133994228568,1.8892880539289387,1.8735452722784975,1.8263856654786639,1.5317836871897805,1.6773981390063113,1.8551422839559817,1.8415901681587301,1.802668398688828,1.869406208079935,1.9023213404170565,1.4468178384394692,1.8766876366010468,1.7835417476285094,1.871487976613289,1.659607797730411
Croatian,1.7890753387106213,1.8994463645730684,1.682814910708711,1.8309445250687213,1.2329391101624196,1.3819106601054272,1.7589311905048073,0,1.5394865672567535,1.7515683535015414,1.8177741171416604,1.8280862393079194,1.7081703338887535,1.7092074459967508,1.875588553310647,1.7561839921828415,1.9204544799356222,1.878482722935386,1.8123603530723449,1.76950769414636,1.615779944430625,1.8494594441832066,1.5708012546338166,1.3930994005975266,1.833453680977487,1.7563682960475755,1.858733577111112,1.7249555794310742,1.8040410184476066,1.5534566355692043,1.773252178991432,1.7426991939958911,1.518237137698592,1.1913987394151089,1.7142219366899378,1.4821410331179292,1.3990370528673823,1.7003890500719887,1.8322182038822938,1.4547618702617697,1.7896901380186068,1.5953068118595362
Czech,1.8701535452503208,2.0587247388014425,1.8319760390327826,1.8974376496189818,1.5667611457869013,1.5987673705959158,1.8851438574670352,1.5394865672567535,0,1.8002256344375995,1.8885019060648711,1.8778288544082768,1.8142431455037895,1.8504605301626214,1.9726344804375429,1.8963885990552758,2.0395398059139946,1.9951925039758915,1.9022414596546473,1.8865900036509509,1.7537668891328348,1.8787265326659144,1.7686589873353569,1.629493029176897,1.9871515589357012,1.8137216164379413,1.923884811269057,1.8408737274656786,1.905020990326769,1.5854832321629704,1.8670826558831102,1.8551430271056195,1.55164691314907,1.5322224934982651,1.8713676907078571,1.3896669879241323,1.6196110035822389,1.8417945561940359,1.901765388062472,1.5166793051600118,1.8551103346813864,1.681103743530608
Danish,1.7443601286884898,1.990150943598685,1.7044499826390793,1.9324657329698767,1.7359600304416092,1.8411211824642018,1.8904380272626455,1.7515683535015414,1.8002256344375995,0,1.6770006405536646,1.6658849427386224,1.7808879449903858,1.8405500123057634,1.666408637437962,1.8276815943030502,1.9661627672288697,1.8864808041296033,1.6322789941607916,1.8617519373042386,1.6069366018147935,1.8860999073586269,1.689659348454281,1.8169514885276499,1.9371304671223835,1.6709962147354132,1.627292570463903,1.852859397825174,1.8187445197302035,1.7678378832230177,1.7912064203243263,1.7879603182207044,1.79043563259261,1.8180691483516158,1.785223917770166,1.8397651863035325,1.8284040115948963,1.7816586484829668,1.5924722848262174,1.7443742347261335,1.8227725270700077,1.5242302014172924
