,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.1098678108387489,0.1010503622281136,0.11099327806556805,0.10396136146353323,0.10960428383114897,0.11205868251500642,0.10941408528046244,0.10713060440268639,0.1132851692603026,0.11380676215440924,0.1105963835339789,0.11062555623352248,0.11063691919391308,0.11287501767483078,0.11198673595654235,0.11568375678811123,0.11321830650413514,0.11179817789618123,0.11041495455378571,0.10281357939686818,0.10765002990088635,0.09449504364925888,0.10863713494464591,0.11375043592906446,0.10673655205253363,0.11230838867815665,0.113008533893529,0.10546638225658517,0.10599850782265423,0.11017036249650422,0.10926886515643448,0.10745102801355662,0.1076812920962531,0.10265640308923095,0.10971181149269758,0.11266977709012832,0.10764569791384335,0.11285927777914348,0.10604649150304109,0.10836165973471841,0.09977788704833804
Albanian,0.1098678108387489,0,0.1034189257827713,0.10883949862235412,0.10609175764200333,0.10782323142987885,0.10924350332186876,0.10803382572394869,0.1069977484100947,0.10745133309745242,0.11027894336576727,0.10972389137600413,0.10703790721898405,0.10607930477077766,0.1103142922884371,0.11141371564915746,0.11456413494267338,0.11286012309109696,0.11119461297410728,0.10436029873392787,0.10432911221342707,0.10940742097653063,0.0969681863424006,0.10819647198758958,0.11096543018601304,0.10923612661878039,0.10683360139170477,0.11010775894089261,0.10616129432672414,0.10779098613681702,0.10749710110189646,0.10909087547932259,0.108474287995856,0.10715697566359936,0.10194936463951355,0.1087838242456115,0.1111081910025465,0.10636895409814542,0.11049193855887132,0.10781709381917338,0.10661670784172936,0.10226942910016365
Armenian,0.1010503622281136,0.1034189257827713,0,0.10264294226721302,0.11113488002274048,0.10258666336466661,0.10150108961261467,0.10508357089578135,0.10383282739638211,0.09860160986392005,0.10553497712080605,0.1058197669831385,0.09911014939224759,0.09883818145197397,0.10465821864232741,0.10377206448202858,0.1077262929210601,0.10674273085277113,0.10614381640273449,0.09554501692625028,0.10835047929403004,0.1113466949888588,0.10695941943581398,0.10551707983806345,0.10228234628938379,0.10872454894878393,0.0982158453617133,0.10213367896607614,0.10751050276067929,0.11164945914142616,0.10347992254227971,0.10468331358155135,0.10666761919075346,0.10536005842909181,0.10288068055293297,0.10228437220849086,0.10621981770668505,0.10178606947754193,0.10438055859350381,0.10727668606006055,0.10223930490291669,0.10876195836159001
Bengali,0.11099327806556805,0.10883949862235412,0.10264294226721302,0,0.1044122497692252,0.10715210625193625,0.10939926954127555,0.10754619931715877,0.10452174415811909,0.10832476026810213,0.11054123638285027,0.11029976601642313,0.10661390747673669,0.10723543726246956,0.10895930982564347,0.1098752289179383,0.11550562351999843,0.11214407887260025,0.11130399485713272,0.1049803210824695,0.10275513015970406,0.10748382927519036,0.09542655032226735,0.10708420919217422,0.11191620887277279,0.10695978322236874,0.10811557475730436,0.11126475760223012,0.10620408185857949,0.10597610047569532,0.10736253203055568,0.10815567218168755,0.10647218297050441,0.10650827853323734,0.10291364411363105,0.10700396278630109,0.11150194800508745,0.10591073969831397,0.11034626035737628,0.10507693534123727,0.10775901110370552,0.1004636643263069
Bosnian,0.10396136146353323,0.10609175764200333,0.11113488002274048,0.1044122497692252,0,0.10379811729712547,0.10398845716254163,0.10645190459097066,0.10453661234896562,0.10071913373091951,0.10753103506456052,0.10638423806189186,0.10103987436729564,0.10118351449002026,0.10676019674131522,0.10586780214025811,0.10991527400392175,0.10953685388189821,0.10912313840065185,0.09777282265769943,0.10846197057499427,0.11126826705563846,0.10472592650296868,0.10566025687908077,0.10510205766573184,0.11034558264200205,0.10021449792829465,0.10456708302295352,0.10899156353227951,0.11191366793187721,0.1053805466617559,0.10645172351228484,0.10697697003870475,0.105488150541234,0.1050533369057622,0.10383437789257037,0.10781921468143807,0.10386256406744897,0.10655155895445866,0.10699671217184435,0.10356366066208732,0.10825606197300786
Bulgarian,0.10960428383114897,0.10782323142987885,0.10258666336466661,0.10715210625193625,0.10379811729712547,0,0.10746917261174163,0.10782178744493,0.1057303189436875,0.1071988159625685,0.11023246300013338,0.10683417441986383,0.10542498996286676,0.10616762281861858,0.10982995567464997,0.10855756921002763,0.11327605104689008,0.11169369172300425,0.11073037747756453,0.10395631499855071,0.10238047240906215,0.10675336528445901,0.09493679491593182,0.10877536635910166,0.11039236580525322,0.1068618481781517,0.10653404470393565,0.10920838232252872,0.10630377453788833,0.10623586813926744,0.10773357185537291,0.10755174156008693,0.1069545306215214,0.10737150116213694,0.10228957416785132,0.10845555897418199,0.11020266969930491,0.1050981433798852,0.10853133877165003,0.10597591675394966,0.10529520754026389,0.0997807747527605
Catalan,0.11205868251500642,0.10924350332186876,0.10150108961261467,0.10939926954127555,0.10398845716254163,0.10746917261174163,0,0.10741331943373168,0.1047788161362959,0.11151627185090243,0.11090656769295099,0.10972079378153139,0.10895212519033393,0.11074711609680302,0.10963137315020366,0.11015905477516853,0.11404207177237569,0.11214855799093514,0.11047863727284953,0.10688692935127955,0.10226123496474751,0.10752434005880965,0.09484651463594905,0.10701368418573717,0.1121376908402236,0.10694333295651196,0.1116897634148017,0.11213419680776723,0.10552160882829559,0.10541553849469415,0.10876253776614031,0.11008543843885917,0.10618150315961727,0.10664975225332084,0.10222347524741733,0.10828863486296499,0.11297128866580801,0.10793790591562423,0.11075095088138584,0.10555180429232924,0.10752028773179798,0.10029801690504384
Croatian,0.10941408528046244,0.10803382572394869,0.10508357089578135,0.10754619931715877,0.10645190459097066,0.10782178744493,0.10741331943373168,0,0.10676523169761287,0.10617892956352387,0.11025978879958118,0.10796188666348523,0.10545773097943754,0.10559839873871057,0.11045367422077658,0.10903936122886464,0.11365798762758056,0.11306967236120151,0.1112809810107161,0.10305974084092878,0.10432875545771172,0.1093373186414488,0.09669303126483332,0.10829425855731467,0.10974664902538474,0.10817930616253411,0.10574407819586104,0.10934368584134878,0.10777454374381094,0.10841175485394547,0.10854850902295496,0.10792842482637881,0.10830142165755366,0.11003960814701552,0.10361218061217194,0.10869698347847702,0.11125424717135625,0.1054858764409798,0.10927729413405451,0.10714754916224316,0.10658181606493822,0.10218270995533867
Czech,0.10713060440268639,0.1069977484100947,0.10383282739638211,0.10452174415811909,0.10453661234896562,0.1057303189436875,0.1047788161362959,0.10676523169761287,0,0.10439548521547462,0.1084961494552077,0.10523105549159707,0.10403655892125908,0.10398454851937512,0.10955454398065655,0.10758740707700751,0.11137204417678523,0.11087452419493109,0.1097535815384669,0.10123417001325993,0.10458474617572003,0.10793134075105032,0.09749892834555872,0.10661700853543714,0.10727221162604451,0.10664876994327323,0.10334514009736931,0.10721028143474615,0.10669603116779214,0.10910136207068892,0.1064679587342465,0.10605214088182202,0.10707889507605756,0.10548105062980134,0.10103395144675825,0.10914063734841811,0.10725803835938211,0.10365197419178268,0.10638489150220075,0.10557885529427972,0.10340200732265956,0.10207916886712082
Danish,0.1132851692603026,0.10745133309745242,0.09860160986392005,0.10832476026810213,0.10071913373091951,0.1071988159625685,0.11151627185090243,0.10617892956352387,0.10439548521547462,0,0.11030461908797387,0.10742975644755849,0.10953842298508988,0.10905118672523471,0.11014468975260835,0.10931689336863211,0.11354503842264492,0.11123549068777473,0.11017997986157767,0.1086824002877673,0.09940470434311181,0.1043185775139574,0.09192280304541373,0.1056428015085655,0.11222259882280604,0.10390856201642655,0.11531530145678763,0.11278909538045229,0.10326060855348983,0.10299267154546615,0.10721605269562846,0.10766223548105203,0.10490070574098495,0.10504418795543492,0.10015500219842859,0.10814688604866227,0.11199097830114285,0.10501492731011068,0.11064327399644294,0.10376348379269344,0.10574527590607552,0.09672217984955903
