,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.062380944363574616,0.055570939449246785,0.0696735909856501,0.05841719289604143,0.06403502633826812,0.06834915792961849,0.061229443449095415,0.05983893901179604,0.05715877865530719,0.052089559791803346,0.0572815621077104,0.06483983903952094,0.06278286320817934,0.0644603395085752,0.06894569290215143,0.07413011917044303,0.07093067807521841,0.05563250945192317,0.06440837220608539,0.06488480320139062,0.06318106498270339,0.05757110535587721,0.06251507328890678,0.06855144738503283,0.05928512254495184,0.055720462216308275,0.06542385789033249,0.06427501728845063,0.06557072760260294,0.06546181896944102,0.0651394580233122,0.06441406040385793,0.06251554298554318,0.057043644540019894,0.06303812978889808,0.06516189302669174,0.0655178768870664,0.0577236327330751,0.060332320183740906,0.06457980616842178,0.058257454297686945
Albanian,0.062380944363574616,0,0.05608768585453645,0.06633798368155562,0.060567555564861805,0.0628866239925066,0.06905578540997741,0.06104969531880087,0.061696107953490155,0.06214978426004542,0.06580172607298808,0.06613163994574374,0.0608737612670791,0.060792463015787265,0.07105500863277969,0.06805830574570074,0.07451412799621378,0.06877246950470128,0.06168290813974323,0.0584109148432957,0.06350959489052709,0.06970693246215692,0.06018069933924453,0.06330236345003039,0.06664666031941929,0.05901897487538946,0.06236886289646903,0.06330845055810758,0.06091101426065646,0.06617583034355849,0.0649390833491466,0.0639610568183578,0.06620615929902787,0.06205841495539761,0.055325661279016565,0.06402918758768242,0.06392668798127248,0.06174218386993954,0.0616996750476327,0.05916971271442096,0.06141427021598979,0.058747046084688226
Armenian,0.055570939449246785,0.05608768585453645,0,0.06361144624651974,0.06067982902295531,0.058400608248179796,0.06393591786225274,0.05855272406390421,0.05625770185014799,0.057587692574578804,0.061781622811172825,0.0619663169796634,0.05966324566941244,0.05598996251616877,0.06339082865175075,0.059625059025101755,0.06638354120271289,0.06434177353243903,0.05537510712981773,0.0539581528995127,0.06741897964008318,0.0644096895507536,0.059570100144481004,0.05931173869134279,0.06019500955051733,0.06215267983692679,0.05546775574252272,0.05632359903835851,0.05959006969510991,0.06990542538493656,0.06303246743235494,0.0603774599464194,0.061329095428667164,0.05960533851696957,0.05650275210383948,0.05767573541072725,0.0618581089921963,0.06220979487685862,0.05617960130142006,0.058854131929036387,0.05896808029105509,0.0619017265979187
Bengali,0.0696735909856501,0.06633798368155562,0.06361144624651974,0,0.06339740979503947,0.06463049011558908,0.07053160831130555,0.064419350333784,0.06352233207407107,0.06910193166766453,0.06958248332635532,0.0711525805944506,0.06565181404082811,0.06695859524862492,0.07419634958246409,0.07193333860126774,0.06569936418091145,0.05941604340955187,0.0682094501339594,0.06925497026016932,0.0644308110198802,0.07184387580952278,0.06414465980412139,0.06601684810113696,0.059302324362252336,0.0532192819408413,0.06941299807424225,0.06796070296405428,0.06755240150122484,0.06785985584134112,0.06826690839488025,0.06820877417166461,0.07023285358682185,0.06683588276319026,0.05868303982052877,0.06796857520481121,0.06853012056447118,0.06527137417359836,0.06767646236184727,0.06398841288274056,0.05890411559009376,0.06309101329451333
Bosnian,0.05841719289604143,0.060567555564861805,0.06067982902295531,0.06339740979503947,0,0.052402971114888,0.062006884495688155,0.04792222060638472,0.051333811406192455,0.06043275716254393,0.06586067102304428,0.06641291389603898,0.0592448876682902,0.05858075313526906,0.07179268749662067,0.06558630557941528,0.06855826559254433,0.06738072092946243,0.05882293089884899,0.06043948652908514,0.06530998525947401,0.06336685017850582,0.05795534741545701,0.04728907312021194,0.0635655299655739,0.06354932015667866,0.057125937014860365,0.06084813418372915,0.06243801940702885,0.05852237683399927,0.061999742280431015,0.0622304640774721,0.05306174091572654,0.0400042542487344,0.05963675885912842,0.05106664351576602,0.05648334764533591,0.06271081050687138,0.059477227936819047,0.051240411779191766,0.06198466860956439,0.06373131973667331
Bulgarian,0.06403502633826812,0.0628866239925066,0.058400608248179796,0.06463049011558908,0.052402971114888,0,0.06371638005934079,0.04814526822880547,0.0523975076093032,0.0609765587622483,0.067036859375938,0.0644593214646678,0.06081711092819929,0.058024114073391406,0.07249976845043053,0.06519743283052497,0.07100997472113754,0.06729942814117644,0.06459720761102643,0.060087474080928883,0.0580762271942098,0.07037109632007112,0.05908488547682936,0.051657470277912426,0.06524995119899356,0.0582853487879617,0.06360490721945679,0.06358795223682884,0.06294443606813327,0.06191462508795676,0.06370450865732837,0.06324017934149852,0.05967173674083261,0.05454481155389402,0.05510005158981507,0.056069532802417756,0.05624582339341702,0.05643680780946319,0.06271768395656985,0.05397278221096417,0.05927749324464146,0.05304066074596463
Catalan,0.06834915792961849,0.06905578540997741,0.06393591786225274,0.07053160831130555,0.062006884495688155,0.06371638005934079,0,0.058694308462861194,0.06069374909937204,0.06929560276751437,0.07024352392058919,0.06832100375007172,0.06045813611451462,0.056571784279193245,0.07621899070092487,0.07085484719992972,0.07599351703124786,0.07286022108550232,0.06786235081039309,0.06539211601964831,0.054730016442315066,0.06987695244207262,0.06049146231802825,0.06414891874988289,0.06973077793312141,0.0626129200227278,0.06876586018716196,0.06846643772817859,0.06653930221977619,0.06770852474423383,0.05721158039859712,0.06121912629133759,0.06768972857766745,0.0649061984173922,0.060325639282238344,0.06444698436110005,0.06745908933525217,0.053849085839763715,0.06728150289370284,0.06356864685609737,0.06706561647565908,0.059106990772845806
Croatian,0.061229443449095415,0.06104969531880087,0.05855272406390421,0.064419350333784,0.04792222060638472,0.04814526822880547,0.058694308462861194,0,0.04993330150591453,0.05924580514637103,0.0652726724910752,0.06305115677369114,0.05920722426598747,0.05603315045376464,0.07195151644713173,0.06577167807124805,0.06969170939827524,0.06899625934620819,0.06245598374606185,0.05708254775141901,0.05747600155566095,0.0673397519029892,0.05799549656307934,0.05194950731587913,0.06394548867333152,0.05839318523271139,0.05952054474628104,0.061303591544059406,0.061519480408745296,0.056919227818730773,0.05930069594096507,0.06133288674359001,0.05704708663149617,0.04857698123687923,0.05434231922538373,0.050537457225982435,0.05275963054170891,0.05639165352971664,0.06033615103762278,0.054116104617993536,0.05893377403893257,0.054684070724551136
Czech,0.05983893901179604,0.061696107953490155,0.05625770185014799,0.06352233207407107,0.051333811406192455,0.0523975076093032,0.06069374909937204,0.04993330150591453,0,0.06076531500428539,0.06429903100829654,0.06423993170369002,0.059413796415753936,0.05742550292474282,0.07060425124101329,0.0647783524515575,0.06789577663577435,0.06672948293277922,0.060169043455648975,0.05994865460184914,0.0599440129995764,0.06217624502652498,0.0575838915336567,0.05414930155742723,0.06209205283677455,0.058122034705317085,0.05919208359896847,0.06113387496186261,0.0633900223776543,0.05709340382762423,0.06215946539739798,0.06041221251637429,0.055472562861637535,0.05160866989029248,0.05505181511756208,0.045772625961712526,0.05484022002395876,0.059455588015686824,0.06031281275838925,0.051823430202430645,0.05848089937481299,0.05709078015379775
Danish,0.05715877865530719,0.06214978426004542,0.057587692574578804,0.06910193166766453,0.06043275716254393,0.0609765587622483,0.06929560276751437,0.05924580514637103,0.06076531500428539,0,0.061225310089176546,0.05589708497076323,0.06496626311333714,0.06008131235448564,0.060157154076472874,0.06744003186062256,0.07656501196403029,0.07019150058317968,0.05396446388746682,0.05948860072644774,0.05989109459836727,0.07177089469861878,0.06158110356437022,0.06430713838135758,0.06847357942874642,0.05718068137889396,0.05231925480616426,0.06712312013971555,0.060953344687562847,0.06819509845294232,0.06482199691056803,0.0648807614557503,0.06897990549256285,0.06313688065099157,0.05455818873628033,0.06484157094673404,0.06649032851511365,0.059844300607970004,0.05426715026551592,0.062299079755700364,0.06219646492849499,0.05370274120883081
