,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,16.371180029329544,14.30562890747268,16.330390240566583,15.221727288521404,15.79260207666699,15.672196321249503,15.763064183812627,15.579711974283516,15.54637470654037,12.455876221968612,14.498470422829547,16.271853798416373,15.72622292789486,14.879443472346733,16.950910599500606,16.0103206921332,16.27043077423281,14.522889143195062,16.375459425281807,15.537511921174376,15.569397467231777,13.644447336196547,15.54301200439928,16.331416085526048,16.223364275773584,14.873107361293174,15.882606452696486,14.901715018212933,15.113614549828508,15.941681579510805,16.025798395594713,15.476661017519879,15.326806222266738,15.97903285492817,16.022648451464185,15.73488048367517,16.23625711263834,14.652221260950057,15.403369144267495,16.269914200073103,14.721704881109114
Albanian,16.371180029329544,0,15.221766494093705,16.464362621973372,16.519216387985207,16.81284162973489,16.326865850268124,16.581441104278802,16.93707268643141,17.088372333005243,16.77002665404161,17.042262114399175,16.662873024156077,15.834093348354253,16.958302179525194,17.47180491949002,16.496784384577307,16.645520781164002,16.65878352395556,16.602004109869565,16.52138667364109,16.740543023175753,14.350232378988725,16.37063318410641,16.40532719228567,16.904977551486944,16.691146225873535,16.110953814904956,15.73702839354548,16.205960880989824,16.67871422419974,16.69783736111826,16.569729659845972,16.317719757903216,15.266019345430559,16.90232071919679,16.813445774466253,16.954025921969162,16.646386191854816,16.474324219999296,16.573478847597674,16.007976783127376
Armenian,14.30562890747268,15.221766494093705,0,15.045994835290433,16.184409997155957,15.101046225035459,14.583525574638118,15.245719405489323,15.509104111983694,15.015831090948264,15.184849851909147,15.371645187902631,14.885559629716694,14.499105565155565,15.212121186434342,15.399759834848549,15.226499255876549,15.549743124642452,14.647971701774246,14.455486925618048,16.424705298821863,15.62698480726281,14.88147986777288,15.27399683158027,14.888327335047798,16.82643400023094,14.275164570523991,14.462817072917403,14.852997157890393,15.993622742329128,15.332390660199211,15.381458742784034,15.573085253283503,15.198420572711099,15.565354120481691,15.155666123183183,15.311449643027432,15.744904883852639,14.864765129319975,15.704136910903918,15.318646330347567,16.068234740346767
Bengali,16.330390240566583,16.464362621973372,15.045994835290433,0,15.759393259655305,15.785101652753555,15.525499420663213,16.064245630871138,15.588758368361768,16.68950177153037,16.116493616914212,16.03866369634861,16.237612306806,15.995096455295128,16.116262001785902,16.413485085672814,14.122425306878535,14.035405655880865,16.37563797072499,16.235467343628784,15.560586559313451,15.889600299288116,13.777282868436329,15.695488904402058,14.58193620453077,14.379921894300491,16.180039478705975,16.04197305431757,15.489550328114603,15.051286156906766,16.060156381779954,15.953347004455493,16.054076355310542,15.751043745160544,15.785953379291884,16.024374975269247,16.075567690981178,16.105600693922334,15.92420457475099,15.824043782267278,14.319162540320619,15.27997661547847
Bosnian,15.221727288521404,16.519216387985207,16.184409997155957,15.759393259655305,0,13.459136273181581,15.303974025115917,12.020203271524727,13.777080598727219,15.4948423342884,15.697818007080823,16.07178961188864,15.579873170317466,15.372227857305624,15.89434696990226,16.441797898620393,15.864848536837563,16.170329417180028,15.762631347167847,15.712458927542503,16.23536648482053,15.24671591604262,14.220198271597344,12.450763998179163,15.730991136960856,17.28340533620961,14.92708860805957,15.798334267868793,16.075530300404036,13.976880429969752,15.77550470737222,15.772895697357665,13.270720126458333,10.518610955085496,17.1566603852416,13.206345830075836,13.448209638334582,16.163999925247598,15.73216043305071,13.344642205881373,15.913706108919753,16.52242174268043
Bulgarian,15.79260207666699,16.81284162973489,15.101046225035459,15.785101652753555,13.459136273181581,0,15.08323045648815,13.193708638455892,13.787743618611103,16.21209422400267,15.659246064310883,15.554771203697898,16.00426713175161,15.487329492971107,16.080745523087973,16.25295121223305,15.771254058080803,15.942936261410008,15.880196641043446,16.06307553940754,14.944827413107447,15.63647970471741,13.43607923280703,12.87022418333456,15.902542445970369,16.87929566850835,15.667722622621419,16.06351638890225,15.45479514264759,13.836801457894722,15.787553037556323,15.848969139673457,14.094168548750591,13.304569355792024,16.52316298284147,14.33990282227555,14.126183462093213,15.749835185292376,15.808596252360603,14.052046837725392,15.813094988551184,14.748431512933506
Catalan,15.672196321249503,16.326865850268124,14.583525574638118,15.525499420663213,15.303974025115917,15.08323045648815,0,15.201188925622198,15.145654148311879,16.219288121418852,15.302730133011295,15.029704209016352,14.823883048773917,13.74764577425826,15.554493905415239,15.80069467908935,15.135373508409693,15.220454723384325,15.496013627366716,15.585338068183177,13.533445547754008,15.590909389936963,13.390145213133643,15.148804476824395,15.318580280590046,16.329524627033244,15.375422577754343,16.077242884784187,15.029973805946987,14.72314159447775,13.814435527830922,14.623913013845264,15.531305704043147,15.228314957794488,15.849475234003773,15.605128803672402,15.579457422166792,13.495867573478032,15.219531753482066,15.22801700305313,15.596513341864533,14.674465489179939
Croatian,15.763064183812627,16.581441104278802,15.245719405489323,16.064245630871138,12.020203271524727,13.193708638455892,15.201188925622198,0,13.866814430051875,16.043454254010218,15.974712548466108,15.848503469187914,15.941860293506142,15.460841396943232,16.35165747723879,16.606966265685976,15.876963183975159,16.24460898799687,16.077923800921532,16.07750471010085,15.38380828081994,15.827678724462745,13.301633053697266,13.21552700422989,15.796804217258584,17.014623804647886,15.649218663998921,15.95083733314134,15.531975166699263,13.82621940261251,16.277805680495295,15.823516610063937,14.098583200096655,11.826448436554701,16.484381791192607,13.883045931614783,13.210281937562664,16.029818071537665,15.930994558684281,13.777604274852795,16.115722848016333,15.272502248960958
Czech,15.579711974283516,16.93707268643141,15.509104111983694,15.588758368361768,13.777080598727219,13.787743618611103,15.145654148311879,13.866814430051875,0,15.626217607412455,15.674527714639826,15.343292411680249,15.799152895819242,15.63657660615816,16.226464907440917,16.679513890527616,15.89819629404381,16.24609405599642,15.857935174319351,16.02127251079073,15.653804614850893,15.237304951231412,13.924341494334112,14.090368149527713,15.94672313541841,16.660164297585663,15.27537451908528,15.946751686920065,15.580267443554655,13.490806509399857,16.113714696836965,15.871399496037663,13.800015081857085,13.361325470542509,16.584485788795902,12.7297134839267,13.938998619036454,16.068440812199654,15.626228402984779,13.628604873490108,15.676535957451584,15.159520099459568
Danish,15.54637470654037,17.088372333005243,15.015831090948264,16.68950177153037,15.4948423342884,16.21209422400267,16.219288121418852,16.043454254010218,15.626217607412455,0,15.08884130371931,14.712373924915251,16.588643495024886,16.454200032613297,15.090835708091957,17.157923678071537,16.15543191203092,16.311739163769815,14.871848565354464,16.7321141580659,15.264939005236977,15.957318296960896,13.84490030377087,16.052086414277966,16.536546258589812,16.151534398680997,14.715546166581328,16.79960899108498,15.529577768180552,15.191686024428927,16.370051698188885,16.267981521871658,16.0216249534911,15.99603707069548,16.615505712667183,16.40191196341438,15.993018864615866,16.629485484993037,14.40164980483359,15.820279010495542,16.32560525481423,14.56018849255464
