,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,47.42497484254401,43.17812736678289,50.948770849460324,45.93035521775542,48.758719748479706,51.14354862210811,48.06535437006091,50.063511815797,47.05732991754094,37.36796651972796,46.112455174571124,48.89122643186517,46.259356080078064,45.20494025321573,52.04328890409905,52.97400118199718,53.04365262946574,42.900428532602625,49.10218564771823,46.69335827627473,48.53518604330608,43.714597243838696,47.257799354912834,51.946080448662926,45.9065533888363,45.87488823894118,46.81640613417979,45.06127925458521,47.889025332811364,48.030945926545655,49.85709009843418,47.11722206386803,47.20910298379601,43.883664842448255,49.50754120146597,50.09342099499335,48.983076194867344,45.192486723397465,46.57896427679004,49.54602384355171,44.21819089579898
Albanian,47.42497484254401,0,45.91798764562283,50.90102079531468,50.0655090007658,51.91378459672023,51.68851991344079,50.96495457654136,54.11284005231594,52.74395479772716,51.55663737549242,55.329212584266536,50.33638339026441,46.45603174227599,52.82741842194144,53.19062235235194,54.07297727738947,55.11088104476641,49.87300368338085,48.71206214647214,50.267498723007684,51.61516038102197,45.41079132077843,49.83178973016689,51.82156163128117,47.99550960129832,52.2945173792651,47.28976991898056,47.35642382455007,51.17894012615999,49.62791848928404,52.44583884873607,50.488234951241125,50.619714798112845,41.78288248898754,51.905014109544936,53.00924706405886,50.94402768716673,51.826308892204196,50.191662085327636,50.366970616584645,48.381617458877386
Armenian,43.17812736678289,45.91798764562283,0,47.498088510504864,49.20530444580845,47.24202755277774,47.26045675126652,46.386761613209394,50.20049533257586,46.85457955531513,48.12264248014002,50.456779630144,45.42068448687982,43.822446575789996,48.0334710360336,46.46368861708942,50.89001446140639,50.85441166122925,44.042296956109794,44.13868196494599,49.24448600813864,49.51251112584989,47.7562860038407,47.345347775586944,47.81545674477785,48.35446608170341,44.87949088771421,43.08043460752074,45.94041447243669,50.939393480675484,46.739092159923565,47.63290869037167,47.59259955879933,47.28312205395475,43.65264453952644,47.22905042475919,49.177861157021134,48.26658785788428,47.03272884674592,47.660105496983455,47.28142955456246,47.68987072555666
Bengali,50.948770849460324,50.90102079531468,47.498088510504864,0,49.14980845367949,50.702745440557266,51.75099235013005,50.55597485531398,51.60503223303759,52.89980032514696,52.02897569584269,53.30144429596417,50.872462192749744,49.65693180639778,51.970210748065305,51.76268846399094,46.424772312441306,45.44744197337673,51.61505624115873,51.048799391203794,48.39760333452412,51.30428543407852,45.781806690749065,49.7724210497737,46.43420545964068,40.560160437264614,52.73524147154447,50.040897468381274,49.23835763038444,49.087519505852086,49.72419030460983,51.063894295747595,50.71069350336331,50.20394135129605,46.03434115951052,51.1579857473279,52.128711903867355,50.25927999270737,51.77532288384284,49.31875994993481,43.64387874172889,47.40031998784121
Bosnian,45.93035521775542,50.0655090007658,49.20530444580845,49.14980845367949,0,40.535507214926824,49.851581216715225,33.611856629412095,42.880036706430346,47.404310043223596,49.39706150830099,52.73616363829608,46.65323136577944,46.70312146320246,49.245722552641155,50.184470447373826,52.82002281170493,52.553792125102,48.324079911822274,47.94215148983163,48.42897612794704,47.49819318847003,45.44363966370171,36.0319962426966,50.78737942555056,48.283866141416574,46.797336905511536,47.719656628362344,50.601626507219045,42.67253138103885,47.586240280292756,48.880861843873596,39.048385699406644,29.212332331175386,48.604424292474214,38.74153504042993,40.47683470318359,48.74222419375714,49.58228872671919,39.240732243577064,48.68933393156722,49.7935368935035
Bulgarian,48.758719748479706,51.91378459672023,47.24202755277774,50.702745440557266,40.535507214926824,0,49.91917190652301,39.08391859551085,44.30575022490158,51.00937326050184,49.86687380309099,52.07546329896893,49.28622965470071,47.8201295484605,51.415679322471426,50.5807669260543,53.98826244598345,53.504258145770436,49.43428095501558,50.01329791448397,45.47475394556702,50.414727904473914,43.96713129560575,37.965317771522905,52.79170864222418,49.60638357587957,50.886637153651854,49.581089258040144,49.72183065300005,43.48714315019089,48.502545417335,50.31045101843201,42.8493937921432,40.406731244240014,47.77621191769159,43.50571670775835,44.20797542690658,48.21918289353262,50.86854702392193,42.56798781737917,49.44181189757226,45.16892831826842
Catalan,51.14354862210811,51.68851991344079,47.26045675126652,51.75099235013005,49.851581216715225,49.91917190652301,0,49.063589244856146,51.59588958636259,52.3191649900333,50.599202384085174,51.45432515803447,46.73965827191773,42.28196192976982,51.850384446329215,51.15243306998589,53.513834403046964,53.29686501908621,50.458296746432126,50.68846124746457,41.68747378596112,53.27243354532423,45.94495127860765,49.388328169232885,52.229657150393685,49.763881692998005,51.24261617218951,51.56527705433719,49.78671742150059,49.86710370951895,42.34140800744479,46.55212406799608,50.543679211933245,50.20484738366334,47.802857160203835,51.149623997247396,52.274487065203736,41.22578523903059,50.73643985016083,48.855629968101766,51.27688976950869,46.46654587144216
Croatian,48.06535437006091,50.96495457654136,46.386761613209394,50.55597485531398,33.611856629412095,39.08391859551085,49.063589244856146,0,42.73255584793021,49.471064583569934,49.95296968259387,52.13778287504724,48.32934550837092,47.18945491859243,51.00574450640849,50.45125478164796,53.28238013449269,53.4530765275471,49.19472973335057,48.95714540401359,46.28397901505934,51.08942735291808,42.76868002532101,38.453953773215495,51.01916492570166,48.76261188516046,49.93962070660035,48.01422830563533,49.25329573037346,42.86936564651415,48.97295762791975,49.45531169073234,42.2079076539565,33.23013413499102,47.06496765041155,40.78891407197249,39.046271910716584,48.08054613013577,50.424463998890126,40.52103924037511,49.81238489127429,45.68250101006513
Czech,50.063511815797,54.11284005231594,50.20049533257586,51.60503223303759,42.880036706430346,44.30575022490158,51.59588958636259,42.73255584793021,0,49.91422359504331,51.13718511469427,53.07612800207534,50.130332929980526,50.519610485499285,52.91524112005976,53.45544146081736,55.959879195222044,56.21997694637111,51.283798415210114,51.14550464136982,49.29995976008931,51.131483971206045,47.28556373699009,44.71265568587638,54.53695507042932,50.23371539044578,51.114765065596416,50.48519773587193,51.01872152508054,43.416541056945135,50.23355646779358,51.90147935501473,43.515555350707864,42.43601647099947,50.37515365483075,37.696105337695336,44.44069009394533,50.54760227204612,52.08070525850375,41.881276924074065,50.61736567572422,47.54929551483452
Danish,47.05732991754094,52.74395479772716,46.85457955531513,52.89980032514696,47.404310043223596,51.00937326050184,52.3191649900333,49.471064583569934,49.91422359504331,0,45.850048735751756,47.86109615795527,49.90601889383619,50.210247685791245,45.48805831178462,51.88521578924219,54.108236297232054,53.35823401004318,44.27804925479604,51.33966035153053,45.59796680843575,51.03880556418592,45.41419579862883,49.76962101025401,53.65471490211034,46.56983685037083,44.22903134400306,51.105153202256076,49.143523573968054,48.22374745074191,49.16320914922496,50.43508045052804,49.31164541482331,50.108649479794174,48.14318340031168,50.48804982650863,50.71461858675724,49.89509623425497,44.15268379031456,48.274835329985365,50.42382876034846,43.5963072414676
