,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,45.83763866118184,43.36613900432129,51.78182628080479,47.13084810681651,48.234753101746875,51.122188852010986,49.12148245680261,50.44198283070921,50.174439603249,43.18122671657177,46.847448961129864,49.54646113916578,46.561562399275715,46.56410428798561,52.31532130915867,52.572977629702834,53.87827958865601,43.083664950704446,49.54882171881412,47.18501255730534,52.319297782399296,44.77506272632178,47.98618178927403,52.52534369121162,47.35023356663844,45.93058419516962,46.93154855426712,44.65151212478141,49.54994250041731,49.983339787971076,50.138831871085905,47.48109689780269,48.23338941696928,44.84341604562387,50.70236482186848,51.56010304351978,49.11567010147174,45.64644338366316,47.188258756709196,51.06288130688635,45.002139253161225
Albanian,45.83763866118184,0,44.69452675575445,51.30697857478233,51.008119550607624,50.76264014266664,51.21031710745985,51.68651581065293,53.47590435750161,55.14791474648007,52.62229883619141,55.137465650674905,50.74905819693298,46.2042183262967,53.14466164826265,53.143498513917415,53.59690528994327,54.640329165767156,49.33286726044932,48.12795374394709,50.150736600532206,55.55851786617444,47.16319852618256,50.69877171966936,51.71189678270206,49.879651668958495,52.171455764722474,46.27911400626908,45.762078137755076,52.67217397445879,51.59314862675914,53.46847263834383,50.74785213657958,51.17256831595636,41.64095851065645,52.43215828416077,53.9747090971387,50.87087619628889,51.27246293021308,50.4678878165284,51.36078731054663,48.87371319932233
Armenian,43.36613900432129,44.69452675575445,0,50.61319269645605,49.822211823137245,49.36551102913388,50.513368095706184,49.93276654375783,52.51668224663831,51.684441385075964,51.935211212746374,53.788503655761915,47.69323024337863,46.139110644253186,50.59213259236553,48.43819520174311,53.32242145569337,52.993473324395175,45.65748473394173,45.555094569206595,51.26337174434752,53.829195733556226,51.295443025470085,50.82738456572278,50.49110621433547,50.94631677733697,47.67701432778687,44.66059238437624,46.72163069887091,55.08919813095541,51.171120478421656,51.08512628131265,50.167770099552875,49.98720248957964,44.9671831181105,50.35290124913385,52.088159215675404,50.89060782565254,49.65998704354862,50.75668981128785,51.13947222686364,51.690498698197466
Bengali,51.78182628080479,51.30697857478233,50.61319269645605,0,50.08484895194099,46.86270762411724,48.5158499519022,48.4063439588456,49.26576158749948,50.42611598425025,50.15076347764234,49.90916801478197,49.18319230983182,48.11502663555576,48.274296991314344,50.92751401327862,44.29345834374088,44.969571170044176,49.521928183516444,49.525659391969526,45.516157488300635,52.49148349336616,45.20648542960673,46.1257533982442,44.77478814011087,45.61046403081937,53.054919063814765,48.401829048451425,47.764130464781466,47.20565295695626,49.11104566574711,48.63950489284837,48.44800443922516,48.07867039270764,47.595405909009834,49.03210867670646,51.69084578752809,48.09622477829507,48.46487975071662,46.55728098540917,43.13849387051517,44.22339046783532
Bosnian,47.13084810681651,51.008119550607624,49.822211823137245,50.08484895194099,0,45.247712324833934,52.14870829562588,41.15654669871734,46.601327209768925,48.89962568336602,52.60447729600514,53.18044006386823,47.56600680085832,49.82523007726123,50.43478910416514,51.65061748636927,53.73276160366639,52.05342173297674,50.223997093778245,51.26481541708563,49.22233277653788,51.318311304907816,49.042156970047095,42.73321187783148,52.40857292387072,46.59901100264315,47.52613626696891,49.89471430800243,52.217153115724564,46.4744726253892,50.71127594277241,49.206872088858205,43.04768714789791,36.13997653053179,51.539572255280156,42.18571530408522,44.046886232895446,51.61196143009033,51.14919957636819,44.08267936897515,50.089350786999,50.81922316994242
Bulgarian,48.234753101746875,50.76264014266664,49.36551102913388,46.86270762411724,45.247712324833934,0,45.49838135637724,38.93423222477064,43.549797730657765,47.84409720243467,47.39639554515908,46.13267638616158,47.3874803534752,44.46004741203,47.48947872271664,49.74873538710867,48.191031126551586,49.656583183753696,46.41083236925699,47.15506111418751,43.829627595982195,52.57841592619303,43.25130887611143,36.31810147636156,46.937075102604474,52.09258530884882,50.955896071690965,46.57963073357256,46.53252910977705,43.12792631328392,47.46643108722035,48.27876152725965,41.62956086417454,40.35293199744677,48.19617349243645,43.43847472060127,45.46779163872121,45.131578557667645,46.62339478090993,40.31205598236943,46.0611194352583,41.452653287347495
Catalan,51.122188852010986,51.21031710745985,50.513368095706184,48.5158499519022,52.14870829562588,45.49838135637724,0,45.72109701651532,49.7460390783615,48.507589722489584,47.944289711680064,47.45581635541345,44.44398028884854,41.87784729286934,47.95000223594147,49.331843939480216,48.15942186738434,49.780358299642224,48.18998068919328,47.98413504637408,40.907597833351424,54.49529692351186,44.49123161468475,45.58563751060299,47.139887098723655,52.76927065224885,50.49427443240832,49.677171391285086,48.114065057943094,47.481727589166645,42.514635610571645,45.39187351685552,48.27205644607522,48.02348545294775,48.799967641661475,48.4678533116045,50.00182635730341,39.022300147695304,47.160858522770575,46.345660127181254,48.07594915753428,43.29559901276767
Croatian,49.12148245680261,51.68651581065293,49.93276654375783,48.4063439588456,41.15654669871734,38.93423222477064,45.72109701651532,0,43.55522619899695,47.72359581024094,48.70559418417179,49.627567372044126,47.061691819601634,46.359809905935926,48.53753294380434,49.164265201959545,49.63863267056652,50.510556521435085,48.01302011619867,48.114629331155875,45.27359430407458,53.48906604302962,44.0404630054163,38.994766028318224,47.743659288224656,52.93541782246192,50.32144985969127,48.05853346725266,47.684952799194924,42.40031846819103,48.150569762762906,47.881231861490114,42.76711792109154,36.86495251827524,48.770352607162344,41.10353790594609,40.94712321374083,46.269495326463726,47.6246381816848,40.55309730222601,47.67977632393065,44.261262184214566
Czech,50.44198283070921,53.47590435750161,52.51668224663831,49.26576158749948,46.601327209768925,43.549797730657765,49.7460390783615,43.55522619899695,0,47.81758551136827,48.76581801116492,49.29917477328017,48.921208231319774,49.17445060109459,49.257304529045314,52.234111405166246,52.30262703308139,53.10295912384729,49.60078528579239,50.735133111876166,47.287842481309504,53.47825799520177,47.24542653797084,43.448666887677305,51.40238419463645,50.727655495550174,52.00138167731597,49.20569699199189,49.60855517485557,44.470040227120954,49.68187664044244,50.25682914664602,43.786330279673265,42.18130599184607,51.626551497154935,40.3875114440534,44.626770023431675,49.24233113593232,48.65699457851076,41.776612774223786,49.0119353896337,45.61101406536535
Danish,50.174439603249,55.14791474648007,51.684441385075964,50.42611598425025,48.89962568336602,47.84409720243467,48.507589722489584,47.72359581024094,47.81758551136827,0,44.64386673331299,43.63459350560457,48.36560756581852,49.9307447076383,42.837131400518935,50.70380131517147,49.77736658635734,49.81462906450016,45.1672951098254,51.266394109773806,42.84575857188225,53.95701758661235,45.63658612287793,47.614834393582605,50.13092736892174,48.48259141617991,46.39775069000017,51.997515503574775,49.23457641803272,46.13538127265253,47.57305134196098,47.446917474800294,48.42427402318625,49.310557987658306,52.16920514081839,47.77607890630216,49.30230793407784,47.29922062762363,43.16892079388619,46.29666751007285,48.79551306242669,41.177374485804265
