,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,51.01319775376506,45.196660702652366,53.66306797243996,48.593828029324634,52.67842461832108,53.56263533385324,52.95779336360887,54.22504889225814,50.88643851627851,39.54647258726264,49.24324665957733,52.57106078231667,49.100828126418534,48.31858356608168,55.395113790518565,55.42780065615779,56.568399995067814,44.932591514075284,51.776016385674495,49.89176190944625,51.691297787166626,46.451264977699054,50.34621297983454,54.79810128552953,48.82123575446601,49.11040523365233,49.25358564525982,47.74556369096145,50.91521979923978,51.30738144010122,53.05414779101087,49.952049331298745,50.121395776172236,47.20602018116578,52.81372002035102,52.83745665784415,52.0664900072403,47.72600704130642,49.90220711767124,53.08603403679343,47.70811247052363
Albanian,51.01319775376506,0,48.32156008031855,53.62482566996619,53.26622867594298,55.13889096494749,55.19434164447051,54.39827794898092,57.69365907776912,56.778595637105006,54.69988397289884,59.20996719939336,53.097018808946956,49.06678782595426,56.043951177148884,55.60872902463889,57.39070845274668,58.617181591579104,53.00627616405997,52.43792403454507,52.79679910896731,55.309933959003025,48.316665537408475,52.86283764575967,55.08353420677446,51.0356608237629,55.6380119577674,50.012885410533016,49.894746873153274,54.255104874330414,52.51247715873407,55.05467041093563,53.328261272212075,53.3344246684,43.74870608049562,55.224008601007654,56.41463316000004,53.41895863241202,54.42481353287272,53.02141520875247,53.2998419076641,52.05811416846872
Armenian,45.196660702652366,48.32156008031855,0,50.190353323042615,52.043710089835706,50.896626650876335,50.18563875479966,50.72681920976154,54.26510548186522,50.526142275070136,50.874379626149334,53.96721163461398,48.1036775005271,46.130341148731844,50.99009690830018,49.04311918374726,53.84507297981383,54.28118603847243,46.17632295123741,46.549619942387274,52.511158227603865,52.45034893301902,50.89836191067356,50.31704267760117,50.861638917398906,51.59009888081495,47.982836491301946,45.20467433057861,48.21095921158476,54.42861819750011,49.69993678140713,50.43728084307461,50.45632823157078,50.0443321561126,46.04594824969527,50.487115875539914,52.28700743000757,50.94518777244335,49.59582285779701,50.881401881162446,50.40131215908751,51.687385968804286
Bengali,53.66306797243996,53.62482566996619,50.190353323042615,0,51.76517188038018,53.04201066837235,53.31167444233173,53.783340467076805,54.675115893903495,55.68204930410907,54.2552205783223,55.97378237216356,53.37532256313623,51.75299217114789,54.51603707260274,53.67099672113482,47.49650298056202,47.149974473990184,54.13632363740436,53.535444379126346,50.469220495252415,54.218228549444675,47.83562510295516,51.76450856975642,47.745529917586026,42.02617826009375,56.129105618820944,51.545875682940824,51.50432440152973,51.24024409667428,52.35218527869368,53.11700403878826,52.999964749407944,52.34957579601329,48.25557011239791,53.21491045210531,54.57660830004043,52.144629826314365,53.35518271955905,51.57749404860822,45.101153257844736,49.806989210039795
Bosnian,48.593828029324634,53.26622867594298,52.043710089835706,51.76517188038018,0,43.16937345759467,52.353152551150465,37.07400496853541,45.96416942424119,50.52745748786701,52.35873387373968,55.730468271335425,49.32812897984585,49.47887435606069,52.684316169632865,52.65048034842726,55.41030918374575,55.53676075040394,51.10557608375773,51.23701036892765,51.43515197678872,50.60371850683474,48.202854859620174,37.83490847411656,53.40516808579297,50.77601061669966,49.68421031209958,50.34036422430221,53.42783916298006,45.06398178270736,50.44431086529907,51.47640157969231,40.89504586384703,30.173017079061445,51.808943702308035,41.01203777460116,42.9653061128057,51.71508421555408,51.905984663864004,41.212862028137174,51.64601577256394,53.212399098916585
Bulgarian,52.67842461832108,55.13889096494749,50.896626650876335,53.04201066837235,43.16937345759467,0,51.73590194579797,39.839832935690644,46.19174023265873,53.054881258825944,52.610466362344205,53.904784809970806,51.880007683335016,50.65770783087283,54.85544104426192,52.90144446980373,56.339289986410655,56.453351429328734,52.71951605435752,53.313259245378696,47.359549278626446,54.22795836331747,46.42118293151063,39.52400813820128,55.06802570284281,52.52430628436498,54.54114044666462,52.35190300467913,52.37944954962811,45.592917405538415,51.146465711401326,52.68170901478781,45.22385202869513,42.324769369067546,50.80550619491547,45.46011697093132,46.64386064985904,50.44756205260002,52.61668458884747,44.27340897180346,51.83787678860851,46.81433987038687
Catalan,53.56263533385324,55.19434164447051,50.18563875479966,53.31167444233173,52.353152551150465,51.73590194579797,0,51.71573140221474,54.62801254510023,54.86431171915901,52.50849762978903,53.491102323284125,48.72143109041282,44.26230131318351,54.368126464310784,53.16078024870008,54.528011905708446,55.321944514572365,52.81682140175376,52.503548466468246,43.54634158874264,55.680505859665054,47.49756224604177,51.237828913768496,53.357568079152074,52.31399245928431,54.27453976842934,53.558304327597725,52.2197829876451,51.64158573838844,44.155639267916975,48.55348802081853,52.803109947913555,52.35282204470983,50.92863069118319,52.977447213326215,54.28434073483651,42.17051961463961,52.44763672334553,51.13742836680589,53.212842912139074,48.67644560566522
Croatian,52.95779336360887,54.39827794898092,50.72681920976154,53.783340467076805,37.07400496853541,39.839832935690644,51.71573140221474,0,44.76103226261752,51.88060581897276,53.48329096078524,54.96747532060491,51.057143873845504,50.4210719203281,55.34437233479792,53.14993665095011,56.83995051765696,57.41855152822135,53.167781647864395,53.03627453743243,48.757168359943265,55.44235040498998,45.88052961713587,41.1079014055089,54.275668496716996,52.88547538224228,53.47180532644611,51.674269296011616,52.35336571245152,45.54352029083408,52.10563974895047,52.221757747143016,45.46089861766268,35.88570283240243,50.41562588783743,43.13142480626029,41.966281279092385,50.680981361113275,52.82852486301839,42.7617685682267,52.81232674607498,48.330606775986524
Czech,54.22504889225814,57.69365907776912,54.26510548186522,54.675115893903495,45.96416942424119,46.19174023265873,54.62801254510023,44.76103226261752,0,52.494008935017085,54.460913591450954,55.980448741687105,52.94553468624083,53.59759000889042,57.076761372590205,56.57580867934756,59.161667652716304,60.06957727618979,55.242971666956244,55.0106208382353,52.47377098524411,55.53705802083801,50.95647709357801,47.18578653470545,57.80274244842847,53.60255125444628,54.54621985072124,53.892615490328005,54.57191937960401,46.08049812896223,53.46953451890724,54.88176083902227,45.8515446782904,44.76483178339087,54.17549542393949,39.65129582733854,47.364184959228936,53.82331641413053,54.306476412102725,43.99492100703937,53.799619471107725,50.59314017971938
Danish,50.88643851627851,56.778595637105006,50.526142275070136,55.68204930410907,50.52745748786701,53.054881258825944,54.86431171915901,51.88060581897276,52.494008935017085,0,48.61377421970122,49.539153054804274,52.72616006768551,53.600718684913005,48.473385838011154,54.628197676584996,57.07054154755061,56.55075783876918,47.369150341513,54.862078311215264,47.89241316469615,54.85466741167233,48.05267562344814,52.72286940318382,56.63062123908654,49.20388136770496,47.21125710143756,54.424476857703155,52.25207178469277,50.915616992157524,52.66653800304517,52.94501114548773,52.46055157294708,53.01394210356756,51.901548683468185,52.84294903924516,53.488535237464745,53.038247765949485,45.57930519685994,51.067133643517906,53.36525070842375,45.57165632409352
