,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,2.796113494518366,2.348972489141777,3.0158414288518243,2.5703808025592227,2.8769398225014013,2.971916917970759,2.793387795327019,2.8666065740320437,2.666451641046339,2.160650961846721,2.5813581646719426,2.756940584888057,2.691742304909961,2.632661454640806,2.781105805796473,3.0988930456803288,3.0178814868848787,2.4336822562966445,2.76872051900505,2.507484850653926,2.8154176591577182,2.6842939354783173,2.723065598379109,3.003122113954626,2.487648360992215,2.7217639822149047,2.609959493990086,2.5839378830762,2.705667764984434,2.717757389665301,2.7625865080580287,2.6600400926534835,2.7033797594374946,2.4879467790794183,2.7992670500564474,2.7724127566570473,2.6616780029088996,2.658237051563676,2.64031765245476,2.824756333566962,2.399753335346095
Albanian,2.796113494518366,0,2.5218328288629746,2.977611329781522,2.8183026859321703,2.9093440622672144,2.980771205816272,2.776528549162564,2.9903893377692765,2.9245123615021087,2.851128206131543,3.0508298249002275,2.7158333381228625,2.640137032454847,2.9981364348706876,2.7420245648559813,3.1702263270289874,3.106544407613791,2.852884863675602,2.762381555470304,2.603117393277426,3.026267735157056,2.7983450096311864,2.8279830736948814,2.9726259319297554,2.60795296067775,3.0211487534903188,2.623250609239014,2.671974999272365,2.851069253438966,2.708307201037647,2.816606345732754,2.8247248900200184,2.831951025055302,2.2904735035562087,2.8919092584288895,2.9047838720931995,2.650487231674497,2.9377621591927676,2.760629439653577,2.798664076672491,2.5971776907874675
Armenian,2.348972489141777,2.5218328288629746,0,2.6867394400389624,2.6504019020929777,2.6438665293568677,2.6471655925128297,2.58710680192414,2.7737854938895685,2.5351057664015175,2.585504181333648,2.7286285079111203,2.416025728200218,2.404992816838635,2.625189749900408,2.386493111690945,2.8762976691552504,2.7953660113000183,2.385700617875308,2.3611013353107055,2.570398750498952,2.7680160692623224,2.8527625058642903,2.6151902454587703,2.6613920404032645,2.5589199250838504,2.5060230116332325,2.308823030762939,2.5055505546105605,2.804148051212559,2.533058315449939,2.536834493726334,2.5861447172687604,2.5892307878776735,2.3422156252746285,2.569488245184307,2.6395609740191337,2.515244766192668,2.6185011490744614,2.597143203671809,2.5914664244180883,2.562245301929091
Bengali,3.0158414288518243,2.977611329781522,2.6867394400389624,0,2.7621398767204037,2.8669972215744557,2.9131835961776376,2.794168579998349,2.9145929400525743,2.901500585633818,2.9143873757038805,2.9572390689231223,2.808103224225631,2.818143110624163,2.9661069981836388,2.722927667759829,2.6748210043314886,2.5605862349485076,2.9625926830819145,2.888915885939091,2.5609085066065083,3.0015538311791827,2.7902785941909536,2.7776497939026594,2.624438864827033,2.2157231298577003,3.0941928272718404,2.765388028439483,2.8205012625729577,2.7483198173943006,2.794862406172705,2.7796508354832006,2.8201320466536597,2.8024729079755217,2.5939120799069135,2.8172498934281185,2.84737479423596,2.6812660641578585,2.916004913590684,2.6934501087568425,2.4431369259805056,2.5511759252588604
Bosnian,2.5703808025592227,2.8183026859321703,2.6504019020929777,2.7621398767204037,0,2.2906431747464753,2.785546080676648,1.9736273864921956,2.358783954062805,2.5265061664966213,2.6967472304576257,2.813211533682241,2.4683172260317807,2.6209640349970913,2.7246902860069744,2.5650939893883744,2.955546587328177,2.8652264227781554,2.655296778328492,2.635717314561864,2.5304296954163887,2.64054200079436,2.662729972416658,2.028834424102705,2.805200045840163,2.4914208211040187,2.5849368884792074,2.5964257835384177,2.7811843384454935,2.313159085493867,2.5875579000775524,2.577289649495135,2.1130297271517664,1.6246155567215017,2.6522528711883564,2.122471361105918,2.1851056991861144,2.5938838007613905,2.7348510107451967,2.1128996920099135,2.6531657031641216,2.617906364176525
Bulgarian,2.8769398225014013,2.9093440622672144,2.6438665293568677,2.8669972215744557,2.2906431747464753,0,2.76063624200686,1.992337395445523,2.365110285591114,2.6408418952817243,2.704161584466076,2.7308345694530445,2.583095253130464,2.6839141830975004,2.865413886718327,2.556290426387375,3.029910319791635,2.9288183805606414,2.795461589494086,2.7578071883568978,2.3063446521643156,2.88566183751941,2.605631662155309,2.1092192990785565,2.903083537953166,2.606387921894319,2.908095072649261,2.7026887217549156,2.744167386681654,2.3303286743118057,2.590809210395627,2.6417313664682114,2.3575002049446767,2.244067429815472,2.5854490129600927,2.3413214529982014,2.409334342419473,2.4702152411161933,2.774423019025615,2.2432243487929693,2.646667385724885,2.288926401008471
Catalan,2.971916917970759,2.980771205816272,2.6471655925128297,2.9131835961776376,2.785546080676648,2.76063624200686,0,2.6697982197800267,2.86201519232381,2.817904741686617,2.7719859549531236,2.791502792129808,2.5214108902213224,2.4118558689102665,2.903648969647559,2.6636976641072234,3.0118519725055872,2.9616871330143235,2.8447226571053297,2.7922925382864956,2.2111876470287957,3.0143193066014065,2.7007928315711416,2.7302986394931086,2.882557057832295,2.6583428828613234,2.950420834413074,2.812891207547481,2.8017341321027334,2.7054864098866984,2.3407845537284433,2.5132729861915863,2.77859030745016,2.78842915122467,2.6724376000441996,2.7659788872445303,2.8322216176843225,2.1795859276382523,2.8354923680129285,2.65970261883182,2.801807016216058,2.4616254320004844
Croatian,2.793387795327019,2.776528549162564,2.58710680192414,2.794168579998349,1.9736273864921956,1.992337395445523,2.6697982197800267,0,2.1932332365621465,2.474036023995505,2.648397144858433,2.6987042288954264,2.4361871045771535,2.5658271438261444,2.799528118112656,2.451122828890777,2.967872830678215,2.8930780449796214,2.736880596599525,2.6380902402541997,2.3031300175852847,2.8636936829394197,2.54499258018322,2.1403829269095906,2.7624729323654464,2.532747536757525,2.7482668654198337,2.567708916636277,2.656014934050303,2.2777496294313067,2.5376609053647936,2.5240491303940082,2.317184430405026,1.8973433867044631,2.470563531288658,2.16307663661532,2.10711452218201,2.386453043060617,2.6799491043043018,2.1062708711226317,2.602802504429341,2.3010457603826553
Czech,2.8666065740320437,2.9903893377692765,2.7737854938895685,2.9145929400525743,2.358783954062805,2.365110285591114,2.86201519232381,2.1932332365621465,0,2.595254678837678,2.758626401440377,2.7925037008909497,2.580978512508879,2.7629531259213462,2.9582869220846852,2.6867178710278163,3.115204509197141,3.0493663047969712,2.868928828201311,2.7970053406007565,2.5389309833353626,2.877044005146415,2.799190902318669,2.441340885877972,2.9794582974204302,2.629847294144328,2.845746095979446,2.720677750635281,2.8122538796763377,2.334826698755244,2.660896336512329,2.712779745565072,2.336925451033853,2.302028470352731,2.701882813298735,2.0269853602071515,2.4011693536592302,2.5871224238552317,2.818151285553763,2.1999059583505653,2.7142022400228885,2.4590165764162935
Danish,2.666451641046339,2.9245123615021087,2.5351057664015175,2.901500585633818,2.5265061664966213,2.6408418952817243,2.817904741686617,2.474036023995505,2.595254678837678,0,2.4254608833513664,2.3774433218183537,2.5380910120982456,2.7163679848276803,2.4654372460436678,2.521984033354517,2.9864636084837124,2.830199972993698,2.429292072302663,2.732409419266027,2.2649696957862067,2.8431376752285256,2.65375272854253,2.6532174383098495,2.8820195334377505,2.3484803021977387,2.4464899302514116,2.691167046799744,2.6538233147425565,2.5353108889983473,2.541994205447589,2.5495776379891715,2.614961778428372,2.6555327992107105,2.5720656828414143,2.582790170256789,2.623688163453831,2.4610943809441808,2.3550248548709023,2.4888634372872813,2.616207078074776,2.1457983416180832
