,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,45.391934082737684,39.376050615624884,47.6398274870246,41.88271452742922,47.06607957008169,46.91167082943575,46.50481854588077,48.33487513769519,43.5805749681555,33.20597115932954,41.15146180523899,46.73719984032146,42.86730579904144,42.57121091387128,48.578275705149096,48.50381202128614,49.33250291196719,39.1795890362505,44.96197222070482,44.50387572985191,45.34263998883115,40.98193746181336,44.19697363573351,47.38391530222037,42.42096819974123,42.19678835498911,43.10897860864652,42.404736174180485,45.07897188835632,45.16197131800886,46.82879227653832,43.80456744628881,43.908907548717565,41.641655429745015,46.1731163079489,46.362810361799056,46.0079384023972,41.058214001660495,43.47446428582104,46.715422307188675,42.136084971012195
Albanian,45.391934082737684,0,42.11913234334384,46.78189193566913,45.6114647559893,48.59471360273315,48.927197547775855,46.952393236910176,50.762717882147605,48.660872534351,48.34950011038261,51.36255464712586,46.2401291878502,41.87348851134719,49.6363324705923,49.0648177153522,50.35662171381159,51.00129789749444,46.212408488969096,45.88973619000689,46.59495396209975,48.6297350249808,42.295077701505676,45.81598732111415,47.79006865055194,42.60902333233725,47.7015842408957,43.238381346383925,43.71240492507347,48.26273854028333,45.754382176200146,47.678075899178225,46.29960187382037,46.10784934574759,36.76674735040216,47.84944693912958,49.4874809716237,46.749422483747445,46.98291873598524,45.560223466948884,45.766080165890656,45.43279920384507
Armenian,39.376050615624884,42.11913234334384,0,43.13768835316886,44.11153777949193,44.08892050748293,43.25129517479295,43.11908151959702,46.720112014311766,42.18988015138222,43.28943086588361,44.9217378111216,41.365684130012696,39.28782143792087,43.516057656678704,42.06958628420187,45.86239381256449,46.36939995812041,39.48494721376624,40.0833198175727,45.469346846083525,45.70039954722432,43.556788142946836,42.49651694509414,43.225340687746865,42.8056485027571,40.682535569106406,38.62840180157977,41.61200670059237,47.0494589324677,42.73321676130976,42.69983024750155,43.09409564545897,42.64347161961357,39.75821170699438,42.84823977029682,44.82634326584943,44.12879935462802,41.42654722567322,42.95457873970641,42.783133466018114,43.929516194620625
Bengali,47.6398274870246,46.78189193566913,43.13768835316886,0,45.630415472279005,47.80847466934179,47.48026468247152,47.501738925155614,49.534683320751725,50.12636816876186,48.33158779349895,49.217474845396964,47.761641616472446,45.32210220787582,49.718381331187786,47.01680385925534,41.12297820568234,40.780925375559164,48.14536735597215,46.95557422648242,45.31476335589626,48.93797889849809,42.47836298805638,46.12433638010675,41.0633835996865,35.58879738358706,49.98498910310018,45.069717114904414,45.65796423227138,46.17414617449691,46.21936347505272,47.44956211785198,47.19814145137421,46.499827606965866,41.499213913422366,47.66761914150962,48.652066744208874,45.664758107978415,47.39249398782668,45.630697872146825,39.55999803742921,44.68148338899156
Bosnian,41.88271452742922,45.6114647559893,44.11153777949193,45.630415472279005,0,36.4734336593094,45.67422321784743,30.446465789961135,40.001991755693666,44.27527026123957,45.45839337043274,47.69917617378766,43.522543274513595,41.95741711571063,46.88308562700699,46.092859979202984,48.32255244608919,48.7253238632044,43.56536559275221,43.92299076972104,45.419749260383945,44.76268335720002,41.52412869291282,31.066673136139972,46.13499194380673,45.12073348620709,43.41342232846155,43.04384595265312,45.52208616711007,38.82332875090849,44.15921570457458,45.27484419744516,34.5999254373577,24.114666000841257,43.87956998083174,35.25681476289203,36.761070742171796,44.950699240767015,44.635859576458536,34.32167449897288,45.189178901908186,46.44351739110333
Bulgarian,47.06607957008169,48.59471360273315,44.08892050748293,47.80847466934179,36.4734336593094,0,46.74185909306335,34.37318573183662,40.93115858732197,47.31833295632053,47.35086154236512,47.42004973851792,46.354212628407424,44.91652953685517,50.28255056893288,46.549858477675684,50.64174662564189,50.15440920408992,47.33285273342201,47.38186928167407,41.874715779137986,48.34272984145952,41.15671079813835,34.460725434579835,49.156086335006464,45.4485182220982,48.22583622376881,46.40083136175666,46.57947545844312,40.57290949356677,46.08975481899333,46.94730424312341,39.47721041266902,36.748437941007225,44.44758965264932,39.67482413072882,40.11016610016963,45.12628933132066,46.94453790447371,38.69825404206447,46.27976586234431,41.52189413005148
Catalan,46.91167082943575,48.927197547775855,43.25129517479295,47.48026468247152,45.67422321784743,46.74185909306335,0,45.830383179236854,49.322246186291416,49.44221985832409,46.639864539395205,46.52945325231571,43.569684176184886,38.46002022034812,49.40935374259925,46.66252648761107,48.28870084531112,48.75894495564811,46.87203378158266,46.33779689972673,37.95515147569529,50.274816619480774,42.62300102238971,45.99287529553575,47.183727341619324,45.142177556157115,48.882039504619826,47.16197119228753,46.22658563607357,46.30486553845435,38.64443582172068,43.04526422394333,47.22403344673845,46.64953831786816,44.96081130026721,47.50301064861516,48.0056536626636,36.99585928631105,46.73132608717675,45.614606385988864,47.404850710461,43.13827928278819
Croatian,46.50481854588077,46.952393236910176,43.11908151959702,47.501738925155614,30.446465789961135,34.37318573183662,45.830383179236854,0,38.49093325642089,44.88511594271364,47.16619273272832,47.57532609725725,44.78201332313827,43.7025985983053,49.61301448301491,46.115563943790626,50.269984155149935,50.36999996199382,46.5408927242434,46.45373039313043,42.306837542334314,49.35929394485935,40.025403059010316,35.23290901731775,47.74064894488858,44.380384876313876,46.8182066913556,44.486648392354724,45.626477835735884,40.21839882336767,46.140529547514866,45.70612833464825,39.224835428989465,29.918077839046013,42.88310747174149,36.92658497928797,35.3855917509552,44.75451031400685,46.118946983627964,36.37200864529243,46.28367094643866,41.78230866812317
Czech,48.33487513769519,50.762717882147605,46.720112014311766,49.534683320751725,40.001991755693666,40.93115858732197,49.322246186291416,38.49093325642089,0,46.70011677318856,49.28540611735425,50.000842929339974,47.20014658993013,47.49263426288766,52.791458973279035,50.15131214127907,53.39633947499506,53.782910953310214,49.02811512241015,48.37921096232641,47.3857705288514,49.692088981675816,45.33797214052109,41.843486783811784,51.51948391889088,47.56273462182788,48.06323566876845,47.772521544904535,48.91250544814085,41.05078388487627,48.34227406168057,49.204744986612944,40.19669702118083,39.553270928426414,46.469367525493254,33.55993559259714,41.80170581951907,48.041318850089006,48.74043657355121,38.54843730388195,48.11928549996503,45.52419291547066
Danish,43.5805749681555,48.660872534351,42.18988015138222,50.12636816876186,44.27527026123957,47.31833295632053,49.44221985832409,44.88511594271364,46.70011677318856,0,43.11936314110153,43.110965935359445,46.699681814125995,46.393163367010175,43.86100814675436,47.94892444964389,51.600120160525066,50.965446853326824,40.305058788319556,47.789207612556986,42.85036714063541,48.871093215968315,42.82773961594216,46.61103774455723,50.64025175370999,42.83098206704719,40.643467738405974,46.74219556597986,45.5482593272821,46.063412781069864,47.314129866039366,47.40204098237886,46.23264946909688,46.76289977654578,43.500397359677514,46.75137177372624,46.91774577277883,47.62365427294362,39.11917346400609,44.929681578883454,47.74528891675434,40.09622984222776
