,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,49.205444781068266,45.22581960378187,52.57286597450277,47.721211893629196,51.03673746793897,52.226083967659164,50.249801483790925,52.17296797501569,48.9699546369499,40.4755132262294,47.59535888530936,50.720269514670534,48.234606000877704,47.83104162860363,53.906387052528295,53.36714418395529,54.16318539389549,45.438769791393845,50.66541453287226,48.95102533670574,50.6682079092539,45.295428211081806,49.37181678310717,52.786654437166156,48.166566331273366,47.9093905980698,48.250052608783605,46.7049006216689,49.61807159853595,50.25330392666097,51.583466760537846,49.06122984081557,49.38786934601043,46.577560759258404,51.35821841423655,50.94917392904021,51.22476579128628,47.39886493090963,48.716881709396155,51.72210655969572,46.737798578667835
Albanian,49.205444781068266,0,47.57159750234936,51.63320149372782,51.210243183673235,53.20600501410792,52.75317809935749,51.87323830800801,55.323815903134225,52.640356275900366,52.804821416965524,55.27561519397515,51.22094151262031,47.291848738590836,53.599977193119564,54.46518948638407,53.54296377538884,54.708370234318345,51.09002876382468,50.01944494169977,51.52075838777183,53.346275338693474,46.44341314703295,51.22344340858083,51.79407530493796,49.15778784149756,52.7793195908553,48.01533391663466,48.32709350497798,52.29901071729296,51.08744684881349,53.20295424415414,51.737369171419594,51.55934582532141,43.44276196834912,52.73392445407092,53.13868457593846,52.13414395416115,52.525711617739994,51.41844973792869,51.21597073142267,50.077578739400465
Armenian,45.22581960378187,47.57159750234936,0,49.04885078135873,51.30998556253427,49.35055885161318,48.83116690342136,48.74282403374891,51.93639595101712,47.21763129698718,49.37728814813535,51.024886249966066,46.69648623246051,45.557666359132405,49.35173732420586,48.61468872584613,51.192105131475465,51.73857080775776,46.09253511957729,45.6058719823061,51.45294488095365,52.04578217771366,50.09164108244192,49.2143127612705,48.783107491216434,50.56262393976136,46.35655220908897,44.86844371730138,47.874597540473125,52.69132914167091,48.82758555595826,49.381280226104415,49.65692083001639,49.35437160342631,46.58115292347506,48.79976899732402,49.73855917854789,50.06348670582043,48.41940081940635,49.92794757841344,49.208190707819874,50.75361942275586
Bengali,52.57286597450277,51.63320149372782,49.04885078135873,0,51.1634706531967,52.642040223134,53.028970351114936,52.24629386329803,53.444733709692976,53.5918318102267,53.504447938500064,54.58446037247397,52.314293511134174,50.95329015268547,53.438781592864274,53.485328566672905,48.018540372593904,47.769458260320505,53.155199663851924,52.065447464447125,50.40907890577893,53.74648290213804,47.34380496850904,51.648626576396715,48.35844908632093,43.857629157149795,54.38586748743514,50.75562446811895,50.63708820083401,50.87850567599016,51.87982470321401,52.808196836340336,52.55819857052811,52.1786338523834,47.8808687726449,52.72871026592799,53.07716664802371,52.133868535985386,53.024275178570996,51.46788066970755,47.01502820010161,49.57536404532239
Bosnian,47.721211893629196,51.210243183673235,51.30998556253427,51.1634706531967,0,43.82269456713045,51.33844984122052,38.50732202899642,46.55279952089979,48.71073898247883,51.11345672029361,53.084753620430355,48.57491710556574,48.10223090382084,51.594202166396144,52.11029638447401,53.21156515781274,53.65413586902425,49.92080419975544,49.29021669226788,51.27250194573571,50.73945608913189,47.91982098060789,39.74453850560517,51.4340665488741,51.58223777780344,48.643755960464766,48.76832847459188,51.51786116776577,45.82656651318624,50.08485147381342,51.052155684221674,42.38707768927052,33.91378541785415,50.71763965553851,42.42547591375858,43.4311817868571,51.20315611247021,51.21038068217985,42.30286634318625,50.97633073791273,52.42769773286691
Bulgarian,51.03673746793897,53.20600501410792,49.35055885161318,52.642040223134,43.82269456713045,0,51.78990701268859,42.96602886556475,47.69627082217052,52.14842491200605,52.04132946840016,52.683144184281275,51.43664766848514,49.80860355842282,53.57671861807361,53.03533540649386,54.28384278359962,54.60032862740881,51.6543636471662,51.61171445752216,48.306977668483114,53.325070224264394,46.278385854284835,42.29826072647121,53.47986847318354,51.885163265066986,52.71321855400343,50.86489025913035,50.93296120106985,46.6982888866065,51.27381839019028,52.60322467633345,46.085523982476275,44.19851403958081,50.14313060801184,47.066951245688976,46.733775146602355,50.96894846879242,52.65947173479355,45.67184188506827,51.78536165503885,47.70535225915365
Catalan,52.226083967659164,52.75317809935749,48.83116690342136,53.028970351114936,51.33844984122052,51.78990701268859,0,50.73766470577842,53.18828661008165,53.0082711765176,51.9721626624842,52.15634672444606,48.63561473515394,45.15589341798918,53.011873016234084,53.005359564069906,53.30934072115697,53.733977547952534,51.83697134207419,51.54598794963777,44.76691924285444,55.061394020736515,47.30768877072923,51.11543553476869,52.68572343368249,51.42954461438152,52.90387022398795,52.30899134784678,50.58905659060558,50.969714027484976,45.541176849669476,49.44763538591828,52.230708381671384,52.02792435874497,49.750313202201454,52.6072897390036,52.85015232781418,44.635623697281716,51.94467336366187,50.866041288489754,52.748726599971576,48.58927027972697
Croatian,50.249801483790925,51.87323830800801,48.74282403374891,52.24629386329803,38.50732202899642,42.96602886556475,50.73766470577842,0,46.100083450644206,50.061775005747506,51.78492478090387,52.66402634141855,49.960628377966216,48.879839911757514,52.95760941285993,52.26807938095712,53.532155197692056,54.24001853054219,51.03702934427267,50.36186248388501,48.54950542442332,53.88339162988878,45.12839139987261,42.507192649334826,51.805275389818526,51.03936229253438,51.30600172289248,49.48734249516525,50.21003459585976,45.7490748895088,51.275517771054425,51.34543056185651,45.5918222905055,38.459241960727525,49.15673407834893,44.290462069098695,42.294884569436796,50.44821383430079,51.756774774309775,43.67528309868345,51.722455451813836,48.06581438295164
Czech,52.17296797501569,55.323815903134225,51.93639595101712,53.444733709692976,46.55279952089979,47.69627082217052,53.18828661008165,46.100083450644206,0,51.15914995288362,53.00449798426461,53.87035671029333,51.93517037973304,52.24641286346193,55.381520943205444,55.38750454513698,56.33076751468969,57.137653149591664,53.37039044899549,52.56648773631588,52.03294762320758,54.143536869877956,49.38830171304391,48.06887047887957,55.07151545175049,52.548193263715454,52.719315045063986,52.08149684641985,52.993487991849946,46.961543691527076,53.2560750884521,54.363712629253435,47.045448482614425,46.06041898056569,52.307260876893935,42.511245932367615,46.92525706826512,53.11987198401163,53.542475149660824,45.64839545333843,52.93923534565131,50.23021418130759
Danish,48.9699546369499,52.640356275900366,47.21763129698718,53.5918318102267,48.71073898247883,52.14842491200605,53.0082711765176,50.061775005747506,51.15914995288362,0,47.87090455129389,48.13765690616261,50.936711717593155,50.841836442238915,47.69133760941076,52.73386614936514,53.70079064737504,53.67126883248397,46.24313248737158,51.76503389446443,47.126599415631254,52.8179666848221,46.34985164622743,51.04283252965386,53.632424878571186,47.65471534368302,46.99825840560665,51.35620272452168,49.563421020680636,49.21723487232167,50.818439846096105,51.50833505917707,50.743125706159425,51.31321302953015,48.83012655431645,51.51945216096322,50.85226954675676,51.53348241292885,45.90588582158667,49.50106431668152,51.82045927893636,45.062139665240494
