,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.0249256444901644,3.3425844281190495,3.374163584157811,3.217720512484687,3.207873415259961,3.300932207082414,3.135147600160738,3.1501647261681835,2.735046147059413,2.533920705498562,2.739658265874404,3.243650178158162,3.0508364616845074,3.0086988818927662,3.5317771140652483,3.2030612327487322,3.1600537549378895,2.855781295909914,3.3427594667097886,3.0323773702505394,4.146923437771691,3.8225401383678883,3.1635482466083995,3.124801631360437,2.803443667617529,2.7197575299675636,3.17716811652723,3.2774222018098436,3.734232693954038,3.3054895610519006,3.191932404968783,3.320432879842573,3.1492495478103995,2.888354951011586,3.247301494034111,3.3442311116223284,3.021786513912425,2.698178611750312,3.173892336174752,3.1373210111382113,3.0073069400668277
Albanian,3.0249256444901644,0,3.1024781674262054,3.099764043315473,3.1697002215893404,3.0888854402052783,3.202632885218961,3.0257718610410027,3.100389666896579,3.233435602606726,3.2784916115296734,3.298910170949971,3.1524960249559077,2.8988380009815686,3.4311220500511643,3.2591166821208746,3.0292550446471997,2.9412809572648144,3.1695974616694955,3.0650483867106026,2.896286682191271,4.02339565729641,3.7468056019910825,3.1066649663111283,2.9397882855523596,2.6201677759221527,3.1595190835191707,2.9768323436521764,3.0959154176098322,3.68341029393718,3.2431757065963738,3.056845522296965,3.1419283482342495,3.0883738256117583,2.5573865861072815,3.1283974057246438,3.23763289914674,2.8176672145179293,3.089710218757699,2.96937486730543,2.882543124484559,2.81892705939254
Armenian,3.3425844281190495,3.1024781674262054,0,3.4925065618262163,3.3346796716877125,3.3856650688325334,3.6019998861222113,3.281474469162723,3.2805335958132384,3.55934163290057,3.457703450651664,3.4916848613568883,3.5238370666624252,3.3494393982209623,3.4988318794413424,3.492899529463726,3.411896551065996,3.3901276526404587,3.2794815748346604,3.471227787281187,3.251909095734505,3.9172377667412155,3.57777607785193,3.294350175272572,3.393043302060727,3.0867859899723284,3.467312497387283,3.31674569740545,3.266061721448953,3.8117988242809173,3.5213108780242375,3.3853190070479333,3.3658709540839182,3.3365921570028294,3.0431602991448985,3.4222219391190354,3.5307419169617265,3.309229033595292,3.3884854027536395,3.280278234632417,3.2698212697046474,3.13343473295292
Bengali,3.374163584157811,3.099764043315473,3.4925065618262163,0,3.4151970018853977,3.412992827343075,3.56131404017469,3.3128690923456987,3.348037047731193,3.537801181099035,3.5590342993729367,3.491055280813865,3.4684460305152984,3.304370308722976,3.692960046540002,3.5768459906745487,2.785729787541125,2.74588695414395,3.487427577101621,3.5167574694040318,3.219970653829317,4.265499338294717,3.9984266612422115,3.340564941041222,2.9112777112684314,2.4543222186253435,3.497635579553374,3.292638912500623,3.443595674863203,3.863802306732268,3.602093439072007,3.3993246737578406,3.4905845475966557,3.400903718402263,2.927218893097517,3.441275082412752,3.5291843697811034,3.1999373933237165,3.313225349766948,3.3826432584219877,2.8104992273417677,3.225654373413457
Bosnian,3.217720512484687,3.1697002215893404,3.3346796716877125,3.4151970018853977,0,2.6878843949162365,3.5386164163211604,2.2233797574477054,2.715985312811651,3.4138345016391014,3.3801618426527082,3.375031563569968,3.4188266499908058,3.3694927387653006,3.469000473192632,3.5708819861311722,3.4351289875245037,3.348966778889383,3.267003663193833,3.616062397094206,3.1618789369001417,3.7573409050808535,3.482365222180015,2.455599894800145,3.3945723756310273,2.9529735971242026,3.2944466762325026,3.362725576764212,3.2623938998862054,2.969311008405992,3.4705617812028278,3.2538796981286238,2.7125133666774155,2.0292899868801175,3.0797515934457937,2.6363837730143005,2.7432161836940905,3.2308700558994587,3.2696189110213405,2.65916354759022,3.2270067063550543,3.148622421572731
Bulgarian,3.207873415259961,3.0888854402052783,3.3856650688325334,3.412992827343075,2.6878843949162365,0,3.4451748051675546,2.5820613704700737,2.7668295440289836,3.4078139388331317,3.3727408194370447,3.4253401244882213,3.411380396973348,3.172270530470114,3.526646457570805,3.548225270515489,3.325019761856481,3.1818065094466927,3.2956774693380644,3.518458767867261,3.073161846901705,4.103462507643418,3.7116793556953214,2.444870075758789,3.188027479999687,2.9292665983012536,3.3660972801437916,3.3788243756852157,3.3452752209140715,3.3440277420177686,3.4331301270535657,3.2729575949399305,2.903041349547422,2.613447756184804,2.971328187748482,2.811717339359863,2.92413296469212,3.0478588636149917,3.2533576414695435,2.758102426993008,3.1662724601356675,3.0764534565537436
Catalan,3.300932207082414,3.202632885218961,3.6019998861222113,3.56131404017469,3.5386164163211604,3.4451748051675546,0,3.3532807893301255,3.44815636103268,3.4004115089168656,3.565629513435904,3.4239382477403137,3.175808702070238,2.6180311154693925,3.6893567393864957,3.558852660013156,3.3396190817474243,3.3235194034389566,3.449916046407981,3.5344650080082527,2.7337171817562247,4.352327288774895,3.9726158768394786,3.423656457640645,3.3515523972043852,3.0524564009702835,3.329273341676825,3.4645762696416447,3.524449880290982,4.0354047898380445,3.074537921956969,3.0509773802005564,3.574293888259546,3.4508069881362173,3.084024182987366,3.5388747112676016,3.5343929353313026,2.5724881992753286,3.3083775840493743,3.4003115409339384,3.3216105412706556,3.20866355265165
Croatian,3.135147600160738,3.0257718610410027,3.281474469162723,3.3128690923456987,2.2233797574477054,2.5820613704700737,3.3532807893301255,0,2.586595158006402,3.2819306905971395,3.3333987243673673,3.3451499112451355,3.366536790727274,3.167731847044089,3.4382449162071316,3.450441153532826,3.219834803865061,3.1134166454013994,3.2477152370789337,3.387867873458439,3.0518821998955894,3.998294738037045,3.629347484140159,2.490877626433317,3.163679757127551,2.8232098059608126,3.2318883637255884,3.171844477584682,3.2018939335132495,3.1742025297058905,3.452403008880472,3.2045630536132337,2.8533129990144928,2.150443921742033,2.8587629305627886,2.63145761102342,2.6710855221409453,3.0168435276324255,3.161556718337757,2.6554109378117126,3.0407276391587033,3.0307734079959863
Czech,3.1501647261681835,3.100389666896579,3.2805335958132384,3.348037047731193,2.715985312811651,2.7668295440289836,3.44815636103268,2.586595158006402,0,3.2749479926886615,3.3108534123012956,3.346344753644691,3.359202098402146,3.183278430862171,3.4519478245749413,3.540174670873027,3.2296232884934843,3.120478268695352,3.257183687899513,3.411031738514608,3.031089879667055,3.912416936109236,3.648657009591273,2.7439201941819107,3.1851558440616423,2.80110601842587,3.270158509732993,3.216405919498498,3.26324946463195,3.036772413070649,3.407670835393213,3.254090902596427,2.8371734199201937,2.616144867689037,2.946772233182631,2.3413200931127447,2.8352677113866562,3.063897922502935,3.203567910161706,2.629645388826489,3.09409094772878,3.0148814421458177
Danish,2.735046147059413,3.233435602606726,3.55934163290057,3.537801181099035,3.4138345016391014,3.4078139388331317,3.4004115089168656,3.2819306905971395,3.2749479926886615,0,3.1041445173002824,2.8368369305372734,3.3668380455537608,3.126043127236754,3.1020570911301855,3.7298083144270193,3.2752175722737107,3.2555328497078935,2.918491887179622,3.3784502727125454,3.1007667987966143,4.372756408534965,4.012678812054454,3.3767096258024085,3.2564211824320948,2.907741642241628,2.4258995999814292,3.3574486560112833,3.3899305052477255,3.8858486082715276,3.4736039042241735,3.305200223005561,3.5642583920212574,3.3694112374402403,3.018256741445705,3.358570871061191,3.403440692356414,3.0882382044442007,2.5493448460048764,3.3445638058778413,3.24303317162631,3.051350978048033
