,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,24.309088558126774,24.763743290078963,26.196003155521744,24.795315224376584,25.05374568000446,25.873808944324132,24.757215093236226,24.923306874234186,22.50181588554705,18.17626255948387,23.267290136936342,24.76601841539131,23.996922034255967,23.00715903529955,25.900101849247537,26.752533510398774,27.175955583623587,22.682935873323466,24.47650574826931,25.518898286046912,25.75573950118977,27.39001786531023,25.06369763395062,26.180418654187665,23.46085849846664,23.05388091129154,24.293611030012656,24.907384781515454,26.560310525733602,24.46937076917075,25.70276470354514,25.189149658447363,24.904552672700078,23.144695113257995,24.89891026599435,25.90879055700673,24.86025916805038,23.05262149339463,24.757607053259246,25.258506015033788,24.497340010722194
Albanian,24.309088558126774,0,24.233629251316096,25.425184078759248,24.57548762644313,24.841803348023387,25.62499607289533,24.462587748230764,25.36999777312118,24.915861451462003,24.788914224726287,26.341042431732,24.003794267118593,23.558112831817198,25.734588889548945,25.02643758254112,26.777988821950753,26.51456874697315,24.84048188188972,24.11922321615378,24.251742328227376,26.033485641675135,27.098993402614443,24.63401449269804,25.56625512400947,23.00003818923339,26.03628552351135,23.920824347198756,24.594691511203163,26.55453877728156,24.048220467694936,25.054547083674187,24.916741047538885,24.976189652700327,21.75280150177459,25.023594251051804,25.699433251387205,24.013474659662485,25.61945160489069,24.169768150426247,24.63823282608439,23.95851489142382
Armenian,24.763743290078963,24.233629251316096,0,25.926406331821134,24.886896228524925,25.47515441959445,26.36691666935744,24.801148420316146,25.641107545299345,25.7843543480664,25.39389435881221,26.429490536990563,25.29260776067864,24.618608506066884,25.840869673700105,25.35111104519905,27.230115090427876,27.23204646606051,24.306267468890123,24.95338070154978,25.315128265044056,25.420934480595964,25.990641618910534,25.18437827773939,26.35724514388923,24.26731666625841,26.205331118001993,24.38776652063409,24.07626825811638,26.588076293070177,24.899088615981068,25.662644272071915,25.252995810696763,25.078647105181446,23.104880857532127,25.425996939181562,26.512010871877237,25.32591963676667,25.57923879283425,24.85225974676139,25.48987721209227,24.239450189933994
Bengali,26.196003155521744,25.425184078759248,25.926406331821134,0,26.1147504106163,25.5703447500835,26.451540484047644,25.659228291554196,26.129243418957902,26.62612517750993,26.05983925100113,26.72360853360389,26.029840582457965,25.26513460800471,26.700560633233895,26.131816186873447,23.08744773467816,22.881733871464125,26.32800989781631,26.31739714927652,25.492599150496396,27.432884837447805,27.910440990063496,25.65358776120421,23.317876954378026,20.394235404456825,27.397319051363,25.217976613997592,25.788650298546816,26.897349071061647,25.616135815210896,26.39761781426857,26.488184829538486,25.982862815832895,23.225572113441093,26.181503209175208,26.64320920104527,25.170117711612317,26.247775532506026,25.75533764166141,22.244659172175574,25.372745028089692
Bosnian,24.795315224376584,24.57548762644313,24.886896228524925,26.1147504106163,0,20.79783004580208,26.552249038222545,16.488727462659778,21.553019958852424,25.817422761056733,25.51987030211434,27.159508385754418,25.65747324281422,24.786139454521482,26.227763062034484,26.309533588137615,27.16663291159655,27.467779009272792,24.657916571605778,26.243610529027112,24.837230663354852,24.34975423131984,25.009048505909476,18.254235270382267,26.85234551095955,24.50259666731647,26.096438013150976,25.194780683179584,24.830495994153324,21.955914770548812,25.183121759091932,25.529244435625376,19.971478258319465,14.17297845502921,23.467920643520102,20.539162569223823,21.701328993666316,25.064933903858154,25.654331663871755,19.356762949728097,25.857391238570294,25.085226487316344
Bulgarian,25.05374568000446,24.841803348023387,25.47515441959445,25.5703447500835,20.79783004580208,0,25.499945808096168,19.496213140734408,22.289790001809113,25.518006176727134,25.291620471227166,26.13216367151547,25.45447779606658,24.153887493163264,26.024207898511122,25.474325161794912,26.401351655764476,26.20735457979383,25.381425021617858,25.64098356358583,24.188228360104315,26.16419426292288,26.09654330845858,19.291670953596384,25.863919158011637,23.736388076808247,26.411058823843977,25.285378012618143,25.262471332051845,23.501628121863316,24.835501562213867,25.196956394936574,22.39499759087729,20.480270964905795,23.09386639909695,21.823459427923407,22.892036527209278,23.984110474715873,25.543950816641487,21.982463073009626,24.837035277823123,24.240847475422793
Catalan,25.873808944324132,25.62499607289533,26.36691666935744,26.451540484047644,26.552249038222545,25.499945808096168,0,25.657728485425718,26.495690163087584,26.076283837016398,25.914343206942092,26.29749063744055,23.96520705367171,20.67571822551463,27.12696476534986,26.069510900740326,27.357637962771143,27.269530764657095,26.313299144747123,26.120831567247677,22.54118049684108,27.753610344646205,28.040403451008316,26.13907863837867,26.60695481776776,24.64597956945845,26.330287562569495,26.007584344057122,26.268983172273753,27.48096565444263,21.764142943974434,24.266443028773946,26.91544228565893,26.392466898647925,24.18989511478254,26.205352489540843,26.99381949481381,20.592775473972267,25.932763511067822,26.145301483049558,25.990236185335963,25.61252435593031
Croatian,24.757215093236226,24.462587748230764,24.801148420316146,25.659228291554196,16.488727462659778,19.496213140734408,25.657728485425718,0,21.201007330077047,25.249253449794246,25.068732476684403,26.14611253410578,25.1349269499301,24.261414226020516,25.69476320196769,25.38722693352331,26.282264618037456,26.423765398253646,25.043445652070876,25.325031184516288,23.919183116693997,25.386005655041213,25.012727761941274,19.753391912429542,25.7499395472529,23.61428265535515,26.178225485951238,24.65254733659941,24.62854172751506,22.356957978487287,24.833001398826923,24.955922553132453,21.5741488462797,16.26311890570976,22.929637990320263,20.54003327272338,20.633970189937415,24.12937912533461,25.38159069156433,20.59510643922647,24.925076826165217,24.155297799711217
Czech,24.923306874234186,25.36999777312118,25.641107545299345,26.129243418957902,21.553019958852424,22.289790001809113,26.495690163087584,21.201007330077047,0,25.432465589481886,25.60362418182344,26.39038724985843,25.599841314837715,24.664720434610093,26.499414935317795,26.419505874779194,26.841902429309815,27.004776757778576,25.367273960820704,25.681406375563565,25.404596553389826,25.383513951053526,26.452432228824602,22.49696083322375,26.505037142406756,24.059458568113115,26.355914356845492,25.114634704796252,25.42128388678276,22.21971445011249,25.659829880590046,25.722590126825736,22.00680663162585,21.245244530977907,23.622195853532805,18.359030752901493,23.430477514484245,24.87873401676453,25.974507925072466,21.249889793408528,25.38798350224069,24.58459248932265
Danish,22.50181588554705,24.915861451462003,25.7843543480664,26.62612517750993,25.817422761056733,25.518006176727134,26.076283837016398,25.249253449794246,25.432465589481886,0,23.404509717782492,23.612351876196424,24.816342298801516,24.00728110704747,23.230785210486943,26.168626125623753,27.112640957887052,27.255535488540822,22.493145668117,24.071158094810492,25.465737651314356,27.460336700200454,28.32186106736704,25.950447799924756,26.37838498621332,23.596886269733318,21.448460585385387,24.77720496305504,25.38798179004234,27.163159184086297,24.757378847861613,25.892221610402242,26.085044589201576,25.90577765819566,23.328012354468747,25.347577144386385,26.140465390790887,24.598054721128488,22.020026548510543,25.524491942445337,25.411574122712913,24.318093460256197
