,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,1.4178339362427614,1.3799722271413843,1.6215974928439445,1.404071907313031,1.449500850393644,1.5814687193056545,1.3666212329713616,1.3885811273611217,1.2847796989855946,1.0534253994894986,1.3055308460256152,1.3912263038872057,1.3887440337848571,1.346822090433745,1.3807141527152245,1.6280919204152957,1.5960850432491918,1.2976347573451266,1.4087494204274194,1.3769292106725628,1.5068524216045531,1.7024024136718163,1.439565876215434,1.5580791188293528,1.2944065419465258,1.385802756419351,1.3665796998129887,1.4157722405699744,1.4919889608140988,1.372478070602612,1.4230105104493467,1.427022993610129,1.4314619449729666,1.3047351539552554,1.4038123497736608,1.4512228929756017,1.3482345488706011,1.3776524903728167,1.3869916337904655,1.4414395047590782,1.3141379897790675
Albanian,1.4178339362427614,0,1.333526997335036,1.5202626306378713,1.3671154887159105,1.3842149593690718,1.4968725702156025,1.290358151286869,1.37281756016989,1.3561984565322251,1.3534670885485942,1.4302981315617536,1.2932148677784137,1.3174067421883506,1.451517146951056,1.2858968198276477,1.5793468176399081,1.5249489999471013,1.395191976220597,1.3324847905092703,1.2684762127775828,1.5066576456028127,1.6769106103858835,1.3791832781152498,1.4650778928682786,1.2200136718744834,1.5142376705140899,1.2986159486078137,1.3681689937185146,1.4564734883643462,1.2883717195854902,1.3440133893178547,1.385411258108671,1.395116389235694,1.1738702615775953,1.3608379251378528,1.3897239048533587,1.243048393488431,1.4628539513417096,1.3126533315573132,1.3449417850169,1.251420478067952
Armenian,1.3799722271413843,1.333526997335036,0,1.5027333524488444,1.3404139762785374,1.3806867971179884,1.4962924730193154,1.3018061773478018,1.3638859848266283,1.3598775307686357,1.3517150494676258,1.408520040312221,1.3385709049002519,1.3366865297478732,1.4120398946007777,1.2791790445936673,1.5630240725313147,1.5166684317888068,1.310231759117812,1.3440917599821753,1.2993844635498641,1.4317805878660521,1.5719155908746167,1.3712216924458365,1.4717776303026808,1.2691592034080028,1.4611602572010844,1.2988521305054337,1.306858231509251,1.426915246306692,1.3218339595661144,1.3512492297935035,1.3624911717957522,1.3652119916660346,1.2336383323472868,1.3501089728615632,1.4089371846121745,1.3037319576390258,1.4283939441845401,1.315626912003281,1.3735713133526661,1.2436416127455765
Bengali,1.6215974928439445,1.5202626306378713,1.5027333524488444,0,1.513925906328992,1.5271361165305537,1.6246933145544487,1.4454688303007888,1.524943933941255,1.5519772343656746,1.54452009217978,1.574659214090021,1.523510359566692,1.5152731487155346,1.6003965706193137,1.4577755299957762,1.4608960428809852,1.424511633744355,1.56926680857454,1.5708792603947541,1.4397359811381465,1.6598682592534362,1.797167236814629,1.5106978262875008,1.439673818274293,1.1871054174027706,1.6799470898987605,1.4924268081627334,1.5373319901454456,1.5651024955532085,1.4944524674129684,1.5211109070079465,1.5471199324603182,1.52838385423772,1.3622762092503742,1.5157599041815688,1.526740199130335,1.4360984878903316,1.5809259926277848,1.4698751269365256,1.3234926226859285,1.4471504614546982
Bosnian,1.404071907313031,1.3671154887159105,1.3404139762785374,1.513925906328992,0,1.1528682120397928,1.531918485020001,0.9152828905558321,1.148110218797433,1.3811597284557142,1.369244292467266,1.4499710357690978,1.3632240542003564,1.3728167874727661,1.430264827997012,1.3317158444197015,1.5524887600287514,1.5426439607330207,1.3485169124195593,1.4181021043414512,1.2912981648943054,1.3461530393905652,1.464736673786892,1.0053617291942942,1.5088619807806323,1.283764681191447,1.4806437866180284,1.3559952858244328,1.3425139021315444,1.1674684230418115,1.340084536204809,1.3479756474766798,1.072342980667379,0.7839398446630018,1.2619220853465232,1.1102589038268074,1.1565236357030109,1.3040981849871252,1.4456936764230144,1.0136267973189297,1.399792782069873,1.2926722710915142
Bulgarian,1.449500850393644,1.3842149593690718,1.3806867971179884,1.5271361165305537,1.1528682120397928,0,1.5062124697488335,1.0360340346963324,1.2148819662659065,1.3889398851646408,1.3861357018999647,1.4426773191168492,1.3643864980970803,1.3612469822950386,1.4501159883079302,1.3072396519892513,1.5600439965422566,1.5113753688653846,1.4197100471078306,1.4061554824813902,1.2668140099495724,1.4826065174319707,1.5895049216104318,1.0866615673624125,1.4909507742463595,1.260060200328954,1.5244942874745826,1.3829967081016739,1.3909618327296713,1.270259131795104,1.3388447155173002,1.3573217723503728,1.2194427960665242,1.1459602491682033,1.2538739429483965,1.1939558691906123,1.2453905784412427,1.2559875736193582,1.4691959982648828,1.1725941439215826,1.357221544881146,1.277278386418369
Catalan,1.5814687193056545,1.4968725702156025,1.4962924730193154,1.6246933145544487,1.531918485020001,1.5062124697488335,0,1.4503902961333148,1.5257271238437737,1.512596193163033,1.5131745812143644,1.5341310038564988,1.3702679843268255,1.2383634858251802,1.5903806077688871,1.4409035043284895,1.6945416872333243,1.6657899801042517,1.5431579136980798,1.535399624690217,1.2588693593335896,1.6541786336920428,1.7633576503525394,1.5282805301497149,1.6096183362851293,1.3877421822903329,1.5698577017953665,1.5082864323841996,1.5283139216154866,1.5635603343243594,1.262682843402953,1.3772343827524354,1.5448632093711017,1.5468413658108586,1.3961369698861517,1.5034369403693892,1.5516225357987155,1.1820198100876553,1.553437666973337,1.4859913564418825,1.5210303723527552,1.4403226294863969
Croatian,1.3666212329713616,1.290358151286869,1.3018061773478018,1.4454688303007888,0.9152828905558321,1.0360340346963324,1.4503902961333148,0,1.0822880240185395,1.2830850613446732,1.2963974025267238,1.3700329510688585,1.2616642062226497,1.2835959834878425,1.3652776551287844,1.2144937639894182,1.4861833145765164,1.4599836904916204,1.3372374180582198,1.3064634095931444,1.1887288301628383,1.3872010639395322,1.4997422243141714,1.066323264631853,1.4092672396175254,1.1688766135281365,1.443490069714802,1.2665249764767463,1.2938509172408066,1.1647691077777014,1.2562470945250728,1.2721129095655364,1.1421051166057132,0.8953487714080393,1.1553969685217702,1.0654502043434126,1.0645923268709128,1.1798102914525925,1.382979275707883,1.0463355600915398,1.288899322018512,1.196441941793181
Czech,1.3885811273611217,1.37281756016989,1.3638859848266283,1.524943933941255,1.148110218797433,1.2148819662659065,1.5257271238437737,1.0822880240185395,0,1.3407837723431875,1.361320613173505,1.4074704179378865,1.3175444909094198,1.3447162104133448,1.4461485098666507,1.3097443870822933,1.542554228940591,1.5199437801154345,1.372938065012149,1.3714580705116988,1.3046999010595437,1.3806338502158026,1.5509739168614847,1.221737444942142,1.4823216438696074,1.2450904223495785,1.4789756060106798,1.3258081428592652,1.3647744542129776,1.1719303192205226,1.3368750371860412,1.3566617653381643,1.17099010923152,1.1423050533875596,1.2329108238927866,0.9713556690543027,1.2308331762299702,1.2574527993534435,1.450418374639723,1.1030316127248396,1.3568204622015188,1.2463882509321644
Danish,1.2847796989855946,1.3561984565322251,1.3598775307686357,1.5519772343656746,1.3811597284557142,1.3889398851646408,1.512596193163033,1.2830850613446732,1.3407837723431875,0,1.2570596363733926,1.2345925470853836,1.2867838970258192,1.3069846345218559,1.279659176930947,1.2861636872497908,1.583029566323367,1.5299540158361071,1.2226817473319656,1.2885467317024597,1.2996148765581506,1.5362010327174735,1.7143765560426618,1.4063522076401527,1.4880556138770673,1.2026523002088185,1.2291135799106385,1.302448221039667,1.3719496482415476,1.4433216362482812,1.2747465519340695,1.3578494327661728,1.3978531748400547,1.3981270606582663,1.220371849522132,1.3313642672304482,1.3728822107241065,1.223429147955459,1.2543469337327544,1.3308236657216101,1.3513981951759024,1.235077082014567
