,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,1.8431779629039253,1.8677430363467618,1.893621285116797,1.7902068264919466,1.8272652976336063,1.8646254379100826,1.7799114746053737,1.82220978264726,1.6335139994227814,1.3146943621725415,1.6935390334248859,1.8691732438004358,1.7876962560005187,1.6849130913550867,1.9218696423605046,1.9004081286525014,1.9164697403545787,1.674953374894585,1.8693344234549132,1.899506314348143,1.8793827924720032,1.9351247076225808,1.8015555660561862,1.8640262823045342,1.7766806158142283,1.6391647798007178,1.8185991463830469,1.8577511720468969,1.913353812387308,1.8681789118351988,1.8522872014195126,1.8236715590741897,1.7784267356479087,1.7437046138253882,1.8410078874439268,1.863222364446257,1.879100032275409,1.6579832908859922,1.804741412917469,1.8645017019076446,1.9184771147360054
Albanian,1.8431779629039253,0,1.8492407501877892,1.8529702729320794,1.7869795563474526,1.8233739426355642,1.8703230937584856,1.785764142337401,1.8716338051323578,1.8924439560783912,1.8802018596001728,1.9710770052340982,1.8213273521180213,1.7737194582106577,1.9472991688916856,1.8855636997376177,1.8963476716731231,1.8610286464845065,1.8645029673288727,1.8617415802652142,1.8339473873979386,1.9330873101120574,1.9337174470840712,1.7842630675053222,1.8408607861926165,1.7538238697468365,1.9056118463671403,1.8162950466818468,1.8401371781671203,1.912516433495828,1.8534046376856417,1.8202855986752813,1.8145957899612357,1.7923020404661743,1.6637528236654828,1.856572556571712,1.8762028781851863,1.8337318410281431,1.8981741426874434,1.7713006284014197,1.8340877815300025,1.8990495503569362
Armenian,1.8677430363467618,1.8492407501877892,0,1.9123273270858996,1.8319088970842374,1.8817341186534304,1.937872943047608,1.8277486145786868,1.86917973738862,1.9470441344212956,1.9168288338647934,1.9537738854703244,1.931202743894418,1.8535005103951114,1.9186525484227253,1.886587725915933,1.9499285157449313,1.9457524984977816,1.8402511047032333,1.8997371343979117,1.8940369089059983,1.8888372777248044,1.859694425418427,1.8446825787409473,1.9227418922487998,1.8392537028585692,1.9365908719482816,1.8430771669959374,1.8080876989431036,1.944174452689986,1.9089867092559303,1.8706771935945343,1.8632270113454634,1.8455534129443845,1.7576510687866986,1.89065099895371,1.9419213516720433,1.911664015946492,1.8970499141169308,1.8505614108589536,1.9001906076877595,1.8755081868553058
Bengali,1.893621285116797,1.8529702729320794,1.9123273270858996,0,1.8517250475572093,1.8258369417097418,1.86966319625023,1.8225380968574787,1.8832241284543836,1.9249490138401162,1.9076708870759205,1.9342415856007829,1.8897621015605894,1.8295265505148093,1.9562067193777601,1.870176087993904,1.584244395551263,1.5652021651582615,1.9172738285087256,1.9219633234230629,1.8609190243668734,1.9828009325535496,1.9598614639948224,1.8304797408919729,1.614583088998592,1.4832741332140915,1.9418765109087424,1.8283832001628646,1.873329426645953,1.9079724445897723,1.8919910575100098,1.8668256417772533,1.8676566713085239,1.8351243802317578,1.6931164795023805,1.8951077248185986,1.8807830973297037,1.8290824739927014,1.897520208127603,1.8338062211189974,1.6168369957782425,1.925798166438914
Bosnian,1.7902068264919466,1.7869795563474526,1.8319088970842374,1.8517250475572093,0,1.4493285969197558,1.8584665657944515,1.1386585642890197,1.5342369205954276,1.8574103751936861,1.872245862957221,1.956683021635409,1.861290393836797,1.7691767133585177,1.922807670731994,1.883433395318262,1.8849845369172575,1.8851053567647398,1.7813771633491955,1.9160324860758082,1.8051182036842661,1.77676431960455,1.7863936866404537,1.2810533138650886,1.8701388170300295,1.7942879738892354,1.8380564865463658,1.8200332603181202,1.808428126710808,1.5673639204936531,1.8623544881089469,1.786455299803672,1.4459863824527646,1.0105507522072805,1.706499295766712,1.4873146748758517,1.5096224577610746,1.8124562327123075,1.8177313516801177,1.412337003543129,1.8454487470009007,1.9112194684625297
Bulgarian,1.8272652976336063,1.8233739426355642,1.8817341186534304,1.8258369417097418,1.4493285969197558,0,1.7840704679987152,1.3582703379192382,1.5814175831448825,1.8555725051056708,1.8775397564847787,1.9052046671213008,1.8541981828092682,1.737219119667421,1.9279358679252914,1.841746800374483,1.8420527904535353,1.8165656869975215,1.878165473997733,1.8778171128783632,1.765837542292667,1.8988227156023898,1.842950604965684,1.3434155369239111,1.8206454995222938,1.7434972156848805,1.8662769704199187,1.8330151078301795,1.849023347156135,1.676718762369691,1.8451403152757666,1.7914171756844666,1.5885547424740518,1.426507276060779,1.682120541844576,1.567195759777025,1.573564235342752,1.7209360535267013,1.8389408026013068,1.5509118762895173,1.7999800752249484,1.8452746796745438
Catalan,1.8646254379100826,1.8703230937584856,1.937872943047608,1.86966319625023,1.8584665657944515,1.7840704679987152,0,1.7846330331309104,1.8788018431760485,1.8713036854579184,1.8838932914374407,1.877479589544301,1.73518050400813,1.4751887308922054,1.9515321405342392,1.8777617363407106,1.8991005218638028,1.8703554308457233,1.9185820149485027,1.8886189670843063,1.5972333625254518,1.9949248072301748,1.9599391505054806,1.835341959542162,1.8596038465322582,1.7893142239726962,1.877950229510235,1.8856980651054118,1.9282083967703256,1.9454753061638492,1.5923693580528084,1.6909033921882475,1.89153821993406,1.840259178208198,1.7458761552723923,1.8806272932522583,1.8565186634251858,1.4551594928145843,1.8604821743918136,1.8509260561234984,1.8612587386574342,1.8956252859314904
Croatian,1.7799114746053737,1.785764142337401,1.8277486145786868,1.8225380968574787,1.1386585642890197,1.3582703379192382,1.7846330331309104,0,1.5017329427774693,1.8197583363844774,1.8395736740922772,1.8875742288689188,1.835312234346317,1.7307445505110832,1.891854823020852,1.835154646875853,1.824168389739006,1.82388037617443,1.8203180808655803,1.8552008597961709,1.7382387540381206,1.8416300860019768,1.7882642096291435,1.3562066259538192,1.80783096542293,1.7323848595240945,1.8410694742217182,1.7758207414061713,1.7989052478821335,1.5950541130686922,1.8316142488977833,1.746824098068965,1.5176378391222156,1.1089541044432094,1.6708038924237747,1.4683711575654226,1.4262221946162155,1.7466586248511293,1.8140080417518558,1.453971024702821,1.7952117782559893,1.8438785525352
Czech,1.82220978264726,1.8716338051323578,1.86917973738862,1.8832241284543836,1.5342369205954276,1.5814175831448825,1.8788018431760485,1.5017329427774693,0,1.8512512807825483,1.9019981338760545,1.9308634023393165,1.900219792179284,1.8098917064116768,1.9583163616168884,1.9252520055164177,1.9068548999674946,1.910677604897512,1.8749259309076536,1.8903986102733659,1.8759081722422328,1.8652531607984508,1.880432281189967,1.6004755412573524,1.892779613868723,1.7810446686049546,1.8801914088752065,1.851607818628097,1.8755636236619042,1.5953718594261106,1.9101234703144974,1.8415583332049468,1.5722276096690568,1.5142169154778806,1.7291091492765356,1.2802288430662703,1.6454513196275935,1.82652714333612,1.8734721687439635,1.5255022666493074,1.8635219845099422,1.8963121980851017
Danish,1.6335139994227814,1.8924439560783912,1.9470441344212956,1.9249490138401162,1.8574103751936861,1.8555725051056708,1.8713036854579184,1.8197583363844774,1.8512512807825483,0,1.7341737837705151,1.7257500924841664,1.8636290976329732,1.7982271346663745,1.6999969199912002,1.9471428430479754,1.9214715182064719,1.9281426417043657,1.6540943011854574,1.8007528149385872,1.886910554203852,2.0048377006940012,2.015519184702582,1.8629395603898815,1.8896133107879887,1.787234642703955,1.4913345682929195,1.8534872944059506,1.8823745051711525,1.9558371887889348,1.8893361938244022,1.867085823291231,1.8875881524385068,1.8505819197866118,1.7577243521461685,1.8673720872679553,1.8673533617840747,1.8641346423239156,1.5726289091338648,1.8599281438678432,1.8812321599879331,1.900896321528679
