,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.7062655231113877,3.612244287894396,3.724430728701603,3.6371655456447964,3.7019764440710485,3.686131530969446,3.6832481210674737,3.738631530535562,3.62468377439275,2.9453744874366072,3.553799388823146,3.704735856242217,3.6433011430793067,3.526696291426727,3.7625340269265024,3.7248239307292645,3.754817647488224,3.4790734201664537,3.730913815233956,3.7320927664290564,3.679336501307352,3.693499968729487,3.6571258108110807,3.7280878532480424,3.7309624581981637,3.5767683540970467,3.655568145653,3.6607461308065257,3.698698979444066,3.7155187202070694,3.715009878849996,3.6603173500070048,3.645104702724253,3.695911122444577,3.7152935867590924,3.7207899232472905,3.737676622631434,3.485548313979346,3.6601768781477526,3.7423090795671867,3.690609341099638
Albanian,3.7062655231113877,0,3.6207997764897186,3.7329242878446984,3.6860501607372385,3.7232466100409427,3.7541546335170772,3.7000270724712983,3.775345445124089,3.7838469669988544,3.734640407336856,3.785611878201253,3.7317339273249788,3.6573220356620397,3.7406355766571098,3.7471360029500618,3.768643746873363,3.7603484696214755,3.6832426417286386,3.768482979101542,3.729702908868156,3.7409588411394314,3.701967515545981,3.6725405807800358,3.7434402796304935,3.7257923344941233,3.7692570884591996,3.7048607102813125,3.6811669312926067,3.738343294373352,3.7438158618708544,3.7233811775075187,3.696125247367395,3.693167500830931,3.5963415472220195,3.727281276560565,3.759074047299542,3.7329388015178604,3.6945851036285293,3.6715157568888928,3.7361114859337765,3.696293842758297
Armenian,3.612244287894396,3.6207997764897186,0,3.6880839985684837,3.5981463918101544,3.7005714376509786,3.6667150493622884,3.6500205097447904,3.708276967326613,3.7388585667387604,3.6439262144901385,3.6930414665792237,3.6966290122016243,3.627196565233935,3.694084003967164,3.6713268999461177,3.7008519136759546,3.718712267581405,3.557154581236447,3.711450799812857,3.6965850312739925,3.6144554780342175,3.5867143770270618,3.6231325207463896,3.684259384370783,3.709792076721818,3.706317799676673,3.6142262394167997,3.5869448458845357,3.6642007447700204,3.675277569972367,3.6930494575402806,3.6315923807180646,3.62417453196062,3.5694613959635095,3.7051832971476766,3.702862464981303,3.6854603164858433,3.599558240766023,3.621194680200753,3.677439156500765,3.646212635393343
Bengali,3.724430728701603,3.7329242878446984,3.6880839985684837,0,3.678816381633301,3.7066543794122193,3.702027019457511,3.7046616302138955,3.7144602446801915,3.7641155740418073,3.7270804028888325,3.735942007360658,3.7246257804975835,3.689741711904366,3.7285097341182185,3.725763269604051,3.494131491070467,3.485802713298232,3.6982947681716434,3.770994046963501,3.6842355377749847,3.7413965730280263,3.7142381452760658,3.6797104759001042,3.5231602617442492,3.419645473157902,3.78156408116264,3.696627096878248,3.6890437065412183,3.6860732990494505,3.6878136509863118,3.717397557071689,3.6909839218323985,3.6802883660476686,3.654668614969431,3.7433113867540304,3.7555985591651067,3.7012449888011134,3.6752811934620833,3.681205203842491,3.4097835170124076,3.670119930360582
Bosnian,3.6371655456447964,3.6860501607372385,3.5981463918101544,3.678816381633301,0,3.355989291188823,3.655211541233985,2.9604594456628655,3.4418503452089984,3.6842179458776325,3.6628202291208605,3.7070128639577957,3.6795894723021494,3.6432777619650674,3.693166874623298,3.7197444738482544,3.6940990934132008,3.7176864418861273,3.6041843461937138,3.7601746012044712,3.6107197293866267,3.568899960182204,3.581550319997097,3.020687266571942,3.6915559806881926,3.6751531216619546,3.7055496274358277,3.7038346167705565,3.6707309226160882,3.393172363630304,3.6208774511842408,3.6600204510902774,3.1726256787591938,2.603142125511555,3.661047945936181,3.314531997054252,3.373966744802393,3.6543783369412175,3.6168580240420307,3.180672734570208,3.67186445556731,3.6204744679938328
Bulgarian,3.7019764440710485,3.7232466100409427,3.7005714376509786,3.7066543794122193,3.355989291188823,0,3.639621672018642,3.158621176491547,3.437473004858518,3.7022499854626374,3.683366342060959,3.6816359574989694,3.682845063474545,3.644185325434554,3.715053771756549,3.712318990523758,3.704258458740219,3.7152016555771192,3.679179161159973,3.752798429477016,3.613970398211621,3.691955184551727,3.6461516867445454,3.1554199901349755,3.692727716566195,3.734286403963765,3.7087842143804552,3.7034039508236734,3.6845116000445812,3.459183768561208,3.6647830847609977,3.685031059873598,3.4251460412472214,3.2757911285088874,3.6748296246323133,3.4212537430000953,3.4686902465997074,3.652401151935876,3.6403922161087303,3.4197574712731527,3.6781795446829544,3.625507839160914
Catalan,3.686131530969446,3.7541546335170772,3.6667150493622884,3.702027019457511,3.655211541233985,3.639621672018642,0,3.643315937911223,3.715742424723312,3.7005028337723034,3.6745029591301286,3.6601112802018747,3.5622223165161193,3.3904451917884453,3.7039106811961258,3.693302932961453,3.676097815721828,3.6872760897325074,3.6575451567480104,3.721475029476522,3.4600114933201453,3.692535182667425,3.679867531704946,3.625322408683185,3.667630317941871,3.7507687260299107,3.6679979941543395,3.726247518929979,3.7306319858227517,3.697369584147183,3.4116184310680837,3.53857654889844,3.66648722305953,3.6431314584970624,3.7193744796513237,3.700951932540838,3.6785227078534066,3.3423063904993184,3.59604351812443,3.6463172662903403,3.695596640185281,3.6956014713439496
Croatian,3.6832481210674737,3.7000270724712983,3.6500205097447904,3.7046616302138955,2.9604594456628655,3.158621176491547,3.643315937911223,0,3.396244724218365,3.68523500527455,3.684829420799218,3.664821954036003,3.6507559540910157,3.6634906005926005,3.710171801730744,3.7104854427663363,3.6936454549994324,3.7022950713443477,3.6688972544470904,3.7486972279286785,3.6315877862835624,3.6691936775090417,3.6099532212407683,3.169769414768483,3.6648340204753396,3.6948763202012986,3.6988874160866527,3.675270210009797,3.6834649978267193,3.4326648374210222,3.6526209950285526,3.672503377997819,3.3691991576281257,2.8589618577438105,3.650916970334002,3.3087458932309177,3.2660520059715803,3.6504689910482035,3.634186170589757,3.3010907405866163,3.665034921022349,3.636171640054275
Czech,3.738631530535562,3.775345445124089,3.708276967326613,3.7144602446801915,3.4418503452089984,3.437473004858518,3.715742424723312,3.396244724218365,0,3.716886778420713,3.733983091558555,3.730726365153682,3.7084603169355272,3.716401000333858,3.7351933591094757,3.7741071495003333,3.7599365525841106,3.7570982334176475,3.707906270582318,3.778335576101042,3.673576074606946,3.704811734498601,3.72563737463081,3.4645943873591585,3.7621608575279226,3.712371162082753,3.746974134298115,3.714332340785283,3.7095385058408783,3.4420756528984704,3.710304881296502,3.7207487601682896,3.4488552442883944,3.3836844037869844,3.724393085510854,3.2074205651893966,3.5491495794753467,3.7254568953643963,3.676514202823308,3.4262767589824703,3.703364256536648,3.6545572506477297
Danish,3.62468377439275,3.7838469669988544,3.7388585667387604,3.7641155740418073,3.6842179458776325,3.7022499854626374,3.7005028337723034,3.68523500527455,3.716886778420713,0,3.584536780926431,3.591698009068925,3.699584243238905,3.7306725296377423,3.5826779716171266,3.779837637200135,3.744775260021144,3.7353922596481426,3.562762479026869,3.774970260405568,3.686154272982835,3.7793348796526303,3.753887731146157,3.680394148900829,3.7542304042685357,3.7180366198004884,3.428102375625286,3.7494335678966038,3.7532017283402777,3.7291377733534463,3.7450857917966234,3.708313391847661,3.702200855165558,3.686640954996498,3.7221802765196244,3.72334131661813,3.7168614200123775,3.7365638084304917,3.4487635729129336,3.6721145003569107,3.7154281019662494,3.67275712912198
Dutch,2.9453744874366072,3.734640407336856,3.6439262144901385,3.7270804028888325,3.6628202291208605,3.683366342060959,3.6745029591301286,3.684829420799218,3.733983091558555,3.584536780926431,0,3.540695228308431,3.712088612471866,3.7102069108576665,3.4252662290483356,3.7304689399337825,3.7159231331662044,3.7337554148229173,3.5341463150373027,3.760537764291333,3.6869161162519077,3.7011779262204194,3.6905185071166744,3.657929616003762,3.74220329838585,3.748608326263387,3.5875968673990366,3.7238312433140055,3.6984498791916076,3.687660226654023,3.6927536281973143,3.6960316001655382,3.679345813978348,3.663263127667365,3.711455453976097,3.719942582159771,3.702079517600088,3.703811798457188,3.4938087200083867,3.672165869666538,3.7289991902519146,3.693047665864994
English,3.553799388823146,3.785611878201253,3.6930414665792237,3.735942007360658,3.7070128639577957,3.6816359574989694,3.6601112802018747,3.664821954036003,3.730726365153682,3.591698009068925,3.540695228308431,0,3.6994264462590376,3.7174144925997683,3.6120452950640143,3.7653458482870135,3.6862138849800914,3.7172447423507204,3.6380782981062443,3.7208088525184575,3.71411220560482,3.7188146609325456,3.726196460178527,3.6876005516876793,3.688839903188294,3.741580054610408,3.6238783314057232,3.7626656506825777,3.752020494998613,3.7327635519699327,3.703557051946822,3.714849477555776,3.7099805816815934,3.675436298855797,3.745642904695873,3.7464665421954777,3.7191263840999818,3.6960042627145615,3.604842008920235,3.6979330280291243,3.7398058771053595,3.675716566467475
French,3.704735856242217,3.7317339273249788,3.6966290122016243,3.7246257804975835,3.6795894723021494,3.682845063474545,3.5622223165161193,3.6507559540910157,3.7084603169355272,3.699584243238905,3.712088612471866,3.6994264462590376,0,3.610980263157473,3.722443861716744,3.760822897422995,3.7271808375249083,3.751088911487959,3.690935297219923,3.7472874118217367,3.572052073496871,3.723486245209812,3.7161101745881924,3.6618418663506622,3.7087805264543205,3.733755107021851,3.6965315959985507,3.7040039119561334,3.7301504130741536,3.713774809628794,3.6362404984182453,3.6393702869859315,3.6880447795387106,3.6492037161113764,3.711768480530841,3.7279971912359997,3.6871970941334067,3.6198596733241795,3.6673055245233095,3.6585278629574,3.7209653736043475,3.682734530750445
Galician,3.6433011430793067,3.6573220356620397,3.627196565233935,3.689741711904366,3.6432777619650674,3.644185325434554,3.3904451917884453,3.6634906005926005,3.716401000333858,3.7306725296377423,3.7102069108576665,3.7174144925997683,3.610980263157473,0,3.7091393111719904,3.712795490845083,3.742023259884852,3.737047174198821,3.5891528449367023,3.6930439179286503,3.4795682370385657,3.7076686887463173,3.6761895846943875,3.6443948780444937,3.7199187714307875,3.7053180175550415,3.721851214418541,3.666050127228665,3.6599631492707485,3.7312322221619962,3.253691582678855,3.605659956349626,3.6782649995815118,3.6455108177612603,3.6374756148586584,3.7061459786035904,3.7414922414902896,3.0634393165512765,3.6307210202697866,3.6556576295713783,3.7093774826459254,3.660452971083297
German,3.526696291426727,3.7406355766571098,3.694084003967164,3.7285097341182185,3.693166874623298,3.715053771756549,3.7039106811961258,3.710171801730744,3.7351933591094757,3.5826779716171266,3.4252662290483356,3.6120452950640143,3.722443861716744,3.7091393111719904,0,3.7643224388183163,3.7351005432560243,3.7221000145319696,3.6011137411348524,3.7665667204596898,3.680946799925513,3.7143387000595416,3.7129672841677372,3.7096735810706347,3.7633669317633136,3.702678165162315,3.6520685922465734,3.7351921679730777,3.705577546336659,3.703339482066844,3.718291326162717,3.703764912168452,3.724633682804644,3.702064228923338,3.722294015742683,3.72348822783874,3.7207671584535245,3.7230803743683465,3.525942670299513,3.704840154972706,3.722955088939466,3.6660803801759836
Greek,3.7625340269265024,3.7471360029500618,3.6713268999461177,3.725763269604051,3.7197444738482544,3.712318990523758,3.693302932961453,3.7104854427663363,3.7741071495003333,3.779837637200135,3.7304689399337825,3.7653458482870135,3.760822897422995,3.712795490845083,3.7643224388183163,0,3.742875082347174,3.7377555601990715,3.722552872682048,3.788905801021332,3.7231288617059697,3.7026370648188482,3.7005975321222397,3.6995410727109825,3.723496846376464,3.7346233731414094,3.774499983079025,3.740852508701496,3.751133885261119,3.7481817146707104,3.719674777335726,3.7314145110358443,3.715935096552101,3.7050028238061348,3.6816753537872002,3.7626502765218826,3.7540074702236765,3.6601400945239493,3.7210239688507794,3.694409944181164,3.7243401636433693,3.7165788637206227
Gujarati,3.7248239307292645,3.768643746873363,3.7008519136759546,3.494131491070467,3.6940990934132008,3.704258458740219,3.676097815721828,3.6936454549994324,3.7599365525841106,3.744775260021144,3.7159231331662044,3.6862138849800914,3.7271808375249083,3.742023259884852,3.7351005432560243,3.742875082347174,0,3.1390761031950554,3.7231121656598165,3.787975426924297,3.729431087544224,3.7422649347582766,3.7209845450233745,3.693430330932929,3.027719326922563,3.5433058295991424,3.775531485206916,3.696933724016174,3.7465018840529374,3.7226353992656915,3.7582938895099103,3.7114859803680753,3.7132631678760517,3.6937250362238143,3.700786350560728,3.757714348368939,3.7487386297894774,3.7283709902281825,3.688952250441705,3.693160760230864,3.4465596528088054,3.7129621578455296
Hindi,3.754817647488224,3.7603484696214755,3.718712267581405,3.485802713298232,3.7176864418861273,3.7152016555771192,3.6872760897325074,3.7022950713443477,3.7570982334176475,3.7353922596481426,3.7337554148229173,3.7172447423507204,3.751088911487959,3.737047174198821,3.7221000145319696,3.7377555601990715,3.1390761031950554,0,3.716725973081715,3.79335148634093,3.720732667713879,3.748048440795488,3.728619796197231,3.713965078348357,3.2566506880922765,3.5168759434670966,3.7651586615203496,3.6870769255217755,3.7081687313619076,3.741908467286624,3.7536579581061504,3.68710588524713,3.7338763071539596,3.719303063455973,3.659065317567133,3.75615358294157,3.745710935804186,3.7197273154025408,3.6758706121285742,3.7347134583745203,3.1886297344252625,3.7139971947585924
Icelandic,3.4790734201664537,3.6832426417286386,3.557154581236447,3.6982947681716434,3.6041843461937138,3.679179161159973,3.6575451567480104,3.6688972544470904,3.707906270582318,3.562762479026869,3.5341463150373027,3.6380782981062443,3.690935297219923,3.5891528449367023,3.6011137411348524,3.722552872682048,3.7231121656598165,3.716725973081715,0,3.721855315165115,3.7020281098526637,3.6518126836873663,3.6358067985807567,3.626398855995479,3.7157514491781503,3.725883661073076,3.5297827848215335,3.6652406944895226,3.6288756746119013,3.6828391414357586,3.670165616225406,3.683772781784582,3.6391322335339273,3.6277681456973947,3.610607644167723,3.699398601142272,3.7086688491422746,3.6825119179742645,3.401282340735658,3.643183715198207,3.684377092171585,3.660371043021784
Irish,3.730913815233956,3.768482979101542,3.711450799812857,3.770994046963501,3.7601746012044712,3.752798429477016,3.721475029476522,3.7486972279286785,3.778335576101042,3.774970260405568,3.760537764291333,3.7208088525184575,3.7472874118217367,3.6930439179286503,3.7665667204596898,3.788905801021332,3.787975426924297,3.79335148634093,3.721855315165115,0,3.791473816323255,3.791878941023941,3.7315185199943746,3.73008563669977,3.752000560301238,3.794108876668353,3.7566407791687135,3.7242209367259846,3.7558145391877753,3.778191030948556,3.7357618109598603,3.775199992229359,3.7623700834051705,3.7446323396362624,3.723692908521205,3.7955763727849097,3.7679212624786693,3.726555144007959,3.6849642464775254,3.747424824152966,3.7574893114814607,3.685636123176007
Italian,3.7320927664290564,3.729702908868156,3.6965850312739925,3.6842355377749847,3.6107197293866267,3.613970398211621,3.4600114933201453,3.6315877862835624,3.673576074606946,3.686154272982835,3.6869161162519077,3.71411220560482,3.572052073496871,3.4795682370385657,3.680946799925513,3.7231288617059697,3.729431087544224,3.720732667713879,3.7020281098526637,3.791473816323255,0,3.727530966737417,3.6934754007167174,3.61480685695155,3.709183079809195,3.6466955289931335,3.7512745263164198,3.7314100187849695,3.7131940695195604,3.6569469287366396,3.521066720347437,3.501565603954316,3.6660133589059356,3.6201336675546014,3.7064036803856206,3.6782366426922137,3.7195680179064476,3.4234829515173653,3.6508143216432525,3.6172785367163396,3.6999490441480787,3.535834103590317
Latvian,3.679336501307352,3.7409588411394314,3.6144554780342175,3.7413965730280263,3.568899960182204,3.691955184551727,3.692535182667425,3.6691936775090417,3.704811734498601,3.7793348796526303,3.7011779262204194,3.7188146609325456,3.723486245209812,3.7076686887463173,3.7143387000595416,3.7026370648188482,3.7422649347582766,3.748048440795488,3.6518126836873663,3.791878941023941,3.727530966737417,0,3.3721413071071735,3.6261306632725367,3.7339553338893348,3.7664379460596904,3.730590717016738,3.756050933979433,3.730324755697487,3.6164677328353894,3.724539309450485,3.7192199645287847,3.5758356893745638,3.589699847798194,3.696472142724064,3.6541314431156637,3.667003754227388,3.7237233137991907,3.7021951972705596,3.6196347416555366,3.738723664788178,3.7258200023558206
Lithuanian,3.693499968729487,3.701967515545981,3.5867143770270618,3.7142381452760658,3.581550319997097,3.6461516867445454,3.679867531704946,3.6099532212407683,3.72563737463081,3.753887731146157,3.6905185071166744,3.726196460178527,3.7161101745881924,3.6761895846943875,3.7129672841677372,3.7005975321222397,3.7209845450233745,3.728619796197231,3.6358067985807567,3.7315185199943746,3.6934754007167174,3.3721413071071735,0,3.6056857601012773,3.723298302204317,3.724138703828816,3.7058958180362946,3.712831879947139,3.681025294001024,3.6123142580652376,3.71726347019443,3.6908110073990215,3.5848059160167978,3.581148703356941,3.6551099766105017,3.7006305892945526,3.660677043144237,3.669594488832657,3.6472496967857615,3.5843508088504192,3.69994683070679,3.703536652793144
Macedonian,3.6571258108110807,3.6725405807800358,3.6231325207463896,3.6797104759001042,3.020687266571942,3.1554199901349755,3.625322408683185,3.169769414768483,3.4645943873591585,3.680394148900829,3.657929616003762,3.6876005516876793,3.6618418663506622,3.6443948780444937,3.7096735810706347,3.6995410727109825,3.693430330932929,3.713965078348357,3.626398855995479,3.73008563669977,3.61480685695155,3.6261306632725367,3.6056857601012773,0,3.6877741049321737,3.697417099588519,3.7067245714907275,3.6766935780182615,3.688163499696375,3.4569535962234945,3.6253829169460885,3.663076469819228,3.1886863398491663,2.8256605322368142,3.657182047589737,3.364126252014897,3.438851786413144,3.6310484448958564,3.620990377859495,3.1740392759746903,3.64888202040809,3.6446079936696183
Marathi,3.7280878532480424,3.7434402796304935,3.684259384370783,3.5231602617442492,3.6915559806881926,3.692727716566195,3.667630317941871,3.6648340204753396,3.7621608575279226,3.7542304042685357,3.74220329838585,3.688839903188294,3.7087805264543205,3.7199187714307875,3.7633669317633136,3.723496846376464,3.027719326922563,3.2566506880922765,3.7157514491781503,3.752000560301238,3.709183079809195,3.7339553338893348,3.723298302204317,3.6877741049321737,0,3.590793871585097,3.75833511393942,3.6977057251514807,3.7424229393061568,3.732950942588865,3.739155977401912,3.7026495376054718,3.692987330360122,3.681814067673334,3.69238823024676,3.748905648371384,3.7250952508800834,3.6942329297834777,3.6978382841352966,3.6800670350231894,3.506376942961764,3.7138175602059174
Nepali,3.7309624581981637,3.7257923344941233,3.709792076721818,3.419645473157902,3.6751531216619546,3.734286403963765,3.7507687260299107,3.6948763202012986,3.712371162082753,3.7180366198004884,3.748608326263387,3.741580054610408,3.733755107021851,3.7053180175550415,3.702678165162315,3.7346233731414094,3.5433058295991424,3.5168759434670966,3.725883661073076,3.794108876668353,3.6466955289931335,3.7664379460596904,3.724138703828816,3.697417099588519,3.590793871585097,0,3.7830084834897284,3.6515545396708293,3.6864276954786375,3.717592754525267,3.715162501631991,3.712774027218792,3.727558725729773,3.687631198096971,3.6306051785458386,3.735632513482589,3.7674263747115364,3.7498473225856213,3.697706154076933,3.704954004987585,3.4664893226999456,3.636824567296641
Norwegian,3.5767683540970467,3.7692570884591996,3.706317799676673,3.78156408116264,3.7055496274358277,3.7087842143804552,3.6679979941543395,3.6988874160866527,3.746974134298115,3.428102375625286,3.5875968673990366,3.6238783314057232,3.6965315959985507,3.721851214418541,3.6520685922465734,3.774499983079025,3.775531485206916,3.7651586615203496,3.5297827848215335,3.7566407791687135,3.7512745263164198,3.730590717016738,3.7058958180362946,3.7067245714907275,3.75833511393942,3.7830084834897284,0,3.7504132168884317,3.7486326248068176,3.723551100800273,3.7274294206601923,3.7218527098067815,3.716437447990796,3.691270724788308,3.7369581461948496,3.717337199330226,3.656701219805812,3.706573032293137,3.2482100717076077,3.711042845518473,3.739851298384318,3.7348842839781855
Pashto,3.655568145653,3.7048607102813125,3.6142262394167997,3.696627096878248,3.7038346167705565,3.7034039508236734,3.726247518929979,3.675270210009797,3.714332340785283,3.7494335678966038,3.7238312433140055,3.7626656506825777,3.7040039119561334,3.666050127228665,3.7351921679730777,3.740852508701496,3.696933724016174,3.6870769255217755,3.6652406944895226,3.7242209367259846,3.7314100187849695,3.756050933979433,3.712831879947139,3.6766935780182615,3.6977057251514807,3.6515545396708293,3.7504132168884317,0,3.534231693969419,3.7316551842980275,3.7251454357511737,3.7261397327043864,3.705680105822137,3.679495566725346,3.6338710042744577,3.7386276931257862,3.722846349776205,3.730670589358888,3.6615282089911063,3.6777769248461967,3.63210320940115,3.6902420901483395
Persian,3.6607461308065257,3.6811669312926067,3.5869448458845357,3.6890437065412183,3.6707309226160882,3.6845116000445812,3.7306319858227517,3.6834649978267193,3.7095385058408783,3.7532017283402777,3.6984498791916076,3.752020494998613,3.7301504130741536,3.6599631492707485,3.705577546336659,3.751133885261119,3.7465018840529374,3.7081687313619076,3.6288756746119013,3.7558145391877753,3.7131940695195604,3.730324755697487,3.681025294001024,3.688163499696375,3.7424229393061568,3.6864276954786375,3.7486326248068176,3.534231693969419,0,3.69556804840772,3.7171251438953945,3.73661338987748,3.7038271656344954,3.6795374043659863,3.6579308356815727,3.7165149785253644,3.7383836964359967,3.7304661400989243,3.647299241162691,3.6835025484036095,3.6364674314557184,3.6737276200192968
Polish,3.698698979444066,3.738343294373352,3.6642007447700204,3.6860732990494505,3.393172363630304,3.459183768561208,3.697369584147183,3.4326648374210222,3.4420756528984704,3.7291377733534463,3.687660226654023,3.7327635519699327,3.713774809628794,3.7312322221619962,3.703339482066844,3.7481817146707104,3.7226353992656915,3.741908467286624,3.6828391414357586,3.778191030948556,3.6569469287366396,3.6164677328353894,3.6123142580652376,3.4569535962234945,3.732950942588865,3.717592754525267,3.723551100800273,3.7316551842980275,3.69556804840772,0,3.684336153485779,3.69217093715381,3.4067613678734983,3.413914316190334,3.7032086933696915,3.3202498655712014,3.550450796972409,3.709480622066234,3.6391729016193213,3.3939396707884075,3.6992810124715456,3.657159472485961
Portuguese,3.7155187202070694,3.7438158618708544,3.675277569972367,3.6878136509863118,3.6208774511842408,3.6647830847609977,3.4116184310680837,3.6526209950285526,3.710304881296502,3.7450857917966234,3.6927536281973143,3.703557051946822,3.6362404984182453,3.253691582678855,3.718291326162717,3.719674777335726,3.7582938895099103,3.7536579581061504,3.670165616225406,3.7357618109598603,3.521066720347437,3.724539309450485,3.71726347019443,3.6253829169460885,3.739155977401912,3.715162501631991,3.7274294206601923,3.7251454357511737,3.7171251438953945,3.684336153485779,0,3.629350590445108,3.6560206984212686,3.6309123519900557,3.7105376024172796,3.6859856499266987,3.7246900068348636,3.2332824502663353,3.655889557209163,3.6305225154545164,3.7003687810538874,3.6839884433387797
Romanian,3.715009878849996,3.7233811775075187,3.6930494575402806,3.717397557071689,3.6600204510902774,3.685031059873598,3.53857654889844,3.672503377997819,3.7207487601682896,3.708313391847661,3.6960316001655382,3.714849477555776,3.6393702869859315,3.605659956349626,3.703764912168452,3.7314145110358443,3.7114859803680753,3.68710588524713,3.683772781784582,3.775199992229359,3.501565603954316,3.7192199645287847,3.6908110073990215,3.663076469819228,3.7026495376054718,3.712774027218792,3.7218527098067815,3.7261397327043864,3.73661338987748,3.69217093715381,3.629350590445108,0,3.6948425066773183,3.666626096682566,3.72840099484302,3.712907734308272,3.6992239679892434,3.598039738156425,3.6709035269012484,3.671498048906924,3.700497081639693,3.664780641558956
Russian,3.6603173500070048,3.696125247367395,3.6315923807180646,3.6909839218323985,3.1726256787591938,3.4251460412472214,3.66648722305953,3.3691991576281257,3.4488552442883944,3.702200855165558,3.679345813978348,3.7099805816815934,3.6880447795387106,3.6782649995815118,3.724633682804644,3.715935096552101,3.7132631678760517,3.7338763071539596,3.6391322335339273,3.7623700834051705,3.6660133589059356,3.5758356893745638,3.5848059160167978,3.1886863398491663,3.692987330360122,3.727558725729773,3.716437447990796,3.705680105822137,3.7038271656344954,3.4067613678734983,3.6560206984212686,3.6948425066773183,0,3.1339773485451983,3.667641189472,3.3558632069384964,3.5383367707042876,3.682572744019264,3.628848986666958,3.006422355249627,3.7035861860103085,3.668646804325755
Serbian,3.645104702724253,3.693167500830931,3.62417453196062,3.6802883660476686,2.603142125511555,3.2757911285088874,3.6431314584970624,2.8589618577438105,3.3836844037869844,3.686640954996498,3.663263127667365,3.675436298855797,3.6492037161113764,3.6455108177612603,3.702064228923338,3.7050028238061348,3.6937250362238143,3.719303063455973,3.6277681456973947,3.7446323396362624,3.6201336675546014,3.589699847798194,3.581148703356941,2.8256605322368142,3.681814067673334,3.687631198096971,3.691270724788308,3.679495566725346,3.6795374043659863,3.413914316190334,3.6309123519900557,3.666626096682566,3.1339773485451983,0,3.652463804648957,3.264864071581386,3.2926529428215123,3.6490763976088343,3.617821573422272,3.1176815796366735,3.6686047189026705,3.642302769761354
Sinhala,3.695911122444577,3.5963415472220195,3.5694613959635095,3.654668614969431,3.661047945936181,3.6748296246323133,3.7193744796513237,3.650916970334002,3.724393085510854,3.7221802765196244,3.711455453976097,3.745642904695873,3.711768480530841,3.6374756148586584,3.722294015742683,3.6816753537872002,3.700786350560728,3.659065317567133,3.610607644167723,3.723692908521205,3.7064036803856206,3.696472142724064,3.6551099766105017,3.657182047589737,3.69238823024676,3.6306051785458386,3.7369581461948496,3.6338710042744577,3.6579308356815727,3.7032086933696915,3.7105376024172796,3.72840099484302,3.667641189472,3.652463804648957,0,3.7251017205912915,3.7140608264245003,3.6827092390835077,3.6503496369253527,3.647816842733165,3.648165250522874,3.655185449417238
Slovak,3.7152935867590924,3.727281276560565,3.7051832971476766,3.7433113867540304,3.314531997054252,3.4212537430000953,3.700951932540838,3.3087458932309177,3.2074205651893966,3.72334131661813,3.719942582159771,3.7464665421954777,3.7279971912359997,3.7061459786035904,3.72348822783874,3.7626502765218826,3.757714348368939,3.75615358294157,3.699398601142272,3.7955763727849097,3.6782366426922137,3.6541314431156637,3.7006305892945526,3.364126252014897,3.748905648371384,3.735632513482589,3.717337199330226,3.7386276931257862,3.7165149785253644,3.3202498655712014,3.6859856499266987,3.712907734308272,3.3558632069384964,3.264864071581386,3.7251017205912915,0,3.4783506316598505,3.7171482498154305,3.6697583121849977,3.3625984562306597,3.7343347838671974,3.687760694776289
