,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.707346084376749,3.6717732577060467,3.7600566451937403,3.6916969989083674,3.7212959673493455,3.743089209704314,3.708933109644155,3.740263289376522,3.6804282245416706,3.15383265553581,3.6101328577319367,3.738755076652304,3.7204482530718104,3.6068791580538884,3.777786532553599,3.759217611311742,3.76590811205905,3.562916193301744,3.745586441878292,3.762814690983561,3.704388759657931,3.702256965710941,3.7145196776555127,3.7869009211910845,3.721853304184089,3.663245443423181,3.701544300180749,3.6931730593129397,3.7322601097783976,3.7106524304414856,3.74855354548006,3.7115629505269863,3.7022363758431234,3.71010899856914,3.7599341362818928,3.7605763575381963,3.764887633936064,3.6214054464854666,3.7141910162703025,3.7409328684646153,3.697915472149871
Albanian,3.707346084376749,0,3.649789241207929,3.7778196502257195,3.6650015458977716,3.7109326038836987,3.7501056952598506,3.689639975583694,3.7645132224523423,3.793583612817939,3.756385132155113,3.7478673873602437,3.72434002719114,3.6981162700563375,3.763137538994316,3.7707471485808233,3.813626069457494,3.794283780188239,3.7130087549051867,3.7647978387188497,3.7127255624452467,3.7064511983151323,3.712977943617451,3.679129000876266,3.7893590449742662,3.7233139108006776,3.7897032355350846,3.73738828803,3.699035754461079,3.7415972962501263,3.7029727703076194,3.7525665027038135,3.6895064409544065,3.6863095020902756,3.634640454493912,3.7577740614309367,3.7603458748886207,3.717557995032131,3.765712612621675,3.6880266953600205,3.7404559138921787,3.6926788621112587
Armenian,3.6717732577060467,3.649789241207929,0,3.7249891182703476,3.6564280820015567,3.723333967860285,3.7229268273406735,3.6785427268648467,3.711961911872172,3.7464050497546957,3.7027324425575885,3.7062914027167166,3.712662642838251,3.6856878658950607,3.7300477990272984,3.731715870207723,3.768894893460548,3.746298294709677,3.629541234700064,3.7285172988318593,3.7255377106123273,3.632052630611178,3.624628073834033,3.6755751891329194,3.762951844939174,3.71415135160311,3.7463877548272877,3.671421259135506,3.6057940046289816,3.6867593706032835,3.668545034909742,3.7239996308153014,3.6759387080130264,3.6816041380373643,3.630805809199056,3.740107666052433,3.7581278702582583,3.721677391917719,3.707233958671127,3.67520512607983,3.6994182622023595,3.663983549707322
Bengali,3.7600566451937403,3.7778196502257195,3.7249891182703476,0,3.748967295480891,3.756536375777866,3.763466596638275,3.7666242286670664,3.77974579336271,3.821418624759535,3.7625314854166496,3.7599203970660815,3.7725832729476587,3.752763362124058,3.763240638198437,3.752813731228588,3.592038765755433,3.5587742712106736,3.7468624337257355,3.8096641545276566,3.7555434214953083,3.751599421594377,3.725741352930122,3.7617723720965115,3.6321621929293846,3.5069453120710463,3.8005613642987024,3.76494048681756,3.7269494731937707,3.73781600553627,3.7136322302080544,3.7712414570204933,3.759862658059127,3.7655794678490944,3.709826386440851,3.815242191878608,3.7917209138248533,3.752664125666083,3.753456634887704,3.7648881250754886,3.5174452499675772,3.7414817311532245
Bosnian,3.6916969989083674,3.6650015458977716,3.6564280820015567,3.748967295480891,0,3.4294650421119437,3.7372721016607677,3.1084224757073144,3.511897813547514,3.751368589521518,3.7142479964128734,3.7408404542289015,3.7040786040854634,3.6984660243722964,3.7277656688412617,3.7591631117483013,3.776380218265649,3.7715114865205868,3.681363113771105,3.782468495839436,3.6526689144994036,3.60935762573855,3.618420305579167,3.202523689434707,3.765009866856432,3.7143894721131043,3.7361309522273403,3.746317414393749,3.6982999361684743,3.4998170928015284,3.6686843580153874,3.718300062248541,3.3399405628746974,2.8751015919532774,3.6861750588228612,3.462977194821095,3.4796381947116637,3.6950161197323865,3.710741763512995,3.330009494763117,3.734798615692041,3.687119928992239
Bulgarian,3.7212959673493455,3.7109326038836987,3.723333967860285,3.756536375777866,3.4294650421119437,0,3.7315144958537165,3.3477346645998862,3.5509057079769657,3.773938356088186,3.740638965188299,3.7209021137497236,3.7437283732743456,3.699012163209796,3.7555338497348476,3.7555804498945373,3.7604853833470337,3.7560032558721734,3.7297408549446422,3.7894747430377342,3.6757585671505004,3.696148163839308,3.6704128681744024,3.3558543083802292,3.759991942789888,3.7300674063205195,3.756577852460197,3.760755079681018,3.7171553385356706,3.576280221487697,3.7002133392794074,3.7413533024463264,3.5413533722482424,3.433639876536456,3.7026951136301585,3.546918891068123,3.566960075261791,3.6974006872161302,3.7345735092704717,3.5478256824343233,3.741313043417375,3.6979122256445773
Catalan,3.743089209704314,3.7501056952598506,3.7229268273406735,3.763466596638275,3.7372721016607677,3.7315144958537165,0,3.7392071982271182,3.764757069913877,3.774034896387154,3.7358865539277395,3.7317286891691417,3.6771117625716956,3.5228184282570463,3.746253924538321,3.7275977289559203,3.7678258543344842,3.7473555005540296,3.729103263297077,3.786279105825035,3.573096008464848,3.7052498723902274,3.701737546737853,3.7381336487796237,3.767730091288629,3.7741217191245977,3.737204180681594,3.7807473481632434,3.750740542880917,3.7389361745315077,3.5114709521052743,3.636634102546924,3.7512940713733,3.743230127196404,3.7494811934949817,3.770656676493264,3.7495438550590627,3.5075488559363484,3.7086389975028307,3.7431895644884587,3.74505014940908,3.764006149433986
Croatian,3.708933109644155,3.689639975583694,3.6785427268648467,3.7666242286670664,3.1084224757073144,3.3477346645998862,3.7392071982271182,0,3.516311032870276,3.7632512441886594,3.7415716739842355,3.7028270520388045,3.7249325347265896,3.7106378404469957,3.7406536108120227,3.765528886076225,3.7425856829916833,3.7679299270793893,3.7187819736071672,3.7790206941449735,3.6730218139598736,3.6680424982940925,3.6455016674934995,3.350113631409245,3.7260268960879785,3.7181986535799205,3.7427910958183643,3.736543830471477,3.71436326537304,3.518140652971794,3.7083910006273815,3.7323148229417478,3.4754748519848304,3.08995827974447,3.706521699773903,3.454632544592007,3.396989832543787,3.7115421402378375,3.7376094608062065,3.4478950000193134,3.7492120576032266,3.700073304269739
Czech,3.740263289376522,3.7645132224523423,3.711961911872172,3.77974579336271,3.511897813547514,3.5509057079769657,3.764757069913877,3.516311032870276,0,3.761867370586548,3.7591464686562435,3.7486330308121745,3.756616384971614,3.7042069689456443,3.7479299807853947,3.7931276136809076,3.803776238968232,3.8026026622774225,3.7243525257408034,3.7959462948364173,3.711292559668071,3.6917973584636883,3.7173664388804446,3.5834449309434104,3.8035120479883826,3.721531976595366,3.763797217360337,3.7692890901026175,3.71656162505858,3.5156032002138615,3.7210767031395395,3.7333621668249424,3.5278522752056674,3.51955470045451,3.7219453648856375,3.331451975676405,3.6203008841341413,3.73524477507265,3.753282253918604,3.524764111205918,3.7725394956031066,3.7005093670766755
Danish,3.6804282245416706,3.793583612817939,3.7464050497546957,3.821418624759535,3.751368589521518,3.773938356088186,3.774034896387154,3.7632512441886594,3.761867370586548,0,3.6796152498627515,3.665697319832519,3.764026788678452,3.753896129088139,3.663019950576366,3.809585617542231,3.8075960673708185,3.8160177421137678,3.6381359790662198,3.779245544017399,3.749164149658265,3.780762714955031,3.7556805807154325,3.7613014449806723,3.806698156738017,3.7594826442550917,3.5654711367498604,3.7921778339853427,3.761686984154286,3.7797990156693335,3.7391905288916982,3.7795470468589385,3.7665246348650485,3.7663365289674524,3.7680738211511007,3.7881133044576094,3.783308437167681,3.765100598057688,3.6175750201922963,3.7526542807914938,3.7737379945691494,3.7321028984925397
