,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.368219302203898,3.303860197863124,3.385835233303562,3.301251283815429,3.3438334568890475,3.371356504448171,3.292792511633904,3.3579819918243,3.2424995007309247,2.6482952279380014,3.2966152062295166,3.354557243255661,3.3176147801311013,3.18385602805623,3.4173380447188295,3.4115693441136976,3.4096287023566667,3.1505518529722214,3.4466649037670156,3.3918146905209907,3.3371516712678644,3.2828343899010557,3.3120506965638774,3.4195274558297886,3.3910330325158013,3.168716972644432,3.324334713917375,3.3235004960108463,3.322748339198381,3.3571791808728184,3.3224712355492905,3.32398793356217,3.315620897902468,3.4246042869673827,3.3220234650782756,3.331543423058004,3.3985929687427743,3.1012665450601222,3.3096655855845696,3.3665033485593283,3.4265578648550976
Albanian,3.368219302203898,0,3.303057762144966,3.4163984386637747,3.3038207543558147,3.3963010943531673,3.443366825852892,3.3550008805302167,3.4411868049126535,3.46050737841265,3.429577002779112,3.5352617462115608,3.4323297581165804,3.3449996370876867,3.4221414002641444,3.4233689621788312,3.46891404074604,3.4459509673760187,3.337533325095093,3.5090269320114444,3.4324771035984685,3.353398195682623,3.2902902301563675,3.3226948982451905,3.451682879093822,3.422502178598589,3.431473257428791,3.403814815190118,3.3221994819938248,3.338667023274141,3.4119550626815287,3.3636432860907726,3.295693118005492,3.3258329629903005,3.3229015136569338,3.3437569568741368,3.4415918067506293,3.4412708093870994,3.3741987709946613,3.297930063743585,3.3942019802683983,3.4605528148698577
Armenian,3.303860197863124,3.303057762144966,0,3.36660689059213,3.2868632463639207,3.406541168259402,3.3927092821048594,3.3168577074123458,3.3601427933493757,3.4236781225327664,3.3686490013463755,3.4193930169074593,3.4019051643460427,3.3693340982028444,3.363900283884494,3.3858179764802174,3.4093001184349867,3.419576350359495,3.256472790226594,3.4599182203933547,3.3957579116436287,3.241611706463177,3.2010778353747185,3.3107988732896843,3.412673197338953,3.377047076030295,3.3987198858984216,3.3410828139911146,3.255902502079383,3.297837025644584,3.3620143328205576,3.3403391424617257,3.310631375847429,3.325485927390566,3.3545055570742397,3.356487826601399,3.3764951654823996,3.420353324607016,3.2905815293004625,3.322711657382617,3.3385478151019288,3.4026625211182266
Bengali,3.385835233303562,3.4163984386637747,3.36660689059213,0,3.363459938603851,3.350237947230049,3.3637366188335656,3.377260936673742,3.3595302137001153,3.4526827068136043,3.36902102256817,3.3863412904478967,3.397726352742701,3.4026696847303244,3.368417430509864,3.3542175672731958,3.148169411879351,3.156056998600657,3.348740899233222,3.4553580848338,3.3699228464312596,3.3589054230005595,3.314789439154832,3.3574481356989105,3.184461900776562,3.1497263937145346,3.4413721318226864,3.3971543970264064,3.341771152504301,3.3066538888487678,3.3381327627638457,3.3706356499504992,3.3564763544070026,3.3664328656132274,3.396977298442472,3.366804056131633,3.3977802392152454,3.3134031863640803,3.347815896111328,3.3568199710664364,3.096672486057797,3.42078141640435
Bosnian,3.301251283815429,3.3038207543558147,3.2868632463639207,3.363459938603851,0,2.990518288793017,3.3398601117300797,2.5717520483424336,3.031825809162084,3.3516025954220723,3.321942782535658,3.418918113303846,3.3571859576850183,3.300328951403515,3.328532615554869,3.337415727936083,3.369407384468921,3.376785265577452,3.287159445323192,3.4412113268089373,3.292790596067098,3.142909013981979,3.1887142195062474,2.6478277527312413,3.3723549303912352,3.341352153402323,3.2891491073179235,3.366349764519339,3.294540440571862,3.0408985995876283,3.28954609107172,3.279958343457789,2.8213233445790573,2.2877223634020862,3.352816871297099,2.894208076889902,2.9537046062398704,3.282905862936277,3.281981403039938,2.8256381036995024,3.3113301744035093,3.356785947565927
Bulgarian,3.3438334568890475,3.3963010943531673,3.406541168259402,3.350237947230049,2.990518288793017,0,3.2568699789884237,2.8120882886434813,2.9927228057665527,3.3671443057332313,3.30171892266848,3.305122124464173,3.3641255369043557,3.280145080803278,3.341812810916767,3.295808931742705,3.3140049872237083,3.3393505403820956,3.318059312207631,3.4168061215964873,3.2563676928339693,3.295112174456879,3.2984568936782708,2.7880881597066383,3.3173750731039013,3.4541771646993324,3.3662294996058573,3.384666862646481,3.310255759361593,3.079284385640865,3.2683923641675476,3.2937235237758236,3.0558670588292256,2.899519239746182,3.410441899026202,2.9646624667448003,3.075956177937924,3.2713826982441288,3.311843205538672,3.03794795669755,3.326286823221785,3.328122606391953
Catalan,3.371356504448171,3.443366825852892,3.3927092821048594,3.3637366188335656,3.3398601117300797,3.2568699789884237,0,3.283924405006704,3.314646008096352,3.367660767715621,3.3106859082995035,3.3189525092178367,3.2481543790492395,3.046825493166248,3.3462802666605533,3.2830996797863667,3.3329955494573626,3.339885270708806,3.335552645940637,3.4011587938267853,3.0337526835416058,3.3564686766337504,3.316895403141161,3.3065704790190344,3.3300370339517995,3.460268643018399,3.356017809915828,3.42504281343022,3.366994898034051,3.3103170495038614,2.960695569341906,3.192027858143153,3.329033350113025,3.321102359261027,3.4373172375233114,3.3177839262155513,3.3289840722455826,2.9093382246913984,3.2958236777755485,3.309473613910286,3.326638728817148,3.3669292965220516
Croatian,3.292792511633904,3.3550008805302167,3.3168577074123458,3.377260936673742,2.5717520483424336,2.8120882886434813,3.283924405006704,0,2.9848047794540533,3.3331145775909414,3.3229069268174203,3.3213215702403605,3.3561402374451212,3.2944025637131586,3.3369514595569756,3.3432840567469277,3.3217783028622545,3.3452113764758646,3.2909336223425347,3.4321168080545887,3.2807592707211195,3.2815886172177944,3.238880143021728,2.7772668564749674,3.3253558677227804,3.406299178872297,3.313083767355216,3.348682068305995,3.287471439505993,3.061445246701021,3.292459550061999,3.275728619757965,2.9501049206655807,2.4921487932208537,3.3681429416694897,2.8600237505900594,2.891248952539808,3.302103609653302,3.2899793347722266,2.93489750494223,3.311452328965483,3.3466015145984263
Czech,3.3579819918243,3.4411868049126535,3.3601427933493757,3.3595302137001153,3.031825809162084,2.9927228057665527,3.314646008096352,2.9848047794540533,0,3.3391662235174246,3.3358188073542494,3.355081215686778,3.3718742236228834,3.3271284148536857,3.3319859682541937,3.342721089760257,3.38488454428234,3.3934218785829793,3.3214305840366722,3.4294601164432015,3.2908782198272326,3.2616527776932136,3.3100113696199096,3.0545644309192928,3.3957012890599216,3.42071187966961,3.3371552728593303,3.3919501069957603,3.3040363063464406,3.0375342796637477,3.3019006050154105,3.3024744962884736,3.062948581387221,2.9861809812825184,3.437469613886877,2.7658776740329327,3.0661752221776353,3.320768039358821,3.3364370116011743,3.026914706849532,3.3358744996716148,3.324528404977751
Danish,3.2424995007309247,3.46050737841265,3.4236781225327664,3.4526827068136043,3.3516025954220723,3.3671443057332313,3.367660767715621,3.3331145775909414,3.3391662235174246,0,3.2879321231916756,3.3581262167160384,3.4042980120779727,3.373601350352769,3.2871943222700732,3.425196112789989,3.4310269507726576,3.45290335782022,3.209215579016808,3.43615612399917,3.3533277324105306,3.4229682020544057,3.378977082626064,3.34377172947601,3.451607887324458,3.47192412091112,3.135832096884939,3.469100505493346,3.3937978371121638,3.3589504874863545,3.3784914686394365,3.3668095005897603,3.36608993681927,3.3663309915662074,3.4309702581026134,3.3458913104155523,3.3555787037432028,3.376043853516929,3.1550992411956296,3.3222211707290854,3.4109669115362404,3.421633632982943
Dutch,2.6482952279380014,3.429577002779112,3.3686490013463755,3.36902102256817,3.321942782535658,3.30171892266848,3.3106859082995035,3.3229069268174203,3.3358188073542494,3.2879321231916756,0,3.2596052538988802,3.366792239297288,3.382305071839343,3.078682494928746,3.3528472271231418,3.3480447714861836,3.3591229582489657,3.209774527811402,3.4360776716877885,3.31523942115903,3.341201809882882,3.3094704083385738,3.3209365291832706,3.3825909980862576,3.4460687687974842,3.228011343017165,3.4232367492007265,3.3519233683748015,3.284326997458867,3.3157937219155764,3.331004939119163,3.339546351761278,3.3323052796913757,3.4498221101412105,3.3169281715996703,3.33494366492226,3.3183456902198754,3.1591121342878394,3.3344303945220863,3.359417223477797,3.385516259455558
