,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.6550608591303915,3.631612067188004,3.73704490498594,3.6357191375995876,3.7046320755294126,3.721847140153101,3.672775853188629,3.7002114566633586,3.6433299345223227,3.242591040030276,3.5868199783349244,3.6940683291169476,3.693807190480837,3.565912337375366,3.7599105434336844,3.7469269481120517,3.7610943768476894,3.503143333200822,3.7331333081329565,3.7341905897483367,3.6473148329647165,3.676242938840004,3.657879665158364,3.7745903688835005,3.707691208472835,3.595782489645121,3.6691920663578874,3.647312816615591,3.6855186852484363,3.685115235147392,3.726350074763662,3.6581101254169957,3.648685656760202,3.6839153902339254,3.721103412366838,3.7394640731812707,3.7618815232776623,3.561233820659416,3.6460402048551677,3.738763724733445,3.6864107275989744
Albanian,3.6550608591303915,0,3.5840688883748726,3.7348098618038224,3.6517577925511704,3.7079644685781377,3.7350316747830385,3.6777378978651676,3.733789604167285,3.7984076886873726,3.700390223680564,3.753459348836081,3.70934050511379,3.6970983043894345,3.732319672311643,3.741782031770297,3.760774247800304,3.7514291751943634,3.6460683074876035,3.7481334948992853,3.7111619130819613,3.689829633095431,3.689941876732564,3.6637223667777015,3.7636844455302456,3.721456294925181,3.7767250760003117,3.6779819839623906,3.6429589528143547,3.7055604678115035,3.684529012654798,3.742450196176538,3.6628616801823712,3.6809206649436588,3.6126523731391385,3.7293978756771633,3.7564662853359496,3.7451296023444662,3.728819875169978,3.662112589692227,3.7297097313123215,3.6838474353677944
Armenian,3.631612067188004,3.5840688883748726,0,3.733710470689482,3.605424460043835,3.7012717852978647,3.7364979696018152,3.671143326915215,3.694036263803295,3.753310814214607,3.696191309509048,3.7133787552329642,3.7047606194413114,3.697243507619602,3.7009788898604308,3.7267168031901745,3.7673846852130928,3.7600402007068126,3.571867641822671,3.7196422168123484,3.7072236296556778,3.608314146134659,3.6074029855572403,3.6550872176310136,3.7668127200506727,3.712496425643454,3.725257272535164,3.634736270949564,3.5709470196461925,3.686760955468506,3.6839061564962003,3.7242213423225774,3.6468606109906787,3.6472743343190497,3.6084222170522087,3.7184024242977496,3.7486509939356787,3.7714603713026946,3.6726517026430914,3.650979621185517,3.7182413033008683,3.6459943792788554
Bengali,3.73704490498594,3.7348098618038224,3.733710470689482,0,3.682972483170208,3.67790730438392,3.7128320428827664,3.6923624416215874,3.7007567100141454,3.7540965512632782,3.6957849303881773,3.712741780244307,3.7082840631418374,3.7130700050753127,3.6846610235249977,3.7211333951221026,3.5168845700914955,3.525064843142635,3.691827276883799,3.7760561099901393,3.673487612075995,3.675868893093623,3.693176561087576,3.6648855299279544,3.5749715396664867,3.495942745853122,3.7905809132185677,3.687689350032849,3.6740614603566724,3.646207048162615,3.692287337751865,3.706754419232616,3.6765194112730355,3.681954499721592,3.6574591641421557,3.728908296438888,3.721755846720007,3.72831153785084,3.692332103599218,3.6565185741788233,3.519640594749241,3.676508245380697
Bosnian,3.6357191375995876,3.6517577925511704,3.605424460043835,3.682972483170208,0,3.463982806929974,3.698382182104818,3.224851137710412,3.524521173198911,3.731405963251753,3.6657967998006717,3.701679199431078,3.6702842268166465,3.689656552603157,3.673740201604879,3.724828825519411,3.7432682999808913,3.7429208136052616,3.621795021977077,3.7657464205258098,3.6257922113932257,3.5347675178845352,3.572692481937297,3.2273565306662735,3.751411334796773,3.683331382284062,3.7260705419787397,3.680862707194079,3.6231519797526017,3.4354878973464187,3.651209947696648,3.6624508634732167,3.308438759995065,2.970199650290993,3.669520425675537,3.46183465315046,3.516937999576773,3.715922364751074,3.668458644396988,3.3117906764198493,3.696278680543015,3.6289143709265153
Bulgarian,3.7046320755294126,3.7079644685781377,3.7012717852978647,3.67790730438392,3.463982806929974,0,3.6556823232491267,3.3150038472905536,3.5055409940522146,3.7013796631770726,3.6672584114665416,3.6306933372917443,3.705056513151657,3.6686264696276023,3.6778605602952688,3.722621902887998,3.671580461882585,3.676130644954752,3.6497826174027477,3.7482496288153047,3.6209259958297375,3.6456100578207082,3.615343274349128,3.324724493744249,3.6669444365220194,3.7294986920068154,3.725012629170248,3.6820400969206073,3.649795359923498,3.51971081603602,3.6710692028692984,3.662495572442766,3.5019824817262406,3.4213746060523014,3.680917873276414,3.5029442725449953,3.5496352574399697,3.6777654703934695,3.6364764903404945,3.4873914803954387,3.6825782030897516,3.6183685611964482
Catalan,3.721847140153101,3.7350316747830385,3.7364979696018152,3.7128320428827664,3.698382182104818,3.6556823232491267,0,3.6441753549913383,3.6979409346755894,3.7127172515473057,3.6555065759920224,3.6487851233590787,3.6214825131836803,3.4923181359550637,3.680693451573579,3.701954723793451,3.7036895970727635,3.7125484642456006,3.6966738036721116,3.7326355317860633,3.550078772721183,3.6803417380557,3.6699167353465465,3.652890386002976,3.7004110047884264,3.7704556942749514,3.7196783960749378,3.712887638496618,3.7081929906867233,3.6631430464937527,3.47454404247606,3.574136759713436,3.6746275295486095,3.6688874637068087,3.719717121172885,3.7004435000120672,3.699638520689923,3.466437924817134,3.667205211814227,3.6581421382638775,3.7060079505697985,3.6890280926013013
Croatian,3.672775853188629,3.6777378978651676,3.671143326915215,3.6923624416215874,3.224851137710412,3.3150038472905536,3.6441753549913383,0,3.498163291523396,3.7047774884570344,3.645678353019633,3.645090294027612,3.6699889594559,3.666482931258319,3.6630615669747217,3.689551533221253,3.6854682694676457,3.703944509885573,3.631551863845649,3.739093173046966,3.620751814739255,3.621604656617859,3.599379214223079,3.3178631980152873,3.6848260545170244,3.7248382218680445,3.7139356319463364,3.6608251138883876,3.6294841278138477,3.4420401147584743,3.638602397720297,3.640996331169779,3.4394305744172287,3.1575413678880313,3.667628207147503,3.4043211809933203,3.4069449910506124,3.666982169031218,3.6407795299717645,3.3940814254826566,3.6655331793769634,3.630711699003554
Czech,3.7002114566633586,3.733789604167285,3.694036263803295,3.7007567100141454,3.524521173198911,3.5055409940522146,3.6979409346755894,3.498163291523396,0,3.7076242850909376,3.665193304783426,3.683372692807073,3.704253789008361,3.6786612876113676,3.6771794260604733,3.739588386993754,3.7264372537881787,3.7320482365194962,3.6629022639326907,3.7418527457763897,3.6747111781723847,3.6417107406229645,3.6655626001737436,3.5200355184192,3.739115550054862,3.6963963512810962,3.7347317975697045,3.685041930204582,3.6386910797318994,3.4653271789659175,3.693212103261574,3.6815655290182927,3.478903893341598,3.4724346155217334,3.7052892766372025,3.357482990765631,3.5696827570308716,3.6980403828941704,3.666403562129455,3.465936239629225,3.713425724471286,3.6542228341211556
Danish,3.6433299345223227,3.7984076886873726,3.753310814214607,3.7540965512632782,3.731405963251753,3.7013796631770726,3.7127172515473057,3.7047774884570344,3.7076242850909376,0,3.596195880660403,3.5604366298857992,3.7371441931680276,3.712854650186921,3.5670086748859586,3.774635045537336,3.730409818698072,3.7552038971204085,3.573812627176079,3.7505937263692917,3.698958329218351,3.7397868594723818,3.709918809493823,3.7247162581390514,3.7419433710734133,3.748612823048152,3.556762952456123,3.730672422625597,3.70471285951208,3.707496161927365,3.714999027075237,3.705141427226388,3.7475093572626874,3.735890997017734,3.7502327629309735,3.7289800447837056,3.736026591375688,3.743479881171817,3.5261655101385654,3.721353724298395,3.7358445396309365,3.670324587482014
