,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,2.839252663005395,2.6022835371294226,2.743317191958336,2.53462191428396,2.6588613067137485,2.803692366288354,2.696319461459804,2.618432525858836,2.531242324488319,2.1175079129048093,2.3952862477494485,2.6919159145493716,2.7589468053735153,2.4130495671646264,2.743359197474341,2.818341576996213,2.846530898072731,2.417432719021404,2.82251029069507,2.715211574001819,2.515763520751551,2.5453970883198775,2.6286999807080598,2.899764408189478,2.731875815029165,2.5270302829626634,2.7328308084205926,2.623421999289862,2.593355590855628,2.618529941756978,2.6805058434771705,2.5818360258900164,2.5996664389718447,2.8917244379405216,2.656473898570042,2.7112405902898944,2.839996810900391,2.4985850862545522,2.638110954638773,2.7843878952251173,2.686145490215689
Albanian,2.839252663005395,0,2.602883320542039,2.769932234350611,2.6573313518697717,2.754142097693775,2.882783866784288,2.7637789723587676,2.7671087345638257,2.939047899799225,2.7976930555692547,2.851406228684249,2.800634910776227,2.8238879879227,2.807561738429478,2.7720781133609784,2.9175380259299613,2.8955801106685732,2.7671136571457837,2.910493622335326,2.758907224201055,2.6727665435496912,2.6579364150537548,2.7572808453466933,2.954696152401617,2.7856170695895783,2.931227753773758,2.8109845867299588,2.679788973595244,2.7002743075161417,2.7382890153567527,2.770829584452848,2.6693716493145034,2.7337960023291936,2.8407721597839326,2.7525218586759492,2.7926794165579496,2.8745620481250818,2.8690414833442195,2.684414572802438,2.8157559464298614,2.75405484347582
Armenian,2.6022835371294226,2.602883320542039,0,2.638812152860166,2.3960424107861598,2.55816363133924,2.7508722030843686,2.563710283234634,2.520001104053836,2.734102773240932,2.5588930693336436,2.625509452561484,2.65789080186202,2.7010194519974324,2.545374600004308,2.5486056187468096,2.7439059717059706,2.7553996707514186,2.432683208067096,2.717801924377792,2.6124395554643804,2.3784859846356583,2.328712576800869,2.5212617811911726,2.8097527723834967,2.6668040291556205,2.6868292863469816,2.600625844052429,2.4242647925942977,2.507134023744623,2.5776338346453778,2.598462477520834,2.466674107838979,2.4960900582229497,2.701830200934668,2.564209827620488,2.616565341142835,2.7612817966294023,2.6342883630323515,2.5137920756107306,2.663871844810907,2.582201794164475
Bengali,2.743317191958336,2.769932234350611,2.638812152860166,0,2.5341908937314668,2.6265239547393042,2.810166540139977,2.6648122344830933,2.6294072019388506,2.8004028776143057,2.662596080448781,2.694091241095855,2.6902579890529212,2.7599780649019543,2.661364642755306,2.641735238900676,2.482623248432616,2.4863684284345475,2.6662379600686874,2.852696272620407,2.6379986674506304,2.5128129973890068,2.5669107031117333,2.637482271587308,2.6434706697472303,2.371878344834946,2.8241515635178525,2.683062477669208,2.6022884400978343,2.545790364710169,2.648787420767487,2.666064992872686,2.583185499688859,2.615372672496778,2.794159682090591,2.652293918575973,2.6597760493670832,2.774226184354124,2.7061657271175807,2.632441461556514,2.445298992673626,2.7037603769006613
Bosnian,2.53462191428396,2.6573313518697717,2.3960424107861598,2.5341908937314668,0,2.158202863530377,2.644241418530278,1.9925601291978545,2.1533099298708422,2.6230595020380165,2.4677349262618318,2.5447673205265007,2.518538679778512,2.659180490484781,2.453893407628583,2.5218815324320456,2.711932070428122,2.680124194883662,2.4327810810011914,2.755187280479226,2.483606645394206,2.128618320287975,2.1680744626683213,2.031988039961733,2.791303081199673,2.5584528493681886,2.5783653869449314,2.5962526887263078,2.3953469453415392,2.032186270017504,2.461293971388306,2.445912427206141,2.0196788188467774,1.7310551141617536,2.757558191455349,2.089553230144916,2.191196382516692,2.662846848916728,2.563063699777765,2.1177483878533616,2.5891170558628445,2.5364651218901932
Bulgarian,2.6588613067137485,2.754142097693775,2.55816363133924,2.6265239547393042,2.158202863530377,0,2.6931540827997438,2.2080659902067503,2.2819905177011415,2.709299407420837,2.5859613621018473,2.6245684996349405,2.6394763105289214,2.6663605045957235,2.5802322838074945,2.6169046410411867,2.7136905928595865,2.6875521121541595,2.5560458851267267,2.791144887372859,2.5533916572767765,2.437503111406028,2.411964304796683,2.0771039576147143,2.7454353675287684,2.6668831476074697,2.7057970707327867,2.684285078342976,2.5323699753187014,2.2908402956418277,2.5713931023405467,2.565289206030826,2.256603178699859,2.1710624004124006,2.804082058785356,2.3028034589644655,2.3542371945995795,2.6629073342498994,2.6492391479641233,2.2821497732570752,2.648139305467136,2.5900040917734772
Catalan,2.803692366288354,2.882783866784288,2.7508722030843686,2.810166540139977,2.644241418530278,2.6931540827997438,0,2.6958822217418343,2.707316964987746,2.79208188885313,2.71862143017569,2.7115647467329467,2.5955196723343623,2.4728555182459386,2.721867966744154,2.680547703192505,2.8397900682402177,2.84053932836173,2.713813006182627,2.8909926398891788,2.4696653687930286,2.6205684728340386,2.5842742793086546,2.6926055134689935,2.8856216371073415,2.849993104985984,2.782083715930717,2.8263096098583835,2.735828286175185,2.6851256529201275,2.4537463253784675,2.524591437771154,2.6537352199103337,2.661863260579955,2.935723517300495,2.730263294725266,2.717334196018523,2.480314265343552,2.766457636588371,2.6752958523048043,2.8258326653784307,2.771078903057227
Croatian,2.696319461459804,2.7637789723587676,2.563710283234634,2.6648122344830933,1.9925601291978545,2.2080659902067503,2.6958822217418343,0,2.273268878977955,2.748833788952635,2.6246678953027147,2.6867859366231173,2.6998180169916473,2.7214259799849825,2.615313145403502,2.620949231828353,2.746743993970045,2.7150330620087275,2.612040867163278,2.812498766362991,2.602118089828517,2.463788089847999,2.419515496951075,2.1961967698747134,2.8082006523062537,2.679071817546226,2.7366235604721716,2.667114293750616,2.521681696697818,2.26701294194292,2.636572437842442,2.5941199982947807,2.2914035997663986,1.9678316775873341,2.7930713128998623,2.26806749486112,2.272357220565347,2.711148272096779,2.6732088019442974,2.2880940642895164,2.650875892278044,2.654034589888397
Czech,2.618432525858836,2.7671087345638257,2.520001104053836,2.6294072019388506,2.1533099298708422,2.2819905177011415,2.707316964987746,2.273268878977955,0,2.64732192181278,2.524740043121795,2.6001062912207296,2.6053018338507528,2.6802728223013075,2.536753706442316,2.614928807227912,2.718932043515472,2.7074255147746724,2.5413988473882045,2.7467853880057955,2.5456106923730846,2.3345664520130844,2.4037670484379396,2.27212832307185,2.779166287068967,2.5933069348805584,2.663864841831516,2.6298535489864348,2.5058766453855212,2.1111815473593896,2.5304320041189543,2.5594352338773008,2.2057810157622,2.1701538505648226,2.8151178604227245,2.013971040056399,2.330501877384467,2.6840252741208106,2.6309204908389225,2.219013469564313,2.6489094363223735,2.601617318430781
Danish,2.531242324488319,2.939047899799225,2.734102773240932,2.8004028776143057,2.6230595020380165,2.709299407420837,2.79208188885313,2.748833788952635,2.64732192181278,0,2.4831929065401854,2.385020774000912,2.72211394886317,2.773551517491964,2.398627368376511,2.7632226812754332,2.7993849672181077,2.8247393457255026,2.4498786873603797,2.8064944913822125,2.6788303123559816,2.6264775438339054,2.614143889456619,2.719496037663796,2.8741561508883877,2.738294979176989,2.3351994062113812,2.7922406988875053,2.6603288983867888,2.6277378400182285,2.66669192147651,2.681417302934095,2.682114247503026,2.6981650276201012,2.9614796706974458,2.673393114274855,2.6985560514362987,2.830403924582471,2.360825915161227,2.721143819636566,2.796844244441018,2.684948402198547
