,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.5775421421436384,3.408327385319822,3.5405967753436016,3.462562055389783,3.5709099768047037,3.5362533596792307,3.5763404004327435,3.5553691338572033,3.456640710308747,2.9747026506803262,3.378465768781955,3.566345561818657,3.527018335273045,3.413800481271878,3.629212437166524,3.5490768576347014,3.56074705434651,3.315298024335495,3.5431464285146723,3.5807286826625506,3.4615876352942223,3.45607446951614,3.513188437990478,3.590778250160876,3.5497011831731453,3.421804963466168,3.520966334118296,3.5037583510549744,3.5169461397426685,3.5580610323114326,3.5502211889637554,3.5135606434998228,3.497150494072339,3.5500508559978616,3.55094848591432,3.542756186585986,3.6087217875915134,3.4422481575726622,3.5127238424119027,3.5792255973187155,3.503186790098139
Albanian,3.5775421421436384,0,3.460335486738351,3.5941071731124006,3.506318036347262,3.594237185893403,3.5992277038067897,3.573262998557481,3.6234446127756366,3.667129770293153,3.590119124090555,3.60854254736721,3.598631135357858,3.5798242180354083,3.6059774005910965,3.6271126797497026,3.642494884985863,3.630634609596594,3.5536037213987077,3.6345715739166025,3.5512967308838936,3.5539575672051855,3.522441648122249,3.5311028041568164,3.634692262655388,3.5873424654233244,3.6486238842334973,3.6177026502844933,3.547857693124437,3.598664506553138,3.5876945358486068,3.6095324202093684,3.5593601986924477,3.5277531464609813,3.501554075257994,3.633719093776787,3.5993501846045426,3.59869264456482,3.6149175808428358,3.5230786452772223,3.606952017887161,3.5329325461205756
Armenian,3.408327385319822,3.460335486738351,0,3.482829280293307,3.3966579900246234,3.5195652964704838,3.4941179576576733,3.49519657228866,3.5023473068317488,3.5263515838405812,3.467866110603076,3.461440165428591,3.516165834513554,3.4691785418296996,3.4867762594862612,3.516237011479902,3.524578329663071,3.5168985647815254,3.3505271990147887,3.48173498636735,3.4939147604676934,3.395010722858304,3.3483016014625493,3.4440200734217554,3.5331272932761135,3.5163535276419315,3.480160242264616,3.43882534926088,3.3657729101213576,3.4815275034507067,3.4992229105489967,3.4880840169365275,3.4464043805936195,3.42229853526955,3.4404920098094167,3.512177460595545,3.497342702076284,3.534304774939989,3.486110137394224,3.441917379054096,3.502806726041068,3.450849150864568
Bengali,3.5405967753436016,3.5941071731124006,3.482829280293307,0,3.502214478789777,3.5220019813384633,3.506629689943095,3.5459625688408822,3.5417643382805832,3.5795370356685217,3.5342645478346943,3.529765033868995,3.5506711338059236,3.5419103470050066,3.535597037327089,3.5439476584010343,3.3182299620992635,3.28418958642853,3.5241256832249293,3.57897105723444,3.5337821887195195,3.484523980220265,3.460642418374896,3.518199826483845,3.380145517033365,3.2224066468545,3.5325369322506504,3.5103876350834997,3.500978600182302,3.471853247799419,3.540774682945215,3.5276193798061666,3.5451785615005442,3.512953979433874,3.48106299021528,3.5616404783448465,3.5226890500302344,3.5388922773167466,3.521342862103983,3.5245576519073922,3.2424907214808343,3.49294955558597
Bosnian,3.462562055389783,3.506318036347262,3.3966579900246234,3.502214478789777,0,3.2480491125242925,3.4932883345159915,3.0268854956199203,3.3146182802523425,3.5316329153969415,3.49546937509082,3.4870584672825196,3.4998643330855326,3.5008214292829156,3.48937305843696,3.567647867929908,3.537036086592948,3.533226299231295,3.4303330587042287,3.549274752439013,3.4630003363132285,3.330553149124012,3.335942030285965,2.9691186926000483,3.5430350785089613,3.530897881327787,3.4894384883665377,3.536494846351958,3.4738332005293313,3.266697974955264,3.4823251137776725,3.4886834237685402,3.0796078398619446,2.6345461365484732,3.5074934038955212,3.2336577637640374,3.267001620350085,3.5091458356884533,3.4880477632646976,3.0648409447642044,3.5236381448939875,3.4595352852203574
Bulgarian,3.5709099768047037,3.594237185893403,3.5195652964704838,3.5220019813384633,3.2480491125242925,0,3.4946232325502318,3.1077291671975193,3.3167997902673694,3.564465919092661,3.5223134510110286,3.475523068426087,3.5077712798021374,3.5599503452945607,3.496973137017646,3.5282412879321092,3.5729926441530644,3.542094448813896,3.5296011966597507,3.6020246121466872,3.3621178015292292,3.4146101567182168,3.3808619897783463,3.158301104313658,3.5849486319696773,3.5496970069108693,3.5352307259806444,3.603382339102373,3.5190511899928922,3.3083353170792034,3.4878499502184863,3.4870740952195396,3.3494303273426493,3.230194837029871,3.5451154224373695,3.3489403080511178,3.3816236154191452,3.4711696074441396,3.5093559680461626,3.3165484476945553,3.540799821221658,3.440998381492817
Catalan,3.5362533596792307,3.5992277038067897,3.4941179576576733,3.506629689943095,3.4932883345159915,3.4946232325502318,0,3.5082512157955006,3.5256447956137165,3.564513951840669,3.5325392656850196,3.4940117611005985,3.453821877611289,3.3265785071907765,3.5449772846173317,3.5436135163136178,3.5253042303173734,3.5195995665171367,3.5146918473905444,3.5661664703198026,3.368084361024985,3.4531973569655534,3.442074957401496,3.492883426999303,3.5507459951151614,3.556039862828671,3.4783451557324923,3.555730196514995,3.531088927784042,3.481410335987749,3.3236665185354424,3.4132294653011246,3.528786255735585,3.4892680232809252,3.5561383522105334,3.5143568159847245,3.5112937687515977,3.2881584538314956,3.504668333123196,3.5007117221970385,3.522779216461807,3.5346052199378937
Croatian,3.5763404004327435,3.573262998557481,3.49519657228866,3.5459625688408822,3.0268854956199203,3.1077291671975193,3.5082512157955006,0,3.318186669327387,3.588096861307025,3.525379311972268,3.479713937466921,3.510848587737061,3.565202047219154,3.512087913355114,3.5418118585281353,3.558294278993905,3.5871319918150903,3.5504451035892792,3.6143012362387896,3.4054429507160604,3.4157004428048214,3.3743607724449394,3.204127076740314,3.547280982095766,3.573667744273357,3.5617484889467823,3.5952211936572036,3.5391550058115566,3.2812072749962997,3.5018664646036988,3.4863100889116354,3.3200921701227837,2.9747983132157843,3.545678512143575,3.280194444683294,3.239188685449861,3.4786984887400694,3.5350131420471826,3.2540887139885113,3.5631602379243397,3.486896538751996
Czech,3.5553691338572033,3.6234446127756366,3.5023473068317488,3.5417643382805832,3.3146182802523425,3.3167997902673694,3.5256447956137165,3.318186669327387,0,3.54897900203636,3.53461379204122,3.5184611028706385,3.5165001852524664,3.5503167516175607,3.544176554762994,3.5893005638680724,3.565261948296628,3.571368244914643,3.533019927928166,3.587768527437063,3.479277251498402,3.4276656273037207,3.4486189151416085,3.3585468804655916,3.5916702662466884,3.5508589884586637,3.531559574484138,3.594456571958932,3.5334789872813404,3.252598051428177,3.5124036626489645,3.5210691967195786,3.2917814132510346,3.300344180783965,3.569759486077931,3.1106468488914336,3.404619691056721,3.518441972662023,3.5374141259278016,3.301584040944012,3.5716868260686305,3.485875157584643
Danish,3.456640710308747,3.667129770293153,3.5263515838405812,3.5795370356685217,3.5316329153969415,3.564465919092661,3.564513951840669,3.588096861307025,3.54897900203636,0,3.4740876189197865,3.4196393434029386,3.5535857872292747,3.5731967190399185,3.4219749525204604,3.6294249646756778,3.5513624083989557,3.5502099449995512,3.4177782143228175,3.5573904128005287,3.5779455145000894,3.5476670973769115,3.5067786335477034,3.5634936856320794,3.5695917510339057,3.542822470756545,3.2704013726225,3.585197204235801,3.553960739575448,3.5307003796959755,3.577439427206132,3.573716646623685,3.5655973905628486,3.5369279404829923,3.620474834205325,3.5546242029712327,3.5541733638656567,3.5843879428511034,3.382547424794282,3.5501379380675933,3.555288760852527,3.5086696034752975
