,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,9.201415346813672,8.891223317328022,8.940336694905552,8.87344479331774,8.766405957294364,8.748280518970699,8.89961817555922,8.603593149729567,8.582227480343791,7.048040203871369,7.950243596281968,9.11886470805187,8.945574204930796,8.291506014205353,9.375581924389802,8.753356597313177,8.952459638991353,8.512975284991034,9.097821062073706,9.263925626218741,8.831252081489906,8.896922331560235,8.854328267252233,8.929228434051902,9.057937962941628,8.239052842142392,9.04243819193348,8.875197876341867,8.862354064391447,8.971551228771629,9.077932287282389,8.998414763080927,8.748218724745817,9.301828131438526,8.839686216837213,9.008246831964147,9.049621022546157,8.230964867287252,8.933975767655708,8.893664726447962,8.927082718457205
Albanian,9.201415346813672,0,8.916055834717536,8.886271836226529,8.964804092248487,8.894263609393333,8.8068239090557,8.993417685830572,8.839856417423052,9.256677375133021,8.91780103675614,8.751456434157825,9.124541900896787,8.961887068490089,9.058683234059375,9.325297783905166,8.853336731808655,8.870985459850077,9.132213152011996,9.225451532630252,9.042653941235862,9.032155217318993,8.948579208730429,8.904736753932612,8.885743867543223,9.078781238865199,9.02318437593518,9.128373966785118,8.90314912162924,8.968912382923138,9.011808537952026,9.023916222157768,9.089894230117418,8.873034820765803,9.14917473795843,9.008896735546541,9.10850441589128,8.960242963624953,8.96900790723493,8.918200392067883,8.858668142952231,8.939044395225373
Armenian,8.891223317328022,8.916055834717536,0,8.692864616840668,8.648187790466363,8.669209828198824,8.681243578191289,8.695698244495057,8.59171060771532,9.053732120002984,8.653451393519124,8.513255202845457,9.028841518291353,8.843834471499486,8.733560870314635,8.996502628282988,8.64052065424877,8.748248511828306,8.666363185850377,8.984099263700847,8.944359303603845,8.591431356681369,8.446916684131095,8.660193539800497,8.76722783941913,8.978576186920417,8.724669210087086,8.887672299793714,8.469612708296717,8.696440506898615,8.857800369436466,8.849535091976945,8.821568357979437,8.54450842220261,8.982822537834164,8.741018321995925,8.895960656020607,8.887567940783372,8.620283809210052,8.718402752191151,8.744408907034082,8.686005009862713
Bengali,8.940336694905552,8.886271836226529,8.692864616840668,0,8.691826444264448,8.467256934269116,8.498305665122519,8.707397385208715,8.44695708982545,9.006263024573077,8.653020582551589,8.429495630274424,8.901371888224565,8.774498060290908,8.713576591370444,8.998205338094342,7.629840736085269,7.7096935295404,8.842572113348284,9.028745185538316,8.806577101532039,8.728477615734803,8.648860079564244,8.533712674700913,7.97298667705456,7.9276482394787475,8.685441994893509,8.797123340595462,8.667133611471687,8.544687087039817,8.800585753849795,8.818161855848993,8.840886506732218,8.519111376018447,8.768749499672813,8.678349546874772,8.751300326799656,8.68700940210554,8.558524788579264,8.741524068994362,7.825990809031305,8.762539149546344
Bosnian,8.87344479331774,8.964804092248487,8.648187790466363,8.691826444264448,0,7.6057879901232175,8.687864995945755,6.682569867068869,7.666405433213452,9.08373955472145,8.692980423704046,8.649998645193628,9.109856590114218,8.829106111165165,8.870266624982486,9.220672682920926,8.614118965760309,8.799412785262046,8.70853071967645,9.278136398296276,8.763934598452574,8.239155940719462,8.15323556415216,7.051918329796593,8.804331391753061,9.030486976026753,8.692620188435114,9.014594465273388,8.594375481749038,7.625759340438414,8.87863468042329,8.728988294640523,7.5045506870586935,5.987608853358146,9.058897189352331,7.572280972461666,7.823593373648968,8.803286874971779,8.653154222991335,7.36529138684551,8.778292188811793,8.864066547295609
Bulgarian,8.766405957294364,8.894263609393333,8.669209828198824,8.467256934269116,7.6057879901232175,0,8.320289128137832,7.409150433715422,7.704581002121755,8.87054014917682,8.494702216333026,8.339776102325992,8.89253547817729,8.574318951694593,8.63723220381574,8.936684727713182,8.359704760362893,8.4440857800285,8.749943053432384,8.93896207222277,8.648668194131641,8.568310777788462,8.349180378462021,7.207677000768461,8.535828376232264,8.789021214622748,8.531956040334075,8.87769267215334,8.60800732560133,7.908736514307272,8.666938730685258,8.587629886899377,8.01681013755742,7.406627278743369,8.889204539494601,7.8181746221847535,8.05343933054631,8.473155869148249,8.45214281412029,7.917069773757366,8.46875889541873,8.611072005799011
Catalan,8.748280518970699,8.8068239090557,8.681243578191289,8.498305665122519,8.687864995945755,8.320289128137832,0,8.574854526091197,8.387948651202016,8.746876851650756,8.479649869983648,8.19972044324944,8.299759758558073,7.626590104883776,8.619767606517438,8.895735918626745,8.427157887703043,8.452761461567851,8.736418176148275,8.824242961350524,8.08496402018526,8.71900088374038,8.560189677028372,8.513940503464323,8.547277857916672,8.797761190293699,8.359879498225055,8.862260283936076,8.63027121097739,8.535583105653496,7.827402478448309,8.249842543499307,8.824202570637405,8.457668920595184,8.895922113914718,8.550311631454143,8.685512174758811,7.548030135176826,8.311530690022941,8.667495981456645,8.511572157331015,8.669667177885021
Croatian,8.89961817555922,8.993417685830572,8.695698244495057,8.707397385208715,6.682569867068869,7.409150433715422,8.574854526091197,0,7.606428911848176,8.99280348555621,8.683068855306958,8.538242697550826,9.044615299901691,8.806855796850062,8.794006437051145,9.136149525866223,8.561633827159365,8.692985258945946,8.828467403545899,9.135276334858716,8.75744881825387,8.514202437351777,8.225198712583728,7.446920115687115,8.731962618165785,8.927673001892204,8.715112262463508,8.998725766506361,8.62593049521103,7.798270345035656,8.897068352015358,8.690367723438746,7.935161740354382,6.532254170064699,9.040462801016096,7.644415574152734,7.690800854903307,8.73859808110056,8.64173272435428,7.702353980030882,8.700744708068026,8.75969208973016
Czech,8.603593149729567,8.839856417423052,8.59171060771532,8.44695708982545,7.666405433213452,7.704581002121755,8.387948651202016,7.606428911848176,0,8.706839733104028,8.461382363825274,8.255150108075735,8.750622316638612,8.579825134396328,8.645048022251439,9.009825802334523,8.345632648223136,8.522621959593312,8.578894945406018,8.834683648609564,8.782089171740354,8.206769902558824,8.278747234041608,7.78774425103588,8.534637371505308,8.698113551223441,8.402254459434525,8.73766973928096,8.542449917124827,7.54375695194192,8.753844051819884,8.590271905435229,7.803578545724707,7.431165428906068,8.843109529835344,6.8862953147717345,8.005588148572713,8.538761080438483,8.41301027061631,7.628433376244284,8.421454533409715,8.549044039400911
Danish,8.582227480343791,9.256677375133021,9.053732120002984,9.006263024573077,9.08373955472145,8.87054014917682,8.746876851650756,8.99280348555621,8.706839733104028,0,8.456121581057992,8.045573512742056,9.126620596899995,8.930356808484651,8.355142375467194,9.427890353912614,8.761228692928768,8.903651981755626,8.444711827060086,8.993868492112542,9.242546154929595,9.202849804574658,9.067390590998059,9.057367636037464,8.937481995458683,9.073233396155981,7.912679235530933,9.11213842013574,8.916816249579178,9.010130048248065,9.038967717896263,9.082579611544658,9.233530809815413,8.944432263675237,9.337886968237063,8.946604574247264,9.036522356400964,8.973650442348996,8.03231374394222,9.096836745734471,8.888993025418813,8.865445828267324
Dutch,7.048040203871369,8.91780103675614,8.653451393519124,8.653020582551589,8.692980423704046,8.494702216333026,8.479649869983648,8.683068855306958,8.461382363825274,8.456121581057992,0,7.674338372535437,8.93649208051014,8.758926900439983,7.741305669185292,9.014842147811045,8.440488664635556,8.576345568707838,8.371257170920831,8.905935574049606,8.962670709320737,8.593785756829439,8.632604686520658,8.634830545855692,8.648998124179522,8.855556115536588,8.104181196702495,8.864427074591989,8.59428173171331,8.64666281634222,8.6943323314457,8.819373476349389,8.866668035618051,8.581530894145953,9.086030780940858,8.692752127596279,8.750483929257681,8.74439322698694,7.964702037539998,8.75783643401939,8.602133214087349,8.695415259360763
English,7.950243596281968,8.751456434157825,8.513255202845457,8.429495630274424,8.649998645193628,8.339776102325992,8.19972044324944,8.538242697550826,8.255150108075735,8.045573512742056,7.674338372535437,0,8.60108076448993,8.536321217170496,7.9584698761421535,8.986047174831361,8.19455196400033,8.492973824385588,8.313013161847357,8.49856470193724,8.719330376646145,8.563217305151435,8.512013091567693,8.5750642827551,8.420706159400515,8.636428256438517,7.912421444128216,8.761019854101871,8.53058591022245,8.50887165078349,8.456060590314015,8.628745626039303,8.750782015116416,8.432395846536064,8.979566799610575,8.492794651885557,8.632079883049867,8.482306562181996,7.875025342370483,8.63605172775199,8.409752824480396,8.31225119705013
French,9.11886470805187,9.124541900896787,9.028841518291353,8.901371888224565,9.109856590114218,8.89253547817729,8.299759758558073,9.044615299901691,8.750622316638612,9.126620596899995,8.93649208051014,8.60108076448993,0,8.602471495938737,9.021355336340443,9.387683010395842,8.842335954571741,8.910466966765668,9.200146839168399,9.131322599161589,8.738755024090638,9.040478541785747,8.996444043955865,9.001501413190645,8.919919370451003,9.119183771781332,8.909028994310445,9.10968007051855,8.997690331760813,9.028723187097722,8.634687086168572,8.890052687055988,9.209079806143498,8.90638711421663,9.368761695086697,8.961147548788478,9.062252001162944,8.614447708288811,8.906893970091284,9.097965783861248,8.858482679931765,8.935378534833992
Galician,8.945574204930796,8.961887068490089,8.843834471499486,8.774498060290908,8.829106111165165,8.574318951694593,7.626590104883776,8.806855796850062,8.579825134396328,8.930356808484651,8.758926900439983,8.536321217170496,8.602471495938737,0,8.8924527685386,9.187579310010554,8.734915829314554,8.836976995408987,8.844760046555285,9.008398310231586,8.22537111458303,8.900987154228785,8.825991524008696,8.770761723095735,8.822270453187247,8.942895380608054,8.732496479799794,9.07577357007484,8.78714754159198,8.846365964168811,7.6147351447727445,8.536937106121554,9.017298815597945,8.688796215778837,9.130172893397278,8.782572022545764,9.007969478567116,7.131384657973375,8.643122813088702,8.870044920407599,8.820419365228405,8.764665903903108
German,8.291506014205353,9.058683234059375,8.733560870314635,8.713576591370444,8.870266624982486,8.63723220381574,8.619767606517438,8.794006437051145,8.645048022251439,8.355142375467194,7.741305669185292,7.9584698761421535,9.021355336340443,8.8924527685386,0,9.075263104558735,8.587790204193611,8.752476172427055,8.524876026190022,9.00343255497138,8.944036164340412,8.776003332034776,8.726335355838808,8.86050850526221,8.793613278258574,8.92940311102287,8.368223255926534,9.06455961458491,8.665783036587326,8.802131057735817,9.026314714755562,8.839570635596433,9.086800431045239,8.757685354747908,9.24164269445558,8.783377120514752,8.886026488118569,8.86953538352115,8.063638581448908,8.951326618351866,8.784257822600106,8.785165486428209
Greek,9.375581924389802,9.325297783905166,8.996502628282988,8.998205338094342,9.220672682920926,8.936684727713182,8.895735918626745,9.136149525866223,9.009825802334523,9.427890353912614,9.014842147811045,8.986047174831361,9.387683010395842,9.187579310010554,9.075263104558735,0,8.860964259609352,8.990015329238723,9.098428073079125,9.489541299595148,9.204177474254532,8.955375343296492,8.766868267394313,9.132888199786402,9.099786498549378,9.196452550536465,9.18568965211022,9.348358799014052,9.095442524422083,9.098296260911264,9.238133757715483,9.16727873663329,9.270459973957959,9.082020687775112,9.40179405415672,9.202670031395732,9.281100655919046,9.047844576319006,9.014383555020418,9.12198593443782,9.073890217505848,9.07662442148511
Gujarati,8.753356597313177,8.853336731808655,8.64052065424877,7.629840736085269,8.614118965760309,8.359704760362893,8.427157887703043,8.561633827159365,8.345632648223136,8.761228692928768,8.440488664635556,8.19455196400033,8.842335954571741,8.734915829314554,8.587790204193611,8.860964259609352,0,7.165136858345153,8.792665836437088,8.874288561463114,8.78246485404035,8.726413505880382,8.541289231598405,8.471781187638854,7.0570982560529805,7.899990602847814,8.52396081505639,8.637467063439994,8.547875295935693,8.560075164586754,8.806484947228379,8.762713511251667,8.854281244284605,8.46808496004603,8.783651664704523,8.601352729712495,8.704157963646576,8.57596738108239,8.434680758086543,8.667813110384683,7.733069359978875,8.640556521605847
Hindi,8.952459638991353,8.870985459850077,8.748248511828306,7.7096935295404,8.799412785262046,8.4440857800285,8.452761461567851,8.692985258945946,8.522621959593312,8.903651981755626,8.576345568707838,8.492973824385588,8.910466966765668,8.836976995408987,8.752476172427055,8.990015329238723,7.165136858345153,0,8.868949983481714,9.001411445452721,8.881884147208867,8.871697575765245,8.692600173597878,8.554222257141662,7.581950849556244,7.9573684060650915,8.584072036377728,8.702278720139244,8.541327521729038,8.684177098143701,8.881370922808163,8.788622531031441,8.98834710028024,8.640974244842432,8.77988222204863,8.762886314261523,8.834378362017079,8.630493426290267,8.47230702241303,8.786599371805071,7.099862476495976,8.80551840890628
