,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,27.19547149027966,27.438993489156406,29.95908850205389,28.985041950340527,28.094361674486706,30.061656235040083,28.378033054350077,29.791938432148733,28.39605795972139,22.734545242398212,27.61588333536705,28.807784895694677,26.867076004358545,26.52537903531894,30.53115631062785,30.711586554198924,31.708337787322694,24.821775386518922,29.158019197607622,29.086520110607754,30.977881086539607,30.338807603411702,28.013254297506307,30.447996008745893,28.4193167460457,27.234563295010194,26.871050285368355,27.201456847519392,30.44132186201214,28.44794658636273,29.51010028245455,28.43563780982769,28.20896005153918,26.424608781736005,29.592265204972247,30.141729877690754,28.853399685631413,26.17066306317823,28.25016231638187,29.504851955284565,28.475431591014683
Albanian,27.19547149027966,0,27.51228704866456,29.431615264253924,30.200010805761977,29.36232441716988,30.192515733921585,29.516725210986344,30.87553499418885,32.149693742645695,29.89184489341118,32.06819661868735,29.541030265448583,27.097942861680508,30.442662094025405,30.50360397010614,30.894730852846095,31.88757433881783,28.48024880272252,29.301975695042305,29.714541165549004,31.345634998096077,30.23225921493923,28.89744046111914,30.11860556936049,28.48619269483593,31.21138052537277,27.186961295997524,27.248692044867404,30.795120691006336,29.10143769899907,30.367973652417835,29.351008942449692,29.439771642109847,24.36250270722958,29.91579737434699,31.341759933717753,29.203521935479195,29.55943054881643,28.898997375678736,29.31451143128076,29.516481116803625
Armenian,27.438993489156406,27.51228704866456,0,29.8421168078938,28.325490970256396,29.258600583075083,30.674003039084443,28.524097509611753,30.743875407142138,32.22518091414814,30.171020899617627,31.368050946248168,29.50823257099541,28.358516047300267,30.094224225821574,28.86810584834955,31.612555632483115,31.565081227480537,26.716057340396297,29.669491795874134,28.694068451988695,29.560789226530016,29.176716722912328,28.87978074459381,30.73052889554342,29.181765283673204,30.527864402513558,27.3037709594159,26.888633409751957,30.186783186617745,29.365877501893415,29.57734738962229,28.737715648820412,28.66670014858746,25.80567337744018,30.047023509749817,30.863343963168468,29.682497933552234,29.406365682591773,28.51101304129312,29.723181267528417,28.178584905486556
Bengali,29.95908850205389,29.431615264253924,29.8421168078938,0,29.477486283526172,28.22216930073105,29.535713935910724,28.655571159768908,29.834921357920635,30.834874589723217,29.758618063290754,29.888801068032276,29.601645830418857,28.851138702492754,29.305186167132124,29.87339978007095,25.927954825352383,26.372947048664773,29.225531974230957,30.61486123977395,28.301932118330175,30.990823304188883,30.42978466704557,27.935963085526954,26.652212540926516,24.825630001262017,31.447026390153333,28.600581711045457,28.797002303057834,29.245063638984398,28.76697678573477,29.072843068839987,29.297499626560075,28.648963974466465,27.371500529857986,29.465573637677927,30.41772968009998,28.695044969253026,28.71407297713038,28.482127301282496,24.750319828541066,28.265938453323447
Bosnian,28.985041950340527,30.200010805761977,28.325490970256396,29.477486283526172,0,24.967160855050096,31.386858515014683,21.173815331715797,26.401632244408535,30.396490847281857,30.207415614461443,30.952617692907218,29.214325951421845,29.894751471184225,29.671686358747642,30.45755709603097,31.5594121279445,30.973616988596696,28.856798001570926,32.32048601996669,27.56552581378303,27.89627039651808,28.06301777496971,22.197911601789542,31.475870282677217,26.88282877984356,30.079468690572053,29.812745467364692,29.67324118489791,24.870470862284098,29.03234698271414,28.442578846113076,23.108149473237603,17.945472552930653,28.861289157974788,24.034403919263934,24.92303040707163,29.77696531789803,29.729680444153654,23.07789610776977,28.930506471364605,28.316483383905247
Bulgarian,28.094361674486706,29.36232441716988,29.258600583075083,28.22216930073105,24.967160855050096,0,28.14792495804488,21.501735855392358,25.398402354386132,29.274174631123962,27.932987587390823,28.403575185486734,28.427125151910076,26.985124860195448,28.448972758741395,29.239802911534934,29.34351965823396,29.89244520578882,27.360031637060636,29.371189932149743,26.869824383957326,30.65274192712341,29.039092756507397,20.64454141285718,28.80030997353915,29.571582430004344,30.11422193695847,27.974463752070896,28.325852297373046,26.08084025502057,27.492134326618142,28.381136835486917,24.296844140573185,22.54851492487033,27.773256381333827,24.838056913854622,26.033892019880287,27.091437013095554,28.02921249677989,23.67577849102985,27.57118442820022,26.58478102648199
Catalan,30.061656235040083,30.192515733921585,30.674003039084443,29.535713935910724,31.386858515014683,28.14792495804488,0,28.11865384692302,30.795467908333617,30.08476918040542,29.24854502327541,29.262347741237402,26.85363688189093,24.26605446337589,29.872118618307915,29.75670781127479,29.998354072584437,30.86799329435401,29.319260101847394,29.791571398571826,25.698045598012524,32.76078761479909,30.774181029377008,28.50015114536435,29.32604781229223,30.83190411251584,29.7288563877965,29.820927301245973,29.924361049587265,30.484983031550108,24.760584579001023,27.080245990444062,30.14931378306778,29.457701175018,29.000775904164318,29.62814721045994,30.223301561407187,23.10331922534075,28.622177128884136,28.89413140573049,29.236355532501094,28.64915812959777
Croatian,28.378033054350077,29.516725210986344,28.524097509611753,28.655571159768908,21.173815331715797,21.501735855392358,28.11865384692302,0,24.70775281334026,29.409367983019624,28.51601823847893,29.24755911683129,27.940011065015764,27.53480532415969,28.62758755914818,28.97698632140924,29.607059445313766,30.045312181621018,27.782439755623248,29.593921772694568,26.893819044762633,30.226580157077564,28.249908086524254,21.783893125595316,28.876908346765426,29.521208233546993,30.01429696413439,28.162403963829494,28.118050074090377,24.912116277045115,27.63356583375452,28.048826547960815,24.12466650898185,19.059350468570354,27.51286412414502,23.292829554756402,23.05926563345361,27.15436129041221,28.138110113273033,22.95067442789755,27.846016956687357,26.884956320408378
Czech,29.791938432148733,30.87553499418885,30.743875407142138,29.834921357920635,26.401632244408535,25.398402354386132,30.795467908333617,24.70775281334026,0,29.707891616842407,29.093809559622667,30.309220968973424,29.62687379009722,29.602061331053424,29.28310702194298,31.059659299081904,31.544572206904967,31.813477311726395,28.907287496697972,31.614457810582536,28.59075589542755,30.944378861313112,30.5412902342068,25.463025249397074,31.67109148514291,29.169644036264355,31.523723985560846,29.438743942760507,29.427295102507365,25.602791702345968,28.98135123499917,29.906661265967294,25.257987762203985,24.409761310520178,30.001911793744426,22.071013051175957,26.700314628199504,29.335674349023737,29.530811563870813,24.245629557857526,29.31978821648617,28.004911428716746
Danish,28.39605795972139,32.149693742645695,32.22518091414814,30.834874589723217,30.396490847281857,29.274174631123962,30.08476918040542,29.409367983019624,29.707891616842407,0,27.253255728784396,27.238131878344316,28.92340669260882,29.55700502788023,26.15899044486645,31.01650665165135,31.20176315883698,31.394860357980498,26.808888261285336,30.71952194288586,28.374887378092783,33.2506675205144,32.400952286187305,29.697057664964287,30.943882048763275,29.32607177093278,25.56855470278337,30.362293675625114,30.94826305742561,30.450560870340528,29.033984434779644,29.43333979894149,30.203826563101163,30.15934157890132,30.9985184152147,29.541189291754513,30.03244899736512,29.378365117430228,25.722267495704447,29.29098119230343,29.717329491222365,27.833780218876637
Dutch,22.734545242398212,29.89184489341118,30.171020899617627,29.758618063290754,30.207415614461443,27.932987587390823,29.24854502327541,28.51601823847893,29.093809559622667,27.253255728784396,0,26.61355024583311,29.130388401176,28.703808217464612,24.099438337021653,29.586734575502984,29.885106008108203,30.882894196315227,26.33676671520515,30.036805293720032,28.434685043414706,31.57476514621006,30.67058181261798,27.855631032405558,29.742256470049256,29.731960604582298,27.954741521139223,29.10712509679046,28.796395963104988,29.85756246491869,27.795804545050512,29.11869185187493,29.323340366842796,28.79666517821026,29.441803013736074,29.04563764257884,29.24783401580108,27.919418050944586,26.42600305623188,28.504745433472934,29.341667331232518,28.322469095209573
English,27.61588333536705,32.06819661868735,31.368050946248168,29.888801068032276,30.952617692907218,28.403575185486734,29.262347741237402,29.24755911683129,30.309220968973424,27.238131878344316,26.61355024583311,0,29.34470190335759,29.332049227990005,26.942040606593498,30.78875939612002,29.793382201305835,31.069519237254664,27.91010022731556,30.685657900254288,28.298197913083957,32.28570054587225,31.221067794149675,29.25275176954246,29.961810707789482,30.08608529322766,27.709285328193413,30.593222006650606,30.44748538392511,30.72174552040507,29.474880823027647,29.296249226543114,29.924299189470343,29.69702381807189,30.784129576664782,30.219772458124545,30.885642922296928,29.15357606555032,26.870538471942854,29.29553168092983,29.44223967961445,27.725565561531344
French,28.807784895694677,29.541030265448583,29.50823257099541,29.601645830418857,29.214325951421845,28.427125151910076,26.85363688189093,27.940011065015764,29.62687379009722,28.92340669260882,29.130388401176,29.34470190335759,0,26.782367133640406,29.119255718402442,29.28957989705028,30.723394062181487,31.0272221887578,28.629303059576323,29.5186761669511,25.76267182695537,31.166443323914635,30.435021933202673,28.35237321691318,29.663897620478863,29.10759595399987,29.803370801629875,28.534933378357405,29.254752998897487,29.860311028081856,26.602897613933653,27.500617180327264,28.979780047315266,28.70124863136118,28.53448439112515,28.974014334449954,29.474441129243605,26.179893385197456,29.26944066336804,28.342591683421876,28.85435214387681,27.509372630868057
Galician,26.867076004358545,27.097942861680508,28.358516047300267,28.851138702492754,29.894751471184225,26.985124860195448,24.26605446337589,27.53480532415969,29.602061331053424,29.55700502788023,28.703808217464612,29.332049227990005,26.782367133640406,0,29.102105927269545,29.95397945562001,30.07869935474059,31.269812622674678,26.503950541815776,27.78047524790348,25.60319453574128,31.818629737359206,30.484672896978367,27.260842607122953,29.250675565709912,29.254260918290903,30.084266068318453,26.883031737613315,26.7205457003333,30.427649418139286,22.198046283780876,27.444697608122265,28.461297306971137,27.89949047703724,25.632431812381135,29.254463682577153,30.11228441525158,20.711782383340267,27.5082120741828,27.556193300922338,28.778739548688044,27.50358621385447
German,26.52537903531894,30.442662094025405,30.094224225821574,29.305186167132124,29.671686358747642,28.448972758741395,29.872118618307915,28.62758755914818,29.28310702194298,26.15899044486645,24.099438337021653,26.942040606593498,29.119255718402442,29.102105927269545,0,29.204739365921075,30.168329821072692,30.39635641469511,26.91422422440926,30.02171505023342,27.91124250763949,31.3736459953664,30.65102565261767,28.67999816975401,29.867569340418378,28.676193107659795,28.69562618072323,29.394420478603717,29.284677220494018,30.037914203097984,29.229435031362822,28.782951373433534,29.72253971952819,28.9752224034367,29.741489039898966,29.211504189783323,29.66541050521315,28.952738797433508,26.17437701601992,28.70492479150887,28.91206798687291,27.808271179273117
