,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.1446696217702517,3.475298196127636,3.520859588117078,3.3888691677296094,3.3645389773476073,3.5157640322557193,3.324532513288903,3.3846208558673467,3.0715731787363243,2.7057368152593337,2.9419248793148163,3.4690127888080347,3.180384032829963,3.194782072543947,3.7573656516352103,3.405432953768292,3.421856287392005,2.9703533747427016,3.5294756933215368,3.2480268229589586,4.335365343657331,3.9401082190155163,3.3031144528069336,3.3339077581468515,3.0467107059517944,2.9196977396817654,3.3091531546984116,3.3919226825475133,3.9119950601463285,3.4867866101635143,3.43185120110813,3.460425469450178,3.295666700480189,3.044452666528256,3.460562303972,3.6009895966404475,3.2103661579359604,2.8649152845540944,3.3356423148037417,3.333642081132098,3.214325951604069
Albanian,3.1446696217702517,0,3.206042069759436,3.2521316004330334,3.313994748535929,3.2622946117088745,3.4111768791742665,3.2254980479907194,3.339962076453766,3.598823183458243,3.496348979581322,3.548537938051974,3.3989190036942887,3.034388804537138,3.64783595586185,3.503283802301506,3.250787597350335,3.2269102465425292,3.305232973944386,3.2507313265933973,3.1509575013591897,4.195132096930831,3.8425717907705796,3.261161382833146,3.169651555567256,2.8558109805822625,3.382234087763301,3.111802598257406,3.2108505834090275,3.868404034629751,3.4127324501099516,3.3219199314470242,3.308633639913801,3.2290754522189222,2.664274208331318,3.330506785799864,3.4924689804068136,3.019143061447008,3.260652713367197,3.1411732495790323,3.0731052978408084,3.071312021578511
Armenian,3.475298196127636,3.206042069759436,0,3.641121402405391,3.4586155605415807,3.5330829196298508,3.77081971678503,3.436321193515538,3.5150422582222896,3.884496140620496,3.6535042787331586,3.696555132110343,3.720439255799961,3.4858475354171046,3.674725238033425,3.661819063498459,3.6088221424470444,3.6039490405246504,3.376175386277731,3.648088510807845,3.416218871163968,4.101862140811624,3.67190760403712,3.453218360338607,3.588195918454788,3.2836874668542477,3.6852193700674083,3.4296405020687994,3.3719660532666325,3.97910122610519,3.6756364324739934,3.587192232176188,3.5232261106532934,3.4687474686442497,3.1297655004113167,3.624802165146864,3.7454579812169957,3.472035333966804,3.5350473547331784,3.4332582625945056,3.45153884028884,3.3056540165809705
Bengali,3.520859588117078,3.2521316004330334,3.641121402405391,0,3.502863398995752,3.5272374728270113,3.6779841585991435,3.423147972868816,3.518246781819865,3.7094609831401395,3.7008927188081087,3.5965855464055085,3.6292813789377076,3.435394039261611,3.8062881888935682,3.721466843980116,2.8683459377870797,2.8751118537134106,3.5842493198485363,3.6664888080263744,3.336109051150297,4.419349383759783,4.085968764308292,3.435234888123501,3.0158999441426717,2.5818952619856734,3.6559860342610593,3.4050539089126697,3.5549089207889057,3.9604160104926254,3.698431884479985,3.535636840496796,3.604066334938038,3.4960334845396273,3.075709617284115,3.565222000174549,3.6901840890628037,3.3218360626081456,3.405503543235913,3.4745597800818824,2.897129223505749,3.3356033557079052
Bosnian,3.3888691677296094,3.313994748535929,3.4586155605415807,3.502863398995752,0,2.831286309017352,3.704878833314259,2.3647902810656576,2.9188445954685593,3.6188674400763254,3.5565128577591567,3.511104238757568,3.5836158830568463,3.524928450232362,3.610805583643427,3.754317885187473,3.5606672168749736,3.4804736274051282,3.3892474181569257,3.80058027287801,3.321246483767841,3.8916190071698753,3.5680613088362527,2.590026088931571,3.544097258117666,3.0526723702094385,3.451420753841975,3.504110572611809,3.4183478098802302,3.0679954085954098,3.5952746250604197,3.4038960578203543,2.8429745806284403,2.141013708902348,3.2338718583532713,2.766250730055453,2.8944145705066187,3.3904993561488834,3.395633771569649,2.800998813837216,3.3341825300779724,3.3008986734280716
Bulgarian,3.3645389773476073,3.2622946117088745,3.5330829196298508,3.5272374728270113,2.831286309017352,0,3.563670182763015,2.6671740181632675,2.9610233387895915,3.6193710867216122,3.5312821943626607,3.517145821652952,3.57085225709942,3.275926333671146,3.6731435257158305,3.684271308271817,3.4286386018329207,3.3303728506793577,3.3990902846801485,3.6871308783557653,3.198471695107466,4.276149473836454,3.7981212189581828,2.5167576899798414,3.308491388418732,3.141129457457349,3.51192191552501,3.48713616374243,3.4716728657670757,3.4634648401064276,3.5743937438189883,3.420960360864989,2.9911931080524625,2.7092965586776923,3.140363041365815,2.95706379669469,3.102915799982856,3.1693939952503434,3.352311263481263,2.8463498373425122,3.277184110850935,3.175139463847476
Catalan,3.5157640322557193,3.4111768791742665,3.77081971678503,3.6779841585991435,3.704878833314259,3.563670182763015,0,3.4560282263787787,3.6609794744640993,3.5992711372534805,3.7093073177079208,3.5555513940705903,3.33749501124805,2.778627048721745,3.835903267577179,3.708867631091192,3.4423017757513237,3.481235263482779,3.595501521191796,3.6933728094440865,2.875966256389934,4.566953716605738,4.067398966367611,3.550653100098077,3.4599307486474413,3.2973912178950413,3.48222031922792,3.610536156092704,3.6974835527695573,4.157093430798958,3.1897957254770457,3.189032794602694,3.715331601061821,3.585679145960054,3.2921077302152244,3.6822189633717075,3.6845942656660706,2.670749611748204,3.419389856115009,3.51638824045326,3.4602309128651245,3.3315467261174265
Croatian,3.324532513288903,3.2254980479907194,3.436321193515538,3.423147972868816,2.3647902810656576,2.6671740181632675,3.4560282263787787,0,2.7666535300980604,3.4686727660583507,3.4842938338906424,3.462176362179975,3.5218378888586583,3.30679442703204,3.5824561980218688,3.5452226568940355,3.3142141783053938,3.2346179582827723,3.379347871644871,3.5683677202201625,3.1594262574766336,4.217674526134842,3.724416394462255,2.583938970720199,3.2754427588727784,3.018398085705447,3.396874079324967,3.292521960635745,3.3691564927382265,3.292736854722587,3.571969552842379,3.3478960005023737,2.972523976902169,2.245196465124148,3.0377310465774197,2.7376076550033464,2.7848908927149325,3.119143300466401,3.2719810673127863,2.749115240388561,3.156961481727353,3.1379224588716794
Czech,3.3846208558673467,3.339962076453766,3.5150422582222896,3.518246781819865,2.9188445954685593,2.9610233387895915,3.6609794744640993,2.7666535300980604,0,3.511462573777386,3.4956100615725534,3.541086239285088,3.5843625152790697,3.4156514862909324,3.6497409920757113,3.7570071758097705,3.4281583248805685,3.3628547975953778,3.4670877175199757,3.6466690434819156,3.232914207482112,4.182942660197279,3.8198429481004115,2.910573629306715,3.4032840572170406,3.0139844314299835,3.510481409462446,3.405675429103539,3.4803902477479545,3.2153032139773456,3.5832538177512023,3.524803081254104,3.000121182259463,2.770580725530665,3.214546989312034,2.5064676628750204,3.0273462052800393,3.266706829005195,3.37387380676323,2.7831736189972305,3.289569992606286,3.194775549102796
Danish,3.0715731787363243,3.598823183458243,3.884496140620496,3.7094609831401395,3.6188674400763254,3.6193710867216122,3.5992711372534805,3.4686727660583507,3.511462573777386,0,3.2751443013692465,2.9863832560114387,3.5868447685201885,3.41569571670228,3.254041119698217,3.916635727625935,3.4318138718633646,3.4086169914942124,3.142153420021967,3.689188553669253,3.2479818344639257,4.6706569649968275,4.209399347759466,3.5837119488781264,3.439706978429784,3.118007896585867,2.6130724083412304,3.606897197390887,3.691960598704062,4.037296065285614,3.6670627517012098,3.4759936845569057,3.7753430046170555,3.5908249162511794,3.3883315203745767,3.5309663356308496,3.579025046165947,3.3179418165247654,2.707189957673897,3.5375094018056688,3.452465757053939,3.234689927304661
