,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,28.57885979408137,27.875878178005404,30.41248605391748,29.14524522252997,29.132670648019534,30.538838025760707,28.99630767327016,30.527952806964436,28.35089093812043,22.047845706870746,27.584108511953904,29.68311702077004,27.544979720218993,27.04911077031381,31.106088158188687,31.424635973257256,32.383800597843084,25.553517632218295,29.56299029008798,29.862918493731765,30.648914229359253,30.903224125594836,28.767065845410617,30.992038879511995,28.72928981061009,27.46060738045659,27.925076458965336,28.28902771628095,30.73682775714029,28.679565487080406,30.33269689745961,29.06401806475411,28.663139550430817,27.472384748799133,29.95793716077809,30.72438650148216,29.318196311860582,26.64199351159802,28.92362513162328,30.04691614749902,28.845151796145025
Albanian,28.57885979408137,0,28.147656319479957,29.693878527602696,30.298630741958622,30.11614295460347,30.97091013005786,29.50922738231891,31.744493019744112,32.12903563835518,30.40816657720547,32.32209377761256,30.11532523890048,27.676013559121273,31.22420969685975,30.428472443942386,31.643165505705632,32.5193825609367,29.287338095725772,30.21416820841121,30.25777538595387,31.100695898591827,30.26305604804236,29.350776986372683,30.682694383254717,28.07841019184447,31.758875001885674,27.99329024312843,28.470163036969097,31.30448661550566,29.30965614975272,30.485514191897273,29.784765096295825,29.705045794879286,24.834551911198783,30.436765936238825,31.79594890671507,29.55327005300176,29.980177107899397,29.361183258755283,29.54668460957006,29.737496638154067
Armenian,27.875878178005404,28.147656319479957,0,29.632059395532348,28.337118864972272,29.43267170743371,30.467922499793925,28.23081404040056,30.832444126976352,31.47328157412011,29.81455231267195,30.76573312363489,29.62821802309559,28.21199839895756,30.007901561246392,28.752630605143466,31.62138459026974,31.76548825113325,26.847997883964325,29.77940702403344,28.949105249268694,29.018782747100595,28.84619123555096,28.778716366761557,30.793312289201307,28.6787136276242,30.035219673161293,27.412252840141168,27.33201728148642,30.18351540051816,28.871741017724815,29.249897000370414,28.697199154648747,28.52332924496212,26.06873387231913,29.92107440037035,30.982194446837298,29.47180848768523,29.05641806514618,28.442821077068693,29.36884637163131,27.69137596190695
Bengali,30.41248605391748,29.693878527602696,29.632059395532348,0,29.93638248431352,29.15369531017263,30.257508144989636,29.116345966892855,30.82395428429893,31.693135205220024,30.449580019211258,30.56859265140807,30.41342567449427,29.24052242870434,30.768920123452798,29.87906177114187,26.283309347215067,26.545243232604495,30.28245789189467,31.167969536964566,29.316248031311527,31.172500000897106,30.74258102735405,29.025101675429596,26.72198043742647,23.820751186717402,31.814624353021323,29.067811087428865,29.61856519786429,30.0747466985076,29.121022901630557,29.83584230055572,30.0932119837421,29.331394802449793,27.24238141884964,30.161096436147467,31.0543125971381,28.90248924879093,29.580087476246167,29.248933622317526,24.81371649356263,29.122325677852434
Bosnian,29.14524522252997,30.298630741958622,28.337118864972272,29.93638248431352,0,24.411898836865443,31.024447131437363,19.985215915867776,25.904456104726023,30.91201378385352,30.0127202646875,31.323861824772006,29.721086958444047,29.54502072974518,30.23633465573412,30.35780922771673,31.819213373995737,31.728087678680584,28.961164762310684,31.88087452005168,28.283204015998745,27.76243583636593,27.813556324073556,21.191795539984202,31.58130339378753,27.727329094705542,30.285235771698414,29.896728272122818,29.881703203351602,24.826678208519915,28.822341558024466,29.212258130042187,22.753122343660518,16.740494636432178,28.845713065622846,23.760893303049404,24.895168793453898,29.33745973461471,29.69482895452162,22.555915237408996,29.503046410566863,28.80573217493893
Bulgarian,29.132670648019534,30.11614295460347,29.43267170743371,29.15369531017263,24.411898836865443,0,29.13864501155087,21.56201025820511,25.641449287201777,30.19150846188318,28.811841280872358,29.683177009779836,29.175418041801993,27.90160360141174,29.807373365293255,29.279806179364922,30.79460939171605,30.9464824533525,28.735960560337674,30.232300156448304,27.22535277823706,30.408376522348227,29.235001301751193,21.143779288114324,30.25923539073629,29.092520484770393,30.600670140548985,28.98729429272651,29.538260104988932,26.22510703580806,27.929660717853082,28.980504915457022,24.80966923994867,22.771644563558542,28.19071496351794,25.00254602247167,26.112097343923136,27.52517255576838,28.989639113907614,24.36835106169725,28.42327830559962,27.34092763749869
Catalan,30.538838025760707,30.97091013005786,30.467922499793925,30.257508144989636,31.024447131437363,29.13864501155087,0,28.882424660576756,31.479994146123197,31.133477165099443,29.88075972472241,30.088673363670903,27.70416336908218,24.356045801633083,31.036726330327973,30.04372982205899,31.094156082672797,31.759024776570477,30.300449718356273,30.47108344314096,25.949358179303246,32.57648973058896,31.22963489824882,29.428117335553278,30.37225062406471,30.345382391862515,30.243655713618196,30.45400301806533,30.782840700879447,31.060317136584175,24.511460993554106,27.30830771760867,30.700686873209808,29.96629560978959,29.514765560567128,30.256522867572265,31.098657711040772,23.169468230230674,29.50769044991825,29.54269029498301,30.044356707799235,29.289628674527762
Croatian,28.99630767327016,29.50922738231891,28.23081404040056,29.116345966892855,19.985215915867776,21.56201025820511,28.882424660576756,0,24.70641970135323,29.727633057597014,29.050860417191384,29.786312101416126,28.590753510191572,27.76532925010079,29.688664904953875,29.042791103777155,30.566944203509788,30.809652973584093,28.566930886331903,30.06592727667538,27.205029604873324,30.03536388750435,27.84802444732499,21.863409896144766,29.684223500208635,28.50955255896678,30.214223383442185,28.281936533459955,28.881630782799846,25.374820532439674,28.08176806615805,28.509264639060905,24.4118718666382,18.438773080005145,27.405445847519786,23.410268262972572,22.847297104544598,27.42440351904837,28.734832029088622,23.131973165711553,28.37148597773197,27.258648492363584
Czech,30.527952806964436,31.744493019744112,30.832444126976352,30.82395428429893,25.904456104726023,25.641449287201777,31.479994146123197,24.70641970135323,0,30.573917385877163,30.226728427588945,31.388617970773556,30.344022471682827,30.202099989044594,31.065955705697657,31.622021970611538,32.8803732525997,33.229124437008004,30.23502015569767,31.969953142873674,29.567118965758247,30.753950818331262,30.965621671010272,26.015731201209736,32.73811456758943,29.590386552240926,31.719333001287215,30.279478297549456,30.550131595579792,25.687907066978006,29.559784626335293,30.73561873729139,25.319447856712927,24.73974751347882,30.523658183492184,21.383770520078578,27.155207050680403,29.887116626594906,30.522920200473404,24.531694433015776,30.0861411705888,28.732606940948777
Danish,28.35089093812043,32.12903563835518,31.47328157412011,31.693135205220024,30.91201378385352,30.19150846188318,31.133477165099443,29.727633057597014,30.573917385877163,0,27.756366534096244,28.29867503002704,29.686014091205447,29.85648503558737,27.306230211327136,31.3089687128648,32.518717363457824,32.62121876804527,26.995795247542105,31.02046329907965,29.515516393620686,33.10622679899271,32.66843504450848,30.536123673945415,31.88380692193061,29.21342353099153,25.101313994469024,30.504837474127235,31.444118542765693,31.540378070674013,29.90258311866796,30.44274797019608,30.808012094377798,30.631419897603628,30.48120613957537,30.25123546283264,30.796588522974634,30.033037062792665,25.591639994024085,30.037716501722656,30.396119867727162,28.672337603318642
Dutch,22.047845706870746,30.40816657720547,29.81455231267195,30.449580019211258,30.0127202646875,28.811841280872358,29.88075972472241,29.050860417191384,30.226728427588945,27.756366534096244,0,27.248964215533608,29.86246796846004,29.32810705009694,24.645782142614312,30.04011830878034,31.03897630299467,31.824463668304645,27.12728404020764,30.40541445118697,29.149198067225218,31.138570839161595,31.121613897781167,28.891374163117845,30.741048569869054,29.352188144450405,27.83123380114402,29.794293339681413,29.666776811438456,30.683970670765145,28.229176343237018,29.960600205196084,29.93304806293493,29.28782815335596,29.461630157684425,29.814826844626126,30.13779189135679,28.52306134370785,26.93917974861803,29.377136285029295,29.763356800070476,28.62342812911679
English,27.584108511953904,32.32209377761256,30.76573312363489,30.56859265140807,31.323861824772006,29.683177009779836,30.088673363670903,29.786312101416126,31.388617970773556,28.29867503002704,27.248964215533608,0,30.484457848016568,30.06182407840679,27.90571323451321,31.21005073450262,31.144947712828,32.2297881763403,28.626322294425638,30.78951548243731,29.53947862588768,31.702605537317723,31.63943623493845,30.312422411320597,31.034999868316312,29.75122349894608,28.19145303795022,31.04473815812927,31.096973381442204,31.466976341540278,29.556518040552692,30.376007706270684,30.78327091801352,30.299615591449363,30.645375902283693,30.785755268535073,31.512762166982732,29.616533811642668,27.804854446348507,30.22185228049675,30.06224650101756,28.491777986388115
French,29.68311702077004,30.11532523890048,29.62821802309559,30.41342567449427,29.721086958444047,29.175418041801993,27.70416336908218,28.590753510191572,30.344022471682827,29.686014091205447,29.86246796846004,30.484457848016568,0,27.149337616972556,30.3376879021518,29.88471979263742,31.962181100212597,32.21512543641397,29.839007796731213,30.215538613813514,26.52146247388011,31.23514141526938,30.987201792988362,29.38134754501385,30.795951913411518,28.98588739669911,30.39865800068259,29.2155180210646,30.22161465145593,30.818927511107066,27.111935717204897,28.32049865081133,29.778271383607535,29.335638946246025,28.679015238485103,29.754623613053738,30.51166738008785,26.87291637374519,30.088973423139336,29.041598097210173,29.693051974556425,28.226556910797584
Galician,27.544979720218993,27.676013559121273,28.21199839895756,29.24052242870434,29.54502072974518,27.90160360141174,24.356045801633083,27.76532925010079,30.202099989044594,29.85648503558737,29.32810705009694,30.06182407840679,27.149337616972556,0,30.14763993547118,29.759448782644558,30.67830905021776,31.47554845806767,27.36908783304976,28.538539944435215,25.569807669994145,31.500628722750918,30.648347553346568,28.041130841534354,29.716694146723796,28.374194572035297,30.144225689431867,27.50993549839032,27.763352016064424,30.629740129979723,21.965660100357386,27.394359238704045,28.90934830538033,28.338734558322017,25.97200601361011,29.297438366027496,30.52303059080621,20.17935533201902,28.079497581838623,28.022555641909488,29.180991588518264,28.038473782728932
German,27.04911077031381,31.22420969685975,30.007901561246392,30.768920123452798,30.23633465573412,29.807373365293255,31.036726330327973,29.688664904953875,31.065955705697657,27.306230211327136,24.645782142614312,27.90571323451321,30.3376879021518,30.14763993547118,0,30.180640867401102,31.80104951406276,32.0087206107381,27.958820571758412,30.78373122491646,29.123381254181865,31.412120696381375,31.01487688825935,30.049228231750384,31.41199772754477,29.17270344555055,29.149006446023158,30.453370123922983,30.16991736666547,31.24342192965157,30.095046065607313,30.04315265541787,30.84240268291492,29.96952885431671,30.1502319222731,30.483165890470456,31.054851389901874,29.83471008077348,27.245832864264983,30.1106187698901,30.175447404340975,28.699273690033557
Greek,31.106088158188687,30.428472443942386,28.752630605143466,29.87906177114187,30.35780922771673,29.279806179364922,30.04372982205899,29.042791103777155,31.622021970611538,31.3089687128648,30.04011830878034,31.21005073450262,29.88471979263742,29.759448782644558,30.180640867401102,0,31.423807947912326,30.851523071032872,29.655502858994513,31.276083456797327,28.342910232611576,30.525071750104075,30.19815917962172,29.72523006160539,30.90007335426059,28.549528786273573,31.4107459816099,29.728123497742843,30.567744086883067,31.02246132651967,29.352574701495087,29.042001629458696,30.254080960074,30.021177640396164,28.079663515030383,30.38767146062483,31.409229304223274,27.81285187799115,30.126076340459015,29.212606472998644,29.384650353437635,28.135603382016974
Gujarati,31.424635973257256,31.643165505705632,31.62138459026974,26.283309347215067,31.819213373995737,30.79460939171605,31.094156082672797,30.566944203509788,32.8803732525997,32.518717363457824,31.03897630299467,31.144947712828,31.962181100212597,30.67830905021776,31.80104951406276,31.423807947912326,0,23.848912555559085,31.660829286985674,32.377443258016754,31.011516634920383,33.37567404868268,31.943552220417576,30.617741394296626,22.033096684082096,26.414282608450648,32.792885267159896,30.04444104518419,31.40712178926989,32.001540220792215,31.229009862990885,31.15787928935291,32.014635676293395,31.01556586710176,29.1333200676234,31.916397499896526,32.59706489955403,29.94838675128187,30.898596715076323,30.914028505882317,26.19430947389627,30.733761589920334
Hindi,32.383800597843084,32.5193825609367,31.76548825113325,26.545243232604495,31.728087678680584,30.9464824533525,31.759024776570477,30.809652973584093,33.229124437008004,32.62121876804527,31.824463668304645,32.2297881763403,32.21512543641397,31.47554845806767,32.0087206107381,30.851523071032872,23.848912555559085,0,32.14903782565144,32.913266050329916,30.878939037928202,33.56887194466653,32.3586996940901,30.838248354505527,25.01590762429409,25.915863669224976,32.80846831841978,30.048149901955124,31.457140111800808,31.915060029741653,31.739355121242497,30.28931041133376,32.340163460299976,31.4346710950981,29.22995736160449,31.975067337710534,33.060381137527195,30.383378818837166,30.957292087491794,31.23481919785246,22.47845599501473,30.964469286806423
Icelandic,25.553517632218295,29.287338095725772,26.847997883964325,30.28245789189467,28.961164762310684,28.735960560337674,30.300449718356273,28.566930886331903,30.23502015569767,26.995795247542105,27.12728404020764,28.626322294425638,29.839007796731213,27.36908783304976,27.958820571758412,29.655502858994513,31.660829286985674,32.14903782565144,0,29.986242175956928,29.05062310864455,29.649566012965472,29.444917284108197,28.278531519308732,31.137433961121157,29.32468948119847,26.432569546824105,28.350643898731246,27.919327420335517,30.494947008459555,28.721613633099768,29.629158118398106,28.30470124609599,28.264597091870748,26.869836628473546,29.861551644115565,31.093350312840844,29.114039373788376,25.12546336011322,27.93855172048449,29.663579424443316,28.181027038347057
Irish,29.56299029008798,30.21416820841121,29.77940702403344,31.167969536964566,31.88087452005168,30.232300156448304,30.47108344314096,30.06592727667538,31.969953142873674,31.02046329907965,30.40541445118697,30.78951548243731,30.215538613813514,28.538539944435215,30.78373122491646,31.276083456797327,32.377443258016754,32.913266050329916,29.986242175956928,0,30.974115712106947,33.4387419299431,32.39168789906437,29.97060782906795,31.12877271156157,30.22583495075481,31.616427023216843,28.773761303312543,30.195434872058698,32.38292904835066,28.756601466905426,31.07068854588734,31.159415143869992,30.89596615929503,28.295306073904396,30.98817261891119,31.914045758283635,28.286200991515695,29.706071512607366,30.265567167300826,30.238194828220657,28.590501080595484
