,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,25.802417682271848,24.53925379802943,27.178413882258095,25.4295527356977,26.65647438808334,26.999034914751554,26.343937284232865,27.891896363274856,24.65661760875264,18.76180162465473,23.419841333856724,26.605730112841645,24.300669456542636,24.050822720424126,27.597025446719552,27.674540049523735,28.528342995923122,22.48654902730107,25.854659560926326,27.036771113081258,27.10958719263566,27.496372316826346,25.607680979574386,27.009762645354577,25.20372553914868,23.822155925673933,24.657855656534647,25.431632612284922,27.530106407124762,25.587750706936344,27.133098853690004,25.826987471882603,25.444834615050766,24.64262147436292,26.551408869840138,27.149240141933515,26.25557968777348,23.177124039288557,25.644083271230485,26.697412553931006,26.046535279831065
Albanian,25.802417682271848,0,24.769544662726773,26.15820960903365,26.091506009658524,26.83191952101933,27.714528009556314,25.868462218729764,28.172679356527425,27.805744319577304,27.07245477130929,28.324144453159917,26.31875616704632,23.782966315390215,27.87812112577369,26.993322110980923,28.048379350376507,28.666319482865706,25.819225375403292,26.75648866299624,26.891817430758497,27.71212859159988,26.845105139831617,25.611683098337082,26.888387447580794,23.827243880840992,27.385624819791804,24.510969961332425,25.094606120456046,28.079490674061873,25.6488528060078,26.63960142140241,26.01918225781495,25.82643702103038,21.102393476875914,26.567817942733825,28.09177084612659,25.96978343352737,26.12982659714112,25.37295444371114,25.525764584861413,26.322159707478548
Armenian,24.53925379802943,24.769544662726773,0,25.614996995180014,24.293013919380652,25.993287086255435,26.410951497389586,24.718798490103786,27.06739545360097,26.54211786154067,25.549368087464327,25.911331648257043,25.62452017685431,24.157542539558072,25.83405781786839,24.844547885089067,27.0596999394305,27.30821870812575,23.16926591995485,25.812103826158104,25.312837785371205,25.600964257883053,24.958843955440514,24.567396590902487,26.316640369322318,24.036786462083764,25.669039331094368,23.570084347684283,23.782634669978904,26.35209407774121,25.05037463686081,25.03683498446521,24.788961911122847,24.567322024352556,22.716027784308306,25.697842644417083,26.715904939157035,25.682681120999057,24.485363197663464,24.335960999179104,25.057369449565115,23.998420447352075
Bengali,27.178413882258095,26.15820960903365,25.614996995180014,0,26.622354899894564,26.79322353416136,27.108521466490693,26.473541673882483,28.514103590960538,28.830531450366514,27.28740905335552,27.14970099731036,27.41171647818098,25.786255104063596,28.278387152127404,26.36208059934953,22.90899582135243,23.1364493864976,27.08512384095559,27.512291300907805,26.558812648473772,28.362059027355595,27.516267708823403,26.10685391565147,23.13836536686885,20.375289036573825,28.561714381174607,25.57980487108889,26.467668252189657,27.319047099213705,25.98427318863869,26.898659727315746,27.05638637536437,26.304199512539597,23.660629077503568,27.29217132670879,27.8099366189941,25.561776018772775,26.46286202906053,26.21676177609777,21.936915424265706,26.56633519776237
Bosnian,25.4295527356977,26.091506009658524,24.293013919380652,26.622354899894564,0,20.853620436247784,27.348527106589213,16.721116502248137,22.742253427569462,27.28059798661643,26.19619800690956,27.06962043024939,26.345600135761845,25.225688255128485,27.06655774979906,26.71450199639413,27.993219617528244,28.1692956433397,24.916183252851454,27.604533790284027,25.15620923142872,24.815317983778943,24.221260814318374,17.516958686995583,27.54813732185903,25.018936684808995,26.62060954064184,25.853805317059194,25.578703179657985,21.47563682653728,25.326012806817392,25.90185527238237,19.369522679776995,13.455149340545395,24.69633473610197,20.53866351936232,21.49916858608775,25.663265421464697,25.731267352302385,18.908858346466033,26.01627526082948,25.473998607891517
Bulgarian,26.65647438808334,26.83191952101933,25.993287086255435,26.79322353416136,20.853620436247784,0,26.760499603947082,18.750173444519962,22.913268314480412,27.105957443194516,26.31006504891411,26.33925909384948,26.404749719794623,25.16373734448612,27.82676047659347,26.0474427152567,28.169421134893952,27.946711111561175,26.299983952048752,27.465546111736263,24.276673245096884,27.62099962690547,26.408235278040586,18.770855916448205,27.503826050324914,25.740864771815296,27.37224533410078,26.32704473173366,26.5047940516158,23.544946911693437,25.427810193268332,26.102450286366288,21.978661244426856,20.065509273836554,24.996349772043274,22.074150983359257,22.910064196503118,24.92329706053388,26.23859823671942,21.496458834923196,25.684551041797786,24.504835333249424
Catalan,26.999034914751554,27.714528009556314,26.410951497389586,27.108521466490693,27.348527106589213,26.760499603947082,0,26.190345532452067,28.90334666747401,28.289035336779307,26.734826352998404,26.3976023202898,24.931991092296098,21.343640527380767,28.474906957067578,26.506704628975783,27.734876170749647,28.151705644711885,27.095834159468147,27.1170444129148,22.792485181164167,29.68015428878396,28.252756076124605,26.67896373815902,27.052782515258592,26.334002786225035,27.494294795516588,26.995907555206124,27.434597762381255,28.05329279544739,21.694615572434046,24.450467803240663,27.711971314521687,26.96991742678133,26.228471781631313,27.37281278128664,27.666251960812424,20.516346934744696,26.469155389629154,26.64182473055583,26.897313485132667,26.290452853406926
Croatian,26.343937284232865,25.868462218729764,24.718798490103786,26.473541673882483,16.721116502248137,18.750173444519962,26.190345532452067,0,21.393224349817046,25.989436588677435,26.17294158418455,26.12935513223533,25.584800091101727,24.560607819509315,27.330813961358388,25.598885165689722,27.745636562165384,27.74433750954857,25.73483555215021,27.12038927060476,23.939767682117186,27.481974849328143,25.069500513965504,19.20596481899065,26.80067835059567,24.719883594548335,26.81436457943201,25.185857928923447,25.50287953802169,22.74844681224117,25.199690821679262,25.407335188414695,21.498115585915667,15.73952871029522,23.741319397541478,20.36881358848008,19.91817761290308,24.543221174919648,25.661534996273797,19.893411350275528,25.328083430179067,23.931767198137184
Czech,27.891896363274856,28.172679356527425,27.06739545360097,28.514103590960538,22.742253427569462,22.913268314480412,28.90334666747401,21.393224349817046,0,27.50855492502896,27.800140748705587,28.373065629235764,27.374866051121685,27.15210762576586,29.284695073384135,28.35824914996472,30.235176857863273,30.3664812655532,27.423738373515018,28.728921814596035,27.01962885295847,28.027277550083102,28.077315908614242,23.371883251154877,29.70147370867085,26.980626909218667,28.177187636326053,27.51223275574927,27.628067638991453,23.126193157288228,26.94904008331155,27.966344414380327,22.487195598659866,22.10294522080875,26.536317101699375,18.329940213906774,24.436844122557467,26.908848981940473,27.830364382829963,21.629378664955695,27.27220786129292,26.267078334447852
Danish,24.65661760875264,27.805744319577304,26.54211786154067,28.830531450366514,27.28059798661643,27.105957443194516,28.289035336779307,25.989436588677435,27.50855492502896,0,24.872419384526317,24.66694468316815,26.55422819003812,26.07974418692035,25.14311415921046,27.655356941624365,29.708131444522746,29.6535792589086,23.279114454197302,27.379376877296544,26.556676307704233,29.8283947958719,29.38125185520871,27.2343048728127,28.81468381002663,25.768547246814276,21.802695331292377,26.5605555658034,27.56516923254231,28.69051071909115,27.055794354237538,27.519496212346592,27.39217910018958,27.22859401684862,25.738197103773228,26.95121081143164,27.277806616729436,27.120778887968125,22.15521296389497,26.59093172387224,27.343467452958485,25.410448718327686
