,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,2.203118271013926,2.091982335607905,2.183172546322516,2.0820711919974837,2.107343245808485,2.139699498552388,2.0504582542399277,2.1526369701271983,1.9479021750528887,1.4884508570463344,1.976688386790057,2.1585583789424074,2.035097482590925,1.9280644277903107,2.199143507481129,2.2105754303257332,2.2099104790113984,1.8624528815203463,2.2035028206419103,2.1505999179046746,2.189035783403803,2.172717873342715,2.0533917547813343,2.1593189501795247,2.110513858757234,1.883317759959089,2.09640375534105,2.115669078416394,2.2118784809276355,2.1227440087533975,2.104639516709051,2.0937590809249955,2.0212580294874773,2.10062530597623,2.1367349403543523,2.15908359608344,2.1422730652905115,1.8774911220388366,2.0682070837941047,2.1622932972300632,2.173878163508753
Albanian,2.203118271013926,0,2.100362828602264,2.1368318900048062,2.1311968852172445,2.17227306712038,2.2520258523256556,2.0956782593083494,2.2435481408478957,2.3142565808493623,2.280048425023338,2.405230044452983,2.1727827848888044,2.0401373548006942,2.315158270096914,2.223105060716738,2.2347742117214118,2.1900699065545486,2.18897566955858,2.301011475005989,2.198840577020976,2.2484748776838046,2.1668704209981318,2.0776332238529918,2.1776178663329215,2.014670094498628,2.2784633968951504,2.110595977085616,2.141462107881465,2.279688578828872,2.1856161338379936,2.1072428306043935,2.1102848924214137,2.0766859317443136,1.8458531728669743,2.196616378330316,2.265553318471274,2.1763402070377387,2.196986980084961,2.062434805249672,2.1090520365710717,2.246417140880204
Armenian,2.091982335607905,2.100362828602264,0,2.116353703828203,2.0578137492794846,2.1425981534732426,2.1659516231552014,2.045341968611419,2.15673590945667,2.2566711766009857,2.1564775416902937,2.223037941461899,2.1761851083081143,2.0574671989224953,2.157327146415417,2.0823358011277597,2.1920309259012107,2.1882965880259646,2.0129158671259986,2.187125350711757,2.1154985843381464,2.0840626957129547,2.0173953767709767,2.0519538768902588,2.163318403169107,2.0696203414241547,2.1701135688467175,2.0598481955719237,1.9948243335892388,2.168739809256832,2.1346792905017455,2.0632169237215434,2.0737631774525904,2.0519256980324885,2.0032037447233924,2.148294801655471,2.203855653718339,2.140325701325041,2.087099144996765,2.0623860178182714,2.0978606854605246,2.083950960023915
Bengali,2.183172546322516,2.1368318900048062,2.116353703828203,0,2.119532331193456,2.0964589884991423,2.117489157759094,2.086385771426337,2.191494016511506,2.296060109137508,2.192517090273842,2.2274299968233153,2.1837569654450144,2.0847084592553884,2.2416089054885986,2.0902308306934416,1.7797008599088888,1.7508123698765863,2.1892164352486856,2.2337602969418677,2.098481908551437,2.2364814758567984,2.1266126123569933,2.0717163290357012,1.8261778552779768,1.7011205270250258,2.256592171168691,2.093171584084365,2.1308905703233654,2.162379568203812,2.114193269622712,2.0765200860546766,2.133904250225008,2.0761185265956223,1.969020147595601,2.1848894276351,2.214675733239823,2.0431856074691996,2.1334196248722077,2.0861546790956456,1.7914814327338127,2.174755230626685
Bosnian,2.0820711919974837,2.1311968852172445,2.0578137492794846,2.119532331193456,0,1.655167800546834,2.1363004500531844,1.3033301917197613,1.7702233799624343,2.210138032889853,2.128335049290468,2.2459737189384827,2.149397411111004,2.0415365075858727,2.1891181743822843,2.13614863995957,2.1946026667244865,2.171422993133613,2.043468531035523,2.265404603119721,2.0261369425725304,1.995918600748599,1.9569609353921764,1.422372945887859,2.164937848037438,2.0884304916796834,2.1251150978002653,2.137157753540497,2.08304436581961,1.7605737339623404,2.1006671087988216,2.014117562115278,1.6007416640582293,1.1309822355566792,2.0683032595878164,1.6710164295503598,1.7095269781228701,2.0518202469812006,2.077716400500762,1.5830652914224836,2.088569801824555,2.1519760504976646
Bulgarian,2.107343245808485,2.17227306712038,2.1425981534732426,2.0964589884991423,1.655167800546834,0,2.0634074591661147,1.4902939823667902,1.7547650287873644,2.184909383190838,2.122518628532316,2.1672137408682284,2.1242227582873237,2.0115277340929416,2.211671127739483,2.085033151038576,2.174443131567037,2.130662864149153,2.1208060790444847,2.222326847866476,1.9487072038989477,2.1547168391832967,2.0581932493745074,1.4875069948849922,2.133780195199338,2.1065229847762277,2.1591101374374286,2.1387012204064195,2.1094324100633997,1.8914182042156067,2.079655624873555,2.02912463787452,1.7614370203435377,1.58752376107449,2.080391453818393,1.7626705980094635,1.7904331935328104,1.976983092922328,2.096139615723092,1.72322179664657,2.0597991835381846,2.0467295336878086
Catalan,2.139699498552388,2.2520258523256556,2.1659516231552014,2.117489157759094,2.1363004500531844,2.0634074591661147,0,2.0494692067086375,2.211167187175212,2.2258285028629787,2.1437620571793845,2.126879301582058,1.9942529620809637,1.7323466851285192,2.2242922716356044,2.0976813049072756,2.143980794361251,2.134291371899664,2.17528505748112,2.1797787484771978,1.7826443542738217,2.284751394937097,2.173876511394738,2.0888606181039595,2.1088104296715864,2.14257602933596,2.1672860718165494,2.198744502335514,2.188526666563472,2.195411425616288,1.7758263664820808,1.8934565306451938,2.173498633631021,2.0968291748537435,2.141711390876873,2.155350122598456,2.1533755413981712,1.624191223701288,2.0939158755536753,2.1088286713419273,2.124553427038221,2.132196455126336
Croatian,2.0504582542399277,2.0956782593083494,2.045341968611419,2.086385771426337,1.3033301917197613,1.4902939823667902,2.0494692067086375,0,1.6934504894992737,2.128723451961039,2.108287677825743,2.1484695096132937,2.091395029581564,1.954053505748296,2.1762481452936275,2.0815242274634342,2.1381477510688014,2.121483071690258,2.0603977413024355,2.205691874887726,1.940847905149504,2.076010980928336,1.9610981152633429,1.483854015158076,2.0940320905106673,2.057028542308363,2.1163769938974277,2.047365095171001,2.0398207464710754,1.813677857887429,2.083608770388554,1.9612242338422143,1.6734571469538613,1.2268670940441477,1.9984939075466153,1.641411225554432,1.5848095419359303,1.9968003407488284,2.0528405107553667,1.6136345288103102,2.04184099654187,2.048071962375678
Czech,2.1526369701271983,2.2435481408478957,2.15673590945667,2.191494016511506,1.7702233799624343,1.7547650287873644,2.211167187175212,1.6934504894992737,0,2.181487216852954,2.19360098696543,2.248241909352597,2.1952838612050813,2.1102767088333434,2.2586215032840067,2.212864791349581,2.2771868147548546,2.256380758660278,2.1555553636238147,2.2864233902147246,2.107359085733415,2.1211581154099797,2.1199366247704527,1.79681527370859,2.2449368470839697,2.152827726087606,2.1878774181649066,2.189651087086141,2.158895970110397,1.8084701586398289,2.1728991809472573,2.108744878115557,1.7564513679288696,1.7099947650717116,2.1372572061799646,1.4476737683439762,1.8938178489199762,2.1237699136075934,2.1719075559767718,1.7086573300066377,2.1546433285233677,2.1488062779726134
Danish,1.9479021750528887,2.3142565808493623,2.2566711766009857,2.296060109137508,2.210138032889853,2.184909383190838,2.2258285028629787,2.128723451961039,2.181487216852954,0,2.0447881291677086,2.0680432748257127,2.2031311303880345,2.13140538241788,2.0177595588548067,2.2771039920423792,2.328234372201405,2.3119710532403444,1.8944336002432363,2.259831964279152,2.1674831966661987,2.325927275716599,2.2699402381536866,2.1900003393210037,2.267136000288699,2.179122491107903,1.735821444196292,2.2512197001837837,2.2259356058126913,2.300579457593614,2.2523998205044515,2.1678039518028274,2.200019395747569,2.17455034941235,2.1911991556384005,2.203841729169366,2.217008427217416,2.224201115501404,1.809447213910598,2.163134384727533,2.243617473557985,2.1851908452047066
Dutch,1.4884508570463344,2.280048425023338,2.1564775416902937,2.192517090273842,2.128335049290468,2.122518628532316,2.1437620571793845,2.108287677825743,2.19360098696543,2.0447881291677086,0,1.965981515119219,2.2116738601189154,2.155307404836374,1.784005898077832,2.172238894265603,2.183606911812263,2.190130314166236,1.97678330362744,2.2403328612524396,2.1309002532105135,2.243295043467778,2.1952569521176732,2.1090461132021536,2.170191358569976,2.1703674159906323,1.9670398615922415,2.2181739406963055,2.1670853594537856,2.208292057934907,2.126541664213971,2.1417495149952828,2.172940953962757,2.1111511348137046,2.1965855621694423,2.1993308353572045,2.1965135020327105,2.113263724263311,1.95303720970558,2.143006596173572,2.1701152369823156,2.170835650281923
English,1.976688386790057,2.405230044452983,2.223037941461899,2.2274299968233153,2.2459737189384827,2.1672137408682284,2.126879301582058,2.1484695096132937,2.248241909352597,2.0680432748257127,1.965981515119219,0,2.25804945765352,2.2343203775932117,2.05066562084311,2.256315208110197,2.2288401982757113,2.283058415719269,2.111701055165703,2.2279269869293246,2.1341265050790827,2.3178868238958046,2.243264162638884,2.216909212380649,2.232936759119935,2.203906124529811,2.058297385149363,2.3127711174855285,2.2321716566701433,2.267809949076236,2.1966649553074507,2.1843944163487263,2.2678930285607297,2.1948172631343064,2.32489495247492,2.2410218550124466,2.2436205105156737,2.1664243749653904,2.0089812191259133,2.2156811596591592,2.2205557234955218,2.114563046153368
