,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.06959144293681668,0.06935820287957711,0.07013145044264306,0.06969585188217321,0.06926204204330567,0.07137914053376249,0.06938009343286548,0.06895621707810197,0.07153395631465564,0.0702112645979231,0.06979813721097353,0.07029297150360193,0.0696593365785339,0.07079379753885374,0.07070350344036079,0.07322651360772277,0.07227613765413775,0.07091161235661841,0.07027888648960166,0.06916466203254548,0.0711715924240956,0.0702571805440396,0.06953499217673675,0.07183454609286405,0.07019485269816113,0.0708451104405999,0.07150574152396441,0.0702595429899176,0.07177614294980622,0.069663857342948,0.07000046586992335,0.06999732020992418,0.06903384902376729,0.06690151788187262,0.07008846197319617,0.07299101884280507,0.06830464835744467,0.07053300052761911,0.06928474221190506,0.06870749459726605,0.0686831760102865
Albanian,0.06959144293681668,0,0.06748433626388016,0.0678725980425911,0.06756392019241057,0.06681490694834696,0.06910182858491778,0.06689908019747484,0.06654686984855916,0.06908403015793885,0.06904118845757085,0.06768332949080866,0.06784307818467193,0.06690024079032861,0.06875014697962804,0.06851717994985916,0.07119193027154155,0.07038449508283322,0.06920714645193125,0.06784821847779497,0.06725362712002281,0.069069683115985,0.06848566685885431,0.06723979016444577,0.0695595926609367,0.06832834601952828,0.06820474447896169,0.06955629748175544,0.06784282130725723,0.06980863316060794,0.06711622034317123,0.06764981779514753,0.0676798638850949,0.0667049579940935,0.06449304793068937,0.06754915212968404,0.07057658487822392,0.0657319799933543,0.06825392988538359,0.06684765374025049,0.06628046591365046,0.06684325809672215
Armenian,0.06935820287957711,0.06748433626388016,0,0.06783514690272509,0.06771549493408892,0.06745830071516166,0.06909366402687096,0.06742028842089665,0.06702721866852394,0.06947331460553456,0.06904152279965957,0.06793291379136572,0.06814417620055632,0.06744387692679511,0.06858850048589363,0.0681760635355311,0.07073519875281109,0.0698186579147164,0.06871300916427477,0.06813809969916709,0.06718114472950182,0.06872152477682086,0.06779864937423931,0.0674170788255737,0.06935226890170088,0.06797330357698347,0.06895885192056987,0.06924915759446035,0.0679921943292656,0.06937031965877469,0.06736261163790479,0.06794227728253305,0.06777480417986292,0.06711030536940346,0.06509935418608259,0.06790879421019477,0.07048737247784115,0.06610727109050682,0.06844878272388455,0.06733908172414729,0.06680010914522555,0.06655354607555163
Bengali,0.07013145044264306,0.0678725980425911,0.06783514690272509,0,0.06751999095741316,0.06690133184982858,0.06922770063850896,0.06713404121503155,0.067038720430536,0.06946698419892927,0.06932197243203889,0.06768791914050652,0.0679696109335441,0.06769477603931232,0.06891283215683226,0.06854531651604584,0.07106136468087211,0.07014021754927696,0.06963856618952353,0.06809772128752749,0.06714102250736925,0.06893547009455935,0.0683376055702313,0.06720927388894689,0.06958617364747861,0.06771539018812782,0.06890339384875119,0.06988540007834367,0.06860662420809707,0.06978400695686432,0.06741747026715382,0.06798082516388124,0.06762441576894983,0.06679132300943066,0.06522474475003404,0.06803305637011446,0.07086385667861128,0.06596914605750229,0.06845816280917774,0.06699799645496596,0.06620010583122711,0.06669054291725299
Bosnian,0.06969585188217321,0.06756392019241057,0.06771549493408892,0.06751999095741316,0,0.06625770844408149,0.06880029993101461,0.06620495681774025,0.06653864513892982,0.06892812093331926,0.0688453524119602,0.06700283692762239,0.06787841400470367,0.06737049091792556,0.06849658193632066,0.0680555116036096,0.07069706563889856,0.0699049405156892,0.06909636612198146,0.06797473089422515,0.06662790777454385,0.06836980898559435,0.06779661655141327,0.06594933280357311,0.06936088340003844,0.06779235035190756,0.06829635405083236,0.06965407072214597,0.06817052040124015,0.06885638389817444,0.06724696187102311,0.06734191747366029,0.06646626048817714,0.06527820812307267,0.06521059507756172,0.0674192780884958,0.06978962309593426,0.06591588574734175,0.06800550051165173,0.06559677754864955,0.06614546532645749,0.06623490491470897
Bulgarian,0.06926204204330567,0.06681490694834696,0.06745830071516166,0.06690133184982858,0.06625770844408149,0,0.06821744734936215,0.06524542430724696,0.06561763659746456,0.0681615918787615,0.06825308412526161,0.06608690570208782,0.06695022446984884,0.06679568713871273,0.06807768152045712,0.06754967489772051,0.07043000466960825,0.0694526268228385,0.0688072109702543,0.06723419763813201,0.06598061989037914,0.06793853243598601,0.06768484025167505,0.06590075783862656,0.06890735098941114,0.06734443317737947,0.0675841135640758,0.06916613275767589,0.06785649498060799,0.06869788176780228,0.06653009524063788,0.0666064438204531,0.06647440253531321,0.06540573856809141,0.06433445400630698,0.06674111910364874,0.06965403224854234,0.06507677276299371,0.06738030446825445,0.06556906773460945,0.0653415300709485,0.06559778534334049
Catalan,0.07137914053376249,0.06910182858491778,0.06909366402687096,0.06922770063850896,0.06880029993101461,0.06821744734936215,0,0.06851352937443955,0.0682273026957628,0.07083446951833135,0.07053638129823797,0.06902087629997533,0.06931414535606766,0.06870460338445433,0.07014531750911944,0.06968976884020908,0.07265285708437702,0.07182403842532596,0.07088765118441934,0.0693831464703307,0.06814719727997316,0.0702508545704378,0.06948408048235087,0.0686682094623815,0.07123704936106229,0.06945216755491401,0.07017856290107666,0.07123206553020558,0.06978846747552839,0.07102342509468718,0.06840370988174174,0.06898054453299225,0.06896691996505364,0.06816228876850278,0.0665914345252826,0.06922734298365263,0.07220508791663723,0.06685569246840133,0.06957214746725263,0.0683344349459738,0.06786259115245248,0.06793318224346544
Croatian,0.06938009343286548,0.06689908019747484,0.06742028842089665,0.06713404121503155,0.06620495681774025,0.06524542430724696,0.06851352937443955,0,0.06584705798676285,0.0684735040991396,0.06838338912179877,0.06647584364295026,0.06718049230569313,0.06693562448788543,0.06820264477238613,0.06769990934669862,0.07047250058624714,0.06964376411512899,0.06896726896783462,0.06749877714303132,0.06606522363788316,0.06817111002027186,0.06760706945511363,0.06601299541471964,0.06906070950247158,0.06743936185298426,0.06782312570680478,0.06938327590356043,0.06785752653599325,0.06868437402409387,0.06660667326900908,0.06698430588352935,0.06659920110260543,0.06539302721935458,0.06443548000044631,0.06690458669198093,0.06981375981819703,0.06530529162932608,0.06769575491385026,0.06565576575736752,0.06567295116611103,0.06579617835544674
Czech,0.06895621707810197,0.06654686984855916,0.06702721866852394,0.067038720430536,0.06653864513892982,0.06561763659746456,0.0682273026957628,0.06584705798676285,0,0.06831019837789443,0.06821562771284438,0.06675254581136018,0.06701441338351481,0.06644529851494936,0.06786804503836345,0.06765647837879657,0.07029384890310005,0.06946198543022619,0.06856572202325645,0.06707097897128528,0.06627370169225673,0.06813194738962926,0.067602905488235,0.0663056286605061,0.06892650193107794,0.06734198056599541,0.06744366717860906,0.06884227586717773,0.06755407617002313,0.06858864163303627,0.06631585312598676,0.06674202578227517,0.06667869227411946,0.06569617512133995,0.06426602077507344,0.0665474982633892,0.06984276943394929,0.06504699745015188,0.0674698721004935,0.06596060989579373,0.06546704764673869,0.06597136845412707
Danish,0.07153395631465564,0.06908403015793885,0.06947331460553456,0.06946698419892927,0.06892812093331926,0.0681615918787615,0.07083446951833135,0.0684735040991396,0.06831019837789443,0,0.07077182611335316,0.06876876722232785,0.06957802971227302,0.06902457025472372,0.0704500826748428,0.0702653980676883,0.07303452551869347,0.07211942326324533,0.07095735505736962,0.06964947534468074,0.0685222481174517,0.07068493528504992,0.0699839087344861,0.06869857156443056,0.07147770911579926,0.06967194299518106,0.06971656263593512,0.07165526694193496,0.06996367980266963,0.07137361340489001,0.06901289469411663,0.0693508211332021,0.06918150665106011,0.06811552508558306,0.06641163541698519,0.06945382875010513,0.07237356868870863,0.0674626148608569,0.06976841118538904,0.0683900415249919,0.0678898585122186,0.06813657739467625
