,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.8279426695504306,0.6525075362638737,0.7739716605377125,0.6810900567807578,0.7317984217767232,0.7398304453498507,0.6980768359894332,0.6807156573349801,0.6424853061617516,0.5423033353933863,0.6710791460995338,0.717823609416846,0.7228072195214604,0.7059371647287097,0.7548675811449097,0.8121012128166653,0.7811498145756453,0.5935715003165082,0.7423318581507893,0.7212691866756876,0.7685379042480526,0.7334768192920924,0.7271769325977796,0.7648891800640816,0.7311865856913845,0.6060356505997521,0.72884864874201,0.7329788341262361,0.7788963871261042,0.7144834195958958,0.7313051561857158,0.7206715925530792,0.6997447811639462,0.8705596738506189,0.7015987590827134,0.7809556665705154,0.7078216433495471,0.6398524302287293,0.7128532110996192,0.7498141501990823,0.6934798980192178
Albanian,0.8279426695504306,0,0.7196288931331956,0.7493888040371539,0.8216499134225927,0.8174795890850594,0.8923952851221992,0.8050557449938893,0.7744824621103782,0.9367092273260721,0.8724081090424765,0.9610940041678414,0.8056208195052914,0.691235362705371,0.9096398275356957,0.8307448586545637,0.930016659304833,0.8124870704540558,0.8124381772166239,0.8483373479739422,0.7867108017073573,0.9064211505196348,0.7974460084709488,0.7814408876002917,0.8387031038496743,0.6461907940764323,0.784790492981129,0.7451205246354154,0.7373655806328089,0.9266501424446684,0.7854807556536582,0.7578236937239266,0.8349890246945865,0.7502075886274177,0.6099902393082292,0.8057154914981546,0.9556489376380629,0.7229518816396947,0.7772971721208531,0.7233554167364402,0.6904852421750416,0.8184119424128741
Armenian,0.6525075362638737,0.7196288931331956,0,0.7057159029874068,0.6553063179050226,0.6820868510733508,0.7412801763931703,0.6625524001405901,0.6141641343762878,0.7359238744576547,0.6865845242777694,0.7454216090639285,0.684790668015796,0.666437889014836,0.6966944312914827,0.6507096406690308,0.7446813328166306,0.6927856463951736,0.6020777609523329,0.7039761146313475,0.6827754181594442,0.702227530689967,0.6263920041658647,0.6668660077978905,0.715147333808999,0.6669326823421095,0.662656860663397,0.6521096017405,0.6151095130927043,0.7772245499607184,0.7070340944919982,0.6608889621005688,0.6643551892689925,0.6514718202865857,0.7554549416647239,0.6660268953061772,0.7768883938050376,0.6833027248045188,0.6371658286066179,0.6360389862364418,0.6402916560147136,0.6487854871189392
Bengali,0.7739716605377125,0.7493888040371539,0.7057159029874068,0,0.7246165185177801,0.7253490257479633,0.7878649665437031,0.7081432165724202,0.7099643594367306,0.8548832011458736,0.8005212769896257,0.8399609733437713,0.7363702648667874,0.7183471274729035,0.8653501643894412,0.7547725358020121,0.714056268713047,0.6402996596638665,0.7533907069952274,0.8199715658301897,0.7120638727682279,0.8287261062462145,0.7588575799466281,0.7102967208621073,0.6671618078831332,0.5612235971882131,0.783872500022992,0.7276411709154217,0.7382389629875282,0.8277145034605001,0.7530082716586722,0.7241924826599913,0.7735664010584881,0.7091028230662809,0.7453053997336134,0.7514279699138254,0.8444124011896418,0.6922444802073686,0.7411650251133429,0.70212019541512,0.61225682144871,0.7490314025748384
Bosnian,0.6810900567807578,0.8216499134225927,0.6553063179050226,0.7246165185177801,0,0.5355113865360956,0.7202235711093239,0.47301373777947486,0.5297803925198488,0.7237725891148462,0.7435424061870687,0.73603087117337,0.6865444618929628,0.7193373236498345,0.8154042540946661,0.7241102174974031,0.7939339220169122,0.7419775235562768,0.6353579225865167,0.779472249460257,0.6544392974050964,0.679954213479372,0.6424884781535787,0.4794053625035669,0.7468899576564686,0.7171986593084946,0.6852731601615626,0.7238972857605472,0.687643011321112,0.5800410986432416,0.7085667999151553,0.6811456716098864,0.5239121203201166,0.39016580062394135,0.8863307069047035,0.5248293918594275,0.6102124297221432,0.711795805586349,0.6707165084149778,0.526704312019278,0.7149274293090759,0.6441650936617495
Bulgarian,0.7317984217767232,0.8174795890850594,0.6820868510733508,0.7253490257479633,0.5355113865360956,0,0.7421004701979295,0.4660043753312697,0.5610491085033437,0.6985838878711161,0.7714164211977881,0.7093982173133421,0.6853746061335025,0.698178210104373,0.8247160637424459,0.6989623741276836,0.8352840644400329,0.7585765876297216,0.6824354125593854,0.7816672543852563,0.6252150252786274,0.7647595887719681,0.7083178295863924,0.5130262505818816,0.7576582052230393,0.6883589219444453,0.7138781168197331,0.7321911582561563,0.718691163730736,0.6976120201644538,0.7500253991279842,0.6785717043882975,0.6096801211763949,0.5466490692541242,0.8276853241509754,0.5821075904028786,0.6082517420791026,0.6924768078516153,0.6708923365310883,0.5676538482755162,0.6819281696622759,0.5890208751619862
Catalan,0.7398304453498507,0.8923952851221992,0.7412801763931703,0.7878649665437031,0.7202235711093239,0.7421004701979295,0,0.7011282881942806,0.7079462620863713,0.7933853878138176,0.78357640774949,0.798321705036996,0.6884164605438927,0.6397717924450268,0.8577766761836927,0.7586362218903469,0.8323395924486704,0.813957095931797,0.7318076412287556,0.7714175131067538,0.6210995847051696,0.8182227100804191,0.7501867501238894,0.7418986796762322,0.7800954927089194,0.7510433356493741,0.7720443728958534,0.7826060042429369,0.769015974427652,0.7959343235918114,0.6340528558792881,0.6717908873788756,0.7603194286225945,0.7322354200653504,0.9098332668571347,0.7155676237825584,0.7937715432949932,0.5791633889208851,0.7627434043149267,0.7322363210812871,0.7728547476590505,0.7126273337880612
Croatian,0.6980768359894332,0.8050557449938893,0.6625524001405901,0.7081432165724202,0.47301373777947486,0.4660043753312697,0.7011282881942806,0,0.5256523685468754,0.6850861503736617,0.7663679526314632,0.6913875127042192,0.661631949547018,0.6658679902432446,0.8349629766435397,0.6996810571661587,0.8302872202513935,0.7631711448277394,0.6742811338192537,0.7601904865405239,0.5964442152288668,0.736619129131599,0.6862878223058849,0.534784198689204,0.7564872355828264,0.6724345622178807,0.6798519551916384,0.7038916029023261,0.6874798113017462,0.6243413555574636,0.7000795283648636,0.6536882275657437,0.5760287118352526,0.47811408802658606,0.8055358080920362,0.5267556658568512,0.5653776784531751,0.6817969328587415,0.6446434787401917,0.5654310881216508,0.6709319063770001,0.585596331834905
Czech,0.6807156573349801,0.7744824621103782,0.6141641343762878,0.7099643594367306,0.5297803925198488,0.5610491085033437,0.7079462620863713,0.5256523685468754,0,0.7323574633476378,0.7261844603862566,0.7607812092548081,0.6662031626603115,0.6636867177691869,0.7820087298044502,0.6879060936691991,0.7618539332777866,0.7051697521507878,0.6238648773771099,0.7434232280074683,0.6453723230372139,0.6784189560415431,0.6564572540191177,0.5641166109804713,0.7173980157571358,0.6545560115289022,0.673785361534808,0.6859818966053632,0.6797872287537294,0.6072483845057934,0.6900330204140449,0.6643559634746588,0.5570157920722065,0.5230771407419508,0.8093566984483236,0.4490401343302585,0.6499502537766864,0.660698486046277,0.6805000385680128,0.531430384989717,0.6491267854418233,0.6370542844277026
Danish,0.6424853061617516,0.9367092273260721,0.7359238744576547,0.8548832011458736,0.7237725891148462,0.6985838878711161,0.7933853878138176,0.6850861503736617,0.7323574633476378,0,0.716509853176292,0.6016006176732434,0.7475313918123402,0.7805040088595775,0.727431893525934,0.7972254356437044,0.9312908478448204,0.8641370735386302,0.5962486803879644,0.7752373715662734,0.7009193129827821,0.8529408244439165,0.819969599137404,0.7760537794897664,0.8450354211351733,0.8076767679683018,0.5683732490583734,0.8347853493986995,0.7684078044553261,0.8302906059099197,0.8009069158338454,0.7840819273895978,0.7894337616685195,0.7606197564130207,0.9823580138274645,0.7497957013469186,0.7381175146192966,0.7713539570773152,0.6166213501738089,0.7674776224005719,0.8077591446430364,0.644112221198128
Dutch,0.5423033353933863,0.8724081090424765,0.6865845242777694,0.8005212769896257,0.7435424061870687,0.7714164211977881,0.78357640774949,0.7663679526314632,0.7261844603862566,0.716509853176292,0,0.6948148342867273,0.7846657350741676,0.7934860397000986,0.6172259652602988,0.7514152873297733,0.8134497578764638,0.7895899308106129,0.6197078534016672,0.7914030559004004,0.7510363321812551,0.8242001556652957,0.7537379785174507,0.7748927572828929,0.7853590306289986,0.7694387431999172,0.6767610463122774,0.8046871476497346,0.7544357208155319,0.8180008861159833,0.7640135451691812,0.7738669955239371,0.7867435580214267,0.7565459624786337,0.9189564718222766,0.775617647767454,0.8251641632794287,0.7398866080689269,0.679208339337406,0.7642253261368567,0.7861600253176242,0.7347757387384963
English,0.6710791460995338,0.9610940041678414,0.7454216090639285,0.8399609733437713,0.73603087117337,0.7093982173133421,0.798321705036996,0.6913875127042192,0.7607812092548081,0.6016006176732434,0.6948148342867273,0,0.7580858707715307,0.8364395295807714,0.7402829383828216,0.7856787381221979,0.9107534425582173,0.8828180991680797,0.6632738770205113,0.8230037150287279,0.6845570807400583,0.8286470763088071,0.8087731759470698,0.7921053899415739,0.8713987574545365,0.8400833132772403,0.6735876824124406,0.8654450618308359,0.7885636413682888,0.8192200303112996,0.8180941036775532,0.7915147572645416,0.7745457932025818,0.7895467830485917,1.0068457951144865,0.7590446461609991,0.732302590426939,0.8108595147477401,0.6523536249051269,0.7787597997468213,0.8368222958698671,0.6394208227205938
French,0.717823609416846,0.8056208195052914,0.684790668015796,0.7363702648667874,0.6865444618929628,0.6853746061335025,0.6884164605438927,0.661631949547018,0.6662031626603115,0.7475313918123402,0.7846657350741676,0.7580858707715307,0,0.6567136888665309,0.8358985326755634,0.7340480223843634,0.8298065502012313,0.7683549242604619,0.7034249559690534,0.7599975236940907,0.6177990003822598,0.7956762319526536,0.7554723241584388,0.6930985256243904,0.7497346013464246,0.6943711781903867,0.7171805881134358,0.719114399845367,0.7368664000290249,0.7682523568149162,0.6803854390397542,0.650555743495183,0.7213240702501458,0.6884277630939031,0.8544072721383908,0.680864274679607,0.7811391609194263,0.6509493304414783,0.7156492617099731,0.6911610075098473,0.7158055180981029,0.6977148112429064
Galician,0.7228072195214604,0.691235362705371,0.666437889014836,0.7183471274729035,0.7193373236498345,0.698178210104373,0.6397717924450268,0.6658679902432446,0.6636867177691869,0.7805040088595775,0.7934860397000986,0.8364395295807714,0.6567136888665309,0,0.8405699872714273,0.7291812286581096,0.8412985979798854,0.7683913459669418,0.7071078713312663,0.7390993164159652,0.6179573264683969,0.8551243606970471,0.7468760191306681,0.7010703454489366,0.7739078742201865,0.6118514155975971,0.7002517425645207,0.6862728149083877,0.7000036090876189,0.8665130969914795,0.541300556523758,0.637193341106821,0.7673345700558208,0.6894518836722305,0.6686731598765608,0.7098739536172903,0.835643153703204,0.46037305679241985,0.6940684714704286,0.6778526749129565,0.655406286049342,0.6935155445633966
