,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,27.68215002563028,27.57572438016857,29.605126260938135,28.603648272913823,28.645016768303716,29.338121766069282,27.92790014990229,28.98745652091077,26.767195594587015,22.05247168775575,26.735692439685025,28.334381967632797,27.024077134432833,26.58123288685156,29.431566121541323,29.975861743831114,30.30383562617666,25.66540822627095,28.652055122451664,28.792458855055216,29.704252588525318,30.028147915760176,28.19940619208155,29.58683535733447,28.01486858027479,27.077849789094053,27.194139717121836,27.781322026332177,29.806320399396693,27.833935790110043,28.95405076295836,28.347607125627935,28.135981353650198,27.12399836858016,28.7816607200345,28.944597790600366,28.611293203435014,26.38111758495433,28.133164097225453,29.02073521902,28.045281609221686
Albanian,27.68215002563028,0,27.013933187887844,28.489689354818037,28.552811638564528,28.941203501624077,29.28642189092612,27.743470930133153,29.530293919199877,29.08794082170678,28.878160068130796,29.816558270423332,28.014066139858006,26.320466785837983,29.205835889517186,28.544183910073333,29.339245522352538,29.342835717475058,27.98881061177627,28.626355820424305,28.457396949492317,29.585945366335853,29.12097177391673,27.910223667116455,28.52227098558564,26.905919164783974,29.75200292183389,26.614324848580008,27.320832642303564,29.670126963627602,27.768587244690327,28.19394740867235,28.17451972358163,28.13731263377253,24.36734415072972,28.52475841270977,29.282139309163156,28.14413668284405,28.725448506871192,27.70295837021012,28.010196564080204,28.132684348657314
Armenian,27.57572438016857,27.013933187887844,0,28.755081056753838,28.03508635367422,28.898728182551775,29.354336473007194,27.781350902597744,29.381632964035433,29.462049372426907,28.6579365308441,29.26286746670064,28.552311400219413,27.504639209832767,28.914871083377353,28.274160203757578,29.804264999153954,29.983079406977158,26.836506650485607,28.83344810698918,28.467605490710547,28.20258401621045,28.12540826348155,28.04708107790404,29.24860607407775,28.135572751091804,29.262655670611583,27.04277441080636,26.706166544037867,29.230051361392178,28.076462020092805,28.459975642483872,28.170575127894445,28.058570200917504,26.173349934915347,28.761603837838145,29.241945508205355,28.83590314367842,28.40890668111507,27.997177602045067,28.560870737828083,27.682573432492525
Bengali,29.605126260938135,28.489689354818037,28.755081056753838,0,29.529091015352837,29.382045880595353,29.82915141755727,28.972914969652162,29.973929821933325,30.490766702869035,29.833212906754078,29.915926441496357,29.57310762974562,28.58557351085385,30.085507554185376,29.23305775047987,26.498128902691832,26.37937519934402,29.58382339500257,30.136663258725743,28.94771546351745,30.457552483567973,30.1235847671662,28.918156527105765,26.909863025432422,24.800903168309414,30.910213179977607,28.437481981914402,29.010847479872325,29.790203439948613,28.899414031425785,29.2230618711056,29.66355853771734,29.274573518795222,26.958405800283025,29.73658980324705,30.036781973181775,28.873251075307337,29.4024773656203,29.210811703908693,25.72801931977755,29.19383362281305
Bosnian,28.603648272913823,28.552811638564528,28.03508635367422,29.529091015352837,0,25.006366106130002,30.143094161962544,20.999681200967373,25.560203437102203,29.54322595230645,28.943490670359168,30.014947523186038,29.05147539217235,28.488316992569313,29.46262990986293,29.541616743069614,30.498415398575805,30.46190031055371,28.24913214670248,30.52961746780318,27.863683971961073,27.263697081754064,27.35284397309989,22.222052721250613,30.243381399981846,28.307767132047534,29.764703180775783,28.995602671707257,28.497629036592397,25.118027415008484,28.29394161815645,28.569617864078026,23.32017869682262,18.703539348948773,28.141992004811666,24.24180107566575,25.00196872674979,28.97973460818,29.271148950150206,23.05177386033176,29.0351697371858,28.49421500443756
Bulgarian,28.645016768303716,28.941203501624077,28.898728182551775,29.382045880595353,25.006366106130002,0,29.19954580512606,23.196345204382084,25.74930214276978,29.44661040121854,28.674460063721448,29.26915246873135,29.061094545837733,27.74584997583594,29.549155036491854,29.04885497483221,30.04091613309834,30.04973381553523,28.545082119497916,29.70569381948478,27.605471038821573,29.886177585774966,29.264814746534025,23.001949362563852,29.651640642554085,29.133692619553266,29.980150128036257,28.730979356046202,28.68804262745182,26.899771499733276,28.128177554030458,28.831284012764325,25.501152400170966,24.1232929510565,28.06960268012676,25.804715060400927,26.34964437582267,28.191620366490138,29.294314153100178,25.252243669499745,28.700612222117446,27.961783135693235
Catalan,29.338121766069282,29.28642189092612,29.354336473007194,29.82915141755727,30.143094161962544,29.19954580512606,0,28.80221197739476,30.37560436069792,29.964051209583026,29.326043715033855,29.242264316866635,27.542927611173702,24.626170902446976,30.078190203170955,29.145160128455647,30.15042679948029,30.208365586601765,29.3038168009093,29.7197584057468,26.23092527041496,31.268196186104614,30.57452034643296,29.244069155544892,29.650493640133366,29.575353345935667,29.613461063766252,29.478004450614378,29.505505603389697,30.479757244161696,25.507935086029974,27.413714881736233,30.049772706292593,29.64388490488559,28.511246762238947,29.818641422144538,30.07643327508261,24.636026326947277,29.123605837569325,29.280596122958087,29.4989107125862,29.257873355762708
Croatian,27.92790014990229,27.743470930133153,27.781350902597744,28.972914969652162,20.999681200967373,23.196345204382084,28.80221197739476,0,24.981872313811078,28.69041472566362,28.500389516568273,28.842032045436728,28.113888361318295,27.045727881645057,29.106613540825578,28.704930416853202,29.3238366067442,29.516420534109724,28.073527776969684,29.17013846325373,27.171401109461616,28.82504932544048,27.652507308936954,23.06428710517024,28.828575824006105,28.2090965387608,29.37203296728893,27.715297024962243,27.65873137909798,25.719393577247374,27.932871236889852,28.026638602062523,24.600177484052242,20.23371266302954,26.901788394887994,24.349634487386467,23.733167825296483,27.865723188579643,28.699511132726464,23.855407822123915,28.208811467687994,27.56706348593115
Czech,28.98745652091077,29.530293919199877,29.381632964035433,29.973929821933325,25.560203437102203,25.74930214276978,30.37560436069792,24.981872313811078,0,29.40636922842732,29.33259597451123,29.78160761692349,29.268157318725933,28.69781654543252,29.972818192887722,30.253382035179154,30.926766630273633,30.945228957314477,28.921222049739335,30.51317142517643,28.56255517278237,28.935112476859818,29.575570576515517,25.964449273068894,30.76482055500465,29.092287972042982,30.264686890971163,29.102821325549726,28.897377866761346,25.602434836594604,29.142214733274752,29.476728973009823,25.22688821666182,24.87916930420437,28.75880980175714,22.85797429154391,26.91675844030833,29.30182386168274,29.842785147759592,24.86750858070802,29.250591423398273,28.38415387239368
Danish,26.767195594587015,29.08794082170678,29.462049372426907,30.490766702869035,29.54322595230645,29.44661040121854,29.964051209583026,28.69041472566362,29.40636922842732,0,27.3224367738786,27.283841374144806,28.599079279827674,28.138671176170327,27.26569342284655,30.116509020062793,30.47382995546089,30.69563584884097,26.349135376169887,29.1566698130956,28.837563592842557,30.96885360144596,30.992494574125256,29.417987006318825,30.039981423739082,28.267634413579618,25.475983106786597,28.6581346758359,29.307001498370155,30.41960802348275,28.88185894425297,29.339056947397015,29.46443062763175,29.54709757293401,28.42482594718896,29.377498832779832,29.171482611045455,29.43939052688192,25.92154089281278,29.01235007390756,29.328247773547027,28.276650946729326
