,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.44078822318140437,0.4440845351594292,0.4770004592994323,0.45444732553375844,0.4669557189141921,0.48295539984988145,0.4608109208780246,0.47475725213722114,0.4494450717290591,0.35409753565252594,0.4443289180851371,0.46380683039551723,0.43604365307433485,0.43393561031699646,0.4786015999957447,0.48998279467472905,0.4938141611590002,0.4127871774239117,0.4698430652987207,0.47556933990343736,0.46540019404640626,0.47203688636398133,0.4552286253341981,0.4819254496604405,0.45561933895534595,0.43207192524059496,0.442320603434351,0.44896320258270794,0.4814044893897064,0.4575112623100597,0.4654981746138749,0.4599975569950797,0.45284638039865777,0.4331298070830694,0.4685208249890715,0.4762303051100134,0.47747846385879844,0.42744347086114515,0.45526183605568527,0.4685120179012591,0.4667257081451712
Albanian,0.44078822318140437,0,0.4329004000030674,0.46246646542375175,0.4551617199565665,0.4747862633442015,0.4876067947038059,0.4659711910348419,0.47797122258507224,0.47275804197680893,0.4581587180145194,0.49638900093647104,0.46120560053238013,0.4258650315518229,0.4636000910123659,0.4639223836329314,0.48609515523780705,0.48652861782339984,0.4398156359899006,0.4628109772046395,0.47603528138179724,0.4655514244826511,0.46416409634028677,0.4527622182745239,0.4766028722811863,0.43119777134055626,0.4724709312017355,0.43141712530059295,0.4422439169572188,0.47272482288260137,0.45326358941348466,0.45767002710769455,0.46016484130805774,0.45901109507787663,0.3895892122780157,0.4614331648499663,0.4799056695510963,0.4731259038511367,0.4579830117752703,0.45102658797749656,0.45490935565325796,0.466435336239421
Armenian,0.4440845351594292,0.4329004000030674,0,0.45600393851100807,0.4402764295954984,0.46383486979681643,0.47183832400881043,0.4500584728910725,0.46626491142766896,0.4784164284960896,0.4618444836870346,0.47553614611489764,0.4598520156819524,0.4366519177151583,0.46692011006303913,0.4533035969744527,0.4787038753537714,0.4789125624294191,0.427101309101206,0.47266521767106345,0.46450845415641545,0.44804764791255025,0.4463725120765067,0.44437237709987365,0.4675730725031526,0.4402036316092339,0.4563687941536449,0.4324029134370477,0.43487256930134666,0.46410885992190504,0.45575912991527046,0.44989537213522235,0.45125250405430034,0.44692685502193913,0.4139688925815181,0.4616236110390541,0.47034212103449763,0.47394741069405055,0.44533720261990367,0.4432184624229033,0.44876972849726116,0.44722069057903413
Bengali,0.4770004592994323,0.46246646542375175,0.45600393851100807,0,0.4662953436827856,0.473942291246143,0.4834587982815528,0.4696183436426211,0.4762520835190437,0.5011328391609314,0.4798794579473135,0.48316644567179595,0.47721491149766887,0.4597899198040409,0.48603881243108255,0.46919532018574567,0.4346491141437835,0.4343799490210815,0.46687517096038067,0.48863495018479447,0.47254939381852923,0.48494246215847436,0.4792161468829599,0.4651823641098264,0.436462695318498,0.40327866325470296,0.4864705682275038,0.4639156268203646,0.467123291937675,0.47758025909211466,0.46344993718846866,0.4651702510017834,0.47205836040601495,0.46355204350974,0.4418324521975607,0.4758656999128567,0.49023581571263025,0.47005364329402044,0.4713970831506824,0.46187995699898254,0.4077223960485629,0.4662985002804013
Bosnian,0.45444732553375844,0.4551617199565665,0.4402764295954984,0.4662953436827856,0,0.40204022342176465,0.4863424971148235,0.33978836106463656,0.4208054846712581,0.4743244241288085,0.46436218788638656,0.48241244440142755,0.4646558909640157,0.44962084816064873,0.4743198796289539,0.46679662637481506,0.48616853979577446,0.47827565385112536,0.4475406500646149,0.48826482524924264,0.45123247693309965,0.4461522093621367,0.4442935683665645,0.3485549973479825,0.47856455924832414,0.44448449767282305,0.4673862876168614,0.4585076941740872,0.46306747384757585,0.40672135085822786,0.45509478482687116,0.4521378656993649,0.37690126737978674,0.2856955879456486,0.4441469429233543,0.39530266544584713,0.4072644981395149,0.4675124800932712,0.4592800873244528,0.37307202888311897,0.45498321419487475,0.4538744450696718
Bulgarian,0.4669557189141921,0.4747862633442015,0.46383486979681643,0.473942291246143,0.40204022342176465,0,0.47797031427249675,0.3675958566159765,0.4195685792078681,0.4817695552621057,0.46715949492934944,0.4723637880792484,0.4673845675894317,0.44888907344344003,0.4820055431686754,0.4622673562431161,0.4849253924787577,0.4874115293526334,0.46075034733901193,0.48573933806064046,0.44858112673009165,0.478572380700481,0.4745764917928909,0.3605098298834455,0.47772547707220053,0.47030707374396596,0.47615756145514637,0.46428412577596573,0.47181511798953335,0.43634902522844954,0.45887986140664094,0.4615830281049579,0.4116281362183541,0.3809378671491772,0.4558965239441078,0.41534948508397274,0.4234888647769948,0.4633659891580235,0.4680527192609285,0.40738859530249094,0.45956159470259633,0.4509456849644987
Catalan,0.48295539984988145,0.4876067947038059,0.47183832400881043,0.4834587982815528,0.4863424971148235,0.47797031427249675,0,0.47429851284094665,0.4950883481092065,0.49960141946060865,0.48363469163273387,0.481971932904423,0.45251970423019716,0.4103564386275372,0.49565245314862655,0.4766618832880958,0.49682958712025566,0.49679201520261157,0.478524575240711,0.49461084807397565,0.42374233440044645,0.49762140082574463,0.49310375846775417,0.4748508716959064,0.48734526181355203,0.48902960858523103,0.47218789594571187,0.4895619668205612,0.48512473452511423,0.5013590953590862,0.4148325031503768,0.4419150761778018,0.4908878584322763,0.4798591333046869,0.47740142798721386,0.4886920363169066,0.49208522274325284,0.40504132255900016,0.47815195603287153,0.47682669706708114,0.4760535100720306,0.47477647247133375
Croatian,0.4608109208780246,0.4659711910348419,0.4500584728910725,0.4696183436426211,0.33978836106463656,0.3675958566159765,0.47429851284094665,0,0.4041129234904244,0.4742734417609921,0.46472585479379563,0.4717608759167944,0.45645923467466154,0.44765248314443395,0.47677097909431865,0.46449677871533157,0.48421130007294855,0.4824375608833075,0.45451636188829714,0.4854578832113313,0.4486409426719585,0.47906606427027026,0.4611633071369162,0.3657999414309502,0.4719674880648057,0.45911611115764883,0.47300071401684096,0.4534001317244533,0.46286170386564246,0.42540674766364023,0.45745921620029295,0.45485473026271167,0.40383189562734245,0.3137306443279102,0.4458050954346457,0.3888691336667298,0.3819096467895095,0.46070448168697603,0.4634713561337615,0.38676462295614145,0.45347858996250257,0.4501310370072748
Czech,0.47475725213722114,0.47797122258507224,0.46626491142766896,0.4762520835190437,0.4208054846712581,0.4195685792078681,0.4950883481092065,0.4041129234904244,0,0.4785754373907388,0.47382564045715997,0.488238939957223,0.47085931482361787,0.4646420007786468,0.4886397604658839,0.47826300427306184,0.49948143237674536,0.4958369082665276,0.46513428185550887,0.4960148914975567,0.4649010582227849,0.4798398341918777,0.48650808333150913,0.4218494136940984,0.49367589264561046,0.46294911222558144,0.48414618537889853,0.4668891562844925,0.4707960677313639,0.4233564042575886,0.4683484026098521,0.4694619029944165,0.42238645365635835,0.40556596104925696,0.46272458948744544,0.364649832370947,0.43897369793961855,0.47611339392321744,0.47897560034814146,0.40826419775187456,0.4676744405289684,0.45777769872745133
Danish,0.4494450717290591,0.47275804197680893,0.4784164284960896,0.5011328391609314,0.4743244241288085,0.4817695552621057,0.49960141946060865,0.4742734417609921,0.4785754373907388,0,0.44929869154985475,0.47812558213849465,0.4690515162559577,0.46349761612150703,0.45454207359100507,0.49009064740391806,0.510145259345979,0.5061241686572708,0.43169944321567194,0.4929654847371309,0.46771290207001737,0.5020470344310131,0.5027470106758746,0.4741778080033396,0.4991935463488829,0.4660939697738299,0.4158487828939221,0.47216825813826946,0.4841252896293766,0.4944162927143928,0.4823791288161986,0.47587892950734567,0.47700349762895466,0.47690285730389426,0.4535951337300304,0.48236783514453085,0.4885138244417667,0.49226706220496436,0.4278457170691056,0.4669969637716098,0.4831930962227828,0.4694219103741102
