,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,1.738171676476292,1.6245630688885582,1.7212603093473198,1.6706292476592914,1.673203054654846,1.6937970113006984,1.644561113285801,1.7025673574548132,1.5729178717948724,1.2054668900724008,1.5766495983534106,1.698149618728344,1.6156522761827163,1.5317976440154732,1.7768782159291323,1.763459884682148,1.7665079376158341,1.49380597820473,1.7580739220762576,1.7308138284381398,1.7450183327394468,1.6946753950451188,1.6536358197057621,1.7509370318105373,1.7074036907055983,1.511561599080147,1.6495668578785896,1.6792625217458867,1.7335670676443324,1.6929142033441884,1.6972882811177132,1.6839346408733098,1.6337137118183396,1.6940674263351692,1.7016450873207383,1.7066018850567264,1.7602419253021366,1.4737682367696805,1.671025888809648,1.7078562694911326,1.6869475565000966
Albanian,1.738171676476292,0,1.635232159686574,1.7437706137579365,1.7359731039412316,1.802649085516829,1.8387141742442172,1.7647211781275292,1.8252483215695314,1.8394851700813857,1.8247939386565246,1.9161297191332862,1.7900658817625412,1.676129788772208,1.8199225772646364,1.819782146171284,1.8437577634660147,1.8240216093576032,1.719471116434887,1.8666879585080858,1.833827944553382,1.7886724779342873,1.704336769951585,1.7192857564702224,1.8207538059218302,1.683158050604924,1.8172745591087012,1.6912174526202326,1.7333427665347767,1.796834635924028,1.7901947512020235,1.7361637638376892,1.7278896804571318,1.7317117503084098,1.5220489263064025,1.7717391946237535,1.8627360502880925,1.8571757262071886,1.7339301699149023,1.7119301975363017,1.739086985244312,1.7842597727546137
Armenian,1.6245630688885582,1.635232159686574,0,1.674355623944917,1.6204926573231682,1.7186790450998743,1.7274047087044315,1.6329134446291305,1.6959314447773624,1.7725951863143496,1.714721197662636,1.7492228288541058,1.7299887518351336,1.6362569120335313,1.7133357593122636,1.7060785705909665,1.7466529882273192,1.7515537070398253,1.5894617994904436,1.774684683189715,1.7185403504790937,1.6088410279748897,1.569401410525142,1.632086925874597,1.7447483467479084,1.6433712963216578,1.6963165936988176,1.6131518298192544,1.589565279912677,1.6824340750051587,1.6918020464215289,1.6600753466867524,1.6500949760906636,1.6343220881661338,1.6033506827141895,1.694114744758373,1.729130303742814,1.7862550620484081,1.6331425146601979,1.6416360678422999,1.6596695562465373,1.6404775090752484
Bengali,1.7212603093473198,1.7437706137579365,1.674355623944917,0,1.7301471240580266,1.69568672791932,1.704118254500074,1.7209107447636116,1.723912205314285,1.8336967044588197,1.7228174930704867,1.7222365837626565,1.748043571194744,1.7064502852117984,1.768299659770944,1.7089200544413365,1.4952606637777845,1.485704272978029,1.7226670352719384,1.7798980586818303,1.7440137677308345,1.7500275456146406,1.687397691792017,1.6889617707480706,1.5268131078103415,1.463024983913722,1.7667752301645756,1.7006027442065381,1.7103606559702158,1.7004082758494035,1.6845169320289493,1.7082793526981341,1.7431329040810863,1.6935373231540216,1.6594730182931472,1.7352523974684717,1.7830782916899504,1.6915315257759034,1.6938479061850267,1.7166251143784803,1.4381235699537231,1.7198384045629416
Bosnian,1.6706292476592914,1.7359731039412316,1.6204926573231682,1.7301471240580266,0,1.4069642772541056,1.7366672144668285,1.1174346088918456,1.4468535158887361,1.7720147780341904,1.695962950353727,1.7845596944147588,1.73732354979362,1.6727693132058266,1.7515410552092983,1.7511606508722244,1.7868088001731477,1.7692320603996556,1.6726753387684978,1.816623130938571,1.672395396764249,1.5946140547788668,1.5979594307601688,1.202891465390127,1.7770421703759522,1.6940563053158475,1.702366692306704,1.715098299059391,1.709973460022204,1.4496570727928193,1.6783259109777195,1.6906331113869448,1.323276164703141,0.959426196579268,1.7027738140404551,1.3584377912975432,1.396281879184589,1.7200357052980682,1.6924592054058616,1.3273848969417787,1.6850715219594745,1.6870516402302793
Bulgarian,1.673203054654846,1.802649085516829,1.7186790450998743,1.69568672791932,1.4069642772541056,0,1.6341563405072548,1.2625887674170384,1.393147513230903,1.7269894601407538,1.6439576832308052,1.67082620549559,1.7043020151220147,1.6144309461931556,1.741228776679263,1.6771247396325246,1.7340912765625607,1.728849399388438,1.671756179574223,1.7553954827758582,1.6069413862094526,1.7325434755077609,1.6986536235059992,1.2322476044163124,1.7160518336455304,1.7996557565515359,1.6998415223918713,1.7126819473145896,1.7159994591465215,1.5366641890846138,1.6426813309193224,1.682127839152255,1.457376018480993,1.3106550644040587,1.756196766624968,1.4276291974587896,1.459926790392237,1.6467911612335393,1.6842002596105086,1.444441585880095,1.6662093258668131,1.6097372697496963
Catalan,1.6937970113006984,1.8387141742442172,1.7274047087044315,1.704118254500074,1.7366672144668285,1.6341563405072548,0,1.6576007052281667,1.7114899451411332,1.764230608864716,1.6721895001208669,1.6342342555003957,1.6057609197126181,1.4001509704011639,1.7450382698409885,1.67360163620124,1.6946675705202678,1.6980426095997319,1.7219641521627576,1.7241801945670716,1.4351919831882813,1.8036484267737838,1.7413140267745617,1.6646081734967673,1.6870495676788324,1.8101794697458118,1.6824349215343875,1.7633157654474296,1.7504422448343944,1.7506210411734677,1.391663549627325,1.5629665353406348,1.7492621853174117,1.6786563202676084,1.7935430619125796,1.7133460430767185,1.722775481472925,1.3401483851537717,1.6725321251468044,1.6957403212041071,1.679903095943348,1.6543810606162845
Croatian,1.644561113285801,1.7647211781275292,1.6329134446291305,1.7209107447636116,1.1174346088918456,1.2625887674170384,1.6576007052281667,0,1.3769850450425412,1.7263468327648737,1.6842331813969347,1.6759040568620664,1.7015424514404895,1.6184316082632786,1.7452070774386608,1.7304363530057267,1.7393458303007796,1.7344317537587635,1.6622215871177863,1.7866698757097372,1.6231728989768244,1.7059597032992648,1.6219863085862463,1.2508071300913244,1.7173195247493651,1.7518185188306377,1.6917872443226307,1.6777551609910866,1.6790933589113028,1.4971533974052478,1.6752572511856099,1.66787283116762,1.3926616935123892,1.040060516556099,1.7024928439856228,1.3466459080610362,1.3178642042152837,1.6942783444283556,1.6724036798266149,1.3702356381446965,1.663282357118227,1.6262973709259976
Czech,1.7025673574548132,1.8252483215695314,1.6959314447773624,1.723912205314285,1.4468535158887361,1.393147513230903,1.7114899451411332,1.3769850450425412,0,1.7183420258236846,1.700217175168868,1.7233118852891054,1.725499152100518,1.6799304587436628,1.7585804905062712,1.7545721989779797,1.7925909516286875,1.7822552987539697,1.6921844463215954,1.797523199240364,1.6615673574860037,1.6801994131650473,1.7276123365230505,1.4457004730593428,1.7856717229613102,1.7799282733071784,1.7125547854463843,1.7197257256137217,1.7068735467841225,1.4560266390733292,1.7001521228863572,1.704416410660006,1.4277578256593049,1.3857983630048012,1.7709762606131825,1.2329245559653972,1.486081712010029,1.7212452656435524,1.7250941638423778,1.4026198214007577,1.6872486890929146,1.6454672762517593
Danish,1.5729178717948724,1.8394851700813857,1.7725951863143496,1.8336967044588197,1.7720147780341904,1.7269894601407538,1.764230608864716,1.7263468327648737,1.7183420258236846,0,1.625400629240095,1.712835982668211,1.7493399930397224,1.7083611515475219,1.6482599974822776,1.8416106257562994,1.8562259999449764,1.858220300420397,1.5359780152417526,1.806482783650566,1.7404676336180103,1.8459930310018111,1.8178024597241222,1.7361758689964695,1.8414686209539848,1.8095556511532846,1.463734753672092,1.7741570108056528,1.7981167845542019,1.805765611374755,1.7888450206203401,1.7637022894559906,1.7634242149718329,1.754928203672189,1.7712730779992858,1.76398371147432,1.7611242050929012,1.823731592836557,1.4887734754897766,1.732357606943395,1.7937252955616994,1.7196380238412594
