,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,1.1961929678308998,1.1277196748142853,1.2559029390589846,1.1814207676602018,1.1512987090265354,1.2402978483743303,1.1593172501824303,1.2037848853417323,1.1595725293595074,1.0088441275106568,1.0868129082366718,1.1652558912862716,1.1750950490758065,1.1080339412293039,1.1922990574993928,1.2777792013688547,1.2567336214296863,1.072828964293768,1.2331362045497263,1.1395362717364366,1.2754159078989984,1.2925075652624003,1.1818270205227916,1.2764153003887508,1.1712548653628863,1.1164100070005318,1.1566689547055413,1.1785888964604325,1.235670607441159,1.1934414843302035,1.1810689904198908,1.1660886421564154,1.174324097299281,1.1824510635284062,1.2233953350878746,1.2357494310291746,1.1732904126625454,1.12487854408967,1.1717057624820142,1.2320936545452883,1.1090423041618067
Albanian,1.1961929678308998,0,1.1339535211763485,1.2881967029411483,1.265218503874157,1.2286677144057336,1.277033617399951,1.2246911321787175,1.287032369531486,1.3534070175949138,1.2836593872730255,1.2891006936668596,1.2398464760762011,1.209104101307049,1.2920268462824092,1.2287842605522197,1.3425433925874666,1.309135462401856,1.223735250500082,1.2714719066278333,1.20699817770111,1.3433192936657212,1.3375413048873368,1.2477752673090041,1.3067409659799314,1.2408632344097907,1.3405669547899002,1.1758403856065425,1.2010999140984282,1.2999149116380442,1.253017679928552,1.2622025789332132,1.2301315153174164,1.244969798945571,1.1218149483114004,1.2793449462755002,1.3106348879557113,1.2255246337582462,1.2817645950968553,1.221248889148754,1.2694853232669838,1.1804934839987964
Armenian,1.1277196748142853,1.1339535211763485,0,1.2443486365991923,1.0954851835267414,1.1994802363516546,1.2777065316805065,1.1705439104932887,1.2383442259179172,1.3071306170742722,1.2630925668566013,1.2395973536152043,1.189399343010477,1.2166309541392752,1.223750146347566,1.1471418944637752,1.3073856760971816,1.248089832203129,1.1243206724785346,1.24174149308949,1.135293289008414,1.1935407154825028,1.2294933826486505,1.214317317919596,1.2803456287411288,1.1498243066159821,1.2261573122744371,1.1440004895876117,1.1337047714872017,1.2350383314643438,1.2322140588530643,1.1899971933936628,1.1713054010195265,1.1758453839389358,1.1068675724450383,1.2315786312065893,1.2414889918535117,1.2208218857593496,1.2371663962210777,1.183534689393243,1.2337204177913805,1.1251940575695578
Bengali,1.2559029390589846,1.2881967029411483,1.2443486365991923,0,1.1836457780640985,1.08720405905122,1.146686833931468,1.1014696593854392,1.1461643057837452,1.1605217261861989,1.1577367867476527,1.107079168103347,1.145306139358059,1.182907909097725,1.1204069490068063,1.1312240086529817,1.0335193052844514,1.0255635844723834,1.172522151215176,1.2231480452294652,1.0568750182301248,1.2173071538287081,1.2276336649837776,1.0851641351867576,1.0543082803911061,1.0677436979315522,1.2569476893502414,1.1569624218524897,1.1865665189732413,1.1183199880988601,1.1387248864108033,1.1038753155131507,1.132546361640493,1.115329608750659,1.188480917160179,1.1420016163950344,1.1773097947063338,1.108033772155836,1.1468638417970858,1.1028148612544164,0.9885572137148968,1.0441545938031391
Bosnian,1.1814207676602018,1.265218503874157,1.0954851835267414,1.1836457780640985,0,1.0519338376711889,1.2555293704008534,0.9170980707814416,1.063246434394919,1.1592900455836623,1.2258973261952524,1.1708939487560064,1.1210149067446196,1.2686767786682704,1.1599442165922833,1.1468322380866285,1.2653892960871587,1.1632374533977436,1.1811336373022066,1.3316674116403893,1.041176995290297,1.0959491042081289,1.1785464031261106,0.9936831058262252,1.2711321636753885,0.9902601880010441,1.1459338332690936,1.2319636623839314,1.2308593243399721,1.0053604862927394,1.1775910226474506,1.0870595125066427,0.9632009719992207,0.8230253861422564,1.2313748145280246,0.9914995251252122,0.9938618372273034,1.1866842437692768,1.219203231639366,0.9884944032417604,1.1544984515739027,1.0757955270498905
Bulgarian,1.1512987090265354,1.2286677144057336,1.1994802363516546,1.08720405905122,1.0519338376711889,0,1.0632336357436627,0.8556214669158313,0.9775518309855538,1.0805419353530548,1.0620280157238142,1.0255183568853976,1.0869436239968524,1.0750474065091224,1.0676904315357305,1.0931744805500603,1.108659991691993,1.1121404711713017,1.076273146636642,1.142753466091041,1.0044530355462276,1.197031286522716,1.15281940449162,0.819490742650686,1.0892191093750543,1.193117099049524,1.1803513592411188,1.108301904010056,1.125223640144639,0.9966516642903918,1.0651288197149602,1.074273476119134,0.9486798960042375,0.905282589441745,1.1766439961689805,0.9741973680367251,1.0308353845974931,1.0193914862798348,1.09123267911077,0.9209526796561431,1.0539138923893545,0.9665167870155232
Catalan,1.2402978483743303,1.277033617399951,1.2777065316805065,1.146686833931468,1.2555293704008534,1.0632336357436627,0,1.0631783992225845,1.1699309815631398,1.1049444947544604,1.1088847055447073,1.0804069479622216,1.0365419634556667,0.9972000439327826,1.1171470919324202,1.1092113884055688,1.1481185124239663,1.1595794089561384,1.163796910316025,1.1729058659839475,0.9716764068470726,1.2776543315262205,1.2262352771148122,1.0859758073373194,1.1163191153871075,1.2577784111052264,1.174526595242487,1.1856910622102896,1.2107531789423605,1.1481287725981046,0.9805827943199019,1.0328406740067833,1.1515724900155409,1.1321249358043242,1.2337412145439675,1.129255092936224,1.1559487948536435,0.8920814999586218,1.1148267124375524,1.1089577277177867,1.1209902958126565,1.049673305038183
Croatian,1.1593172501824303,1.2246911321787175,1.1705439104932887,1.1014696593854392,0.9170980707814416,0.8556214669158313,1.0631783992225845,0,0.9578609825160207,1.07325494372524,1.0842649356071212,1.0747227447214627,1.0616300491867043,1.1048176966681418,1.0696106262498308,1.060587649143106,1.1263877671852196,1.1031359932332399,1.0990648986424705,1.1682013200440269,0.9941017796175674,1.1651285786634709,1.1339439625724952,0.8714068166899028,1.1003132332770527,1.1740782838069734,1.1604032195829783,1.1231980593142838,1.1191503532402858,0.9472808143222289,1.0671109352408752,1.0463678944080492,0.9440347394518509,0.7930149284037663,1.160649793238453,0.9131210322512916,0.9112152046907026,1.0309149397025381,1.0960094668537759,0.9038342469333823,1.063947317660679,0.9949204130869838
Czech,1.2037848853417323,1.287032369531486,1.2383442259179172,1.1461643057837452,1.063246434394919,0.9775518309855538,1.1699309815631398,0.9578609825160207,0,1.0914119584394952,1.10249498262794,1.0974803528643406,1.1125050576629694,1.1786169910832565,1.0945032357468403,1.13938512011163,1.1995105397955368,1.180156152731881,1.133077175909989,1.2406688311602427,1.040976617298033,1.1800416802309184,1.2066010553688156,0.978887400029094,1.1976148786055574,1.1546403665548237,1.2166119626880958,1.157123035545959,1.1621411113193967,0.9892797089814079,1.112193912427941,1.109024847750815,0.9690183542895918,0.9462685745396184,1.2620504942443238,0.8925785475550242,1.0296723704160327,1.108966303466823,1.1381022570358192,0.9486916481388823,1.11366613370367,1.0316852324925103
Danish,1.1595725293595074,1.3534070175949138,1.3071306170742722,1.1605217261861989,1.1592900455836623,1.0805419353530548,1.1049444947544604,1.07325494372524,1.0914119584394952,0,1.0230787580117324,0.9685424679094669,1.064202190021548,1.1724839891697487,0.9717567126515346,1.116998148415995,1.1559505796297762,1.1249179695927392,1.0590125378950983,1.1905273150973676,1.0141840505156665,1.261061844204738,1.267034153447418,1.1056335797319323,1.1435609971740583,1.1323966917502,1.0015349081440008,1.1890670690631675,1.2297138392431661,1.107598394209623,1.0739600431841696,1.0578978914187076,1.1147275434768036,1.1307176434669377,1.3036823615527255,1.0720504697558029,1.0974150793738868,1.0718496331904759,1.0064743048183142,1.082449753401495,1.1036059596912102,0.9966544655248519
