,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,1.2487720981029633,1.2397116680812064,1.332866707358929,1.2846169224491406,1.2817759508963755,1.3180948675579254,1.2691522708482463,1.2754047879584978,1.2310328864638622,0.9784965422195187,1.2058793922479876,1.3094589778367807,1.230454138782543,1.1938440579546765,1.3416077114085079,1.3606860439384454,1.391134917045213,1.1385739187453259,1.3131133607894463,1.3045466518345608,1.3189110332767695,1.340225748022499,1.2661765513948944,1.3577364064077797,1.2661513367550081,1.2132947631937836,1.2445681244419553,1.2346335710200265,1.3189044037727118,1.2503053510706836,1.3111353305057782,1.27615556474528,1.2540499348256615,1.2388740270903074,1.2839434202130664,1.3132674134326547,1.2719267621027872,1.1747423360345741,1.2643343049891511,1.3083429134352653,1.2590060609454934
Albanian,1.2487720981029633,0,1.2150591458602642,1.276970193429009,1.3050384725962982,1.2728129973510682,1.3087547100367185,1.232143594214716,1.3009796347269733,1.3507655903219213,1.292563608152549,1.3663091276291395,1.2635864566797057,1.1999590438798182,1.3388142495283553,1.2689217671197264,1.3344939442601298,1.3476820558384286,1.2756999197942835,1.2950739540732088,1.2575196655016632,1.3306573631894412,1.3263846140354714,1.264522535969363,1.298370085435133,1.1983670705307532,1.361971761814746,1.2065430717262273,1.2164473274009864,1.3153718766848694,1.2376436758588079,1.271908637654501,1.275461147476923,1.2710578677730413,1.0896820770351376,1.2816408592118749,1.323586992604827,1.2349624305256264,1.2870730801040136,1.2463662018623733,1.2573920654430302,1.2464910760320778
Armenian,1.2397116680812064,1.2150591458602642,0,1.3071113648269823,1.2799980711462933,1.2951982261069572,1.3281728520357594,1.2632745448515967,1.3188685974252568,1.387508776638357,1.3006966300454792,1.3523010367092339,1.3217407161094543,1.2540509257863357,1.315908150585154,1.2719143683111982,1.372928528072213,1.3828910569260475,1.2054052472057328,1.3132330527249465,1.2931395930305725,1.2693416215099602,1.2720761361104882,1.28271310330192,1.3446719909622047,1.292931037137263,1.333034712564276,1.2287207829252815,1.1866286082331552,1.3172662317728725,1.2718841489515993,1.2999822791514253,1.2803465200431536,1.2683177127028413,1.1793028649730801,1.3063529641557234,1.350445629003473,1.2944496885267476,1.2916924448942253,1.2727376271237756,1.3049873688301052,1.2498735486675923
Bengali,1.332866707358929,1.276970193429009,1.3071113648269823,0,1.297931771615345,1.2524933437145382,1.2870606465222323,1.251671414500965,1.2789521414003118,1.3541575335945344,1.3093785717752326,1.3159087233546478,1.3140389537368442,1.2660627021627064,1.3258302821516896,1.276407411080581,1.114046318666457,1.126493821805886,1.3169315855154142,1.3623160216904096,1.2589271339827584,1.3264551428390214,1.3221490896463572,1.2448546755105234,1.1427833583792741,1.0592265481382226,1.355164553352117,1.2689611738775939,1.2676651053183376,1.2796330838480239,1.2703635450949893,1.274483029007834,1.29625901359606,1.2619136281724437,1.2133312946991055,1.27966654770973,1.3222155039272996,1.2508460807385033,1.2680745530868887,1.2523081152326037,1.0710368260142857,1.2694655292956214
Bosnian,1.2846169224491406,1.3050384725962982,1.2799980711462933,1.297931771615345,0,1.0817603086204737,1.3406869920112168,0.9135984468301086,1.08164536322441,1.3476455269159244,1.3025008167656231,1.3616581446837566,1.323395825503007,1.3138292824535869,1.317654734904246,1.3301173907496116,1.3473573143849733,1.3733378952237103,1.276479723249544,1.4099480533972601,1.256786149226799,1.1648501695749292,1.1732647920084276,0.9563640000702426,1.3582256825393448,1.2379085420279115,1.309851476231505,1.3380698502026993,1.278729776919612,1.061329009618444,1.2705878214509907,1.2654509333184993,0.9992946121228029,0.7527263367204824,1.3087913909994422,1.0286672499548963,1.0813326230248939,1.3022444972927727,1.2961960408781417,0.9919251689058944,1.2930626358900341,1.283000812029151
Bulgarian,1.2817759508963755,1.2728129973510682,1.2951982261069572,1.2524933437145382,1.0817603086204737,0,1.2436722379832963,0.9404070015972646,1.0646964171863431,1.294136211144979,1.2385842958325581,1.284141223246629,1.2547261126162637,1.203961861460314,1.2715030423809799,1.2446603662431148,1.2801445001647138,1.3006324266379599,1.2546086363532998,1.313755524373457,1.1734686964605903,1.2683103217159797,1.2376012283758029,0.9278887245879116,1.2731498182246357,1.2720026670409128,1.3155016589943898,1.2630646829493424,1.2349964632818402,1.0992557051514538,1.206124321687658,1.2277971978221025,1.0706564437675765,0.9968581171546643,1.2351548071993794,1.0708705581425648,1.1283067268265696,1.1810189942885048,1.2416861627584068,1.0484035978868493,1.2150934355024186,1.2007512613088422
Catalan,1.3180948675579254,1.3087547100367185,1.3281728520357594,1.2870606465222323,1.3406869920112168,1.2436722379832963,0,1.2447149579719532,1.2983452486566969,1.3303225689757021,1.2820505278995609,1.2895417623094423,1.188863133327439,1.0486408273696497,1.3155402837662125,1.270416208310085,1.2974287459373923,1.324310343651635,1.2976261571052683,1.320280221460215,1.1178610499262922,1.3459916568744907,1.3118536272904961,1.265996619189506,1.2767683557056835,1.3176452182582796,1.277826878070995,1.3026178465418392,1.2965725029218644,1.2918344827553419,1.0795288043947557,1.1614391310533108,1.3094496704219316,1.282588583438205,1.2780108404948403,1.274335052124238,1.320166444312948,1.0098040535780464,1.2584338309210643,1.263662272572011,1.278507114191424,1.2862808342548366
Croatian,1.2691522708482463,1.232143594214716,1.2632745448515967,1.251671414500965,0.9135984468301086,0.9404070015972646,1.2447149579719532,0,1.034112145358838,1.279510879544017,1.24442888265366,1.290218211419938,1.2318983992554713,1.1961890174758893,1.2800990518428146,1.2363879634459796,1.2713143947953431,1.2979269815763503,1.2559017134115864,1.3023316763147086,1.1727876143713478,1.2337243562301985,1.1870325776350699,0.9681416848558039,1.251905211594528,1.2507115023189532,1.3053763752385847,1.2318341746088473,1.2065303662128195,1.056803013873002,1.2076432807479396,1.2094912840915049,1.055257209958616,0.8267957090983972,1.1882851517284965,1.018120108347819,1.0054277494257537,1.1808565272855387,1.235490526562378,1.0013628619204056,1.2178931276669085,1.2023959964699935
Czech,1.2754047879584978,1.3009796347269733,1.3188685974252568,1.2789521414003118,1.08164536322441,1.0646964171863431,1.2983452486566969,1.034112145358838,0,1.2896578630910054,1.26442791929971,1.302933480747009,1.2661490600123875,1.2474431251567482,1.30023389961768,1.3037441377508303,1.3204208997559739,1.3421576190982596,1.2670555763357394,1.35231065886442,1.2340283304482447,1.2163978664811375,1.2393069161889634,1.0843208203515697,1.3260968784480782,1.257354384563053,1.3111000008756022,1.2769127849275101,1.241772146448455,1.0327701868741346,1.246880189823555,1.2580087067172618,1.0449592942847676,1.0170121360838422,1.2880307748896977,0.8971902982981159,1.1432094152340357,1.2427752152228777,1.2633379378147533,1.0151768159706982,1.2498182216866065,1.2267064568051524
Danish,1.2310328864638622,1.3507655903219213,1.387508776638357,1.3541575335945344,1.3476455269159244,1.294136211144979,1.3303225689757021,1.279510879544017,1.2896578630910054,0,1.2031504331142844,1.190741953986114,1.2934946515075547,1.2824118094949204,1.1847654221221908,1.3530718880393786,1.3470831906594924,1.3633075896856954,1.1790199365284972,1.343461487894672,1.2868850280445776,1.3811294970461905,1.3888907262051056,1.311585215568247,1.330076981599061,1.2864696003910634,1.1024896471834047,1.3218011888600754,1.3139642999244237,1.3260644610745058,1.278616421236957,1.3046384543590976,1.323377462519472,1.3102229141882278,1.346769500737997,1.2895295205172794,1.3161736207187096,1.2795935320341163,1.1165392983261762,1.2889593360835847,1.2940931871352612,1.2627430372731667
