,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.7891406774545743,0.7106293794936203,0.810752868554855,0.7553777101004469,0.7870640644462364,0.7879761204336233,0.749050645839186,0.7969808823271389,0.6910714883836934,0.539260413741294,0.6740711223279364,0.7639972914305289,0.7303479726504831,0.7073891646071218,0.771002226002129,0.8126621947680372,0.8005491850436315,0.6717068667292837,0.7699790317005668,0.7620215021251742,0.8194590091682344,0.827237284602025,0.76116014799885,0.7937614184535473,0.731364023587317,0.7147267290201481,0.7296236775661449,0.7697631035537043,0.8114699099084626,0.7477055345938484,0.7739259436966169,0.7616165084081024,0.7487408071499634,0.7329396282045341,0.7763123970522658,0.7835199540195544,0.7547849215203346,0.6832725427385246,0.7480520778577278,0.7840781426103759,0.7315993560718742
Albanian,0.7891406774545743,0,0.7111465495093758,0.7851644820794325,0.7709701608293864,0.7932636583303936,0.8147525296943613,0.7362248284283356,0.8093163989872176,0.7885437778933533,0.7996610985167735,0.8141206010156506,0.7524005987120045,0.7141358671215194,0.8236162147049962,0.7541720288191073,0.8248311603254865,0.7943016790194046,0.7736708113250039,0.7960928274534804,0.7585301958895024,0.8345428658160553,0.8093684723171441,0.7577250485836231,0.7885002749232549,0.6964368414747258,0.8250682175528129,0.7197807822950831,0.7630531314101987,0.8272804748550402,0.7564689040201701,0.7506768257521744,0.7617226014420584,0.7590461076191053,0.6266878876923001,0.781104886801179,0.8138518010991815,0.7505701823485363,0.7753609309771335,0.7365281482253222,0.7531276124792693,0.7432779751111985
Armenian,0.7106293794936203,0.7111465495093758,0,0.7385319841235101,0.7038426352599714,0.7487698813100794,0.7536796619448919,0.6946135761772996,0.7630372845849376,0.7426578481497602,0.7303453418910449,0.730114483207531,0.7239380468186792,0.6924893013073871,0.7448019440401918,0.6900974697583342,0.7715472088967246,0.7528588088465051,0.6776772826804647,0.733834727259179,0.7119466015129469,0.7388360054015122,0.7263362899609126,0.7103047066278176,0.7480220991298471,0.6819966307973487,0.7546159723578977,0.6722679989134712,0.6842911773872079,0.7598560899473615,0.7129365780673899,0.7066521893049502,0.7121102528524381,0.7076275554511791,0.6499953660225202,0.7372084875368542,0.7597736189023672,0.7242437836328754,0.7110946976762028,0.69690898603574,0.7185047851458918,0.672224148173673
Bengali,0.810752868554855,0.7851644820794325,0.7385319841235101,0,0.7846111547711552,0.7903818615483885,0.7913393865774253,0.757245605719972,0.8191973973905776,0.8252442076245116,0.8008484342838764,0.7821037858081296,0.7880737430232746,0.7616136165220918,0.8342013281774394,0.7398195891096794,0.6706480805624415,0.6439603531952126,0.8041781626383534,0.8091605756303852,0.7538458893544273,0.8469350597704363,0.819361120084706,0.7688246940858966,0.6760507929839566,0.5917717351372314,0.8522191542959289,0.7480279837987257,0.7883759805623104,0.8034772689225153,0.7621061121111398,0.768528288534009,0.7912243026740153,0.7726764861283529,0.6922232315800122,0.7992984536867059,0.807460458778315,0.7376384215693129,0.7820354752782864,0.7640039730343807,0.6442689445146295,0.7558872012272676
Bosnian,0.7553777101004469,0.7709701608293864,0.7038426352599714,0.7846111547711552,0,0.6120469047022994,0.7926322479582054,0.46683450574877344,0.6386381717878228,0.7736407875314802,0.7615440917095229,0.7777967706655778,0.7561097489279243,0.7399505748208179,0.7922127105291996,0.7488272476640124,0.8133342721412217,0.7897545487018921,0.7346143107408665,0.8054745004697402,0.71185582711058,0.7247940600394446,0.7135411335001178,0.5141536119857758,0.7996671741558956,0.7249826862947767,0.7901142329856836,0.7536906599041252,0.7548173078499489,0.624593228097829,0.7345752393325057,0.7374196386797991,0.5587946804507423,0.38863699715465594,0.7221365183309058,0.5921078722678843,0.6146202867640255,0.7378808354076339,0.7566760592479115,0.5459756011028102,0.7598809533559516,0.7197973115691986
Bulgarian,0.7870640644462364,0.7932636583303936,0.7487698813100794,0.7903818615483885,0.6120469047022994,0,0.7788066582939309,0.5365216087002049,0.6486074085758197,0.7744638389864051,0.7693943785114395,0.7601609860462206,0.7601179827805125,0.7367031318161414,0.8163168607420657,0.7369808223504506,0.8193045401191756,0.7874059462090256,0.7742023005861782,0.8009994413952105,0.6915228489497778,0.8129022111946169,0.7809877481197901,0.5531270373493299,0.797617697899996,0.7446552364519603,0.8160373768999793,0.7669952464104964,0.7787022125120999,0.6895510160915673,0.7428123872481,0.7463931781855954,0.6411134003858563,0.5891573411884606,0.7286757437400545,0.6445986185940936,0.6627497925402026,0.7224819060613962,0.7765255342921817,0.6259143155338022,0.7524685748954018,0.6996879100641933
Catalan,0.7879761204336233,0.8147525296943613,0.7536796619448919,0.7913393865774253,0.7926322479582054,0.7788066582939309,0,0.7445174393731369,0.8238842060054388,0.8019439965311156,0.7746342245602909,0.7499779595313334,0.7117566971409955,0.6152028211468995,0.8272008138538665,0.7344933303581153,0.8005199445727584,0.7829037897832363,0.7889143264302979,0.7841481261239968,0.6423328224409187,0.8634987394804375,0.8299725259697971,0.7767584310951854,0.779932203138205,0.7528000415660474,0.8086860950131495,0.7764112721746272,0.8028693187872546,0.8168253142099487,0.6304337368484214,0.694835364250837,0.7986148898913126,0.7811844140464548,0.7541948071284238,0.794237233145915,0.7960064408929033,0.5854486102274424,0.7735944426034282,0.767068686597062,0.7767805432678523,0.7442102326753838
Croatian,0.749050645839186,0.7362248284283356,0.6946135761772996,0.757245605719972,0.46683450574877344,0.5365216087002049,0.7445174393731369,0,0.6047953936758487,0.7266183310113818,0.7448626261810326,0.7277174397546374,0.7143783966424146,0.6900283880615506,0.7810384788280508,0.7067674543750496,0.780457226037571,0.7568362785212986,0.7379771925125633,0.7661971146388169,0.6652591113249635,0.7706217899196014,0.7170941909342227,0.5488726953959828,0.7525310611904742,0.6933837797423559,0.7801545992812448,0.7076327830937288,0.7267063053035464,0.6471490226862432,0.7168942304281082,0.7048238789489869,0.6017704931601803,0.44265808437108073,0.6683698811528135,0.5857949731402372,0.5641763235904221,0.6919653566409576,0.7389866623728542,0.5645000362297395,0.7186077766185704,0.6664715440446747
Czech,0.7969808823271389,0.8093163989872176,0.7630372845849376,0.8191973973905776,0.6386381717878228,0.6486074085758197,0.8238842060054388,0.6047953936758487,0,0.7770204739355778,0.7991140637347122,0.7899379024607203,0.7721831871613892,0.7633216424165318,0.8379352956648762,0.7853957057542721,0.8559624710565481,0.8302966468235542,0.7828262377827526,0.8196730648413116,0.7470354023220284,0.7858144084004306,0.8036979259811904,0.6642605906647776,0.8370599897029866,0.7646284768589592,0.8208371866915731,0.7780947167324103,0.7894124553424727,0.6534346082289387,0.7740907193128279,0.7752639976127899,0.6270956879240562,0.6232101497551537,0.7474098214218888,0.5309954450705229,0.695231795196776,0.7617129613696655,0.7999105134543999,0.6114138978432542,0.7764391759661435,0.7332681960456408
Danish,0.6910714883836934,0.7885437778933533,0.7426578481497602,0.8252442076245116,0.7736407875314802,0.7744638389864051,0.8019439965311156,0.7266183310113818,0.7770204739355778,0,0.7045396415691064,0.681135777721277,0.7413077639574012,0.7348825803437236,0.7190140259572314,0.7629633748657472,0.8358425035905965,0.8079967484749486,0.6642944293790043,0.7688659756586759,0.7340925210451699,0.8429076135345979,0.8420101425214489,0.7759427673761777,0.8061351753812633,0.7215884272585271,0.6326192652269579,0.7446536976204647,0.7831498582104467,0.8194417876245934,0.7647627561685534,0.762960229700789,0.7708797551099891,0.7725662369232484,0.725459497220304,0.7715256139313045,0.7716604700087045,0.7590627979074562,0.6353101762763331,0.7503316133706478,0.7711459073058635,0.7039080910944087
Dutch,0.539260413741294,0.7996610985167735,0.7303453418910449,0.8008484342838764,0.7615440917095229,0.7693943785114395,0.7746342245602909,0.7448626261810326,0.7991140637347122,0.7045396415691064,0,0.6665622083240618,0.7643304891395795,0.7570252422761528,0.6436181390418757,0.7403301547785603,0.7997076708646307,0.7806973553890679,0.6994891383669448,0.7770894591907451,0.742845766485781,0.8139701681722384,0.8227682354188288,0.7618712438608128,0.7874279475137598,0.7370128160887759,0.714720287549768,0.7583214303428197,0.7736104310253593,0.8064062437946612,0.7372942916466246,0.7656098152611958,0.7741137326633634,0.7584091780070592,0.742137221126258,0.7857956250396124,0.7787784619790102,0.7344898033254597,0.6866060974908441,0.7607329355192058,0.7635527369608902,0.7229047891082842
English,0.6740711223279364,0.8141206010156506,0.730114483207531,0.7821037858081296,0.7777967706655778,0.7601609860462206,0.7499779595313334,0.7277174397546374,0.7899379024607203,0.681135777721277,0.6665622083240618,0,0.7545958664490913,0.7517407534522571,0.7235062932337022,0.7506319598998734,0.7834772314748314,0.7784162038439867,0.7215341568594018,0.7477291642965413,0.7236999998055309,0.8124912867024772,0.8179523012135967,0.7657449471101336,0.7702704048731803,0.725187072501358,0.7199865470278068,0.7630785107141155,0.7798552320784791,0.8003184626746134,0.7340324291312068,0.7612017078938901,0.7730789932790906,0.7604429853973655,0.75247273185926,0.774008619231505,0.7681925991914411,0.7322222805938213,0.7000543115654355,0.7572376498646514,0.7544004070828081,0.6876403090386799
French,0.7639972914305289,0.7524005987120045,0.7239380468186792,0.7880737430232746,0.7561097489279243,0.7601179827805125,0.7117566971409955,0.7143783966424146,0.7721831871613892,0.7413077639574012,0.7643304891395795,0.7545958664490913,0,0.6663566659112752,0.797550606152921,0.7339308730349117,0.8207576678833741,0.7932009736709087,0.7712196257793468,0.76476922028467,0.6579299985666861,0.8161019369387481,0.8138475815262919,0.7543732005663183,0.7781774315964329,0.7147824551688522,0.7899836062476027,0.7291657817455617,0.7686677962883018,0.8038797549080808,0.6836226582781395,0.7122514922946371,0.7598112486911534,0.7443351237382001,0.7063911466983167,0.7636185276998215,0.7703310579866962,0.6728580049071513,0.774328132554807,0.7312079789505052,0.7521984734960255,0.7074003250143124
Galician,0.7303479726504831,0.7141358671215194,0.6924893013073871,0.7616136165220918,0.7399505748208179,0.7367031318161414,0.6152028211468995,0.6900283880615506,0.7633216424165318,0.7348825803437236,0.7570252422761528,0.7517407534522571,0.6663566659112752,0,0.7926145231745676,0.7096777038119133,0.7865914901098363,0.7627999476838738,0.7140843576766874,0.7318046070266168,0.6177833007123263,0.8298764569140593,0.8017208884400191,0.7240630193365792,0.7528636884586795,0.6861263100839764,0.770576845462402,0.6966037464878173,0.7312867385028062,0.7979310266960171,0.5387066982175197,0.6637816274902315,0.7418084502842206,0.724128766294458,0.6495592555211812,0.7420158523068542,0.7665581330224287,0.475405482929451,0.7258930515441999,0.7087928595335281,0.7389903387375838,0.6983323973348694
German,0.7073891646071218,0.8236162147049962,0.7448019440401918,0.8342013281774394,0.7922127105291996,0.8163168607420657,0.8272008138538665,0.7810384788280508,0.8379352956648762,0.7190140259572314,0.6436181390418757,0.7235062932337022,0.797550606152921,0.7926145231745676,0,0.7698269395630175,0.8436896640671774,0.8203267553070754,0.7350915765316836,0.809455039351933,0.7613541908979505,0.8374831974844232,0.8315389245993016,0.8060437508968926,0.8311208241803346,0.7562527618995613,0.768729806210251,0.7953894478633885,0.7926033499330107,0.8441729379339189,0.7994486469851174,0.7869472476997476,0.8179743187267112,0.7938420738481778,0.7713471200626417,0.8198952820878083,0.8186627252985894,0.7854905365225202,0.7167961687679208,0.7976627490497379,0.798496160382408,0.7539016527422508
