,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.06216332125456184,0.06197427444292634,0.06263755760258133,0.06224785358551877,0.061864384070700995,0.06374089643332669,0.06196415373502118,0.06158459920398948,0.06388243233271138,0.06271273268259629,0.06235443875095565,0.06276752503830442,0.062196972905868626,0.06323512747127512,0.0631373581486422,0.06541246368530303,0.06456101149710165,0.0633348222887118,0.06276513504483927,0.06178569396288656,0.06356739775136852,0.06277764720200169,0.06210489357146166,0.06415747276594647,0.06271435536160508,0.0632739159752766,0.06386816878413613,0.06275021891971333,0.06410648757074795,0.06221104606158181,0.06251791354477006,0.06251710484799795,0.06165784433406472,0.05979572969013295,0.06259234563606149,0.06518620461084235,0.06099989292224078,0.06299915051652455,0.06188396792655346,0.061374446432581775,0.06137400648170095
Albanian,0.06216332125456184,0,0.06027493710645358,0.060603624483382544,0.06034951025123708,0.05966409086137323,0.0617084087695712,0.05973056756114367,0.05941549899877214,0.06169243330167267,0.061667112286402294,0.060452296649656685,0.060585140442383646,0.05973524752958488,0.06139832444930433,0.061179405528545124,0.0635760636041783,0.06286534069332374,0.061793636449008045,0.06058938388757466,0.06007009699906419,0.061682032237804475,0.06116254041740337,0.06005044382996469,0.06212056862077772,0.061024502714256364,0.060926805720885976,0.06210945262124845,0.06058266868694401,0.062340143808091567,0.059930994260328156,0.06041241978961473,0.06045079829748492,0.05958353391995585,0.057612460418924684,0.06032067952189773,0.0630215368456994,0.0586960297888204,0.06094698553635522,0.0597000795762263,0.05919701082916651,0.05970308641340941
Armenian,0.06197427444292634,0.06027493710645358,0,0.06059055830735742,0.06050371245272333,0.060260572823180765,0.06172154800809568,0.06022026479542513,0.05986984093664203,0.06207790958057622,0.0616919027300876,0.0607008471029436,0.06087974059265207,0.06026499273494385,0.06128633369045402,0.06090504248635401,0.0631849959403394,0.06236565353820095,0.061390208088210205,0.060879610548881496,0.05999154996371665,0.06140469377001004,0.060558337997988425,0.06023092974016264,0.0619494484991308,0.06069988094518538,0.061635739696393015,0.06186163776427527,0.06073056903117136,0.061976946359607724,0.060196746750491116,0.06071236062371606,0.06056996625638239,0.05996340609698754,0.058140008904314464,0.06066778519011754,0.062975886922539,0.05905043945209139,0.06114224160753961,0.06015787872708451,0.05966403213187988,0.05944304510903033
Bengali,0.06263755760258133,0.060603624483382544,0.06059055830735742,0,0.06032124082131105,0.059751696266590965,0.06182269946585372,0.059937736356661574,0.059858811163220074,0.06204107062330233,0.06192429228452236,0.060467232281678204,0.060708160402818054,0.06045641615212958,0.06155941075900295,0.06120970934182946,0.06347909447428011,0.06264107495054873,0.06219285369183898,0.06082625472317132,0.059965635364882176,0.06158283003585891,0.0610302777393977,0.060027583287072715,0.062159560138780066,0.06047280322336,0.061554744455402925,0.062408246345332624,0.061266665989382185,0.06232911023891428,0.06020826411145357,0.060714591741701934,0.060403061747880876,0.059658955898061666,0.058258185794045306,0.06076443635031377,0.06331160280322241,0.05891852145347344,0.061133272360271676,0.059841278794154525,0.059115266843679515,0.059574131532973085
Bosnian,0.06224785358551877,0.06034951025123708,0.06050371245272333,0.06032124082131105,0,0.059189605592275436,0.06145900563982082,0.059131960491183314,0.05941917344906263,0.06158275797372456,0.06150383105863729,0.05987629913296158,0.06062435733661909,0.06017282355453267,0.06118056549117604,0.0607858417544846,0.06315900466353373,0.062444080330165574,0.06171473838871428,0.06071736320415601,0.05952769935536296,0.06107954095753769,0.06055947089871675,0.05890343505944931,0.06196028131907713,0.060565193587472546,0.06100555975828963,0.06220441147778104,0.06088496584387575,0.06150058293231017,0.060058231549763336,0.06015356245885234,0.05935432875436774,0.05830449657220099,0.058277237786530094,0.06020880077181737,0.06232512836036166,0.05887346634081496,0.060735697231487744,0.058584379116094876,0.059086323467747184,0.05919379392366949
Bulgarian,0.061864384070700995,0.05966409086137323,0.060260572823180765,0.059751696266590965,0.059189605592275436,0,0.06093009460247476,0.0582630576442822,0.05859507153751635,0.06086676627731625,0.060958856384477,0.0590404156092161,0.0597848048312345,0.05964901009832714,0.060810433504761716,0.06033034377579001,0.0628944118857338,0.062022671962842335,0.06144908767523224,0.060056054684358456,0.05893976057738352,0.06069741246747519,0.06045287274437878,0.058863113635028295,0.061537815627247194,0.06015022299142622,0.06038534910913038,0.06176494003027299,0.060595712900631614,0.06134759021559472,0.059416843569467755,0.059489101080681596,0.05938200692645694,0.058406968709034904,0.05746028821448158,0.05960859420001012,0.06221302428184585,0.0581114532371871,0.060172880764211525,0.058560779182860616,0.05835556608635203,0.058608548924138165
Catalan,0.06374089643332669,0.0617084087695712,0.06172154800809568,0.06182269946585372,0.06145900563982082,0.06093009460247476,0,0.06117521519525391,0.06092094598434678,0.06326736900433055,0.06298896783812151,0.06165090112440495,0.061900720871152067,0.061356840342544496,0.06264768111892716,0.06223481349978523,0.0648891245944949,0.06414247115635191,0.06330542768856817,0.06195624370525079,0.06086621166001476,0.06274074938670146,0.06206389718202179,0.06133692044865022,0.06361915580042492,0.062042093166856445,0.06269676848488492,0.06361100657617769,0.062320876095021495,0.06342967972499186,0.06108459644079326,0.061616310375881396,0.061609508721468975,0.06088686969352729,0.05948079973841897,0.06182547313775066,0.0644788929516981,0.05971192944503971,0.06213520566804069,0.06103466534608595,0.06061358466875839,0.06070028582683015
Croatian,0.06196415373502118,0.05973056756114367,0.06022026479542513,0.059937736356661574,0.059131960491183314,0.0582630576442822,0.06117521519525391,0,0.05878470442838484,0.061133466636084606,0.06106914190286978,0.05937288984071574,0.05998864403228276,0.05976788490344193,0.06090131893194203,0.060451004257535364,0.06293108567638903,0.062184791179217644,0.06157663062096096,0.06026723056532885,0.059004565549738736,0.06088920345701492,0.0603849891620843,0.05894775982657068,0.0616703495293063,0.060225095244885826,0.060580514889677015,0.061946400324587717,0.060592177354296624,0.06132965763131963,0.05946729709365056,0.05981400937462272,0.05947497396632673,0.05838570992005381,0.05755030284512909,0.05974716843169481,0.06233386210814521,0.05830980462942582,0.060447219139688,0.05863052933271964,0.05863715606707267,0.05877463325311699
Czech,0.06158459920398948,0.05941549899877214,0.05986984093664203,0.059858811163220074,0.05941917344906263,0.05859507153751635,0.06092094598434678,0.05878470442838484,0,0.06100047641167061,0.060923928718855234,0.05963217835604135,0.059848118148385074,0.05933276747312855,0.06060702690547591,0.06040682424221989,0.06277956001719505,0.06203515276483979,0.06122834523473018,0.05989261862504544,0.05918850013049029,0.060856670761458224,0.060384337860149344,0.05920677344535678,0.06155283137906447,0.06013554747563165,0.060247105065347216,0.06147181622915471,0.06032233278546009,0.061255643566491595,0.05922206433415718,0.05960661031566802,0.05955894291135882,0.05867267753757543,0.05741649625451942,0.05943158569697554,0.0623666956752376,0.05808831301209705,0.060251264259121175,0.05889970423624579,0.05846414467273613,0.058938354430419816
Danish,0.06388243233271138,0.06169243330167267,0.06207790958057622,0.06204107062330233,0.06158275797372456,0.06086676627731625,0.06326736900433055,0.061133466636084606,0.06100047641167061,0,0.06321824731602066,0.061425547114075746,0.06214150052627441,0.06164819108976587,0.06291559541675074,0.06274856549827293,0.06523734536481143,0.06441682248559885,0.06335899932255491,0.06221669610859559,0.06122523839309613,0.06313723330477551,0.06251282130615494,0.0613658621763642,0.06383607777227548,0.06224396655441486,0.06225112829060508,0.06399921547383876,0.06248865103789279,0.06375453872442073,0.06163641442902043,0.061944136266819355,0.06181249344492154,0.060843946252137515,0.05934180542235249,0.06202706640555704,0.06463729777884017,0.06025141300036349,0.06230816053588784,0.061095053382919935,0.060641006816989425,0.060885106519082965
Dutch,0.06271273268259629,0.061667112286402294,0.0616919027300876,0.06192429228452236,0.06150383105863729,0.060958856384477,0.06298896783812151,0.06106914190286978,0.060923928718855234,0.06321824731602066,0,0.06155205303937581,0.06215320591808667,0.061780580949891306,0.062125999831291454,0.06232918814845076,0.06457941782469981,0.06379494630887729,0.06298653679674032,0.06218880408131473,0.06089423662088573,0.06285201741439896,0.0620071453129682,0.061425912684574584,0.06343629071181074,0.06197468725824726,0.06251790125005213,0.06359103460484945,0.062224416718768626,0.06321239963732324,0.06150849886040583,0.06167255665974352,0.06180745206093898,0.060944263751259,0.059553604731884716,0.0620804802657214,0.06445824936212749,0.06036066384178189,0.062164447493023474,0.061117052618732744,0.06076287448165594,0.06062606526658811
English,0.06235443875095565,0.060452296649656685,0.0607008471029436,0.060467232281678204,0.05987629913296158,0.0590404156092161,0.06165090112440495,0.05937288984071574,0.05963217835604135,0.061425547114075746,0.06155205303937581,0,0.06083504610081551,0.06042954847903689,0.0612795750484072,0.0609576188852228,0.06360073919786492,0.06267854952413722,0.0618530448864322,0.0609228927960122,0.05943552950163997,0.06128849421317554,0.060779557590586036,0.059815155754408274,0.062174486566893186,0.0607493338321654,0.06108706205868095,0.062471623226809735,0.061147466418032106,0.06198035208512389,0.06027649260287523,0.060089652203883855,0.060139210374371206,0.05928855100044405,0.05818980311240246,0.060487546543862326,0.06287763245180564,0.059056811902656214,0.060891579610891144,0.059399897324335836,0.059196714815945344,0.05904127440572244
French,0.06276752503830442,0.060585140442383646,0.06087974059265207,0.060708160402818054,0.06062435733661909,0.0597848048312345,0.061900720871152067,0.05998864403228276,0.059848118148385074,0.06214150052627441,0.06215320591808667,0.06083504610081551,0,0.060321061855862626,0.06164552483733134,0.061509656230462895,0.06400573984333946,0.06323178253448489,0.06240481128257223,0.06081126037643436,0.05997477507637923,0.06203619296146672,0.06141372456479804,0.06027493989487437,0.06253533631067403,0.06101957655499003,0.061468520474784634,0.06263983397022611,0.06147180116883739,0.06253231736821645,0.060002191871766704,0.06085250836343318,0.060687238322426736,0.05974171015555607,0.05822433407993861,0.06081790504975641,0.06361947048987027,0.05881141247486139,0.061328857460247015,0.06006609810047597,0.059395404080904345,0.05994539108927104
Galician,0.062196972905868626,0.05973524752958488,0.06026499273494385,0.06045641615212958,0.06017282355453267,0.05964901009832714,0.061356840342544496,0.05976788490344193,0.05933276747312855,0.06164819108976587,0.061780580949891306,0.06042954847903689,0.060321061855862626,0,0.06123299398288155,0.06119839196676608,0.06367309209477896,0.06303407978591181,0.0617878038285898,0.060224292217985226,0.0598165428238183,0.06180088218149147,0.06115737245448442,0.05985707380551013,0.0622479766851585,0.06098198685225104,0.06097848267350891,0.06202168358062162,0.060762938481370675,0.062425229520239066,0.059347718885739385,0.06044076296040971,0.0603333911869205,0.059342003000473105,0.057665996374390134,0.06031272226626624,0.06310554462903364,0.057875076949070986,0.06077631530667065,0.05963357511388057,0.059006315573809795,0.05966736133271627
German,0.06323512747127512,0.06139832444930433,0.06128633369045402,0.06155941075900295,0.06118056549117604,0.060810433504761716,0.06264768111892716,0.06090131893194203,0.06060702690547591,0.06291559541675074,0.062125999831291454,0.0612795750484072,0.06164552483733134,0.06123299398288155,0,0.06197446408393723,0.06439769722165037,0.06363432015557906,0.06280319527459022,0.06167200969323164,0.060610339993663435,0.06252178435491655,0.06177003338730153,0.06105208209067411,0.06311122343679561,0.06184354490907218,0.06221889146590674,0.06328289439789976,0.06205838614583546,0.06306063661745583,0.061020608378263196,0.06154204500589157,0.06147114255211713,0.060546166549543964,0.05916017858057851,0.061700951645436534,0.06421720577488213,0.0598950091696206,0.061857214477414386,0.06081209837393949,0.06032791013318429,0.06049269325998156
Greek,0.0631373581486422,0.061179405528545124,0.06090504248635401,0.06120970934182946,0.0607858417544846,0.06033034377579001,0.06223481349978523,0.060451004257535364,0.06040682424221989,0.06274856549827293,0.06232918814845076,0.0609576188852228,0.061509656230462895,0.06119839196676608,0.06197446408393723,0,0.06393559863439517,0.06317433498158528,0.06251594203780705,0.061682243948399815,0.0602312913912256,0.06208441378087963,0.06135358718678463,0.06073271202585651,0.06273396102744433,0.06124302360366606,0.06227227905111312,0.06301304181726126,0.06177994371907515,0.06271740613567306,0.06087087518656564,0.06108662677326427,0.061114818478687265,0.06028111123746282,0.058787482074674824,0.06146246002862206,0.06386630163330285,0.05957481101475487,0.061720454026359624,0.060319126931131256,0.059989287803641884,0.05983157535020865
Gujarati,0.06541246368530303,0.0635760636041783,0.0631849959403394,0.06347909447428011,0.06315900466353373,0.0628944118857338,0.0648891245944949,0.06293108567638903,0.06277956001719505,0.06523734536481143,0.06457941782469981,0.06360073919786492,0.06400573984333946,0.06367309209477896,0.06439769722165037,0.06393559863439517,0,0.06447766654648966,0.06480112707375793,0.0642140700667211,0.06258102088284398,0.06447848860741087,0.06343147844744501,0.06312531927886918,0.06398034087109301,0.06330408382118732,0.06481043230451661,0.0651446450294044,0.06402255609660451,0.06486498107241595,0.06345578821661073,0.0636904200804601,0.0634598117659654,0.06278418688599849,0.061102623861213394,0.06390685031178155,0.06623105715380014,0.06234543467792209,0.06425442983961152,0.06283137887373691,0.06233992835344544,0.062264339506601624
Hindi,0.06456101149710165,0.06286534069332374,0.06236565353820095,0.06264107495054873,0.062444080330165574,0.062022671962842335,0.06414247115635191,0.062184791179217644,0.06203515276483979,0.06441682248559885,0.06379494630887729,0.06267854952413722,0.06323178253448489,0.06303407978591181,0.06363432015557906,0.06317433498158528,0.06447766654648966,0,0.06401538010595713,0.06344182322417945,0.06181563935041411,0.063726628500803,0.06266598977746052,0.062361160240742376,0.06359412561597563,0.06237815977883663,0.06408544484603233,0.06435521725915258,0.0632365724258452,0.06400560039955012,0.062838595160311,0.06280074343939973,0.06276045457953743,0.0620050539070624,0.06037082156287293,0.06308058257899084,0.06546108471044242,0.061716739513187756,0.0634662175199187,0.06206122276709343,0.06150556409272325,0.0613885323300421
Icelandic,0.0633348222887118,0.061793636449008045,0.061390208088210205,0.06219285369183898,0.06171473838871428,0.06144908767523224,0.06330542768856817,0.06157663062096096,0.06122834523473018,0.06335899932255491,0.06298653679674032,0.0618530448864322,0.06240481128257223,0.0617878038285898,0.06280319527459022,0.06251594203780705,0.06480112707375793,0.06401538010595713,0,0.06241893176854107,0.06125884033536481,0.06300280051290429,0.062102017311820606,0.06160713511406123,0.06350070232461187,0.062135389207839335,0.0628533442864957,0.0633962108666986,0.06228852464225638,0.06346952291417549,0.061835124146435876,0.06202338139940312,0.062013420054971236,0.061226128192365364,0.059484136276294376,0.06220825787962145,0.06461138666013184,0.060584693346839746,0.06250130122535422,0.06140602439039749,0.060951577142301344,0.06077144051910598
Irish,0.06276513504483927,0.06058938388757466,0.060879610548881496,0.06082625472317132,0.06071736320415601,0.060056054684358456,0.06195624370525079,0.06026723056532885,0.05989261862504544,0.06221669610859559,0.06218880408131473,0.0609228927960122,0.06081126037643436,0.060224292217985226,0.06167200969323164,0.061682243948399815,0.0642140700667211,0.06344182322417945,0.06241893176854107,0,0.060345250104475764,0.06221286771889668,0.061664423753270865,0.06028250644393782,0.06261255523743327,0.06127042508834625,0.061519045002356804,0.06242599600869595,0.06151930390767549,0.0628967334857492,0.06009734350968678,0.06103457757415101,0.06086609615251491,0.059886089947048735,0.05826032732483497,0.060919957979423005,0.0636236010433643,0.05876405448873068,0.06129051059332236,0.06014917592228605,0.05946251116690299,0.06010012385967433
Italian,0.06178569396288656,0.06007009699906419,0.05999154996371665,0.059965635364882176,0.05952769935536296,0.05893976057738352,0.06086621166001476,0.059004565549738736,0.05918850013049029,0.06122523839309613,0.06089423662088573,0.05943552950163997,0.05997477507637923,0.0598165428238183,0.060610339993663435,0.0602312913912256,0.06258102088284398,0.06181563935041411,0.06125884033536481,0.060345250104475764,0,0.06085487687564848,0.06017095163445525,0.05939484103173624,0.06146517473638049,0.06003362281533882,0.06085158567396197,0.06172506078516657,0.06051183002914293,0.061253595198217214,0.059695761728964944,0.05965958006809029,0.059772478498725704,0.05896847626489149,0.05796193606164501,0.06012734612872219,0.06233664132985562,0.05851814682950675,0.06036869246143766,0.05908152537567,0.058904571981205196,0.058514600494943704
Latvian,0.06356739775136852,0.061682032237804475,0.06140469377001004,0.06158283003585891,0.06107954095753769,0.06069741246747519,0.06274074938670146,0.06088920345701492,0.060856670761458224,0.06313723330477551,0.06285201741439896,0.06128849421317554,0.06203619296146672,0.06180088218149147,0.06252178435491655,0.06208441378087963,0.06447848860741087,0.063726628500803,0.06300280051290429,0.06221286771889668,0.06085487687564848,0,0.06107906276703069,0.061012806832967455,0.06324521568867453,0.061650306805077125,0.06263066861971495,0.06338145404134825,0.06224645135152304,0.06284704721469714,0.06143306007799545,0.061554443331542925,0.061310114477681095,0.06066111420341188,0.059440852918800524,0.06168886298686362,0.0638933319554857,0.06025672420381814,0.06220694651887795,0.06083538428307996,0.06051284622843681,0.06029669496480072
Lithuanian,0.06277764720200169,0.06116254041740337,0.060558337997988425,0.0610302777393977,0.06055947089871675,0.06045287274437878,0.06206389718202179,0.0603849891620843,0.060384337860149344,0.06251282130615494,0.0620071453129682,0.060779557590586036,0.06141372456479804,0.06115737245448442,0.06177003338730153,0.06135358718678463,0.06343147844744501,0.06266598977746052,0.062102017311820606,0.061664423753270865,0.06017095163445525,0.06107906276703069,0,0.06049098394999504,0.06246486506229678,0.06079055550605171,0.06212422610910291,0.06256587261953836,0.06146666059068078,0.06188444967682333,0.06091280786186429,0.06090306671499326,0.06078379842899409,0.06025450831529433,0.05913322914366867,0.06125029279172284,0.06319831711745955,0.059795634951687236,0.06147033880740636,0.060333139841687,0.06012549282550938,0.059636975901783365
