,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.03528627964885659,0.03416046919934104,0.03941019499420881,0.035129550077059805,0.03615193769646392,0.03888602134225299,0.03475794746903232,0.03442820758954049,0.032288680611935815,0.029162426458447074,0.03232892252075736,0.03686608490688884,0.0352973082918493,0.036277607236201125,0.03893292689294472,0.04183567717745071,0.04044554924412838,0.031624054302321646,0.03677639447769432,0.03902937508481257,0.03750050782886707,0.03833247106951996,0.035804968961041087,0.03865117169521093,0.035010178988606915,0.0314810363517325,0.03706449032222867,0.03827914439848153,0.03989137460475027,0.036929166502624504,0.0373812553079217,0.03761050481240081,0.03590464162959835,0.03328750369362112,0.03596588648332517,0.037919697962939744,0.03717273370829658,0.032312784669399616,0.03530367224770881,0.03655746866370049,0.035827623533114854
Albanian,0.03528627964885659,0,0.03281732026672695,0.036929239649601805,0.034639994628320875,0.03476880778372415,0.039087500903369786,0.03380371136696084,0.03429212810821817,0.03558806027335971,0.036760787516186146,0.03646091231133424,0.034619024718354374,0.03428432967710993,0.03964077508857397,0.03740320374120976,0.041341527999903406,0.038342427032071115,0.03430114345096534,0.034075893966080247,0.036597690866947905,0.0394879628889777,0.03809139644278074,0.03517127731910093,0.03738078975444581,0.033005987344069926,0.03542334897034993,0.035825749930585044,0.03470119704815871,0.03856110205383799,0.03633603247325115,0.035484025825969275,0.03698304893734415,0.03457114170854415,0.031233803423702126,0.035475361307453324,0.03628444957313006,0.03412878031653062,0.034095170445470196,0.03285424217096712,0.03420651485496802,0.034254008135976344
Armenian,0.03416046919934104,0.03281732026672695,0,0.03758441445823802,0.033068445342086326,0.03435692006175242,0.038888271636083355,0.03361599705243896,0.03258240049518619,0.03629483543644902,0.03617469760625076,0.035699003097158184,0.036694062467934725,0.034269805151189464,0.03729746917104209,0.03504183559811864,0.038957546818907014,0.037637989192657484,0.03211845037293923,0.03453872368392662,0.03750232594763485,0.03553896751390373,0.03384991534096205,0.03393701137590433,0.03659488463778409,0.03479763003577427,0.03482950771464878,0.034272581073215354,0.03375123168201319,0.03885074757078737,0.036727278453838975,0.0350101386725205,0.03494237418196078,0.03394911936861727,0.032043362927356864,0.034284630113631774,0.03674043092946711,0.03608399148487201,0.032952335232167784,0.03314460211213003,0.03445859187476306,0.033827183364760455
Bengali,0.03941019499420881,0.036929239649601805,0.03758441445823802,0,0.03670277410627058,0.03611684908650613,0.040059038559899396,0.03588837965616053,0.036359253942291864,0.03967925488620294,0.039068941617372364,0.038951098025234006,0.03746957624908054,0.03798136403623076,0.04195209044922176,0.040106344879305415,0.036276842405724305,0.033365513214552535,0.03814481000891622,0.04028656080514134,0.03756990120271271,0.041203158344059125,0.04111361116838431,0.037026402219084716,0.03308057018212931,0.030219261675435826,0.039627128409722115,0.0383937545367475,0.03884408041306848,0.040041240221626605,0.03826246444317804,0.038354367373349456,0.039854332546078446,0.0374771700016174,0.033151802982192995,0.03858782762979196,0.03896630576351376,0.03639162458763968,0.037456267446518275,0.036531859569486826,0.032407392453655474,0.03732756993986089
Bosnian,0.035129550077059805,0.034639994628320875,0.033068445342086326,0.03670277410627058,0,0.029975487871168174,0.03677775741157008,0.026656838983822026,0.02926075761228831,0.03711689990198891,0.03768633062260185,0.03748970781146364,0.03577505596104032,0.035120825225638405,0.04126834370590365,0.03783251636360187,0.03952268168576178,0.03845473903757368,0.033373008592664136,0.03779211684758841,0.0359326896439923,0.034796205952818494,0.033588694525842046,0.026508467686613166,0.03751577585130141,0.034957004382775395,0.03484446870875825,0.036374404924093204,0.03493444645106836,0.03227917748115183,0.035465170565294364,0.03518885472866647,0.029465847207088464,0.022233022014874714,0.03321116050078774,0.029503039002120104,0.032778856195323676,0.035651635521472054,0.03396537203204431,0.028105626865414474,0.03549179332406462,0.03484189204419984
Bulgarian,0.03615193769646392,0.03476880778372415,0.03435692006175242,0.03611684908650613,0.029975487871168174,0,0.036169346786735834,0.02613682248266418,0.029221487530296825,0.034682883501699305,0.037084924870461305,0.03559549615510981,0.03456518869640855,0.0326641351657986,0.0400786249149614,0.03625963040059902,0.03950200504505226,0.037440793715652135,0.0358286835468039,0.034852497993662,0.033571208119155566,0.04017953644869967,0.03779339681622178,0.028102767104213017,0.03641422165406969,0.03286480771186856,0.036143629458218564,0.03599686863155176,0.03582435124976721,0.03603701119512213,0.035252520720249834,0.035027621884149165,0.033253102285612283,0.029775637622677806,0.03099599316702023,0.031000612387472048,0.031896594373792574,0.03129024199605387,0.03479624274360037,0.02998193252384303,0.03295619701684573,0.031185492029373284
Catalan,0.03888602134225299,0.039087500903369786,0.038888271636083355,0.040059038559899396,0.03677775741157008,0.036169346786735834,0,0.03353203782662844,0.035471188715759515,0.03949988750947047,0.03999629150259591,0.038415546499459406,0.03457901694973707,0.031453987659433476,0.043605992144173364,0.04019863617164929,0.043530117682917396,0.04183852315259286,0.039061006079838395,0.038159425426582856,0.032770385733666224,0.041058266239183724,0.03985183695162084,0.03685852730597052,0.039684543727918783,0.036331700753700624,0.03867631554948435,0.03900797837361753,0.03933559828494745,0.040860050628483614,0.03231606078381861,0.03448818230417213,0.03939704149646,0.03727678088485121,0.0350957245675984,0.036863602945114086,0.03865517945662763,0.029930807352111587,0.03781994349300231,0.036891146318159124,0.03793832086644575,0.035814084954750976
Croatian,0.03475794746903232,0.03380371136696084,0.03361599705243896,0.03588837965616053,0.026656838983822026,0.02613682248266418,0.03353203782662844,0,0.02763505621926693,0.03415048571903176,0.036201544285849846,0.034671871355031476,0.033681733500383386,0.031765257264718336,0.039614828642755576,0.03655933984860585,0.038625870703747636,0.03799643355045719,0.03457512567980575,0.03358592410109693,0.03257216459450696,0.03762102138892981,0.03639145587402591,0.02844858998367848,0.03592214660482604,0.03253741912279498,0.034136485936461965,0.03480358414762113,0.03459344928069137,0.03238316812644451,0.032510178866411686,0.03400933827885006,0.03143470712757169,0.02585912414800566,0.03020090436096727,0.027886443894584733,0.029674014427498438,0.03126121993070656,0.033479648426616285,0.02972110209723509,0.03246774069202711,0.031465003768857185
Czech,0.03442820758954049,0.03429212810821817,0.03258240049518619,0.036359253942291864,0.02926075761228831,0.029221487530296825,0.035471188715759515,0.02763505621926693,0,0.035662056077146634,0.036101767434053564,0.03643423692599349,0.03430101751210511,0.03281194764038322,0.03915280180112797,0.03641327679667692,0.03825664667967858,0.03730382026525675,0.03352994022070463,0.035552023316157366,0.03403726049995397,0.03518628689954851,0.03585561098287387,0.030193432907964043,0.03566581466879874,0.03283462314335852,0.034607757215539825,0.03507459174137953,0.03590302851852176,0.03222783827757593,0.03463302127730703,0.0340081190494678,0.031040693002729203,0.02888385333898165,0.03132293001321479,0.02501124746584671,0.03211131547568068,0.033410906222494846,0.03416542846254806,0.02907986558388134,0.03306916291787347,0.03303295245673277
Danish,0.032288680611935815,0.03558806027335971,0.03629483543644902,0.03967925488620294,0.03711689990198891,0.034682883501699305,0.03949988750947047,0.03415048571903176,0.035662056077146634,0,0.03529995242675404,0.03205863050279955,0.03703148625090205,0.03396761524794067,0.03456655302930171,0.039044122816045204,0.04416724745148843,0.040877976607821144,0.031212193618750526,0.03418227843834271,0.03697734755763459,0.04376536075008387,0.04211182901702919,0.03745802275750985,0.038805793609062306,0.034395862012833144,0.028405193882344245,0.03809560704820759,0.03686993736724371,0.04251323948554546,0.03741852513321931,0.03751903802571154,0.04073992570926477,0.036730801623752515,0.03238845477235383,0.03714511904525646,0.03851803571449153,0.034438668861726085,0.03074052401173181,0.03689041090996482,0.035802379996275405,0.03378555014700045
