,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,9.2575007427691,8.787644641456735,9.21734609768542,9.12631704886481,8.917875046254933,8.918034955370821,8.93176876520827,8.961660392906973,8.771771504319917,6.942328748636382,8.168508634168077,9.239900208789356,8.843048944291523,8.350712997817245,9.553234348940396,9.044759905866673,9.27449875043378,8.23507039329596,9.32174288560099,9.342139101680099,9.197736347666105,9.053753486350091,8.885572546299793,9.213925609608262,9.52669263720003,8.401626982684148,8.974822983215873,8.86984799152302,9.14103329150403,9.01145241396897,9.187640615414832,9.018457959185916,8.783911136443772,9.299258757181882,9.140064837287754,9.116574419461987,9.203697324229699,8.184267801189874,8.991074704200646,9.213249530478997,9.027588638487378
Albanian,9.2575007427691,0,8.875397936996135,9.16916919127325,9.403454960494429,9.300575284963195,9.234141440343059,9.17216887649267,9.401183366284567,9.796441015996074,9.364291491738426,9.38245139300417,9.440823514225121,8.914301671901278,9.440614704686812,9.586236110089104,9.153495084794365,9.270829102899636,9.246597529699352,9.643376137011137,9.514604668383479,9.454951770513645,9.055030132637123,9.087280501710229,9.182478045856714,9.434768493126969,9.50522653869795,9.07809075129306,8.981361419393222,9.369110819583405,9.297245781189153,9.243781333104328,9.250166077108553,9.077912972226246,8.628895765299756,9.361771108718559,9.535585137865052,9.354118425313315,9.177370262231044,9.12598317322781,9.19936144891111,9.326158308776554
Armenian,8.787644641456735,8.875397936996135,0,8.86608207139551,8.81651025883,8.870965180936842,8.862404864467228,8.743526877981894,8.950173577981932,9.447068926162206,8.881182795237747,8.814917236987707,9.15502193107033,8.845004039797795,8.942704608299982,9.046260150994557,8.938143993729451,9.085310942886586,8.483475405947202,9.227298973253598,9.097508178369347,8.621861779122433,8.42554058722186,8.723465416597637,9.008333812930875,9.384021457743556,8.959844697513912,8.755915774358757,8.402257050825227,8.884606358046835,8.92437686155827,8.916552862858964,8.839727348188198,8.655833786453536,8.790909029944396,9.003503853240012,9.07529117397625,9.124164732833682,8.710416392096905,8.811043017839443,8.922457939378054,8.777490386757236
Bengali,9.21734609768542,9.16916919127325,8.86608207139551,0,9.096438938754197,8.80524989219024,8.778264435126518,8.944804751581406,8.91693424934193,9.55425325855274,9.019600753810119,8.78638607700287,9.257202667547578,9.023107694207146,9.1004659211926,9.139044571784247,7.777205008788048,7.850887819682848,9.139263217778229,9.419160695924687,9.071101413277917,9.09821214003057,8.806559262837157,8.796942586551637,8.127700564281033,8.143390263116526,9.211116952858978,9.012970604905954,8.922991225859443,8.830589323361181,8.996572549769352,8.947951471055369,9.111053530058168,8.820450403536102,8.934907421338792,9.100717297023127,9.130555338301058,8.953610912229255,8.820221355242795,9.016064631991801,7.8675460737057135,9.034655006286306
Bosnian,9.12631704886481,9.403454960494429,8.81651025883,9.096438938754197,0,7.6710530315291985,9.065014495735538,6.674975900774737,7.844977739208575,9.490789498961629,8.969047914434391,9.029732281710311,9.356115225939178,9.147750242393434,9.12633761058061,9.447878685638974,9.130132727090947,9.224567959281098,8.92991520475743,9.765103075771336,8.915531824207012,8.372403156673464,8.231359108530285,6.947509556770704,9.285551326484978,9.472188103993515,9.101356939527564,9.394230312361346,8.978182049811549,7.704644043357762,8.993890769123684,8.928548253651224,7.355280821360863,5.8326283804392745,9.51225250694105,7.641692395456306,7.826152885625305,9.159357669444635,8.967404338642469,7.312027370730027,9.073098149210093,9.025938573738546
Bulgarian,8.917875046254933,9.300575284963195,8.870965180936842,8.80524989219024,7.6710530315291985,0,8.56818679333409,7.156507749101209,7.660805934807944,9.212907107047597,8.655461477068059,8.590452315128749,9.077897544057745,8.700290801178452,8.898697406098764,9.03963631875335,8.758277131069256,8.853393940719554,8.806780020914742,9.281155633957523,8.601424137245328,8.898493551651248,8.555306784870575,6.993304425938418,8.879632116790974,9.497747849136383,8.898304531699319,9.083597951714353,8.811819647930466,7.994672747385215,8.714558753165518,8.7776190872923,7.844014577015418,7.261595663911865,9.27904916289954,7.903704381454915,8.008006594647753,8.704841796888298,8.756603515371268,7.778446502144167,8.764349308693955,8.648493872690615
Catalan,8.918034955370821,9.234141440343059,8.862404864467228,8.778264435126518,9.065014495735538,8.56818679333409,0,8.669604818121236,8.830154372466783,9.203456502009633,8.690557989525399,8.442367482729384,8.445613929776922,7.636853844870935,8.896886564168948,8.928000305504254,8.610432100013323,8.699671354847363,8.889275363724828,9.035026985173864,8.07100670088077,9.115401760960534,8.767273436735087,8.695611821941295,8.694296750964849,9.463404706611076,8.638625446515503,9.127631234128364,8.885009948809568,8.855621302743943,7.785181962537572,8.218221600658628,9.044862051762758,8.718111002272206,9.223068525084578,8.911550094646651,8.897796083012029,7.4948773492021985,8.543983155676193,8.83151338721431,8.799700995936579,8.88739695702782
Croatian,8.93176876520827,9.17216887649267,8.743526877981894,8.944804751581406,6.674975900774737,7.156507749101209,8.669604818121236,0,7.6569792233945915,9.243636022924086,8.844992221468935,8.70632837388007,9.066996290608726,8.747480228547483,9.015836201968737,9.209976591667498,8.794732616733722,8.932060431424695,8.898234726985692,9.405532834777857,8.691811899929142,8.823385297586015,8.30911433898311,7.220737077398873,8.883549522382195,9.465794561090618,8.97123995635484,9.032485446151474,8.73085975787983,7.827844215384566,8.916269892095427,8.770093163058396,7.758730181367222,6.30161421292221,9.15047817532486,7.652982111643359,7.438300199605855,8.86175094593516,8.809661942492172,7.557603982659945,8.860208605717235,8.76628729377904
Czech,8.961660392906973,9.401183366284567,8.950173577981932,8.91693424934193,7.844977739208575,7.660805934807944,8.830154372466783,7.6569792233945915,0,9.141604819467569,8.798176505281685,8.69000431574037,9.098958770562154,8.920574992059265,8.979542067184543,9.368457236986568,8.964821100893142,9.081838197204458,8.845165634857498,9.472892566956558,8.853948867478785,8.604062076254984,8.621242745099275,7.843517762606304,9.147742877984792,9.396300745456234,8.925252241272174,9.133540722621538,8.806526517687711,7.585963893450579,8.963910844047062,8.92395930339368,7.69737568286353,7.460182977327275,9.421275053798318,6.953029853408607,8.144721076904824,9.005294613112701,8.843269968902039,7.61874200391836,8.857536837596781,8.731386834034232
Danish,8.771771504319917,9.796441015996074,9.447068926162206,9.55425325855274,9.490789498961629,9.212907107047597,9.203456502009633,9.243636022924086,9.141604819467569,0,8.660084045374123,8.408816853575457,9.410665903866343,9.29428157521265,8.614906447755311,9.84704722609911,9.260324058477313,9.43241645192616,8.575575145833762,9.576321549325913,9.402794807017973,9.658746973364096,9.409760897164489,9.33546852455935,9.394799479741376,9.656952831820966,7.96522625549938,9.517079478425112,9.411109103019324,9.405142130652802,9.417530599929592,9.358811767898501,9.46682657607799,9.280773785623763,9.838679621961438,9.394723777437433,9.240324686636313,9.540055130692714,8.115874794698314,9.34277871682961,9.361412517408239,9.162252767683219
