,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,25.95194901151237,26.670933465521244,29.290957847968123,28.42323787031899,27.285179190780035,29.143294966408533,27.937475342797892,29.11319896664343,28.339403243862215,24.013331066226783,26.469576423426112,28.20647616361215,26.239882207213437,26.192936829400477,29.551443379706743,29.76674746666195,30.74996059625854,24.494066189488287,28.270670671916456,28.46743202947786,31.073304651473208,29.78582603042316,27.552837231460806,29.661164590713465,27.922016935471856,25.96087904829821,26.557029613992952,26.58859774925342,30.14999669859289,28.322251116170488,28.856556360824317,27.735022355604464,27.75693912817734,26.130760043951412,29.01000309689637,29.97107147169123,27.900347826401376,25.609960207035147,27.6470131781071,29.022704005032853,27.699807518372108
Albanian,25.95194901151237,0,26.104599388573316,28.59203041910702,29.10084341716543,28.1191989040427,28.93111878110518,28.627059436319183,29.731289729191644,31.637013633733627,29.419890094760806,30.387771532266786,28.746644286555764,26.049651759009468,29.615192123538655,29.19035548965067,29.769266468139424,30.476103270725606,27.414621368866342,27.98522729576199,28.900836153479492,31.41669091612606,29.7883171900589,28.16178393620472,28.96133492711085,27.85018923620683,29.72120670377307,26.13515531537214,26.11516649936823,30.52505836423372,28.78465184386494,29.641608419852346,28.323276907963656,28.4835754400408,23.569667412935893,29.053625689707477,30.63950328569766,28.092192514778375,28.321092194491364,28.01572623430151,28.547205022101746,28.489160409359805
Armenian,26.670933465521244,26.104599388573316,0,29.808998023095857,27.154676291505773,29.048890130962445,30.639847395812914,28.68682119195877,30.418565300706952,32.559217197494775,30.447273904823177,30.839747257664335,29.399975541656215,28.24099830704811,29.763745755081654,28.485484543007356,31.309535364515607,31.024301743901578,26.49687409410745,29.198866237867158,28.47559665714359,29.693023094494578,29.030437725856938,29.051782625183343,30.570555135657838,28.46330940190192,29.89187865473894,27.142444237390716,26.4899046480239,30.62574868135523,29.850367830900506,29.630244040797223,28.491722977711863,28.48385339015338,25.44517250311237,29.976816990271004,30.859288410834125,29.531924848430613,29.076784942085936,28.49767306266231,29.77691888590726,28.24179417173503
Bengali,29.290957847968123,28.59203041910702,29.808998023095857,0,28.94036497886172,26.171390633548054,27.46332093354208,26.980958500508738,28.20988396465754,28.890924355903188,28.111075665806844,27.347256916673686,28.086935793187404,27.234346423788505,27.3019958133783,28.372699030412768,24.449343169599377,25.190599903704314,27.67696060860719,28.827459802868653,26.595852004198324,30.05597063113677,28.950203247075255,25.90476174137759,24.980830535580058,25.77417510631427,30.22260171451493,27.234619473247363,27.50189961875114,27.848282870202432,27.537419661182028,27.34599493963185,27.50418090322511,26.96483532495596,26.952382720691762,27.864192830316,29.37113801059227,26.78333622422169,26.873028711304585,26.541968183126336,23.72592827840913,26.1422252638302
Bosnian,28.42323787031899,29.10084341716543,27.154676291505773,28.94036497886172,0,25.904966029404587,30.837233307665333,22.97413612436469,26.755650155650223,29.997235552493343,30.259120219807507,29.940245963004205,28.709817315848614,29.871893619192004,29.102693957937337,29.76457599706276,30.953641418850808,29.766076128626253,28.53889244124131,32.09299276773977,27.07098103267704,28.203225541192822,28.323134982749416,23.97185693171161,31.008410883835776,25.588559712708346,29.00283256815222,29.812456156498072,29.228580965488067,25.61121484024792,29.083478860683456,27.854135096840462,23.936139918428772,20.08390217703439,28.650815603442673,24.555736812508574,25.481261279820572,29.32930371262553,29.198229860402826,24.150782680231163,28.574704092906472,27.736406529004483
Bulgarian,27.285179190780035,28.1191989040427,29.048890130962445,26.171390633548054,25.904966029404587,0,25.892107759036552,21.1363251771513,24.23261064544281,27.26110835157749,26.206158385782985,25.50059885267346,26.95146688254056,25.050649434588426,26.29628636186766,27.69187729843621,26.796711632245405,27.597954261008162,25.751784773816762,27.349323441210483,25.372351775905877,29.944613917624594,27.54959387677501,19.775901526938355,26.2114935199918,29.31809682167834,28.929046551640372,26.37629223921263,26.54137211314447,25.03320872677772,26.248737770405953,26.800036781049002,23.203213674984156,22.04315158521304,27.097135100377557,23.963095975024284,25.77479077852886,25.00572465113137,25.87846142936327,22.37829449013837,25.576855789830297,24.316838443971665
Catalan,29.143294966408533,28.93111878110518,30.639847395812914,27.46332093354208,30.837233307665333,25.892107759036552,0,26.104991226061788,29.05337380435891,27.613217202655445,27.2519637291139,26.695439920462864,25.442332851513243,23.28289898755483,27.489759299542698,27.8796523573813,27.445752395075495,28.507570510546454,27.674880189261494,27.907007659704455,24.40429285208236,31.774506548254553,29.130984805792142,26.211862015183094,26.78414841883322,30.508495129566647,28.396859577384262,28.260745227528506,28.434114465772474,28.65445564009231,23.972938573935792,25.536946161171162,28.12457211391156,27.521498450869732,28.40788153074238,27.687387680652858,28.596556635100193,21.68912535497403,26.488141530062865,26.915035621709485,27.158171075087115,26.222493267856873
Croatian,27.937475342797892,28.627059436319183,28.68682119195877,26.980958500508738,22.97413612436469,21.1363251771513,26.104991226061788,0,24.07025834701678,27.61919913708795,26.990607255289184,27.28140606947645,26.83554960884815,26.325877338810127,26.799675991541264,27.309248185211388,27.516276303311024,27.82214361194696,26.596794157153113,28.3036432892778,25.66605343063197,29.852930451553064,27.52453881488064,21.328090093935117,26.872752998697944,29.431797739791655,28.89166155637646,27.287574297332057,26.832492248644744,24.063243374754162,26.40259327479047,26.545973546798482,23.573246201190354,19.63394183819576,27.123510526326825,22.678157154479322,23.030840573699187,25.624959418021845,26.38585941986012,22.28419566669123,26.244085732647154,25.388040378031285
Czech,29.11319896664343,29.731289729191644,30.418565300706952,28.20988396465754,26.755650155650223,24.23261064544281,29.05337380435891,24.07025834701678,0,28.014116636660535,27.398142401817605,27.94425251829381,28.199248158770995,28.161212101086317,27.320757455582275,29.423958972003767,29.527070243272203,29.764579624190336,27.680712330232225,30.159270298400187,26.883734122731415,30.235716642392234,29.24275144249775,24.2159203134706,29.52353091853894,28.728566409366607,30.39855374681518,28.22385491090583,28.086210475851367,25.04957725696083,27.673042121988036,28.31439302622645,24.489658051043055,23.582133888819595,29.38774456044702,22.040835173394676,26.08285877380652,27.64339393326935,27.58367159445798,23.444400314024584,27.721902243660733,26.33849643209928
Danish,28.339403243862215,31.637013633733627,32.559217197494775,28.890924355903188,29.997235552493343,27.26110835157749,27.613217202655445,27.61919913708795,28.014116636660535,0,25.668904553804143,24.980765884266553,27.474135294748823,28.260095125389416,24.53174113497376,29.215844381373174,28.65394244818496,28.896877389457988,26.063136265626817,29.42660970676951,26.532184021239754,32.73581988611992,31.147583585873072,27.72248994355501,28.488730804690057,29.010707574109098,25.146345235831827,29.503219121317354,29.93054385146871,28.71420140520276,27.372307751957464,27.36762812653001,28.599471663986407,28.688324317977894,30.9442037196726,27.43682947614676,28.541140857278698,27.156328090435252,24.416328924431316,27.383748931373752,28.034686540646224,25.975691630178602
