,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,1.5842575720274081,1.4445218212548787,1.70410649327696,1.552438851416061,1.6289064536675095,1.6926571764834446,1.5877140077630782,1.6555364753610826,1.507472727160873,1.2075851102229358,1.4597601546945642,1.5675775194251356,1.5162111212129392,1.4847186946223656,1.5688727436883665,1.7560721789726532,1.7198935674377533,1.3843150909665904,1.577265659015008,1.5123282804114038,1.6698319939756934,1.7927151101134104,1.5653673050460342,1.6926714354159833,1.463641572205612,1.5390031483990914,1.4771773436319473,1.5404644204365114,1.6461990493143681,1.5365019079846403,1.5855624053847177,1.5542514511300056,1.557816371384364,1.4493493628641863,1.6000621542557898,1.6123081459541557,1.511270588615153,1.4934032794043701,1.547454364676267,1.6048142920109498,1.4773934846659116
Albanian,1.5842575720274081,0,1.4718468431145364,1.6582535001667824,1.6071341540252455,1.6102393298240183,1.6854829059094556,1.5368781403823197,1.660996744153186,1.6774622677061086,1.594367951368307,1.6824736461592993,1.542254793151726,1.490584320124688,1.670857556726888,1.5068053240821215,1.7600252580091293,1.7313744130538298,1.585510594428007,1.609103821329327,1.498611189091016,1.7106841131002413,1.7728609437603011,1.5700417001067424,1.6649459486093194,1.4551342593694416,1.7179230156292293,1.48266542026752,1.5240552247102082,1.6502310477175972,1.5114547147574433,1.561446387262869,1.5758783913642036,1.5763290711729185,1.2957989624799942,1.6055746110416442,1.6458040963879792,1.4653989611666125,1.6245401991979165,1.531200122149685,1.556180245385183,1.5152613475776626
Armenian,1.4445218212548787,1.4718468431145364,0,1.5793327581045347,1.4433638736193195,1.554999631862531,1.6024762324433466,1.4864139332283457,1.6047205581309747,1.595056198780418,1.5180210645384993,1.5645973304087826,1.4916149838862531,1.469783879846768,1.5424348830338472,1.4037820561088123,1.6840245038713033,1.6340804949359287,1.3839422601895925,1.5106920435815936,1.4266716038601561,1.527235831522443,1.6204564718396552,1.492958682890001,1.6074150028657983,1.4305052088756576,1.5653901182542163,1.4012576493078164,1.4195055033401265,1.5587936226351016,1.4807945745614457,1.4716630475509511,1.469251530691148,1.4738383834430657,1.3258388098061036,1.53052270207504,1.5621165768566474,1.4582949774174052,1.5314303990489755,1.4586654584895908,1.5092135335796137,1.4020358669010842
Bengali,1.70410649327696,1.6582535001667824,1.5793327581045347,0,1.595483281615602,1.59824515485153,1.64483363312771,1.5549019852647417,1.665980018880546,1.6626027895000266,1.6316874814657933,1.618217306110358,1.610848859659361,1.596635726632043,1.6751614070530645,1.5165954568689073,1.4747878509957704,1.4366417407861478,1.6505313095362133,1.685698875626047,1.4873892264982271,1.718406612891935,1.7868728263442977,1.5567414185599762,1.463764736598396,1.2494486870114367,1.758433950491154,1.555983677842681,1.6197672105958487,1.60835363837133,1.563175421567977,1.5582588514034517,1.598887847230934,1.570346904352106,1.4642611997585886,1.6000036665150488,1.614000034795907,1.489197569314613,1.6144189857861675,1.5331039968004259,1.3438935701944736,1.5038612111714955
Bosnian,1.552438851416061,1.6071341540252455,1.4433638736193195,1.595483281615602,0,1.3110440222874424,1.6480724198496797,1.0993408318782179,1.3515089574714654,1.5521502432664023,1.550095876457594,1.5867295863373851,1.4918756957651824,1.5692446195482301,1.5676760166443828,1.4798437772225623,1.699754284190022,1.6356703977143328,1.507110393727242,1.6500200132390006,1.391353209592912,1.452976999483045,1.5424347575700255,1.137421487563141,1.6603712933347794,1.36805596467926,1.574583617990159,1.549694521597431,1.5560371302039442,1.2757121899999548,1.4852171487134842,1.460074533760739,1.1754812381088713,0.9031242099274099,1.4744248317535935,1.2337165555552565,1.266625509545867,1.4757259864146712,1.5612436335669593,1.1580177417142452,1.5153336695456836,1.4298457421913235
Bulgarian,1.6289064536675095,1.6102393298240183,1.554999631862531,1.59824515485153,1.3110440222874424,0,1.5666881488927127,1.0815888770558995,1.3163086665519907,1.5026928304596827,1.4948303703449244,1.5095309903557375,1.469678998561889,1.510566144280975,1.5860564136119903,1.4218445257827805,1.68280294282273,1.6241279144980971,1.5516056177966018,1.5968005598605879,1.331107059621697,1.64463832836616,1.6675799113539922,1.1492861527474396,1.6193553357367099,1.4662908146757965,1.6461502797944119,1.528031605183347,1.5626947447841,1.350277317835551,1.429537063191651,1.46415153071496,1.3142846189503765,1.2272221379891566,1.4518242735086992,1.2937630560632525,1.3673486045324466,1.366721721423425,1.5405879555407689,1.2456469257600566,1.4679098350371365,1.3438373823981165
Catalan,1.6926571764834446,1.6854829059094556,1.6024762324433466,1.64483363312771,1.6480724198496797,1.5666881488927127,0,1.5183574651346536,1.6628828982846233,1.6066788743824307,1.5732416269184641,1.569137250135941,1.4443519318814917,1.3404464784957255,1.6646258264965275,1.5019178481386046,1.7141533890241256,1.6928979302891518,1.6302095451008822,1.625609781995189,1.3137522954097438,1.7582213934251854,1.7710614926191284,1.566474573775706,1.6374612671213766,1.5348376978358265,1.658126017126274,1.5993812121928817,1.649992415719234,1.6219617235625912,1.3126595072496359,1.4152566622496174,1.6129897902434729,1.5949553421297198,1.549995484122008,1.5781380109884977,1.616522328960908,1.2082639446615568,1.591385638908752,1.5398900497398664,1.5790209084694917,1.4820560020052014
Croatian,1.5877140077630782,1.5368781403823197,1.4864139332283457,1.5549019852647417,1.0993408318782179,1.0815888770558995,1.5183574651346536,0,1.215401363302305,1.4248284833335352,1.469233282061957,1.4834348791719834,1.3896684495717564,1.4537665659452903,1.5448205967671662,1.360910405276525,1.6415873220308015,1.5925238276555251,1.5139651486776802,1.5470290782967988,1.3052458466754306,1.5994333937125955,1.595457299593099,1.1717413430786445,1.5514555911538408,1.4101605493287233,1.5700260293625785,1.4559083565982829,1.4930060774097895,1.2924469065244653,1.3900864154443306,1.3989884937128352,1.2789030247368482,1.0117194033788022,1.3740534468513907,1.194650141673903,1.185498303092654,1.3194494516362711,1.4836466163295332,1.1583538644615092,1.4309979565996302,1.323665979990938
Czech,1.6555364753610826,1.660996744153186,1.6047205581309747,1.665980018880546,1.3515089574714654,1.3163086665519907,1.6628828982846233,1.215401363302305,0,1.5141469602522415,1.550952136676027,1.5801227359253938,1.4877230085322755,1.5801471480934062,1.6396695637328798,1.5142223292523078,1.7566950346017485,1.711675987599916,1.6006042146229975,1.6585303149798765,1.4455751192659234,1.62724409287869,1.7370472248792992,1.3609616947713103,1.7064081008909973,1.487455058254793,1.656347927902094,1.5598875265006449,1.592147346606909,1.3165633942894603,1.4804973110238582,1.5276918253677854,1.310859769912509,1.2888917359626895,1.535370587502989,1.110263575965388,1.3996068927485221,1.4503782703422075,1.5991572241463812,1.2374537649905943,1.5341151435737332,1.4252626483776674
Danish,1.507472727160873,1.6774622677061086,1.595056198780418,1.6626027895000266,1.5521502432664023,1.5026928304596827,1.6066788743824307,1.4248284833335352,1.5141469602522415,0,1.390548034239417,1.361137670044629,1.4411355239194044,1.5359156575958608,1.414076759165843,1.450188788649698,1.7185830580006318,1.6430279708494704,1.4029852383915138,1.5665345646581135,1.3966478024336504,1.7260949641835033,1.8136660083176428,1.5443332688458022,1.6353694089861552,1.4054539330229188,1.328595732755755,1.5267280420606701,1.6091574432435598,1.5698145766188554,1.456505875296723,1.4715996023795852,1.5438600700164324,1.5433654941565085,1.5244386671062227,1.478053730150047,1.517550323985742,1.4122496874230188,1.3336688016502467,1.4719680734852187,1.5019802288990256,1.3526979639209002
