,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,25.705444447253917,24.25399481354255,26.925480667669422,25.25602517486756,26.649164716944924,26.735573494561905,26.44041503717881,27.923679560925653,24.627513326155743,18.641920400293106,23.270916776779263,26.575682467031886,24.157468081411054,23.993243734004462,27.407740278932202,27.46984811054132,28.168500693742747,22.289388280354917,25.636172571019067,26.86369983164202,26.893240956561687,27.32108578816975,25.38680466897968,26.732566120924794,24.956112773107144,23.855347076180884,24.422508290820332,25.3074869687736,27.427403335846563,25.565654760744966,26.925807351014484,25.59102103425756,25.26348419051637,24.28276728802275,26.387797432222797,26.95384198430079,26.13336890374317,23.037319002451458,25.476909905740825,26.517569152951086,25.91189306901124
Albanian,25.705444447253917,0,24.60961844747152,26.077146169763193,26.0193359309087,26.90913148891764,27.69561110291242,26.00423606910247,28.198666179684817,27.895774180575167,27.03909334380454,28.331777211027088,26.235172915635772,23.63299021498242,27.669327543252027,26.939706506613867,27.979112173742404,28.460043225972356,25.692047251789656,26.68559487050621,26.86251160151621,27.493617739587766,26.766298346252512,25.461538094892827,26.793422850093943,23.800283802974224,27.13062127824234,24.426754534388632,24.96242663858831,27.988991052526774,25.549046108394467,26.449513199785372,25.859251178612535,25.682672094789037,20.815889705896897,26.540740731003787,28.0720461500077,25.851137513943,25.97350263168278,25.2799587893439,25.455452741295037,26.507702951214586
Armenian,24.25399481354255,24.60961844747152,0,25.422003292842895,24.02470169300051,25.942849516601946,26.263807258051383,24.755181893346567,26.989320163448365,26.541534194370918,25.387860873537978,25.79275833014522,25.521291029170296,24.006613177849896,25.59416850108155,24.71713238690612,26.90045831619694,27.100093261416163,22.91722957583541,25.632174616236522,25.222094341022146,25.22612538216042,24.718645077619957,24.269839760806352,26.156218861007886,23.93212819338945,25.473343343831097,23.423317404029227,23.570083118544062,26.152932348804317,24.94411940438766,24.747032006649583,24.50233714998135,24.288988234271837,22.50886108777735,25.510002974244806,26.557482386544013,25.589926679263783,24.268763096558256,24.131164594220774,24.936042591733948,24.03198770985898
Bengali,26.925480667669422,26.077146169763193,25.422003292842895,0,26.392959028758895,26.68513287492787,26.88013623460648,26.476259469964223,28.376970563733412,28.695792929762998,27.079975624111004,26.95978160708146,27.307747463764002,25.64416857624304,28.097716732543123,26.194395968814096,22.697450280229308,22.878915474952827,26.873123511401868,27.320638479494033,26.391256013129837,28.03392103924404,27.232384069074577,25.87926169450327,22.93306236678114,20.15534163902339,28.43139660888799,25.365453370793475,26.300164617042036,27.12260024514501,25.904523853846214,26.633780734463933,26.79240212471951,26.07955804954867,23.478399098554238,27.093882929515875,27.6200087148036,25.412061799144123,26.24536712776688,26.005891352534423,21.77027432765872,26.430382029939395
Bosnian,25.25602517486756,26.0193359309087,24.02470169300051,26.392959028758895,0,20.85031798908424,27.089760440939518,16.921969033922068,22.805303450476533,27.17341634069653,26.046789739414017,26.897218833735412,26.226262082440293,25.083832452052764,26.931532774861417,26.522882265883908,27.82287247386515,27.81242208335939,24.721419874730515,27.434549345304635,24.972318152219387,24.62855938797143,24.054314948335797,17.38524119175144,27.30829272771857,24.7687876821655,26.476472295663044,25.6562061529533,25.46036387026479,21.430771342128157,25.263903017815338,25.640906677749747,19.229670809500863,13.410172933905999,24.37863085500725,20.430001054555508,21.369317133074983,25.536154826205845,25.497446018948697,18.822401481485855,25.804204259340114,25.368990833293452
Bulgarian,26.649164716944924,26.90913148891764,25.942849516601946,26.68513287492787,20.85031798908424,0,26.591594752524927,18.693454453500046,22.80320863058898,26.92750440809436,26.193583018525977,26.217385131122057,26.35394366947694,25.292727009941057,27.837472955862722,25.90369026060163,28.152873904167986,27.846061182088288,26.272792188441667,27.44119425405103,24.146990025597702,27.562243698300936,26.291864021698146,18.79758815875378,27.47927523009775,25.572613040484168,27.351262761950274,26.251457430454156,26.535849686680134,23.5274407412692,25.462813795725864,26.039646731458777,22.01330557837394,20.110194489447025,24.961602601118855,21.93904816713442,22.800226050950585,24.978409288054255,26.054437766550347,21.48897840980382,25.673654300112272,24.385602347102484
Catalan,26.735573494561905,27.69561110291242,26.263807258051383,26.88013623460648,27.089760440939518,26.591594752524927,0,26.14614351943354,28.78519227660173,28.148720489418725,26.52511738529257,26.166084889993307,24.927239021205537,21.392389824404002,28.32785013444081,26.369195957706726,27.49061214966845,27.884564353275504,26.89455600510909,26.95281590356423,22.637048532886887,29.376177414425737,27.96893944447163,26.435598052822424,26.83147084300533,26.147178756986797,27.480370053614838,26.840692650925202,27.319374035933844,27.872661353661083,21.772669587344197,24.26894407325696,27.48080337000876,26.75303577391814,26.117247716702835,27.154088056263248,27.44702221303831,20.581426238650078,26.264477178753822,26.47718052386257,26.766417182943933,26.094732164546222
Croatian,26.44041503717881,26.00423606910247,24.755181893346567,26.476259469964223,16.921969033922068,18.693454453500046,26.14614351943354,0,21.331549922731163,25.887050289230256,26.16605514248213,26.162256896835526,25.522857193742052,24.772606902858854,27.37507395601298,25.601260818041997,27.84075912975072,27.73166180457253,25.754639889915765,27.25391733249125,23.9509966356259,27.538921324884164,25.062726639249675,19.31284886843562,26.864363901932084,24.715910045438026,26.81860867127717,25.23605212342795,25.64458950557809,22.855191591228103,25.28392451545634,25.35227059153552,21.65473330337692,15.981808809649946,23.847441524337185,20.41226972331759,19.967093129539993,24.769121249782806,25.543414438025653,20.006996046877063,25.457090949577506,24.018387566387506
Czech,27.923679560925653,28.198666179684817,26.989320163448365,28.376970563733412,22.805303450476533,22.80320863058898,28.78519227660173,21.331549922731163,0,27.326628706817502,27.72750200941938,28.333061523573214,27.20625742537645,27.1959607614437,29.252752545295905,28.247416458436327,30.15730297571413,30.188292572280126,27.372711722416188,28.71492009187799,26.907378154475023,28.05704253486924,28.078430829391667,23.325261557951585,29.61122826845674,26.84261010428253,28.082267990544704,27.41980119779768,27.680882338463803,23.125993173203213,26.928245039099206,27.73560302696973,22.512157120786675,22.1450702562302,26.415265256534518,18.38228973932936,24.441365962996496,26.95765099420596,27.666236087661783,21.63658267921352,27.217923632883526,26.283537916845653
Danish,24.627513326155743,27.895774180575167,26.541534194370918,28.695792929762998,27.17341634069653,26.92750440809436,28.148720489418725,25.887050289230256,27.326628706817502,0,24.790483459687575,24.651587605795424,26.527388574825192,26.225970365990484,25.14384293612742,27.594764778659684,29.645138102592888,29.547490121028428,23.251824724345344,27.421716544369094,26.450253471828407,29.65484382396587,29.208592206439075,27.137703382505606,28.784294205787834,25.639931687994746,22.064254590033805,26.517582745006766,27.641054407017897,28.59614036447985,27.212163138845614,27.350081841399952,27.318566823098706,27.17579721031198,25.76241119038133,26.79842242992394,27.14756051409242,27.36765742762825,22.10470078731172,26.5627793139362,27.39468860739513,25.264108064582217
Dutch,18.641920400293106,27.03909334380454,25.387860873537978,27.079975624111004,26.046789739414017,26.193583018525977,26.52511738529257,26.16605514248213,27.72750200941938,24.790483459687575,0,23.505289017734732,26.823644191227583,26.038306059405272,22.041894670053843,26.412312299816833,27.56860649389975,27.896534098241712,23.78991168108066,26.631816736952732,26.266842086119894,27.661434010769348,27.639123902242524,25.94882774188915,27.11324132516305,25.442834605665247,24.2659070224405,26.206771217775753,26.239391869330436,27.5429269672551,25.28856975289117,26.8835981761427,26.694075414380006,25.9575184113156,25.501397044543797,26.768281191205244,26.86937150152337,25.538863001099465,23.51309400458898,26.202471388161285,26.30076121945582,25.529351786127737
English,23.270916776779263,28.331777211027088,25.79275833014522,26.95978160708146,26.897218833735412,26.217385131122057,26.166084889993307,26.162256896835526,28.333061523573214,24.651587605795424,23.505289017734732,0,26.971507733046924,26.249185415169354,24.794204667061685,27.046133562149613,27.438702528820457,28.098341720376425,24.430139459851755,26.527936233107276,25.87943414730013,27.392182344631316,27.682656370797023,26.467955791351564,27.06472225641442,25.707906209519507,24.580848814245357,26.894490392639852,26.951054959673964,27.686333551616276,25.943460838728065,26.900029020526578,26.81213917812766,26.382234838764187,26.36216320221977,26.87623982013416,27.169941543932,26.09890582110828,23.991282332260603,26.513544552639203,26.327777541198163,24.71474197011279
French,26.575682467031886,26.235172915635772,25.521291029170296,27.307747463764002,26.226262082440293,26.35394366947694,24.927239021205537,25.522857193742052,27.20625742537645,26.527388574825192,26.823644191227583,26.971507733046924,0,23.49455576943991,27.59089640273191,26.35401944115766,28.788870525358476,28.59195188545731,26.536660213301857,26.906541263281138,23.603833737872762,28.161751124123402,28.007087302104882,26.058099800084356,27.42216423446407,25.310995462291935,26.843770765927637,25.592405785453295,26.752651516492474,27.755174897852765,23.925270846823516,25.085682605964184,26.427019351915007,25.87441409455058,24.624732690576185,26.4787657921211,27.24108144349987,23.86368485585985,26.575071829896775,25.568903672242108,26.386754659956242,25.563921941101675
Galician,24.157468081411054,23.63299021498242,24.006613177849896,25.64416857624304,25.083832452052764,25.292727009941057,21.392389824404002,24.772606902858854,27.1959607614437,26.225970365990484,26.038306059405272,26.249185415169354,23.49455576943991,0,26.833639100599825,25.697113205901648,26.850020983544997,27.21317468067876,23.936632464559125,24.945888410817837,22.22465356794195,27.469124408375755,26.895779484001014,24.526845257585148,25.714672028735222,23.949679055148906,25.681265514395406,23.86499225928846,24.365921663814635,27.12547962711502,18.93448417968332,23.31996641638989,25.20434005072394,24.65068444760832,21.911536629165816,25.568147292157867,26.863861251083257,16.979408190698997,24.463198807599394,24.351024718687633,25.206757025657275,25.24911780151276
German,23.993243734004462,27.669327543252027,25.59416850108155,28.097716732543123,26.931532774861417,27.837472955862722,28.32785013444081,27.37507395601298,29.252752545295905,25.14384293612742,22.041894670053843,24.794204667061685,27.59089640273191,26.833639100599825,0,27.015632567298688,28.71827787342593,28.73020876237674,24.904262050257362,27.405609977720392,26.496759832668133,28.277742823600565,27.7516878514701,27.312425154940733,28.248214107795903,25.791415206646395,25.786166210760573,27.013544138346916,26.78692222567238,28.685611435957853,27.23707031764948,27.232828315645087,27.86351957110164,27.041610551819762,26.092002004733715,28.042160491658386,28.203537089605778,26.950759853782777,24.375128691182255,27.254026471115758,27.178165647800608,26.347700329506296
Greek,27.407740278932202,26.939706506613867,24.71713238690612,26.194395968814096,26.522882265883908,25.90369026060163,26.369195957706726,25.601260818041997,28.247416458436327,27.594764778659684,26.412312299816833,27.046133562149613,26.35401944115766,25.697113205901648,27.015632567298688,0,27.25727863029433,26.594771624318074,25.98388944816715,27.29787132898143,24.65879425802269,27.5484670629692,26.818701372565393,26.111227246203864,26.75650531842173,24.228038572891325,27.72085395983576,25.676512723977307,26.682085791834925,27.705810872078896,25.899506185419686,25.515587726560387,26.58294012240161,26.29959668397183,24.23535963133272,26.956817959102633,27.47078316531429,24.353079296398008,26.264269814713746,25.596229100733435,25.56796367461427,24.817028386777054
Gujarati,27.46984811054132,27.979112173742404,26.90045831619694,22.697450280229308,27.82287247386515,28.152873904167986,27.49061214966845,27.84075912975072,30.15730297571413,29.645138102592888,27.56860649389975,27.438702528820457,28.788870525358476,26.850020983544997,28.71827787342593,27.25727863029433,0,20.42125144172826,27.95022346867727,28.213535744040055,27.792060767656235,29.762246567838453,28.358101621154976,27.24282234786815,18.953278537861593,22.04182184295228,29.46396343238366,25.938465522492265,27.774078685311785,28.738483353154006,27.664665644273356,27.848533103975043,28.30604738305769,27.42852825411342,25.076980859328746,28.78600237655657,29.04009831841772,26.288225514480047,27.410677867618304,27.529270849947977,22.753404662480687,27.830591061486544
Hindi,28.168500693742747,28.460043225972356,27.100093261416163,22.878915474952827,27.81242208335939,27.846061182088288,27.884564353275504,27.73166180457253,30.188292572280126,29.547490121028428,27.896534098241712,28.098341720376425,28.59195188545731,27.21317468067876,28.73020876237674,26.594771624318074,20.42125144172826,0,27.939090430561226,28.456569734321675,27.53489764867297,30.007579082556028,28.66108723045643,27.0252582452269,21.400370887924243,21.896545982975102,29.196109516671203,25.805702842564944,27.519733188502343,28.280823551606144,27.757684872493147,26.89176223362827,28.31144645015897,27.55724967192588,24.82786472054622,28.64520711417738,29.311622683148343,26.274530404877353,27.108211613402492,27.30494783117469,19.235073440660585,27.97155149457598
Icelandic,22.289388280354917,25.692047251789656,22.91722957583541,26.873123511401868,24.721419874730515,26.272792188441667,26.89455600510909,25.754639889915765,27.372711722416188,23.251824724345344,23.78991168108066,24.430139459851755,26.536660213301857,23.936632464559125,24.904262050257362,25.98388944816715,27.95022346867727,27.939090430561226,0,26.281718234248565,25.84720585329388,25.952232484582723,25.694378651904614,24.8429344991992,27.295373409689795,25.021614368381993,22.377379457736218,24.84283544296807,24.62653015795336,27.066002490913476,25.628966784053876,25.713218724736866,24.79189752773196,24.702184014759375,23.13924071007568,26.30680306981184,27.286264837044165,25.86461416033844,21.189499710100332,24.42673581896368,26.06659705383379,25.186429155657915
