,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,2.2010891112788493,2.078232207332723,2.169267986316667,2.0676571310599625,2.1002832018829123,2.1266281213046017,2.0437145809169044,2.1417468191375177,1.9416507704560921,1.479726530331499,1.9729066843030738,2.1462804879491637,2.0256468366428444,1.9194402323648743,2.1883954513067296,2.198361068093077,2.1966509150214217,1.8500434901379526,2.1931487494053665,2.1426322448874076,2.173221727879027,2.1552429079050133,2.042018288757078,2.1463258058804215,2.1018394206520683,1.8740682883644995,2.083979782850113,2.1052986779233045,2.1948115466408353,2.119090220257705,2.095064563923404,2.082077183199901,2.0099907589638786,2.0905048661585446,2.1225229368043275,2.1417480845814394,2.1363355209940362,1.8663601154684766,2.055802660511839,2.1505452630955855,2.1667234093626684
Albanian,2.2010891112788493,0,2.096103361815281,2.135881787529693,2.1233075329751965,2.1772020489363397,2.252456301773924,2.098389754020979,2.237963278296696,2.322066618564862,2.278794701399107,2.4153974316337727,2.1663100949008203,2.034270510144127,2.304420889091021,2.227725837687332,2.236152459880964,2.1925695140287202,2.1864804726664904,2.299945930975419,2.2023490609875913,2.2365942515741875,2.1589044535325077,2.070323768882904,2.1775882115478304,2.0218343791100484,2.2615586636587532,2.1087881722217032,2.1307191643073513,2.2658737409384977,2.1763264023257896,2.1112624254718315,2.106869370131454,2.069638051376357,1.838911156844791,2.1944696648566744,2.258774560630745,2.1710469500283573,2.1915931085794704,2.056271742587911,2.1075142454403597,2.2603195001251355
Armenian,2.078232207332723,2.096103361815281,0,2.1043285709450403,2.0486374042094764,2.140952993182595,2.156508701231169,2.040712441048932,2.146396881760522,2.24506438932542,2.1479068653720206,2.222278146138334,2.1597920252158027,2.046636721024949,2.148993606455323,2.0733389489059295,2.1793122636221423,2.1733584394029055,2.004215230289378,2.174785656857529,2.1123657648452427,2.0751822847796717,2.010596332933424,2.0413396926916874,2.1479476569273372,2.0603884054957216,2.156586056059594,2.042470952259788,1.9869918532157844,2.1563450467226124,2.133098970286313,2.051203262869727,2.063924579139696,2.0418571411841975,1.9906644773767508,2.138709023043081,2.1893929789535607,2.136380257107611,2.0776897134056007,2.054150173382966,2.084545433829494,2.0870877717279406
Bengali,2.169267986316667,2.135881787529693,2.1043285709450403,0,2.105248208676532,2.0912883189724063,2.104642159724656,2.079889042162037,2.1785630467242973,2.284427765764212,2.180390944001801,2.221329932057667,2.171065265955674,2.0781681408365604,2.230332563699858,2.0788391112236404,1.7704925208937001,1.7402680134397475,2.177744212087382,2.221824619396375,2.09115092622027,2.2226579335329424,2.1080673802887087,2.0614523139458507,1.8173615152957212,1.6932570397312667,2.2425412601519343,2.0801563724871928,2.1191597453038775,2.1439956914881964,2.110988991563562,2.0655994346921287,2.123508620184642,2.0646551483308206,1.9617296604602397,2.172709788365727,2.1977768914854092,2.0366297068864188,2.122411515405986,2.074436391340114,1.7821301174048483,2.1688148362857276
Bosnian,2.0676571310599625,2.1233075329751965,2.0486374042094764,2.105248208676532,0,1.6529713581750993,2.1205614247379714,1.3049047046493656,1.7609572821752708,2.1947329246193834,2.1170559485850533,2.2418798972139133,2.1300802659256846,2.025884269114289,2.182427458694004,2.124736282366395,2.1803812125767603,2.1526751049110917,2.032934249030405,2.248469548239532,2.0180612778280063,1.9829779584600684,1.9459840781618072,1.4131490262772695,2.1466963224517253,2.0761703476539335,2.1106387084343963,2.1161766194467804,2.0741962471518574,1.7515787285089455,2.0950702967128536,2.0007905353518374,1.5903369763836674,1.1244197643073914,2.0545179119737185,1.6619425820030176,1.6978578873937882,2.0456446146777285,2.0662979942635,1.5747154593686,2.0715757364204475,2.148695209109977
Bulgarian,2.1002832018829123,2.1772020489363397,2.140952993182595,2.0912883189724063,1.6529713581750993,0,2.054748547901785,1.4852225118060787,1.7473328341993313,2.171723658291066,2.1170208621242894,2.1633528578249797,2.1124715978500905,2.011332808464771,2.213040293584795,2.078850577858081,2.1700471342107357,2.122642014274818,2.1168171549706645,2.2170708380851027,1.9443350807908912,2.1470829539400422,2.0502597436122802,1.4871997715575522,2.127253464133618,2.0997517544811966,2.1526384900598536,2.1248504058625888,2.1099940363108574,1.8872912756284397,2.0871363546231714,2.0229228070507155,1.7577527904506285,1.5877601026861037,2.077692323360554,1.7577777252502877,1.7812451668470286,1.9826749434627307,2.0888269960690335,1.7208275428247946,2.052899120973579,2.0437437859372767
Catalan,2.1266281213046017,2.252456301773924,2.156508701231169,2.104642159724656,2.1205614247379714,2.054748547901785,0,2.0410879384283853,2.1939690019772096,2.211818667916936,2.1312546194681903,2.1177639287120185,1.983611642209311,1.734468873027244,2.2135169526231184,2.088023844492743,2.1283080606241604,2.115970512265902,2.165958852759325,2.167578248010412,1.7734540280627977,2.2721485563533506,2.1571624517881762,2.0759488094052188,2.0925547406309897,2.1336761485429268,2.1604206793830487,2.1843188507382583,2.180540237242646,2.1751961768074763,1.7809231548771998,1.8810554633887098,2.1617344887152448,2.0838857018569983,2.136367963305763,2.1394343357116004,2.136930090841232,1.6280190096138563,2.083226033091782,2.0991004382046503,2.111332303219554,2.122910281801194
Croatian,2.0437145809169044,2.098389754020979,2.040712441048932,2.079889042162037,1.3049047046493656,1.4852225118060787,2.0410879384283853,0,1.687383600676557,2.119791397473865,2.1023235420301227,2.147330796383401,2.0789139682685875,1.9511621059211284,2.1741510935774864,2.075626240087434,2.133192391546712,2.1135076831053734,2.054788861924936,2.2018373961918654,1.9355608813143697,2.0663045238919326,1.949070543732327,1.4823078009940729,2.0867512988569525,2.0515620384873903,2.111105565747185,2.036666074744531,2.037911076195907,1.8081071385827332,2.0866363348871535,1.9538315763110805,1.670622253460527,1.231772392615617,1.9967167540229351,1.640416622944056,1.580562902091962,2.001418745314054,2.045221234744946,1.611983985567324,2.0364891122915645,2.046455947781454
Czech,2.1417468191375177,2.237963278296696,2.146396881760522,2.1785630467242973,1.7609572821752708,1.7473328341993313,2.1939690019772096,1.687383600676557,0,2.1667508797301966,2.1842204383435244,2.2426056342059444,2.177301899070434,2.097854376044297,2.2518580417288945,2.202767395709634,2.2676530400382733,2.244916311085969,2.144405668489354,2.2738754520394013,2.0998315062643247,2.1087953838903255,2.1076997493880714,1.7864601563972329,2.2311741221301546,2.1427535608486292,2.1731005406198403,2.171678207516112,2.1514626305228144,1.8015496860446774,2.167329251144794,2.098466389598351,1.7480157774904577,1.7027423610708836,2.124318642138925,1.4452737494577927,1.8798862275615382,2.117748713004524,2.1575985882152584,1.7002939011917078,2.139639356586198,2.1448433621880394
Danish,1.9416507704560921,2.322066618564862,2.24506438932542,2.284427765764212,2.1947329246193834,2.171723658291066,2.211818667916936,2.119791397473865,2.1667508797301966,0,2.0361860299289822,2.0592199713800166,2.194594107581482,2.131567637974403,2.0123804357570094,2.264667928043801,2.318160802394536,2.29892850767658,1.8842466330441963,2.256999835839548,2.1523959513134394,2.3083121894490075,2.2481223534743395,2.180111786840568,2.2575847034595684,2.170937405550527,1.7433491845395968,2.2415753825648848,2.21998503116909,2.280298452180056,2.2568165386715338,2.154967004165488,2.188052841830844,2.1679145587475537,2.1908172243967736,2.189205989339006,2.2025104529061834,2.228171298593575,1.801089617809784,2.152037667016569,2.235432172663392,2.1690515061334237
