,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,56879.96242551754,83111.06496608871,67731.16299142755,81045.70258318467,72810.87655210696,75126.27365288151,79436.02437186612,86753.88639305058,63499.47380332055,59026.40601215031,80614.06121658203,67917.12296641213,56607.517837644045,67047.01778887377,85311.03325162744,75258.43985074454,86669.89546441875,58532.30094910793,60665.3696254561,91779.54337578618,84161.09070280721,93123.10536844467,70617.25811543666,69174.31322104583,70569.7254476824,58045.28670739834,60673.19947117326,71448.55586386268,101727.84239634682,75480.44286826414,78969.74103749567,74964.42237075127,70995.06807279917,62937.67734580466,76522.82074824169,83575.65859360491,83901.00245733003,64246.93219402974,75602.41902231285,70892.99876924063,92812.97814976031
Albanian,56879.96242551754,0,83318.36780319629,69001.60046029185,83633.28657591461,76907.55126152205,80182.61671931736,84895.16505831789,92748.26061965483,74295.42393855455,80560.53493810206,95944.33711725252,72605.98062343488,57751.38095966558,78624.92042488903,87282.73214275435,78733.21226084334,90316.24463848062,66188.0008900715,62564.4219245089,96040.9384735055,87654.10956042762,95613.48937833728,73076.44813692458,71969.3871307586,71325.17149974476,69656.58581278168,62192.0396131919,72043.99875473374,106713.43676334401,78286.47715299849,82774.23614205,76504.2611261077,74520.44485914645,59075.30099791,80352.41879785438,90173.36396964917,86690.84041393365,75918.7511918938,76605.95610141242,72943.47538244496,96011.09004596062
Armenian,83111.06496608871,83318.36780319629,0,93483.77557162949,106775.6201049079,102123.26822533374,102919.43427559933,104662.07450303898,113226.38434747349,100177.64328988008,105142.07209104444,114660.49188639954,97043.134461978,85415.9945606904,101276.797119947,109761.6452895818,101010.13333520156,112325.53901460746,90489.6669377694,88984.18115629624,118911.39043395217,108107.26967127828,114466.81766174232,96623.55637514839,96094.21627333947,95719.93536709761,93874.77495268194,86398.15324438032,94885.51527671148,126568.17097140635,101179.76946246045,106162.58752324298,101280.48195578562,96872.27070853415,89232.22361747491,103003.05695840709,112037.5490577721,111670.24890993645,97652.95109085654,100779.17732903367,96042.67806891692,116648.10857197667
Bengali,67731.16299142755,69001.60046029185,93483.77557162949,0,94553.42753460152,83030.28320945748,82931.05708676063,91143.92545335642,96693.32594627803,82733.365383174,85140.02433880686,94552.64136207868,79212.54017634114,69345.59552256428,84799.22654384446,90656.96254754423,72407.90088291916,82183.43626467166,76776.70018482725,70897.42431986185,101161.66236075452,97050.9141390498,104165.442498689,81847.68628493478,69540.20937608041,70737.79335128347,77020.84335214704,71466.59336874666,81732.95697299468,109309.9611981033,82094.23215921433,89831.1697941235,87500.10341864645,82731.92836402293,73494.74403283422,87056.21802513365,95767.79113323736,87938.67652216452,82250.89783366909,87143.7332513047,70065.21292353304,100920.38429413502
Bosnian,81045.70258318467,83633.28657591461,106775.6201049079,94553.42753460152,0,84212.87763204415,102704.07500369874,72903.04648321983,97496.64303553426,96702.74679802216,101894.60180284009,116746.28202016265,95151.90598205818,84350.38165640524,101626.37535201713,109987.22463196427,102826.79529163592,113750.80412153435,90119.57969943194,89624.46612575231,116464.40637361516,100274.61911759466,115430.64206699532,70925.1146376951,97644.03029364733,96869.02124437173,88435.85832690173,88225.67888505862,96756.0198325345,107739.79795385705,101487.94284856576,105988.00047234932,81035.03625209219,58260.33265127023,89196.02364755099,83050.7741541827,89731.27140747038,108274.35471300852,97229.77648074752,81075.270094613,96589.75493110582,120005.15567777447
Bulgarian,72810.87655210696,76907.55126152205,102123.26822533374,83030.28320945748,84212.87763204415,0,85450.02198163427,74641.23362613849,86814.56657459891,84760.68582709308,89820.37596706924,96362.6508035914,83136.89226082158,71035.23508642659,89573.47853286107,95039.27867149416,87471.75360819676,96902.12093826749,81557.49625607026,77803.61928807804,100358.91617196226,100018.63624862832,110374.66895878049,65998.54978839224,82015.36898980198,89975.09299450005,80597.9980755222,77998.88907525998,88894.1151852951,104107.0121703893,88906.45214579586,92090.48990033622,79283.556731728,71009.41009151764,80773.80128401861,78339.1967120664,84691.86567890992,92519.67998611905,86634.90279304855,80740.56006624205,83942.74813887088,102678.2066631826
Catalan,75126.27365288151,80182.61671931736,102919.43427559933,82931.05708676063,102704.07500369874,85450.02198163427,0,93581.55927572679,101502.02034956487,85173.81070807004,89929.94414739666,94624.29964046633,78518.95269479744,64498.56814972592,90174.26166842163,93359.94920647099,85657.6918433278,94403.82833606168,84022.50849222144,75974.17045364737,89099.13000898134,105302.77311588525,113895.30384420301,87644.58793964941,80872.50348691575,91116.05817628057,80043.79691483932,80567.91291209144,92559.48492253918,117234.05051387216,73382.84443063718,88322.02031154881,93838.82709091195,88925.28839325887,84264.13800935904,91534.11216003005,97889.75212707135,74496.68202940878,86059.77218194467,93016.79190322764,84714.69288648471,103634.72344867534
Croatian,79436.02437186612,84895.16505831789,104662.07450303898,91143.92545335642,72903.04648321983,74641.23362613849,93581.55927572679,0,87855.27599505712,90789.89821634974,96869.88813009892,105061.68391978463,90842.57317733894,81082.47062451259,96664.8313129835,103465.25840621725,95080.2449264618,104572.88273200514,88732.95778783699,85288.69457783793,109386.83452147745,107057.35807349671,115203.29872004887,73485.974425582,90104.7716700654,95716.13294697292,86561.28123882574,84230.3151959544,95117.9900352069,107311.35507726022,95967.73143242169,100347.46183072442,83871.80694656892,61753.158131538556,89245.99676853915,77450.16022487023,81677.99163980912,100866.42107166024,93627.32492058081,82288.18784818833,91153.63485952589,111917.02622955457
Czech,86753.88639305058,92748.26061965483,113226.38434747349,96693.32594627803,97496.64303553426,86814.56657459891,101502.02034956487,87855.27599505712,0,94818.74732661026,103377.01787153016,112420.85718915075,97330.61663298118,87766.08944006982,102612.47320293706,110249.74699237508,102965.47555472492,112060.16589454164,95247.28325675154,90761.03807961832,116169.62471395805,111639.90339263475,126690.98022534979,88645.71032902172,98095.2745638032,102025.73467322266,93300.67903358779,90730.12797851641,102539.6945534719,109170.0979227817,102610.63204707696,106215.4343313237,91649.78563190387,86109.9898915015,96931.5824364221,73551.31754146102,93359.63709645264,107979.45659148425,101328.73201303107,88842.50806122013,97955.19620425624,118170.77173809432
Danish,63499.47380332055,74295.42393855455,100177.64328988008,82733.365383174,96702.74679802216,84760.68582709308,85173.81070807004,90789.89821634974,94818.74732661026,0,80308.79486169643,92762.92797215871,80096.40692732492,70683.3750799668,79786.72733590312,95862.03591256299,87887.79227527972,98221.82099629808,69881.46205624111,71899.97664708334,102970.03343225516,100493.96270160549,114022.95436833578,84565.3025822264,82299.65827251451,86678.59491709404,63669.392252949874,75788.98877966218,88174.313613587,113593.22288730425,88083.33762395006,91895.01958100965,89342.75100296875,86112.34383704657,79518.73960726256,87056.83550428307,92202.36290490156,93393.85752491104,73809.42752661492,87934.26662355174,84734.67820763947,104162.71888362883
