,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3956.51268305096,4806.027222663735,4179.910508340663,4590.731749905952,4016.0705686490073,4044.2607672905388,4074.328172216516,4203.222079552591,3273.5904280159652,3000.3216061618637,3837.189660886183,3735.635564369972,3644.590715503443,3724.7940082522373,4165.792767913788,4299.334491128549,4525.6719738032425,3711.0745808691786,3494.0780465401167,4813.78692318214,4631.119558283396,6203.576398277213,4192.156604204814,4051.938885821359,4188.51417542968,3370.5436468511944,3705.9244777220874,4576.353253647733,5059.653507763689,3979.9822009845134,4275.037869139766,4364.733355790313,4161.834088580268,4098.059754651482,3940.6307864804753,4151.2874473401125,4104.443806132187,3715.796108836294,4320.249031142504,4083.583140104854,4785.902335867266
Albanian,3956.51268305096,0,5003.202714657235,4380.908496241643,4886.97181514089,4323.525703019947,4303.964869877571,4356.635150536156,4607.916790240438,3945.023529729302,4323.154468639273,4666.947786994127,3934.541304594745,3858.3600420749776,4483.695189842236,4321.608150825562,4648.781925387289,4717.509354907262,4386.776319087433,3744.3447198168474,4866.595551800462,5018.435709702183,6476.130678676761,4454.49103412137,4270.036212465712,4386.697948731598,4128.715380709349,3947.524512353587,4829.4598466302405,5407.786534252256,4208.566197389967,4470.813870756952,4656.810499694838,4507.1178928411555,4121.940409618712,4294.374445397064,4468.645048396066,4250.065853953071,4454.983452412641,4548.044977539772,4285.456659965272,4964.976841287941
Armenian,4806.027222663735,5003.202714657235,0,5279.80181970656,5712.184567261551,5208.156946022215,5239.948186425804,5166.779892058386,5426.894069076134,4873.500053375673,5223.211581591101,5517.622138751851,4896.586051740198,4796.281684650608,5306.950232180241,5163.98686711378,5564.03484014459,5689.391398216939,5055.247081846901,4650.4154887602945,5857.556147209054,5699.665673001771,7015.487031765071,5324.42986275901,5227.786671860041,5383.073431831743,4974.081694271963,4781.097820554417,5437.378153119674,6222.972108067512,5120.515416709508,5358.323030982556,5484.208646799758,5288.176358810241,5090.505073199069,5135.61556602618,5398.561679662187,5271.321091357484,5254.353707752939,5426.458147366836,5229.166964191609,5782.460056271681
Bengali,4179.910508340663,4380.908496241643,5279.80181970656,0,5111.601062796993,4374.787944287167,4354.176434307642,4487.44461682545,4643.493181016226,4137.201182791535,4464.815296964079,4675.494733165714,4175.546345811609,4073.4749538194606,4571.106245178491,4457.275418455238,3940.1759094375852,4005.6138888609394,4569.598057907668,4001.5149043872293,5034.352342937227,5214.182217782088,6574.09725183405,4557.681018665974,3858.7052462203847,3862.3251709399324,4264.149247362084,4085.3576333901915,4936.060200358871,5380.225252400627,4404.568351898066,4624.582064407145,4856.604152771067,4602.4528575216045,4328.845240555301,4410.719114785953,4549.082257442528,4392.101697486513,4503.568229974258,4758.8015239297,3823.3797650274664,5186.041946942283
Bosnian,4590.731749905952,4886.97181514089,5712.184567261551,5111.601062796993,0,4101.585792006706,5078.771281961544,3310.529680349952,4384.168332805373,4680.582182298968,5049.721908337543,5424.831842298147,4779.635959064011,4636.2712512741355,5177.762885174444,5167.261939171107,5341.337072324423,5527.644856536107,4933.6101349577975,4674.787493911654,5579.251280932519,5267.098252545628,6551.503319688191,3716.316977099389,5108.953846788838,5270.14901911437,4722.482010190445,4753.939913241201,5438.435244253839,4958.022498401863,4986.831010247547,5142.387865217021,4190.059804279381,2874.591104238044,5007.518390100685,4005.431315755653,4228.236016046296,5026.757777297199,5063.006736092048,4079.4220916236136,5105.005073388902,5774.108560355466
Bulgarian,4016.0705686490073,4323.525703019947,5208.156946022215,4374.787944287167,4101.585792006706,0,4222.3278800104,3458.167186113704,4010.637231190108,3969.893343373579,4360.372814131908,4557.866705136397,4109.516007895373,3909.583335430548,4474.768229031428,4358.82513674009,4533.892739599611,4627.042514763632,4440.824559819026,3936.0611819446117,4833.469343823365,5000.645856333719,6188.784222241183,3471.9813399569884,4283.2067551028,4487.601158025228,4113.89696287863,4124.160650624427,4869.010175196597,4753.467419631703,4300.730331374229,4433.596485332171,4150.180015605514,3672.7082921628435,4332.040091756009,3711.310222114247,3925.3639865532314,4201.054276665914,4383.1916066528265,4115.949788714596,4278.42721144979,4984.830524526629
Catalan,4044.2607672905388,4303.964869877571,5239.948186425804,4354.176434307642,5078.771281961544,4222.3278800104,0,4365.584317764376,4602.214939992893,3937.4793491773307,4338.356817697555,4465.840501760137,3744.453525749993,3257.447969359006,4525.484922775696,4325.424056116779,4524.281816951886,4626.170236721237,4463.1524464339855,3859.511136438858,4380.647378192116,5144.1072181393265,6467.217015448202,4514.961052471845,4242.743982113874,4534.196150442838,3993.9925345336924,4088.6745183899043,4930.880367594647,5374.639948786148,3666.793301525303,4152.416593482561,4812.249779203303,4553.224602133047,4384.571690518367,4291.706486338831,4484.524981725854,3511.346149714485,4309.665290361749,4714.021895362702,4338.463512233575,5115.01732381289
Croatian,4074.328172216516,4356.635150536156,5166.779892058386,4487.44461682545,3310.529680349952,3458.167186113704,4365.584317764376,0,3907.406858968587,4050.0469939266245,4438.057584418172,4684.758845128726,4161.682554114004,4037.859707673422,4540.2838277381,4455.629635678765,4635.374481964925,4777.816373312874,4490.4655495029765,3995.517154766374,4873.484229125469,4957.976293475261,6031.359456320728,3631.4643134416315,4364.479777754954,4574.253020043566,4202.992762087228,4131.82861095664,4875.473421372568,4621.371569201517,4406.321158587098,4516.143869840381,4081.367504528351,2986.364558946413,4407.210850937552,3591.887752882136,3615.8603504960206,4332.562994257531,4480.789462552808,3928.800920207776,4399.8737245165,5066.054631361465
Czech,4203.222079552591,4607.916790240438,5426.894069076134,4643.493181016226,4384.168332805373,4010.637231190108,4602.214939992893,3907.406858968587,0,4167.6244619034205,4640.709101914081,4814.374839283014,4327.947263301104,4183.652442922784,4760.709983839084,4724.816147273791,4827.238647298953,4999.8974916179695,4637.135691566103,4129.747057898372,5253.376782077505,5035.82963734083,6459.054052532973,4208.013352489636,4595.058731941159,4736.795390440909,4327.475107452088,4304.321048450715,5125.830335915003,4644.179499764049,4653.578620556781,4734.54284869766,4212.654993909875,3950.7216954366327,4622.370282083689,3228.1182195300685,4180.709224027838,4563.9841965686155,4663.242735632436,4109.482155183449,4553.377687906651,5232.840204142863
Danish,3273.5904280159652,3945.023529729302,4873.500053375673,4137.201182791535,4680.582182298968,3969.893343373579,3937.4793491773307,4050.0469939266245,4167.6244619034205,0,3676.9766607774586,3783.6410537641614,3645.098211718711,3540.376815587806,3627.0571541925956,4076.7009333346737,4226.034334672421,4377.848797296312,3593.6631373826353,3318.7121420648377,4680.266963430407,4796.814533523666,6252.658227209599,4227.231033632761,3953.1016279053515,4091.942762013738,3039.939326815779,3648.9069007842522,4543.223649419576,5069.732806290249,3922.204144847546,4176.420286007123,4409.763227674615,4223.145526030016,4020.9859885433316,3902.687579814264,4091.5452357986137,3945.8956707771194,3457.086742207791,4354.516586988339,3985.367068992844,4648.382206676792
