,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,230.1375779419952,267.4965646759979,258.4857276070544,259.522336920949,231.54800615780914,246.23105118930113,224.02158531755055,232.1620142723855,185.72475011905055,172.10803700937532,214.14788317617334,209.6354681158016,210.44660251795537,217.53005720743613,221.18598011757305,260.9151526243018,265.57958681154673,211.7525724844951,199.65287243598266,259.36907195160563,270.53528708350774,386.1820515827649,240.08905760267317,239.46456153207137,230.65740120860582,202.12325916732237,207.8957282051764,259.22714690738025,283.6796106335383,221.64980016752952,236.46481129299127,246.6781411531588,238.58582744930018,230.04887870854898,220.58503468514746,231.40486898592306,221.79228516976718,221.23369388310056,240.83433841768962,232.4547626661178,256.1783520755107
Albanian,230.1375779419952,0,274.9916837807021,262.0920495049511,272.4956362192164,240.61800488672694,252.31614959356216,229.38526490024248,246.84308763672703,214.78382720527648,234.84981751832592,253.5007535220928,211.53715029799105,215.46304876820705,252.8297867394086,221.7741916098728,274.0324832707138,270.0244790852356,245.8140453303096,206.11293784514186,253.98269960564454,289.77593588506454,401.48319409187405,249.5842633546322,244.18899341920886,232.49588782976682,240.70019358980701,214.17887397049483,267.7975771110016,296.32971114109733,224.2497340071082,240.18379085708855,258.85236601354853,252.19414879822304,221.89190862742942,232.07775574988793,242.2035079087996,219.9569700920862,254.26134015334497,246.9927871320695,233.71651026687613,259.14262221150665
Armenian,267.4965646759979,274.9916837807021,0,306.9260989473514,307.7701225469348,281.8438541072106,297.1649249377626,270.74648907465803,287.60698869921237,256.5766429089284,276.83700367926645,293.68687263605085,258.3811828498524,259.946148787441,289.39342941890004,260.2721701815617,319.40453833890945,315.9915083283958,271.8009630687513,249.91884164547577,299.6634228989624,320.60076832657137,426.4165953331065,289.8927410101609,290.9798077946062,281.53769928180606,277.24839632137537,254.27970225724664,294.0411506119805,333.87994406588047,270.80953864330723,281.3973060308977,295.7619896032826,287.74462171570104,270.4584395699633,271.95977747142604,286.9093256214195,271.2462208249979,293.3107647999246,286.86633333043216,281.5255954079806,296.40634775014854
Bengali,258.4857276070544,262.0920495049511,306.9260989473514,0,297.7337067292974,261.31367859973767,269.1051557246605,252.65875182539102,268.59377733009575,242.03209504832867,263.11455825035864,276.0005989725871,242.73384983562485,245.02032963302986,273.5741946446895,249.92126263448378,249.18680957952583,247.91087449651042,272.51189570178985,237.968223026526,283.9860127389151,316.1416403918656,423.8059797078797,269.20458785265146,237.77367183206735,224.66748313684414,262.812025593208,242.2855342670852,293.29104127850877,312.0149818134081,255.39206747039415,267.926366120819,283.80832057208033,271.7270594143941,253.1243263479689,255.0896003529082,262.303177900468,251.58203057358236,272.7519255863007,272.91500398793073,227.8146871103051,295.28531491119077
Bosnian,259.522336920949,272.4956362192164,307.7701225469348,297.7337067292974,0,227.34345739515703,293.87326401847986,184.51159954220353,233.28166895065894,250.88069710332337,270.5634379014668,289.95430387296415,254.52932260168924,257.30435627143703,282.6984880643081,262.3891003186019,305.6208282207654,310.00030561689357,270.0664267393402,252.87628182068448,290.70177071653444,291.87330082511306,384.90995689257085,205.2490506157543,286.8214887372722,277.0574599156444,268.4450866170376,256.3739199626628,294.18817918226443,263.90615430051434,265.4127605140543,271.60506488364325,225.1233624029586,159.77698228234686,269.74012914099876,216.68389439570996,225.38293526983406,262.0222245133,285.65691058536186,214.15148855297875,276.7954071213784,297.90435699673185
Bulgarian,231.54800615780914,240.61800488672694,281.8438541072106,261.31367859973767,227.34345739515703,0,249.8084709014598,182.69585628985368,215.8620561945798,215.08444715066128,237.01787869030042,251.23885749824743,219.5949679178108,219.8153253808409,248.50605525267287,222.91979047628885,267.8738885734447,265.4243604674598,247.64261886407553,214.87197106269642,252.75226238574086,283.3262261337942,377.78919191030036,195.07782972216233,246.04482239589686,237.99890141437265,237.16909513872233,225.16945868191416,267.21895018423413,256.0454064569112,230.02623742128714,238.5157670225459,225.52966062198166,205.54086667035614,234.5024465551526,201.4741898843936,213.07299632979877,219.567836267798,251.25373962761185,219.0311407752497,233.52532007998195,262.1085309122895
Catalan,246.23105118930113,252.31614959356216,297.1649249377626,269.1051557246605,293.87326401847986,249.8084709014598,0,247.09596530774442,263.6552048472675,228.3469981574761,252.2944712495668,260.57336316768505,213.08685089613826,195.2698135962672,263.96432447313913,241.18675265814412,279.51223437683745,280.2356756393593,261.8677579665219,226.47998193279267,244.14363369218393,306.1278789523754,406.3766630831095,264.34915373683924,256.8079727741695,256.1150755113444,238.93573100241179,236.97245322795914,285.3285694368293,305.69501946728053,211.995251609934,235.6324516447745,276.9456427441825,267.01037124173695,252.6443300722278,246.21617125483564,258.86458752159245,202.29798590528546,258.8112476764081,269.3556173908596,254.3391472459726,287.6468558599294
Croatian,224.02158531755055,229.38526490024248,270.74648907465803,252.65875182539102,184.51159954220353,182.69585628985368,247.09596530774442,0,196.8967685405829,205.12538311933616,227.54375421278704,245.31935467736926,208.1199743285968,212.9104359770129,240.63846715900542,212.56889065673815,262.099769216895,262.53962282723126,238.69657915366474,204.67380577152116,241.37143582611637,271.3279049485456,363.25809443587536,195.7264986069869,238.175096946391,226.01059260750714,231.8496649706254,211.63319858416097,255.37344430075765,240.6250033862104,220.88666658257333,229.80456568538986,215.73935956430708,164.8934971674256,221.31553323739072,184.91976054400095,186.7865072500621,211.21106944551346,243.52889958628802,199.6157602208832,226.8072885017131,250.0475476431565
Czech,232.1620142723855,246.84308763672703,287.60698869921237,268.59377733009575,233.28166895065894,215.8620561945798,263.6552048472675,196.8967685405829,0,217.91073053169077,242.867630127895,255.4206770154701,220.16063580109875,225.87769354740362,258.383138331884,231.83495085098528,276.60617147431446,280.30695123706255,248.8107911710063,217.45027282230396,267.92401230207724,273.079094908229,377.5926415701979,226.6346899360557,254.85275545703422,243.50074418062684,241.29116770822054,225.87434253168306,273.19623142441776,242.600701233267,238.3877084325708,248.74602266768431,222.7911191461478,211.3373695981927,239.79977855293973,167.5222549198675,218.61402816934617,227.88749628800738,257.60443342886305,211.35201372273121,241.38525955923737,263.20121401527274
Danish,185.72475011905055,214.78382720527648,256.5766429089284,242.03209504832867,250.88069710332337,215.08444715066128,228.3469981574761,205.12538311933616,217.91073053169077,0,195.94290539888394,197.50981658249466,188.53230652653005,192.62929767516727,199.05888373900748,200.5787443346409,246.3130191550439,244.31336107438528,195.1782004157679,176.8488681401819,237.9760238428622,268.1061704984831,379.46880683847604,229.01919644709523,222.2480891140647,208.50910984395446,174.61806420434823,191.62731537429903,244.40304410130824,268.89859416155826,200.61799280501663,218.53694848199413,236.120106772344,228.01707755861483,209.86976384802398,204.19892120236705,215.35835723068473,196.54648873448252,197.20495032334898,226.93131417776263,211.70852286154033,236.21700909308103
Dutch,172.10803700937532,234.84981751832592,276.83700367926645,263.11455825035864,270.5634379014668,237.01787869030042,252.2944712495668,227.54375421278704,242.867630127895,195.94290539888394,0,218.85171704926896,216.09039300007953,220.23848245102087,209.20781287989382,220.71413399253714,268.91494610450343,267.29956051857044,227.32421180339477,208.11384668099615,262.3920626147164,282.5315664791474,394.77897037595966,248.47731164623784,245.68300178696265,234.48415189231474,214.51725649095988,217.49856716014804,263.14063862003434,292.7477018267024,226.44226307981864,243.2724336951031,259.63714873635905,249.49244234860228,236.57154162402244,231.00160901262683,237.7396600535666,223.81315359747265,225.9735344397268,250.4822611607337,235.63176256168848,261.5743889844826
English,214.14788317617334,253.5007535220928,293.68687263605085,276.0005989725871,289.95430387296415,251.23885749824743,260.57336316768505,245.31935467736926,255.4206770154701,197.50981658249466,218.85171704926896,0,225.52685527314907,229.64182388616794,237.61670769908088,243.04524982543938,274.84474608684815,282.9042773407781,239.0848365945214,215.75067867069646,274.16514954557147,300.18099532290273,409.9322429313153,266.1471691426327,256.8672718146999,250.87032203006092,224.09246777265162,235.3096226187295,282.76331621156993,304.680264539929,236.3020299446382,254.37704644776178,272.89279671158846,265.45867759895503,257.48944030351214,243.0897185796395,254.17263368117983,236.58361963968613,239.53875882870813,265.2325803097628,251.0352167760914,272.2710192343055
French,209.6354681158016,211.53715029799105,258.3811828498524,242.73384983562485,254.52932260168924,219.5949679178108,213.08685089613826,208.1199743285968,220.16063580109875,188.53230652653005,216.09039300007953,225.52685527314907,0,184.33183801911855,229.42796219957052,200.11476403216716,252.29036451546213,250.10662118488747,227.80339584285773,183.6885375056498,220.9537958838518,266.5998744557403,379.6175776859877,232.05291930360903,223.0388278348244,211.42106618198815,216.6292033049674,195.19702324621448,249.53303522144662,272.4552880533509,192.0980838054395,214.99372130049386,239.53104123558384,230.88868696986398,212.76854941031272,208.53743625411414,218.25247692827682,186.6442953716745,234.91359577933113,229.46941495619123,215.89131625987773,238.49169210062033
Galician,210.44660251795537,215.46304876820705,259.946148787441,245.02032963302986,257.30435627143703,219.8153253808409,195.2698135962672,212.9104359770129,225.87769354740362,192.62929767516727,220.23848245102087,229.64182388616794,184.33183801911855,0,235.54010653481345,206.77590382397187,253.2732960437445,252.31692873650084,222.42526361402008,188.31408119939118,212.08432441411634,275.9579059695253,384.53378240211714,231.775650014131,226.2716690349099,214.59180598524446,216.86656664883878,199.956629205032,249.3928027902445,277.0907440886617,167.97196120535511,212.0621966235613,243.8474849510667,234.61275216439026,212.76744767795014,212.47930335362545,226.3787246254503,147.6175988923619,229.0219657350037,233.94101985985608,220.46500043161092,243.27384173967914
