,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3514.976756469224,4284.835318953342,3802.2435203196155,4121.333543602539,3656.5486404005173,3682.6657713740224,3656.6046859755793,3779.0970962404986,2877.980725386635,2659.8528186373965,3340.4875589573608,3383.270049333969,3255.432257319681,3388.3587832921867,3759.9060310449236,3879.740005038984,4086.5444108378792,3320.7859107411277,3130.009882627504,4388.687652976436,4241.41315248617,5703.032245343599,3795.2656208380645,3632.4076741281115,3770.7001009568644,3009.0232459341782,3302.283468448734,4138.3647580026945,4612.248956773063,3600.172446578766,3883.847412878243,3929.038761946776,3754.8510180224666,3662.520093729046,3552.3256148473065,3753.000669593566,3729.934608316922,3282.23951528995,3888.2096706782017,3690.125852274055,4348.627092860353
Albanian,3514.976756469224,0,4422.360903496018,3918.647063451012,4365.15632066287,3861.5961008902964,3860.0870804185065,3840.6036241253432,4131.302482897649,3515.068794196428,3894.268475785698,4111.453157128565,3523.192368465098,3384.6058440574216,4105.59276515661,3823.8820754388316,4119.901684745568,4173.781153464132,3930.070154191299,3301.675227155903,4348.028114883004,4606.753658068745,5899.721546801839,3991.179609006722,3764.401850026909,3856.0680770292374,3702.7202325337817,3466.1996130220796,4301.757802528606,4917.511626390072,3770.830573732791,3976.8904588598402,4158.739745624854,4022.8039810110317,3591.6863783824474,3855.5754084782366,4006.8325343762585,3775.728521085199,3962.735726326143,4038.2323312274,3814.0594677168556,4429.068129289527
Armenian,4284.835318953342,4422.360903496018,0,4722.276774748301,5114.382554813707,4685.01432424477,4728.166877931181,4595.809060078046,4868.809039196333,4338.974712058539,4694.407531173908,4863.882836675851,4397.925306738646,4250.750101716589,4781.305313116604,4612.250166917243,4933.834779279405,5066.188120136307,4516.859126739055,4165.9245337454395,5275.922878953709,5238.397813640446,6336.945390688163,4769.54727328541,4655.393610210107,4779.370691153603,4472.839884118098,4221.585482702736,4833.946504910834,5649.4431018557725,4643.347607339899,4796.87943996271,4924.413347267017,4744.935393884614,4515.532873489777,4607.012932551272,4865.474453478922,4758.267767073487,4662.202207561599,4847.906311517798,4662.987952257729,5168.132599840633
Bengali,3802.2435203196155,3918.647063451012,4722.276774748301,0,4678.383349931084,4013.344683763796,3998.0019335274133,4047.4676314238986,4276.1443420389805,3802.3204476324213,4127.157253273985,4233.7598380014715,3833.68391325409,3695.43910952393,4277.2295601891465,4028.277428698979,3516.301426861568,3570.050536500002,4193.717178789846,3646.1830669221436,4611.694004065775,4867.584648709852,6098.093634981319,4173.0356060074655,3446.956463708081,3446.2007225738116,3928.0763335750285,3694.043444176671,4491.496899539598,4986.115301007302,4027.786516340554,4247.353904922044,4438.435595337241,4209.322805516774,3869.8001392890715,4050.2331840199777,4158.205028678862,3994.0182970383066,4123.715922302145,4338.149556550692,3441.142553548015,4768.51522512477
Bosnian,4121.333543602539,4365.15632066287,5114.382554813707,4678.383349931084,0,3675.9890667005893,4658.759420000889,2898.5664395256226,3925.871949090172,4252.1066033960915,4625.761184018174,4886.3751410185705,4374.829572259905,4186.949416693452,4785.318185315861,4699.6251673693005,4844.084288859078,5029.433156132028,4437.626434493037,4240.566880316846,5125.899030875678,4829.093948027868,5934.140063549293,3302.684680270514,4637.477093307247,4804.054420901957,4298.082436053652,4284.901148901787,4898.189817220832,4457.697046947002,4552.98591347591,4676.872705068608,3745.7362305518564,2477.7326655611682,4516.282025852313,3572.8101494754346,3764.6352350452744,4601.210445706539,4566.046296998373,3612.74758572625,4651.886548201394,5297.435026049682
Bulgarian,3656.5486404005173,3861.5961008902964,4685.01432424477,4013.344683763796,3675.9890667005893,0,3853.8172238965517,3043.96050241667,3620.307455547691,3646.3748260269012,4021.698404555597,4131.573341964513,3762.8655312462447,3524.6619202908314,4179.486775659273,3951.349235976228,4110.620906427434,4194.705422448352,4065.5778547817035,3574.4861437769578,4421.568488500952,4663.2171559133485,5715.782321131334,3082.937956815438,3879.7681048857407,4064.598373966523,3780.1513369420613,3730.8993904824833,4420.451569157881,4320.79125819092,3912.7968545692383,4053.750068330071,3718.494035210229,3276.436376414945,3871.405149021893,3340.986993319273,3508.026361037808,3801.5553003056953,4004.2205456420843,3683.222481334228,3878.7884440644984,4563.271874561179
Catalan,3682.6657713740224,3860.0870804185065,4728.166877931181,3998.0019335274133,4658.759420000889,3853.8172238965517,0,3931.0144302468234,4223.181055355024,3625.5226370257055,3993.551167679321,4029.170144799487,3398.7364548013643,2880.1451208321937,4224.237598180864,3908.69339739556,4088.0502025765613,4176.457179821391,4096.0565583359685,3524.693116146039,3929.4606768068097,4837.075721426557,6006.8493418979,4147.66295803905,3838.5034055714855,4114.777580515413,3678.3582419392546,3704.8227516893726,4499.714804827631,4965.958405699646,3303.1787979703904,3762.519818203583,4407.093317481232,4179.419631533882,3954.9128967361416,3942.0792520315294,4081.840782708774,3123.9972613485133,3934.148826372052,4305.084292941114,3951.221067901657,4677.766321344505
Croatian,3656.6046859755793,3840.6036241253432,4595.809060078046,4047.4676314238986,2898.5664395256226,3043.96050241667,3931.0144302468234,0,3453.9108899116914,3654.327617724617,4034.741903641103,4191.371631683977,3768.336179819886,3578.0503743802865,4188.824760919274,3982.966530053726,4140.53857899539,4283.769463765099,4061.3365977124295,3574.269583944253,4395.944557508011,4567.216886578357,5472.978933023987,3221.643694173304,3898.7613800309996,4052.7213104442003,3811.3057057540423,3664.057587514439,4353.201968816952,4168.262330655955,3954.255310870976,4072.1453310923184,3631.4298344963713,2574.519373556854,3876.648634481975,3201.628677493195,3175.425670029413,3864.4163459880147,4052.0814667983104,3449.337582886164,3924.023639397407,4566.704916313864
Czech,3779.0970962404986,4131.302482897649,4868.809039196333,4276.1443420389805,3925.871949090172,3620.307455547691,4223.181055355024,3453.9108899116914,0,3817.3580290701675,4290.195022542616,4363.744451015206,3969.844596059335,3789.3468167144806,4465.754995749394,4313.292249401405,4402.624685225123,4577.455339904697,4208.109393529912,3730.891380251011,4840.782837180691,4633.959601640143,5915.315644238295,3793.6731172211453,4183.594499332719,4326.504579295818,3966.9135780951724,3897.6601830640375,4682.485751460572,4204.100253881351,4251.856603667667,4365.267440781635,3740.9312619597727,3541.298145884291,4130.039025425925,2818.1645349065666,3765.3775248500474,4171.319507283172,4272.41807961593,3661.941999694005,4159.3409203287165,4805.547520815
Danish,2877.980725386635,3515.068794196428,4338.974712058539,3802.3204476324213,4252.1066033960915,3646.3748260269012,3625.5226370257055,3654.327617724617,3817.3580290701675,0,3336.064224870669,3319.268269172258,3327.620790946387,3179.2466907947473,3330.293120839692,3713.5094008782303,3850.667799846048,3985.9831622269844,3199.5457583694492,2982.339977999033,4301.5743706006615,4416.395003392693,5774.1452946674135,3851.3574535686244,3588.332018179105,3695.0158100539243,2680.8421254863892,3272.7992412797967,4100.375193651581,4679.825588253298,3565.775766633215,3834.2753084636233,4006.4001251340674,3836.875648055879,3588.6441871985962,3566.338450692962,3713.138808436844,3605.88491522224,3057.109806384758,3956.533463182132,3619.990344752033,4252.8735041261425
Dutch,2659.8528186373965,3894.268475785698,4694.407531173908,4127.157253273985,4625.761184018174,4021.698404555597,3993.551167679321,4034.741903641103,4290.195022542616,3336.064224870669,0,3643.751775659523,3781.1603141110904,3686.4275898586184,3446.257063317573,4011.0506547730647,4183.330268446644,4291.156957813859,3785.9401305506053,3530.4152917988777,4738.598231440215,4696.881622974325,6096.924462929895,4228.618941261896,3956.425791460999,4148.383755878358,3435.9265519579094,3707.7811373262775,4460.394953755287,5040.344393790771,3954.7499204843552,4255.430080602732,4441.024870029849,4216.44463296773,4064.7245907537995,4032.73130530154,4121.469800104763,4031.0419128105264,3627.5346121005223,4369.986327911293,4002.5307456455294,4697.372067070575
English,3340.4875589573608,4111.453157128565,4863.882836675851,4233.7598380014715,4886.3751410185705,4131.573341964513,4029.170144799487,4191.371631683977,4363.744451015206,3319.268269172258,3643.751775659523,0,3831.997342678268,3772.2876333244594,3924.0338694574616,4290.37445130273,4220.996918860438,4491.201738274426,3999.2628660815053,3510.3916735670514,4809.132194667038,4932.092243904997,6261.31015174025,4416.805054670057,4019.418589666276,4241.875943843547,3556.6001250524655,3885.1144321489724,4714.771861155982,5195.547100423412,3983.6446459797694,4388.470211655026,4567.588018202408,4376.404740610845,4309.009906236756,4121.32560014625,4270.123275864301,4122.623774523004,3823.668363825845,4557.908360985556,4094.515603196427,4692.548402658064
French,3383.270049333969,3523.192368465098,4397.925306738646,3833.68391325409,4374.829572259905,3762.8655312462447,3398.7364548013643,3768.336179819886,3969.844596059335,3327.620790946387,3781.1603141110904,3831.997342678268,0,3095.0588630039388,3932.451353912045,3774.199824046684,3963.143643124106,4092.5765187530374,3841.100180533728,3206.244615123199,4027.811015112867,4459.918982021144,5804.666787707623,3966.059005737106,3650.508320908306,3825.4593928927416,3537.770256412391,3386.055065098368,4236.990677230053,4782.5766972300735,3420.6957048257154,3773.503667095271,4137.795980223441,3943.1342297248248,3741.445402312795,3718.6868159109376,3850.0453003828384,3485.3927686677766,3839.100125185012,4047.542818524932,3728.403016678903,4362.921845009109
Galician,3255.432257319681,3384.6058440574216,4250.750101716589,3695.43910952393,4186.949416693452,3524.6619202908314,2880.1451208321937,3578.0503743802865,3789.3468167144806,3179.2466907947473,3686.4275898586184,3772.2876333244594,3095.0588630039388,0,3868.804666148079,3597.8212403037905,3827.757150288847,3946.846914463797,3600.0421383751573,3073.8706170473556,3576.3799255482377,4432.606563346551,5688.6402130852475,3769.545504128174,3527.876360436688,3628.4710775428584,3378.5334138848857,3296.88724840884,4054.130556939095,4671.757898205942,2775.61361107916,3518.6675601504535,4005.049569804428,3789.8596328669196,3459.8713594138894,3541.0943923190407,3748.872220390284,2421.748562361417,3610.702094308028,3894.313852363152,3613.5994093415434,4165.335412373246
German,3388.3587832921867,4105.59276515661,4781.305313116604,4277.2295601891465,4785.318185315861,4179.486775659273,4224.237598180864,4188.824760919274,4465.754995749394,3330.293120839692,3446.257063317573,3924.0338694574616,3932.451353912045,3868.804666148079,0,4150.996024393293,4400.399058597154,4539.926467783883,3913.8303557644986,3699.654202025597,4784.568537318938,4805.37097651181,6161.208163024066,4421.081356195101,4179.919913294787,4336.4438094198285,3666.892950310302,3919.351386231859,4545.7535993459405,5247.689531789492,4292.729405334443,4327.099083485701,4656.692748987289,4365.915094660536,4327.789338647296,4164.264906199059,4280.32608105055,4300.304708690085,3746.2883096801506,4572.754768715414,4219.2166003643515,4836.575237581983
Greek,3759.9060310449236,3823.8820754388316,4612.250166917243,4028.277428698979,4699.6251673693005,3951.349235976228,3908.69339739556,3982.966530053726,4313.292249401405,3713.5094008782303,4011.0506547730647,4290.37445130273,3774.199824046684,3597.8212403037905,4150.996024393293,0,4120.775730994998,4225.168414808987,4044.5111513774546,3565.1406265972214,4480.803742495273,4659.409402657404,5735.559413695784,4207.334083985628,3927.3992298023386,4007.4308270128995,3878.0476263640985,3660.83391513616,4419.651230560354,5058.044147311543,3940.662088384141,4166.9030583338235,4391.130497806065,4244.4714551420075,3908.4220877763023,4052.569763465966,4171.323664960401,3839.4529709931517,4086.0739055749586,4288.350353487405,3980.0010076253475,4571.604953158723
