,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,299.0573232358917,361.6764317951149,301.3792858471963,330.8601772061196,292.52325136045846,289.78890293888634,292.3904487616768,306.28692786416184,236.60774544565925,216.48079006207772,278.8092482760461,281.272586991989,270.36082251075374,270.778565447346,308.1981684447595,304.65016252985214,317.3792804702253,273.5478944733894,266.21361124638474,357.0210832474592,337.5204153477831,436.24020761368877,300.9409803212,288.042913719076,316.8445811577895,238.43040817031903,277.3537350517334,339.5908840434871,361.89259706045374,302.86236933785216,307.28660106524063,315.3075153181333,296.53525642229744,309.01710602037724,290.9940896594267,297.91840843004223,308.7019500835901,266.3862301937265,314.40770719948887,301.1116838402047,373.31901113424686
Albanian,299.0573232358917,0,380.5438183286765,317.84972618704955,353.7591791989967,315.45720577568375,311.90233411042294,316.6123444013223,337.7442972252682,298.1697332500644,326.6040612312491,347.9862394191932,297.3991773282208,289.43865154616014,337.20344494966383,323.4976044325481,327.7957228069542,329.221171184168,328.45083374763647,288.72083129919946,366.43580891505417,371.7235512946677,459.61352149662736,321.00677432205663,305.9296829350068,333.67959554163195,299.9838340459639,299.2186363403422,358.8642915792643,386.5993474042703,323.1562541178175,323.2815651074955,337.4548310474681,322.004524361276,313.9294098644268,317.60413317764585,324.23138368022063,322.5119036902565,328.8758293463629,331.1629891027496,318.10921176777765,392.11534315560516
Armenian,361.6764317951149,380.5438183286765,0,387.7445230307092,419.7557117451673,383.33772902396294,383.5582595226958,379.974955635964,393.4128912989818,367.0790779590593,393.32580259754275,407.1939429884499,373.24891115006136,360.04964879141204,392.20944654079364,382.8461000347684,396.3562226104282,404.80700340399284,382.0508133318771,353.1452324967816,437.2609545628235,422.6557564385282,500.05412830491804,388.9444930658695,380.0165026427101,407.03928157222714,365.57997213810233,360.56019171087974,406.3099905579577,452.4654922418234,391.5363445169776,389.4731688577804,403.0160703697302,387.978220273169,387.23618884873275,380.2294697554561,393.80700047607456,396.3785881112663,388.71727571937333,402.50385157538926,388.5017549629074,445.56754472627034
Bengali,301.3792858471963,317.84972618704955,387.7445230307092,0,360.5160698068922,311.3153902955179,306.271516040498,316.9982625315875,333.17711221705326,297.1412260957515,325.5493243807016,337.2634545502582,302.5271961294529,293.55876928737194,333.19305495203156,317.6784697096189,269.3114489862734,272.62214601967025,331.23269308148224,291.58547554200396,366.2448853945921,375.65067464817054,459.68867042004246,323.91172908417514,266.3103671230149,280.0814015275305,300.143159940065,294.45336357177837,356.26807738102286,379.4981804106945,324.27574503339713,325.350100894695,341.0067207542423,323.1702970612802,314.6961577899469,317.9613079824556,319.2952347472368,317.1375333629716,323.30192255344076,336.9081396862593,277.03949830247564,392.55396489241156
Bosnian,330.8601772061196,353.7591791989967,419.7557117451673,360.5160698068922,0,284.3479483842024,353.2903609554835,227.00186226437324,310.8755244068842,335.24868090667036,369.34402877878836,389.77254224716927,345.28544467396057,329.7921907165455,377.24107688690304,368.1662857071639,369.2557337234347,377.46888210648916,355.4925961101993,340.57449038813957,403.5834136246284,383.06912629000686,466.04797177865635,259.7238713049623,354.47217125542693,384.25509968891265,330.6377255066061,342.3491958404924,393.4475861910958,351.60248682149864,367.59059310966444,358.78979965310515,301.7864740301012,203.321859984955,362.54090467108887,288.45571436596896,292.15801823286955,362.0841420781697,357.2865622371436,295.533721926202,362.9005534511982,438.6760391235888
Bulgarian,292.52325136045846,315.45720577568375,383.33772902396294,311.3153902955179,284.3479483842024,0,293.63821481961196,240.08371263360982,283.50911178720366,287.43970595648693,322.9811496331856,331.63372912462677,298.65728923967424,280.55696170913905,330.3730164544515,314.2246509094608,315.0867501197605,319.4537807494246,327.8143403188546,287.7485511881861,351.4661233451817,362.02538721630145,435.3194669409202,241.15982960880365,300.74741105447134,329.2225537105065,289.39023893919824,298.292933990776,354.54069085038424,336.42039636913074,318.7386370082019,314.7442913173336,293.3035070422238,254.5245006818477,314.32269707765374,265.98766387862304,268.9748162033513,300.3453133132131,314.54023369112576,288.873647627758,309.0118824977871,378.24731876353053
Catalan,289.78890293888634,311.90233411042294,383.5582595226958,306.271516040498,353.2903609554835,293.63821481961196,0,301.98973216959706,323.43085765402543,280.80044875052664,313.4334602264829,317.02010828551266,269.58189480691493,230.85503142123468,323.9107307466456,308.9906033419965,313.358078537859,316.4985882938435,323.43817524638285,277.9359171184414,309.1178758104542,368.4262448323252,449.9534048092466,315.2885325895349,295.61330601293935,327.6150441302965,282.43426775371677,295.2299689372645,358.90192471774753,377.03540179776957,267.230672649203,287.93267442549273,335.81210059109725,315.3633739195818,315.16521595756836,305.8525102713741,306.36413807574615,247.13216697373844,307.05560053992275,331.3518095066328,309.4360177284977,376.904640442157
Croatian,292.3904487616768,316.6123444013223,379.974955635964,316.9982625315875,227.00186226437324,240.08371263360982,301.98973216959706,0,275.7581728136732,290.8843811321566,325.1441666452045,337.234978920741,302.76392578520523,287.14349679595466,332.77090256569625,320.93539125777187,320.46065977188766,327.98161938950716,325.83491770134935,291.9522810052422,353.12130383506013,358.6826722796722,429.0372312211003,248.3272784556816,305.2413784220298,334.47567227602866,293.59435062207956,296.8547628903193,353.86749619542843,326.85085337613594,323.92558597841634,315.3822074890404,286.1951746396451,202.40716710481212,320.59362566021593,256.0815674255994,248.51525488117719,312.35433205308226,319.30594415058704,275.5970364885663,315.5943124756944,385.5688045489296
Czech,306.28692786416184,337.7442972252682,393.4128912989818,333.17711221705326,310.8755244068842,283.50911178720366,323.43085765402543,275.7581728136732,0,301.25831725450604,343.2684375233653,350.83591495017026,319.4024653669468,305.5013725208184,349.6517279835113,342.57948597949036,340.63431100174637,350.1684550518044,341.34884899968813,302.53487918049365,385.77288362392676,369.1365234555168,457.04724632681706,298.0749144948377,326.10972742472677,349.0165152061129,306.6217188768253,315.5089022381746,375.8517339638354,331.5199157481785,344.29673876376785,337.81929859030953,299.6511806279667,280.30526169871365,336.1486392633564,224.2445219229217,291.64917039132723,332.79314031701017,335.36412267182806,292.76790498808236,332.34436759475426,401.94106443439324
Danish,236.60774544565925,298.1697332500644,367.0790779590593,297.1412260957515,335.24868090667036,287.43970595648693,280.80044875052664,290.8843811321566,301.25831725450604,0,271.22833506103257,275.4871932770229,272.4590431982365,262.59718195673304,263.57123043090064,301.0066199231817,298.309593337768,307.970496762441,262.410230773114,246.98648768355181,345.5463109797411,349.3351535031448,442.8092267009228,302.69127006303887,281.9852470750123,308.71036752900886,209.67544590927997,271.6379736905892,333.5570713701479,361.8483311418207,297.20340595820846,299.8164289007681,317.22437668212547,300.2486915472514,301.7339974739148,285.8706067829686,290.93529363941195,296.8580922140687,245.48543977175203,315.25659502251585,293.8819994033453,361.0956980025012
