,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,85.93531313768365,99.54415883688063,94.1264095143874,97.19172821561621,86.67276117532532,89.87050407684285,85.6518098461459,86.64848048321046,69.5946969058404,71.66263558426438,79.24250747153438,82.36681606692936,79.78801691334928,87.08815385454118,93.64434710314552,100.7722316969092,101.03385747135496,77.58389801897519,78.16028388731384,109.21731272458737,101.40120872907916,130.57813253862184,89.83030663826399,89.29106664265629,94.28847191549485,68.71450127268088,85.02630939530466,104.4222535830695,113.3272017148262,89.30574148608993,93.01929140825742,97.13506066908015,89.94780019356403,88.62038763626217,85.12979506979134,90.32827151667293,91.12117318033896,78.11504947520267,92.4262727919316,88.57484579488909,103.60157920415817
Albanian,85.93531313768365,0,101.7724761796691,96.28155329615248,103.1661343108415,90.85532381297855,97.46926078562096,90.2557982491296,92.84595983721488,84.40226358496733,96.24873648562975,96.30712561290272,84.95564239349267,84.83212481959195,103.29570961987255,96.96382063262554,107.50015220844487,102.70513915591458,91.3375387218313,79.80332237165946,110.14671940645901,114.44803985370362,136.81258731313665,95.88667000922115,93.11409133683753,96.229599767606,84.30414292478812,89.10129423020686,102.01798238158051,117.01590213659632,95.52980910693155,95.61547595573712,103.57548109962211,93.81704833082391,90.13417682425093,90.60843240298976,94.01305565344856,90.64146495025145,89.20161141946798,92.43738656966212,89.83715213807108,105.970229759599
Armenian,99.54415883688063,101.7724761796691,0,115.2014898409841,113.82358353559113,105.37832786869335,114.66687323789645,104.64339300396409,103.27226565963724,102.2493632908356,111.79353789448481,111.48319769478013,106.59219672580335,100.4062387583358,114.81700632769757,107.06150519095657,119.26846864869844,118.73009072008155,100.49635429390524,96.45589107979487,129.52829342017472,120.1067308433964,137.66269302158946,108.02681728306169,108.95616547844661,116.50246530921068,99.01516930582984,101.19929384240622,114.32059002047104,135.96482965108416,113.27061160840657,109.84852619737363,114.07669777942509,107.19278478261752,106.09332769289601,103.71182657473774,111.14205696002163,112.42951524535592,101.58829561426724,108.17295354840249,106.2853656740035,120.6244246443721
Bengali,94.1264095143874,96.28155329615248,115.2014898409841,0,107.51780185468571,92.39498332482226,98.25374944053003,94.3063594249898,97.33000486950877,92.18405036948603,100.69222223673086,101.31118926960545,90.45612453744683,92.283495025952,107.97720800560514,103.32492081712083,92.49569472379386,87.41123518392429,99.46594122914719,91.94822003922837,111.22268906741199,117.7259037676232,145.96277634808317,98.94491448082786,81.99588605149872,86.16813679513034,92.2972736274679,92.8602107998949,111.41170254498358,120.31968894121057,99.16903356095887,101.12634725480508,110.23897520233756,99.540313609838,93.62771742874261,97.45067494929279,98.91486641057614,95.40444722202342,96.23129371958943,101.49179238886265,83.64565265743398,114.63540664580762
Bosnian,97.19172821561621,103.1661343108415,113.82358353559113,107.51780185468571,0,88.44717379165868,104.2999621794491,80.10919463749559,89.31677064998708,100.03057207920587,111.64763436269459,112.23120355325769,99.09259980403107,98.23364991478836,121.61868870931721,111.22476083458221,116.02560669383926,115.41528354950329,99.64052418949161,100.67698465775567,120.58516187602028,112.9535699811521,132.29900671777918,80.85833487098957,106.40441889538766,113.45596316085353,94.18074451373438,102.78485634412743,114.17192402867323,109.02647548061613,104.4924807207215,106.33547793245428,92.56680183579364,67.6313875199425,106.29487131474423,86.0757231008602,95.24218921715828,106.90473899271038,100.14599574688538,88.955186732422,105.24894421009272,119.87530258193054
Bulgarian,86.67276117532532,90.85532381297855,105.37832786869335,92.39498332482226,88.44717379165868,0,88.69978676402583,69.20247295627628,78.80958352235578,80.05006017885086,95.58865787820622,92.4596109566253,83.12801120175824,78.83388445148414,102.80093701160946,92.7557284910566,101.4220242056494,98.81036129929885,93.62708561445254,79.38022268946712,99.92348173585614,115.408009688867,134.6548224288163,75.65526209189595,89.95045155358711,93.64650574554132,84.12277264846736,87.52385362435611,102.49566900961248,108.70545021274152,91.17339482713355,92.4991390599038,92.80973569311078,79.92882422345664,87.16444646642798,78.763190976735,81.21778975536986,81.61741143823183,89.55015401353842,84.36975270721757,84.9339286497701,95.8277048669715
Catalan,89.87050407684285,97.46926078562096,114.66687323789645,98.25374944053003,104.2999621794491,88.69978676402583,0,84.79206110577339,91.24523406763583,87.60963114271637,99.21277252918783,96.13634426746044,80.31589320233033,73.1011743313468,107.99013447057551,99.2029141748103,106.92264320351819,105.68348128104505,98.23740099523813,83.09018700267603,94.73998634148462,113.97504605979111,137.3483501843134,94.96578933231787,93.77992044371089,99.62418323187164,86.77847462101961,91.05936052394141,110.20392302418901,118.84202015882188,81.35422175969514,87.60471459800637,104.5836044368747,95.81818481029472,95.07674675381162,89.16169198714782,94.28091525794545,76.22526530816542,93.11009626096313,98.85421928962722,94.17517952260096,106.57290001309912
Croatian,85.6518098461459,90.2557982491296,104.64339300396409,94.3063594249898,80.10919463749559,69.20247295627628,84.79206110577339,0,76.1525090009263,81.80488452487593,96.0825587919639,92.67012694160664,83.30936485911077,79.21730496582784,104.67462819633933,96.27301466196269,101.71284896954647,102.38475539363479,93.06618692818456,79.10938375157467,99.48367391154036,110.39390064455853,131.57036295265186,78.12093466152747,91.0017765796354,94.9622395712001,82.05372946584444,87.394956261267,102.74885469164161,99.47965335325175,85.84273768684153,92.3279730422143,88.66573681750249,71.11272626863375,87.3835357359953,72.82537549345744,77.49589065782978,84.12864380570066,88.819538623035,85.17431317710354,86.27911685532045,98.92080459484598
Czech,86.64848048321046,92.84595983721488,103.27226565963724,97.33000486950877,89.31677064998708,78.80958352235578,91.24523406763583,76.1525090009263,0,86.76109910112889,97.76371092863741,99.70985803111981,85.99685108050305,82.87021700259295,103.96136757198214,97.66646733265452,103.04349356387752,103.42838343158428,91.62315927727084,85.12172733051808,104.20296509500662,104.69114582325786,130.5032570060578,84.82519058869737,92.51789105948046,97.70664802235183,84.88276084156601,89.67838014486126,107.14197910393756,100.62944192123102,92.93567800719883,93.74702044023881,88.78905566950768,80.56796935722676,91.6087036109734,65.89569664337891,85.35410871443656,91.3101445797493,92.58222672381146,84.40955795186547,89.37289551097383,104.45973262138224
Danish,69.5946969058404,84.40226358496733,102.2493632908356,92.18405036948603,100.03057207920587,80.05006017885086,87.60963114271637,81.80488452487593,86.76109910112889,0,81.97138988577068,75.73230860763591,80.89927260471,74.04112416822575,79.76845712694332,90.4295445645309,101.83225635081322,97.81698630894263,74.02277778639245,69.5913364575255,101.392749581583,114.42950083082538,138.65328881859452,90.78253446868733,86.7552521620077,89.30827524100006,59.90732788889253,83.26151045015142,97.3516526445556,118.69533690593535,88.115711965784,90.11493570316577,102.47365118433073,89.29968049484631,84.03584678559487,84.85999816019985,89.43753524782026,82.05561055657114,71.76078013630703,93.53415042542024,83.36933133301844,95.86966903830425
