,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,598.3285527904085,696.4122247843284,589.86355142633,669.5337039649211,590.3571887682199,566.4452230395885,603.2915566849357,622.5268682041138,520.1215578050077,481.30279082678163,579.9640663599102,552.4002535154754,546.7959340840611,565.9641889547602,599.8109809946105,592.7304298779551,615.26917660411,565.3594587570984,525.4018310480424,698.0212293734694,659.5832822710945,830.6164962403886,608.5668548589464,570.8385506986468,660.4843707409573,515.5480654963637,552.7806516326251,664.7321623579537,696.6520061994693,599.2142155930117,609.4523367749791,629.2572352299496,604.5232931521654,649.3145946552588,582.5277459861886,589.7892834811696,610.587744999252,556.5003760930462,633.9993203245554,598.7922466096849,714.1431621116144
Albanian,598.3285527904085,0,743.5618988720614,638.339478151291,726.2100347954951,640.8529665366968,622.9090996733578,652.9809019982528,676.1249373882162,591.704129235185,647.6242142488118,665.6454722395061,603.9747633914772,594.7338435729248,646.171474406211,643.8637151311146,647.3734719898241,662.4549244325962,646.1639615096101,577.0366469318508,744.3926087430558,718.728416291584,879.1834859828407,658.414004531186,620.2814996842432,705.5446168099761,591.6965139351142,606.7692384408476,714.3767912173084,752.1030195827008,650.674404584463,657.5465149822819,682.9174916184074,659.4106342975962,675.8823356365018,631.4264882821004,643.7847633222517,655.9218908455539,637.2724657749633,682.5368924135851,644.8522500034596,761.9661257425672
Armenian,696.4122247843284,743.5618988720614,0,746.4438464603217,822.0585653381131,752.3886712015031,723.8108106788054,758.4408203379201,780.4579579013164,702.3773607862356,746.9262225045412,766.1731788454148,713.3108155669495,703.4399180832977,754.271649232122,745.9223770123025,752.4234027028839,772.6798027297737,736.357222679902,685.7816198321702,854.1994198369343,808.0704478315075,964.2697298850237,762.0348646120895,726.7854496781091,819.0209689528361,698.4232403627533,705.473745516313,807.4880807602578,852.2276215169217,754.2931759371531,768.6052031557687,784.6227680442702,760.4111125423088,783.2958471217197,743.1977824813108,749.988341186195,763.9180257327716,734.8818455766453,786.676174985024,750.3286702542267,866.113655236475
Bengali,589.86355142633,638.339478151291,746.4438464603217,0,713.5574381606294,627.3361254416437,604.044215581134,642.6286594511671,654.0218732502651,577.1086354984598,634.7069826123627,646.3963677110628,591.4604695975419,588.6579497027714,632.8125144055988,630.0864152676398,590.1706679859958,604.3544170843358,637.5024856835004,566.680110298028,724.5242971483375,707.8730897907441,871.3887344619077,647.8261234197911,575.2024796724178,640.125752754004,581.4449147991921,594.7102335222714,703.5771385108047,730.5946751273325,629.3704587290271,645.2569264669355,670.3704272395388,645.859766030985,676.144721655521,622.76123888204,631.9378400171968,640.6749323918526,623.0411049397987,673.6635227328954,579.576492237806,745.6149504175066
Bosnian,669.5337039649211,726.2100347954951,822.0585653381131,713.5574381606294,0,654.9140909919614,691.0828634893701,589.7031111950381,694.8350015553415,660.2701530866415,719.199205580058,736.0654165788649,679.2387724840548,676.1059831315617,721.764536954341,725.3758050813925,719.7079083241282,741.6118588179702,715.2535846312024,663.2628875588106,803.2923321896126,766.7624618229742,931.8086092540507,609.2947537977078,696.7009082245803,781.2305905212489,665.4526731189536,692.4614517253724,794.7597315436733,759.7523943087843,711.9137726516625,730.9906561268236,658.6614967212084,522.7548555693434,772.5628606381366,637.7204409801114,652.3611445955662,726.7694535568469,706.8608333488864,663.7349854875848,718.0516139913344,828.5945001727202
Bulgarian,590.3571887682199,640.8529665366968,752.3886712015031,627.3361254416437,654.9140909919614,0,596.9690811982662,554.3612281788356,610.7934045874555,570.8588650177677,631.0646128211074,639.555259905957,588.6221550491159,585.0502128748435,634.5153071119058,631.0325725543208,629.8965417884249,648.4229384170047,638.8994151740947,568.9198017242431,715.5841345891545,701.8242164117131,859.1634094437495,561.0436154435595,604.4934926241667,699.8971276576536,574.5353995214683,598.9141554486015,705.4558458426053,690.9560271733527,630.1995230714404,643.1528005965159,627.3326024193697,579.6919483754929,683.413251306236,573.6302502266004,587.647212933173,634.927557386956,619.9978610482558,630.7428134131236,627.174229823523,740.0257798534706
Catalan,566.4452230395885,622.9090996733578,723.8108106788054,604.044215581134,691.0828634893701,596.9690811982662,0,614.0442984152585,636.230717115102,548.8916251843345,608.6870605238474,614.6406578524748,548.1908246737999,524.5989037063952,611.5209128784815,606.4833451352121,603.1946517865715,621.4526876101608,613.3603222132001,541.4464729930959,665.9678732460858,679.7362935158754,844.5214223970437,620.1778770206104,578.8110776066204,681.6987088560528,546.2437080504372,580.5340023641409,692.908089596471,714.3387333261321,567.440930382146,598.7447896878741,647.7477698041445,621.1929468941966,669.1486904423252,597.2657349892103,601.7571385377057,562.8866711939135,589.8707406173421,649.1928230140217,608.8413543716956,732.0570665308234
Croatian,603.2915566849357,652.9809019982528,758.4408203379201,642.6286594511671,589.7031111950381,554.3612281788356,614.0442984152585,0,618.8610241150482,584.8067566981438,648.243547909372,652.9125923555604,599.3383308406851,604.8215141408884,650.161669488861,646.7413280774679,643.7355151287177,661.9943875219853,653.1803273846214,584.5916149055248,733.8316490298599,713.7812559525688,865.7290615269319,577.2072342505359,615.7326381483624,709.0219585325749,589.071681988791,610.9303821965907,723.0879045638768,701.0118607367513,643.5509805912361,658.4996668081324,631.0107718270463,518.8798726683061,695.0692499770402,570.2211691506886,566.7269058444355,650.5870586241884,635.6824097275698,622.3102719141498,640.7622683352879,758.370929437679
Czech,622.5268682041138,676.1249373882162,780.4579579013164,654.0218732502651,694.8350015553415,610.7934045874555,636.230717115102,618.8610241150482,0,599.7605656532704,667.3116196737144,675.258419178498,618.2526457911821,622.9364528741179,662.5444443677275,668.0216171260962,664.7332339106974,681.0296378842945,669.5240220705426,598.6805358115589,749.8130939209702,731.3134683375349,904.2601188284434,639.9125553913957,642.4412460019429,720.8460539831112,607.7395886824941,627.6414928639844,738.6866892296875,710.3306103335242,663.5545331311326,675.935585565806,653.4429619560301,622.0864668703947,719.2424816655862,557.5818070798206,626.6451266405123,674.6143305266802,652.9818862905254,653.9666987536723,657.0498348084416,770.415972709908
Danish,520.1215578050077,591.704129235185,702.3773607862356,577.1086354984598,660.2701530866415,570.8588650177677,548.8916251843345,584.8067566981438,599.7605656532704,0,558.2462632568665,568.6257579933064,532.8132100080579,540.6416336324602,555.0859389781456,582.5429926971577,577.6638177155146,593.4840904029738,562.8328316519592,512.2493365693473,671.2096295494844,658.735969385127,824.8835373199271,593.8376063817619,555.6131649394624,638.7176224026558,477.7109515414799,547.6067883660431,661.8507577186384,684.7995853670551,584.6624040777727,590.5111060776804,618.2325421660056,592.7418790189513,635.1457944852934,564.494742187807,571.4345038310245,591.3367004744621,533.758894518861,618.5830060962733,575.8662673586321,692.6260050824333
